# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:37:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\thqty50y.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193754_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.313351
# Diagonal elements of inverse mass matrix:
# 2.36736, 0.133236, 0.0064816
-232.711,1,0.313351,3,7,0,234.24,104.075,1.18642,11.2367,103.298,105.671,102.111,96.1793,105.671,108.044,112.789,103.316,103.298,102.111,110.416,97.3658,106.857,104.484,111.603,99.7386,98.5522,110.416,111.603,104.484,96.1793,99.7386,108.044,102.111,111.603,109.23,104.484,105.671,106.884,110.416,113.976,106.857,102.111,99.7386,100.925,109.23,108.044,109.23,103.298,104.393,99.7386,103.298,110.416,99.7386,109.23,109.23,106.462,103.298,106.857,102.424,98.5522,105.671,108.668,99.7386,96.1793,96.1793,103.298,106.884,105.671,103.298,98.5522,99.7386,96.1793,96.1793,96.1793,113.976,99.7386,102.111,99.7386,107.253,99.7386,99.7386,110.416,99.7386,99.7386,105.671,-7.72873,-4.15122,-7.42142,-11.7829,-3.41235,-3.35328,-3.36893,-3.46104,-4.03838,-3.919,-3.70183,-3.97023,-4.02215,-3.4586,-3.3483,-3.7551,-3.34642,-3.33881,-3.3483,-3.4586,-3.39593,-3.7551,-3.59433,-3.35578,-3.3483,-3.34047,-3.41775,-3.70847,-4.43701,-3.33881,-4.11158,-3.37724,-3.35578,-3.7551,-4.77898,-3.79746,-3.35328,-3.34047,-3.516,-3.38123,-3.7551,-3.38119,-3.33881,-3.33839,-9.92038,-9.92038,-3.33829,-3.38119,-4.02215,-3.37005,-3.62775,-3.34918,-4.685,-3.33839,-3.39593,-3.39593,-3.38119,-4.43701,-3.46546,-4.03838,-3.85709,-3.7551,-3.33829,-3.48933,-3.48933,-3.40071,-3.7551,-3.919,-3.7551,-4.10535,-3.33839,-3.7551,-3.33881,-3.33839,-3.33839,-3.41235,119.121,94.514,110.127,93.7633,104.326,100.61,102.171,104.287,84.3312,103.902,113.68,91.0484,90.9398,105.809,125.153,116.311,90.8459,99.0664,86.9093,106.535,92.1842,109.997,90.4431,111.261,112.362,107.826,107.742,81.4409,108.974,121.769,119.674,83.5695,108.402,88.6496,107.181,119.127,96.6149,111.428,101.06,105.382,112.229,108.467,113.353,90.8924,119.597,105.463,97.1689,89.8207,112.616,81.4535,119.094,116.506,105.232,104.68,100.335,91.3862,118.594,99.5136,98.4401,92.4517,90.3707,111.105,87.6602,104.51,89.7293,117.179,111.568,80.6427,94.0453,107.608,103.032,87.0758,110.827,96.8605,94.2625,96.2241
-233.045,0.994007,0.313351,4,15,0,234.043,103.746,1.14151,15.0694,102.998,105.281,101.857,96.1491,105.281,107.564,112.13,103.015,102.998,101.857,109.847,97.2906,106.423,104.14,110.989,99.5736,98.4321,109.847,110.989,104.14,96.1491,99.5736,107.564,101.857,110.989,108.706,104.14,105.281,106.448,109.847,113.272,106.423,101.857,99.5736,100.715,108.706,107.564,108.706,102.998,104.052,99.5736,102.998,109.847,99.5736,108.706,108.706,106.042,102.998,106.423,102.157,98.4321,105.281,108.165,99.5736,96.1491,96.1491,102.998,106.448,105.281,102.998,98.4321,99.5736,96.1491,96.1491,96.1491,113.272,99.5736,101.857,99.5736,106.803,99.5736,99.5736,109.847,99.5736,99.5736,105.281,-6.02908,-4.10861,-5.86608,-8.32084,-3.68064,-3.64467,-3.6416,-3.69278,-4.0036,-3.94113,-3.85857,-3.98726,-4.03749,-3.70723,-3.63376,-3.87096,-3.63702,-3.63166,-3.63376,-3.70723,-3.66426,-3.87096,-3.75759,-3.6392,-3.63376,-3.6353,-3.66934,-3.82127,-4.21108,-3.63166,-4.01943,-3.65978,-3.6392,-3.87096,-4.45047,-3.91247,-3.64467,-3.6353,-3.73955,-3.66079,-3.87096,-3.6514,-3.63166,-3.63201,-7.38615,-7.38615,-3.63247,-3.6514,-4.03749,-3.65285,-3.78815,-3.63522,-4.34019,-3.63201,-3.66426,-3.66426,-3.6514,-4.21108,-3.69302,-4.0036,-3.92624,-3.87096,-3.63173,-3.71486,-3.71486,-3.65518,-3.87096,-3.94113,-3.87096,-4.03109,-3.63201,-3.87096,-3.63166,-3.63201,-3.63201,-3.68064,113.722,136.729,88.3289,97.8442,94.924,111.478,117.086,102.989,106.696,103.937,127.307,111.523,118.389,90.2737,134.942,103.632,91.7023,109.332,100.665,122.513,98.4499,96.2921,115.185,111.261,120.007,120.81,86.0442,104.006,92.0386,106.462,118.793,104.583,113.634,108.921,103.565,126.296,101.389,106.23,111.208,85.1788,84.6701,97.6083,143.726,91.2089,106.352,104.783,106.362,119.567,105.93,98.8874,88.8402,96.8261,126.414,80.575,114.265,78.8402,116.181,99.6054,82.7196,90.9164,68.4332,95.9219,94.7803,86.9958,74.1315,89.7386,76.8956,91.111,106.759,117.152,104.751,74.5554,109.861,112.893,107.679,109.793
-232.791,0.999905,0.313351,3,15,0,233.66,103.268,1.15753,14.808,102.51,104.825,101.352,95.5647,104.825,107.14,111.77,102.527,102.51,101.352,109.455,96.7223,105.983,103.667,110.613,99.0373,97.8798,109.455,110.613,103.667,95.5647,99.0373,107.14,101.352,110.613,108.298,103.667,104.825,106.009,109.455,112.928,105.983,101.352,99.0373,100.195,108.298,107.14,108.298,102.51,103.578,99.0373,102.51,109.455,99.0373,108.298,108.298,105.597,102.51,105.983,101.657,97.8798,104.825,107.749,99.0373,95.5647,95.5647,102.51,106.009,104.825,102.51,97.8798,99.0373,95.5647,95.5647,95.5647,112.928,99.0373,101.352,99.0373,106.368,99.0373,99.0373,109.455,99.0373,99.0373,104.825,-6.02407,-4.1392,-5.85551,-8.3482,-3.67517,-3.63275,-3.62125,-3.66627,-3.97096,-3.90797,-3.86765,-4.0161,-4.06215,-3.70554,-3.61496,-3.88814,-3.62435,-3.61478,-3.61496,-3.70554,-3.65896,-3.88814,-3.73035,-3.61827,-3.61496,-3.62071,-3.64477,-3.79169,-4.18212,-3.61478,-3.99519,-3.65091,-3.61827,-3.88814,-4.50851,-3.92637,-3.63275,-3.62071,-3.74203,-3.65269,-3.88814,-3.62847,-3.61478,-3.61622,-7.57964,-7.57964,-3.61671,-3.62847,-4.06215,-3.64376,-3.75569,-3.61566,-4.31432,-3.61622,-3.65896,-3.65896,-3.62847,-4.18212,-3.66719,-3.97096,-3.94907,-3.88814,-3.61564,-3.68471,-3.68471,-3.63365,-3.88814,-3.90797,-3.88814,-4.00154,-3.61622,-3.88814,-3.61478,-3.61622,-3.61622,-3.67517,121.37,136.488,93.6522,108.317,102.189,86.6677,111.579,110.049,103.602,104.61,97.2749,113.028,104.055,118.65,95.8203,104.565,78.4152,124.329,103.617,87.8455,83.5279,109.196,129.361,112.514,121.288,112.505,109.013,109.483,112.92,132.437,107.214,105.622,114.576,107.742,100.826,96.3661,111.284,131.115,105.108,102.211,112.988,92.1429,95.5339,105.672,116.394,106.472,85.1364,85.7194,113.914,79.3779,96.0968,105.504,142.33,84.1856,110.123,70.799,95.8453,128.938,102.852,91.0229,93.7496,93.9674,74.8464,75.3773,96.1815,98.9444,80.4553,109.895,88.568,107.991,111.398,96.6355,117.044,94.099,108.834,102.275
-232.534,0.99227,0.313351,4,15,0,234.681,104.728,1.14742,11.4034,103.976,106.271,102.829,97.0918,106.271,108.566,113.156,103.994,103.976,102.829,110.861,98.2392,107.419,105.124,112.008,100.534,99.3866,110.861,112.008,105.124,97.0918,100.534,108.566,102.829,112.008,109.713,105.124,106.271,107.444,110.861,114.303,107.419,102.829,100.534,101.681,109.713,108.566,109.713,103.976,105.035,100.534,103.976,110.861,100.534,109.713,109.713,107.036,103.976,107.419,103.131,99.3866,106.271,109.17,100.534,97.0918,97.0918,103.976,107.444,106.271,103.976,99.3866,100.534,97.0918,97.0918,97.0918,114.303,100.534,102.829,100.534,107.801,100.534,100.534,110.861,100.534,100.534,106.271,-7.79152,-4.07757,-7.49679,-11.8798,-3.40631,-3.36076,-3.39114,-3.50301,-4.10393,-3.98567,-3.67401,-3.88468,-3.96149,-3.44428,-3.36836,-3.69738,-3.3543,-3.3557,-3.36836,-3.44428,-3.38537,-3.69738,-3.63498,-3.38362,-3.36836,-3.35317,-3.45379,-3.75849,-4.49286,-3.3557,-4.13946,-3.37847,-3.38362,-3.69738,-4.64312,-3.75971,-3.36076,-3.35317,-3.49237,-3.37999,-3.69738,-3.41364,-3.3557,-3.35395,-9.59339,-9.59339,-3.35338,-3.41364,-3.96149,-3.37033,-3.69163,-3.37268,-4.73278,-3.35395,-3.38537,-3.38537,-3.41364,-4.49286,-3.50407,-4.10393,-3.78597,-3.69738,-3.35477,-3.54623,-3.54623,-3.42405,-3.69738,-3.98567,-3.69738,-4.15767,-3.35395,-3.69738,-3.3557,-3.35395,-3.35395,-3.40631,97.5377,88.3091,87.6296,89.6719,97.0053,106.64,122.629,109.542,114.486,95.1325,124.164,93.0856,98.0988,103.462,119.052,89.0966,119.69,109.136,127.608,94.8199,104.876,119.017,103.836,113.949,109.392,105.602,123.474,107.436,111.985,104.252,112.34,113.644,112.573,89.6737,95.8751,105.843,110.396,96.5088,111.92,121.092,113.454,117.22,118.142,91.4433,120.866,102.343,113.539,114.74,76.9752,94.0731,93.829,107.635,96.5593,106.793,97.261,98.6797,85.1974,112.614,113.878,103.24,94.261,103.083,94.9011,107.109,102.289,104.295,107.486,96.5597,103.879,108.716,85.0326,121.971,92.9675,98.4222,105.682,107.995
-232.978,0.996682,0.313351,4,15,0,233.494,103.786,1.16288,15.0203,103.025,105.35,101.862,96.0473,105.35,107.676,112.328,103.042,103.025,101.862,110.002,97.2101,106.513,104.187,111.165,99.5359,98.373,110.002,111.165,104.187,96.0473,99.5359,107.676,101.862,111.165,108.839,104.187,105.35,106.539,110.002,113.49,106.513,101.862,99.5359,100.699,108.839,107.676,108.839,103.025,104.098,99.5359,103.025,110.002,99.5359,108.839,108.839,106.126,103.025,106.513,102.168,98.373,105.35,108.288,99.5359,96.0473,96.0473,103.025,106.539,105.35,103.025,98.373,99.5359,96.0473,96.0473,96.0473,113.49,99.5359,101.862,99.5359,106.901,99.5359,99.5359,110.002,99.5359,99.5359,105.35,-6.04539,-4.10397,-5.87817,-8.32751,-3.67626,-3.64031,-3.64035,-3.69054,-4.0043,-3.94016,-3.84988,-3.99087,-4.03146,-3.70322,-3.63135,-3.87101,-3.63421,-3.62834,-3.63135,-3.70322,-3.66297,-3.87101,-3.75892,-3.63602,-3.63135,-3.63133,-3.6672,-3.8221,-4.21817,-3.62834,-4.03167,-3.65529,-3.63602,-3.87101,-4.45397,-3.90442,-3.64031,-3.63133,-3.73618,-3.65697,-3.87101,-3.64861,-3.62834,-3.62882,-7.38314,-7.38314,-3.62899,-3.64861,-4.03146,-3.64958,-3.78371,-3.63238,-4.35139,-3.62882,-3.66297,-3.66297,-3.64861,-4.21817,-3.69178,-4.0043,-3.92794,-3.87101,-3.62859,-3.70939,-3.70939,-3.65534,-3.87101,-3.94016,-3.87101,-4.03629,-3.62882,-3.87101,-3.62834,-3.62882,-3.62882,-3.67626,88.1667,94.2621,106.912,56.5771,92.2365,131.664,93.4888,106.251,90.3304,128.32,111.009,78.068,128.158,107.022,99.1702,84.2045,113.674,98.5109,101.644,69.4963,96.9841,116.137,95.8203,97.1808,109.751,89.2925,75.2443,119.344,127.188,85.8704,135.483,146.014,116.95,106.084,95.5962,124.916,112.338,112.497,71.4111,106.179,94.99,85.6483,118.215,78.5615,118.109,100.984,91.1697,100.915,100.972,95.2668,91.4069,135.747,125.879,103.064,82.779,94.2058,95.2021,96.5138,87.2029,103.216,118.68,118.137,88.6273,119.13,103.972,118.47,87.6293,84.8025,98.9053,81.9922,97.8081,89.5444,86.1388,99.8325,96.8479,127.986
-231.348,0.999781,0.313351,3,15,0,233.032,104.414,1.03462,12.7572,103.736,105.806,102.702,97.5286,105.806,107.875,112.013,103.752,103.736,102.702,109.944,98.5632,106.84,104.771,110.979,100.632,99.5979,109.944,110.979,104.771,97.5286,100.632,107.875,102.702,110.979,108.909,104.771,105.806,106.864,109.944,113.048,106.84,102.702,100.632,101.667,108.909,107.875,108.909,103.736,104.691,100.632,103.736,109.944,100.632,108.909,108.909,106.495,103.736,106.84,102.974,99.5979,105.806,108.419,100.632,97.5286,97.5286,103.736,106.864,105.806,103.736,99.5979,100.632,97.5286,97.5286,97.5286,113.048,100.632,102.702,100.632,107.185,100.632,100.632,109.944,100.632,100.632,105.806,-6.96173,-4.08404,-6.75054,-10.4052,-3.51908,-3.47891,-3.47749,-3.57591,-4.04473,-3.9607,-3.77571,-3.86689,-3.99709,-3.54904,-3.46797,-3.73463,-3.46553,-3.46504,-3.46797,-3.54904,-3.4838,-3.73463,-3.65555,-3.48746,-3.46797,-3.46869,-3.53496,-3.76043,-4.31551,-3.46504,-3.98809,-3.49571,-3.48746,-3.73463,-4.49761,-3.84292,-3.47891,-3.46869,-3.58557,-3.4927,-3.73463,-3.50792,-3.46504,-3.46626,-8.65237,-8.65237,-3.46512,-3.50792,-3.99709,-3.48113,-3.74805,-3.47505,-4.482,-3.46626,-3.4838,-3.4838,-3.50792,-4.31551,-3.56858,-4.04473,-3.79747,-3.73463,-3.46905,-3.63917,-3.63917,-3.49357,-3.73463,-3.9607,-3.73463,-4.05452,-3.46626,-3.73463,-3.46504,-3.46626,-3.46626,-3.51908,109.76,113.913,111.386,85.7665,91.7581,106.175,107.255,89.4608,99.6918,95.6436,112.339,95.5522,106.703,93.1638,108.39,99.6699,95.3171,108.407,94.5709,118.98,103.11,86.3631,95.1383,114.091,104.369,109.708,98.1763,84.2471,99.9165,96.7474,118.586,109.378,126.122,98.0604,97.851,107.145,108.93,86.1494,112.861,113.87,98.1955,104.427,113.951,100.861,126.475,93.956,102.962,87.0754,112.655,112.878,95.9497,90.897,94.7579,101.012,98.9943,86.4594,94.3993,116.336,113.742,107.792,97.9207,106.456,95.2019,122.028,117.583,128.908,72.3285,104.158,72.4248,94.6509,112.678,136.901,110.6,106.446,132.311,100.885
