# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:37:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\thqty50y.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193754_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.235379
# Diagonal elements of inverse mass matrix:
# 2.08167, 0.134978, 0.00703245
-232.044,0.99426,0.235379,4,15,0,233.889,105.581,1.42499,12.8674,104.647,107.497,103.223,96.0976,107.497,110.347,116.047,104.669,104.647,103.223,113.197,97.5225,108.922,106.072,114.622,100.373,98.9475,113.197,114.622,106.072,96.0976,100.373,110.347,103.223,114.622,111.772,106.072,107.497,108.955,113.197,117.472,108.922,103.223,100.373,101.798,111.772,110.347,111.772,104.647,105.963,100.373,104.647,113.197,100.373,111.772,111.772,108.447,104.647,108.922,103.597,98.9475,107.497,111.097,100.373,96.0976,96.0976,104.647,108.955,107.497,104.647,98.9475,100.373,96.0976,96.0976,96.0976,117.472,100.373,103.223,100.373,109.397,100.373,100.373,113.197,100.373,100.373,107.497,-7.09882,-3.94568,-6.80676,-9.89079,-3.49255,-3.474,-3.58408,-3.61844,-4.12155,-4.00161,-3.61338,-3.94379,-3.84421,-3.52022,-3.53816,-3.75354,-3.47698,-3.50451,-3.53816,-3.52022,-3.51963,-3.75354,-3.79697,-3.505,-3.53816,-3.48312,-3.58499,-3.87284,-4.53293,-3.50451,-4.39555,-3.47714,-3.505,-3.75354,-4.47421,-3.67806,-3.474,-3.48312,-3.56015,-3.48267,-3.75354,-3.53886,-3.50451,-3.47406,-7.8867,-7.8867,-3.48321,-3.53886,-3.84421,-3.48202,-3.7154,-3.51058,-4.78919,-3.47406,-3.51963,-3.51963,-3.53886,-4.53293,-3.64339,-4.12155,-3.84253,-3.75354,-3.47389,-3.58592,-3.58592,-3.64226,-3.75354,-4.00161,-3.75354,-4.25293,-3.47406,-3.75354,-3.50451,-3.47406,-3.47406,-3.49255,96.216,80.0155,99.052,75.0605,106.414,115.949,127.441,109.254,105.625,93.0151,136.405,112.113,122.185,117.839,118.58,102.78,111.467,122.45,124.379,104.494,73.7841,91.9761,85.2343,116.287,109.483,111.405,88.81,105.419,110.419,115.742,140.501,91.2787,89.2812,94.3817,110.097,87.1952,120.726,118.699,114.768,108.981,89.597,112.723,122.46,105.743,95.1637,103.869,99.0529,129.931,134.201,78.6152,101.786,100.445,106.402,126.237,92.6126,88.103,106.959,106.712,112.527,122.266,126.756,98.6854,66.9624,110.509,102.014,112.554,86.4431,86.5347,105.598,110.571,116.997,99.5693,125.354,121.162,120.286,107.626
-232.502,0.986748,0.235379,3,15,0,234.41,103.172,1.48102,14.2008,102.202,105.164,100.721,93.3162,105.164,108.126,114.05,102.225,102.202,100.721,111.088,94.7972,106.645,103.683,112.569,97.7592,96.2782,111.088,112.569,103.683,93.3162,97.7592,108.126,100.721,112.569,109.607,103.683,105.164,106.679,111.088,115.531,106.645,100.721,97.7592,99.2402,109.607,108.126,109.607,102.202,103.569,97.7592,102.202,111.088,97.7592,109.607,109.607,106.152,102.202,106.645,101.111,96.2782,105.164,108.906,97.7592,93.3162,93.3162,102.202,106.679,105.164,102.202,96.2782,97.7592,93.3162,93.3162,93.3162,115.531,97.7592,100.721,97.7592,107.139,97.7592,97.7592,111.088,97.7592,97.7592,105.164,-6.14333,-4.11795,-5.91227,-8.22429,-3.63021,-3.58094,-3.61291,-3.622,-3.9414,-3.85723,-3.76914,-4.14529,-4.01443,-3.67117,-3.5886,-3.94374,-3.60658,-3.57517,-3.5886,-3.67117,-3.683,-3.94374,-3.73597,-3.57353,-3.5886,-3.57262,-3.60587,-3.78047,-4.24342,-3.57517,-4.17033,-3.60014,-3.57353,-3.94374,-4.64078,-3.84003,-3.58094,-3.57262,-3.723,-3.61438,-3.94374,-3.58426,-3.57517,-3.58469,-7.61753,-7.61753,-3.57289,-3.58426,-4.01443,-3.61498,-3.66996,-3.5756,-4.43742,-3.58469,-3.683,-3.683,-3.58426,-4.24342,-3.63836,-3.9414,-4.03908,-3.94374,-3.59559,-3.5995,-3.5995,-3.6481,-3.94374,-3.85723,-3.94374,-4.0448,-3.58469,-3.94374,-3.57517,-3.58469,-3.58469,-3.63021,109.338,97.5992,104.911,83.319,95.6805,127.345,135.632,121.38,76.1055,81.5263,120.268,93.4985,96.2261,109.292,109.409,93.6974,90.7436,93.5329,107.008,82.9786,89.1998,90.2139,110.944,94.2654,105.28,120.127,108.878,98.3309,100.493,114.333,102.785,108.306,111.1,80.3582,97.5605,113.551,115.191,109.545,106.063,95.4809,100.59,111.95,96.6119,115.345,103.053,121.15,81.3378,87.4287,125.791,111.894,87.5594,100.733,111.945,120.005,94.5727,68.7465,123.597,120.286,102.305,94.449,87.9594,117.722,104.67,81.102,96.7576,89.1066,83.9289,97.4142,80.0994,78.7283,98.5066,119.398,112.978,89.8526,93.505,96.4116
-232.932,0.994693,0.235379,4,15,0,234.475,103.387,1.74224,12.1507,102.246,105.731,100.504,91.7927,105.731,109.215,116.184,102.272,102.246,100.504,112.7,93.535,107.473,103.988,114.442,97.0195,95.2772,112.7,114.442,103.988,91.7927,97.0195,109.215,100.504,114.442,110.957,103.988,105.731,107.512,112.7,117.926,107.473,100.504,97.0195,98.7617,110.957,109.215,110.957,102.246,103.854,97.0195,102.246,112.7,97.0195,110.957,110.957,106.892,102.246,107.473,100.962,95.2772,105.731,110.132,97.0195,91.7927,91.7927,102.246,107.512,105.731,102.246,95.2772,97.0195,91.7927,91.7927,91.7927,117.926,97.0195,100.504,97.0195,108.054,97.0195,97.0195,112.7,97.0195,97.0195,105.731,-6.93779,-4.10589,-6.56755,-9.33153,-3.47805,-3.41841,-3.54584,-3.48576,-3.92421,-3.78998,-3.59682,-4.33443,-3.94779,-3.53872,-3.48314,-3.98695,-3.49186,-3.44101,-3.48314,-3.53872,-3.64444,-3.98695,-3.70391,-3.41719,-3.48314,-3.41943,-3.4702,-3.73699,-4.42834,-3.44101,-4.50462,-3.43795,-3.41719,-3.98695,-4.94392,-3.69325,-3.41841,-3.41943,-3.61994,-3.46621,-3.98695,-3.43341,-3.44101,-3.44641,-8.57866,-8.57866,-3.4165,-3.43341,-3.94779,-3.47897,-3.51064,-3.42647,-4.75834,-3.44641,-3.64444,-3.64444,-3.43341,-4.42834,-3.52754,-3.92421,-4.15041,-3.98695,-3.48776,-3.42721,-3.42721,-3.62909,-3.98695,-3.78998,-3.98695,-4.15016,-3.44641,-3.98695,-3.44101,-3.44641,-3.44641,-3.47805,108.815,118.741,99.959,80.2239,110.74,104.45,103.113,89.7024,100.152,89.1271,134.824,111.609,114.932,124.74,121.703,111.548,83.8655,122.237,109.231,90.0952,95.2839,108.286,82.3392,89.8493,116.532,114.561,112.071,94.1072,124.835,115.53,124.41,99.4209,101.896,71.9344,99.4623,111.31,116.235,95.5422,111.451,101.253,112.467,119.248,94.2287,103.919,111.148,115.468,109.28,112.571,118.501,112.125,115.595,107.14,96.9532,107.525,113.803,79.5298,113.411,104.079,119.042,100.521,98.9656,92.3461,108.284,96.2857,83.5047,130.932,110.044,110.256,66.3605,121.331,102.277,109.432,103.782,89.5674,80.2712,93.9579
-231.535,0.999497,0.235379,3,7,0,233.166,104.512,1.39987,12.5939,103.596,106.395,102.196,95.1963,106.395,109.195,114.794,103.617,103.596,102.196,111.995,96.5962,107.795,104.995,113.395,99.3959,97.996,111.995,113.395,104.995,95.1963,99.3959,109.195,102.196,113.395,110.595,104.995,106.395,107.827,111.995,116.194,107.795,102.196,99.3959,100.796,110.595,109.195,110.595,103.596,104.888,99.3959,103.596,111.995,99.3959,110.595,110.595,107.329,103.596,107.795,102.564,97.996,106.395,109.932,99.3959,95.1963,95.1963,103.596,107.827,106.395,103.596,97.996,99.3959,95.1963,95.1963,95.1963,116.194,99.3959,102.196,99.3959,108.262,99.3959,99.3959,111.995,99.3959,99.3959,106.395,-7.01022,-4.03564,-6.71988,-9.89174,-3.49311,-3.45419,-3.52461,-3.56085,-4.03485,-3.92103,-3.65417,-4.01853,-3.92174,-3.53111,-3.48848,-3.80663,-3.46481,-3.46469,-3.48848,-3.53111,-3.52489,-3.80663,-3.71868,-3.46735,-3.48848,-3.45326,-3.53081,-3.79281,-4.42879,-3.46469,-4.27891,-3.46747,-3.46735,-3.80663,-4.61479,-3.73101,-3.45419,-3.45326,-3.58145,-3.47694,-3.80663,-3.4929,-3.46469,-3.4533,-8.34721,-8.34721,-3.45353,-3.4929,-3.92174,-3.47511,-3.65371,-3.47023,-4.67637,-3.4533,-3.52489,-3.52489,-3.4929,-4.42879,-3.58108,-4.03485,-3.9064,-3.80663,-3.45661,-3.53727,-3.53727,-3.57311,-3.80663,-3.92103,-3.80663,-4.1547,-3.4533,-3.80663,-3.46469,-3.4533,-3.4533,-3.49311,105.144,87.5945,85.307,86.8046,121.997,108.431,98.5659,94.8259,94.8402,104.594,101.073,100.957,108.434,127.01,124.031,103.626,105.098,110.346,100.149,124.073,93.2079,89.0281,80.2379,100.689,114.704,86.0335,107.989,105.206,100.41,109.399,128.809,103.731,111.506,104.821,106.718,112.782,114.739,102.871,93.7382,125.343,77.947,99.3724,111.942,104.879,108.519,88.6572,99.4155,120.807,83.0884,119.075,114.63,116.619,110.444,92.309,74.9438,87.4294,102.026,97.2756,122.151,115.314,103.131,103.236,109.882,97.3941,97.0099,118.826,101.816,103.267,96.6483,129.072,93.7574,112.955,123.901,137.344,84.8322,96.3645
-231.919,0.996613,0.235379,4,15,0,232.163,102.639,0.987422,12.5261,101.993,103.968,101.005,96.0682,103.968,105.942,109.892,102.008,101.993,101.005,107.917,97.0556,104.955,102.98,108.905,99.0305,98.043,107.917,108.905,102.98,96.0682,99.0305,105.942,101.005,108.905,106.93,102.98,103.968,104.977,107.917,110.88,104.955,101.005,99.0305,100.018,106.93,105.942,106.93,101.993,102.904,99.0305,101.993,107.917,99.0305,106.93,106.93,104.626,101.993,104.955,101.265,98.043,103.968,106.462,99.0305,96.0682,96.0682,101.993,104.977,103.968,101.993,98.043,99.0305,96.0682,96.0682,96.0682,110.88,99.0305,101.005,99.0305,105.284,99.0305,99.0305,107.917,99.0305,99.0305,103.968,-6.70843,-4.26585,-6.5102,-10.2098,-3.56272,-3.49922,-3.44679,-3.50467,-3.90508,-3.83271,-3.91198,-3.9807,-4.16806,-3.60379,-3.45058,-3.83021,-3.45896,-3.46058,-3.45058,-3.60379,-3.49602,-3.83021,-3.55928,-3.44997,-3.45058,-3.47679,-3.47506,-3.64905,-4.14021,-3.46058,-3.82394,-3.52786,-3.44997,-3.83021,-4.71914,-3.99113,-3.49922,-3.47679,-3.65107,-3.51981,-3.83021,-3.45941,-3.46058,-3.44975,-9.35815,-9.35815,-3.46003,-3.45941,-4.16806,-3.49769,-3.6529,-3.44676,-4.28684,-3.44975,-3.49602,-3.49602,-3.45941,-4.14021,-3.49692,-3.90508,-3.90235,-3.83021,-3.44707,-3.5641,-3.5641,-3.44922,-3.83021,-3.83271,-3.83021,-3.90188,-3.44975,-3.83021,-3.46058,-3.44975,-3.44975,-3.56272,82.5615,110.015,87.3588,97.2879,106.78,133.033,106.27,93.0871,100.189,95.0501,116.669,89.2216,90.8,104.219,107.824,111.287,89.4032,106.523,113.787,88.9396,103.724,96.576,108.376,99.3292,121.494,95.609,121.768,95.8597,89.1165,118.711,111.129,86.4228,106.869,82.8293,73.593,103.105,100.341,104.996,114.35,98.8918,107.573,100.292,94.2823,101.448,113.641,98.9388,100.814,79.1774,110.784,111.515,107.833,123.285,87.5474,93.0519,95.9916,112.046,106.456,118.305,116.363,100.567,122.678,114.261,109.684,77.5595,106.071,113.705,122.103,90.3074,98.4375,112.432,109.013,107.939,102.96,99.305,110.39,122.299
-232.402,0.996332,0.235379,4,15,0,233.061,102.8,1.49473,13.8639,101.821,104.81,100.326,92.8523,104.81,107.8,113.779,101.843,101.821,100.326,110.789,94.347,106.305,103.315,112.284,97.3365,95.8417,110.789,112.284,103.315,92.8523,97.3365,107.8,100.326,112.284,109.294,103.315,104.81,106.339,110.789,115.273,106.305,100.326,97.3365,98.8312,109.294,107.8,109.294,101.821,103.2,97.3365,101.821,110.789,97.3365,109.294,109.294,105.807,101.821,106.305,100.719,95.8417,104.81,108.586,97.3365,92.8523,92.8523,101.821,106.339,104.81,101.821,95.8417,97.3365,92.8523,92.8523,92.8523,115.273,97.3365,100.326,97.3365,106.803,97.3365,97.3365,110.789,97.3365,97.3365,104.81,-6.18223,-4.14844,-5.94058,-8.32511,-3.6183,-3.56082,-3.58537,-3.59193,-3.91171,-3.8256,-3.76893,-4.1856,-4.03613,-3.66447,-3.5618,-3.96539,-3.59321,-3.54985,-3.5618,-3.66447,-3.68113,-3.96539,-3.70648,-3.54851,-3.5618,-3.54952,-3.57682,-3.75014,-4.22361,-3.54985,-4.15505,-3.58375,-3.54851,-3.96539,-4.71394,-3.84637,-3.56082,-3.54952,-3.72226,-3.60072,-3.96539,-3.55685,-3.54985,-3.56668,-7.85852,-7.85852,-3.55015,-3.55685,-4.03613,-3.60194,-3.637,-3.54994,-4.42518,-3.56668,-3.68113,-3.68113,-3.55685,-4.22361,-3.60842,-3.91171,-4.06969,-3.96539,-3.5807,-3.56939,-3.56939,-3.62057,-3.96539,-3.8256,-3.96539,-4.0202,-3.56668,-3.96539,-3.54985,-3.56668,-3.56668,-3.6183,118.368,98.4254,88.1941,87.1424,105.076,105.53,113.966,97.4518,82.3142,118.833,99.1579,86.7628,108.291,123.139,130.092,104.229,71.8502,110.717,119.712,91.0936,90.2342,90.2954,115.963,105.818,120.613,125.365,99.6985,118.744,95.9804,113.622,115.5,107.582,103.115,80.0444,108.671,117.983,114.676,127.678,104.816,111.796,84.4647,85.7619,101.947,100.119,84.4675,116.581,105.12,114.114,88.457,111.01,116.614,103.288,112.978,102.252,77.4537,65.0338,95.5466,111.242,99.153,83.2632,89.9797,97.3178,80.2211,88.2354,91.8044,114.197,79.5448,95.0221,107.219,85.425,82.9429,106.967,92.7599,91.0955,89.829,90.933
