# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:38:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\i8v1kch_.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621193820_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.287123
# Diagonal elements of inverse mass matrix:
# 1.77724, 0.111068, 0.00684227
-232.312,0.989421,0.287123,3,7,0,232.412,102.578,1.5337,13.256,101.573,104.641,100.039,92.371,104.641,107.708,113.843,101.596,101.573,100.039,110.775,93.9047,106.174,103.107,112.309,96.9721,95.4384,110.775,112.309,103.107,92.371,96.9721,107.708,100.039,112.309,109.242,103.107,104.641,106.209,110.775,115.377,106.174,100.039,96.9721,98.5058,109.242,107.708,109.242,101.573,102.989,96.9721,101.573,110.775,96.9721,109.242,109.242,105.663,101.573,106.174,100.443,95.4384,104.641,108.515,96.9721,92.371,92.371,101.573,106.209,104.641,101.573,95.4384,96.9721,92.371,92.371,92.371,115.377,96.9721,100.039,96.9721,106.686,96.9721,96.9721,110.775,96.9721,96.9721,104.641,-6.33987,-4.17465,-6.07099,-8.61173,-3.58512,-3.51834,-3.54541,-3.54561,-3.8845,-3.79018,-3.74552,-4.24052,-4.04729,-3.63859,-3.51856,-3.98633,-3.5626,-3.5051,-3.51856,-3.63859,-3.669,-3.98633,-3.67245,-3.5034,-3.51856,-3.50503,-3.53086,-3.71583,-4.23029,-3.5051,-4.17615,-3.54504,-3.5034,-3.98633,-4.81797,-3.83272,-3.51834,-3.50503,-3.70545,-3.56634,-3.98633,-3.51043,-3.5051,-3.52948,-8.23028,-8.23028,-3.50626,-3.51043,-4.04729,-3.5695,-3.58755,-3.50456,-4.45521,-3.52948,-3.669,-3.669,-3.51043,-4.23029,-3.56467,-3.8845,-4.10673,-3.98633,-3.54925,-3.51939,-3.51939,-3.58564,-3.98633,-3.79018,-3.98633,-4.01067,-3.52948,-3.98633,-3.5051,-3.52948,-3.52948,-3.58512,104.701,105.353,75.5393,88.3938,123.93,113.805,104.43,102.644,106.091,88.6079,125.702,103.073,102.609,111.418,96.7749,101.218,109.691,136.294,103.299,104.625,98.5221,70.8272,134.398,87.2569,117.19,114.058,97.3891,111.762,114.209,124.163,120.361,124.957,87.0623,88.5194,97.2126,94.858,84.8088,113.097,84.6399,106.724,93.4295,94.9211,118.574,78.3051,109.351,90.1833,117.732,90.872,132.914,125.388,109.308,105.736,87.3276,75.1756,95.9739,95.3618,109.873,85.3674,112.747,81.3124,115.302,144.024,93.4536,94.0943,79.6023,125.72,88.9191,76.818,100.457,98.0218,102.612,87.9607,135.926,92.1213,88.0697,99.3569
-231.778,0.994205,0.287123,3,11,0,233.34,105.36,0.995419,13.2084,104.708,106.699,103.713,98.7357,106.699,108.69,112.672,104.723,104.708,103.713,110.681,99.7311,107.694,105.704,111.676,101.722,100.727,110.681,111.676,105.704,98.7357,101.722,108.69,103.713,111.676,109.685,105.704,106.699,107.717,110.681,113.667,107.694,103.713,101.722,102.717,109.685,108.69,109.685,104.708,105.627,101.722,104.708,110.681,101.722,109.685,109.685,107.363,104.708,107.694,103.975,100.727,106.699,109.214,101.722,98.7357,98.7357,104.708,107.717,106.699,104.708,100.727,101.722,98.7357,98.7357,98.7357,113.667,101.722,103.713,101.722,108.026,101.722,101.722,110.681,101.722,101.722,106.699,-6.9523,-4.00682,-6.7571,-10.3069,-3.53102,-3.50471,-3.52025,-3.63937,-4.11979,-4.03871,-3.7487,-3.80201,-3.93377,-3.55269,-3.50784,-3.69618,-3.5013,-3.50112,-3.50784,-3.55269,-3.50437,-3.69618,-3.71621,-3.5393,-3.50784,-3.50008,-3.59303,-3.82786,-4.37663,-3.50112,-4.03511,-3.51503,-3.5393,-3.69618,-4.35582,-3.80471,-3.50471,-3.50008,-3.58005,-3.51202,-3.69618,-3.56332,-3.50112,-3.50829,-8.15776,-8.15776,-3.50118,-3.56332,-3.93377,-3.50455,-3.82954,-3.52067,-4.53312,-3.50829,-3.50437,-3.50437,-3.56332,-4.37663,-3.62841,-4.11979,-3.74626,-3.69618,-3.51562,-3.7185,-3.7185,-3.53833,-3.69618,-4.03871,-3.69618,-4.1185,-3.50829,-3.69618,-3.50112,-3.50829,-3.50829,-3.53102,104.114,114.923,101.128,109.467,113.911,106.165,110.76,117.986,93.3345,94.8942,90.116,100.984,114.681,100.177,97.7307,89.2702,114.888,126.182,124.744,92.7058,83.6022,94.6546,89.8506,104.673,102.706,114.77,103.373,114.858,115.592,115.741,119.716,84.2308,106.125,133.271,92.8636,123.551,92.3089,114.341,117.454,107.03,104.916,110.888,95.1738,76.2374,91.2823,137.484,110.618,109.859,122.557,110.398,102.456,120.225,104.28,97.0832,111.132,93.7214,116.902,106.399,101.493,90.9333,109.74,87.3064,93.9748,105.184,113.034,118.764,112.485,102.163,94.112,114.08,69.1053,80.7048,111.833,98.597,84.8667,103.079
-231.976,0.996161,0.287123,4,15,0,232.523,104.122,1.52795,13.5909,103.121,106.177,101.593,93.9534,106.177,109.233,115.345,103.144,103.121,101.593,112.289,95.4813,107.705,104.649,113.817,98.5372,97.0092,112.289,113.817,104.649,93.9534,98.5372,109.233,101.593,113.817,110.761,104.649,106.177,107.739,112.289,116.873,107.705,101.593,98.5372,100.065,110.761,109.233,110.761,103.121,104.531,98.5372,103.121,112.289,98.5372,110.761,110.761,107.196,103.121,107.705,101.995,97.0092,106.177,110.037,98.5372,93.9534,93.9534,103.121,107.739,106.177,103.121,97.0092,98.5372,93.9534,93.9534,93.9534,116.873,98.5372,101.593,98.5372,108.214,98.5372,98.5372,112.289,98.5372,98.5372,106.177,-6.49782,-4.04557,-6.23016,-8.7578,-3.5679,-3.52993,-3.60566,-3.60726,-3.99436,-3.89215,-3.6893,-4.09894,-3.93754,-3.60585,-3.56777,-3.88402,-3.55255,-3.54252,-3.56777,-3.60585,-3.62731,-3.88402,-3.75909,-3.53521,-3.56777,-3.52991,-3.58684,-3.80869,-4.35863,-3.54252,-4.29895,-3.5426,-3.53521,-3.88402,-4.60406,-3.75941,-3.52993,-3.52991,-3.65643,-3.55539,-3.88402,-3.55471,-3.54252,-3.53413,-7.6962,-7.6962,-3.5291,-3.55471,-3.93754,-3.55725,-3.66133,-3.54117,-4.59078,-3.53413,-3.62731,-3.62731,-3.55471,-4.35863,-3.63162,-3.99436,-3.98516,-3.88402,-3.54435,-3.57065,-3.57065,-3.65619,-3.88402,-3.89215,-3.88402,-4.12776,-3.53413,-3.88402,-3.54252,-3.53413,-3.53413,-3.5679,103.008,85.8648,113.68,110.348,114.377,125.848,142.529,102.181,81.1583,104.413,89.2901,113.844,94.6817,116.245,120.975,96.1224,86.2722,121.885,100.801,89.9827,102.683,101.851,112.986,106.072,114.502,107.675,94.3122,83.7238,95.1154,125.504,112.323,99.066,101.412,93.3346,114.775,106.952,120.705,122.259,122.571,101.952,101.901,98.8471,118.035,102.056,104.558,102.187,116.068,100.636,105.106,94.3883,88.2619,114.801,126.541,80.9456,95.8852,111.909,80.0561,99.669,123.781,110.611,85.9147,89.2664,104.781,83.9232,65.9073,119.69,84.9989,93.1745,119.428,124.841,120.832,97.1592,122.861,75.4994,104.677,101.16
-233.939,0.978279,0.287123,4,15,0,236.061,104.754,1.50905,15.3563,103.766,106.784,102.257,94.7114,106.784,109.802,115.838,103.788,103.766,102.257,112.82,96.2204,108.293,105.275,114.329,99.2385,97.7295,112.82,114.329,105.275,94.7114,99.2385,109.802,102.257,114.329,111.311,105.275,106.784,108.327,112.82,117.347,108.293,102.257,99.2385,100.748,111.311,109.802,111.311,103.766,105.159,99.2385,103.766,112.82,99.2385,111.311,111.311,107.79,103.766,108.293,102.654,97.7295,106.784,110.596,99.2385,94.7114,94.7114,103.766,108.327,106.784,103.766,97.7295,99.2385,94.7114,94.7114,94.7114,117.347,99.2385,102.257,99.2385,108.796,99.2385,99.2385,112.82,99.2385,99.2385,106.784,-6.06787,-4.02081,-5.85662,-7.88919,-3.67239,-3.65054,-3.72273,-3.72792,-4.05225,-3.96898,-3.75977,-4.05306,-3.94107,-3.6978,-3.6902,-3.89601,-3.66139,-3.66732,-3.6902,-3.6978,-3.70977,-3.89601,-3.85417,-3.66126,-3.6902,-3.65411,-3.70945,-3.89703,-4.34519,-3.66732,-4.28851,-3.65664,-3.66126,-3.89601,-4.43637,-3.81055,-3.65054,-3.65411,-3.73287,-3.66407,-3.89601,-3.68053,-3.66732,-3.65169,-6.82424,-6.82424,-3.65314,-3.68053,-3.94107,-3.6649,-3.77714,-3.66689,-4.5303,-3.65169,-3.70977,-3.70977,-3.68053,-4.34519,-3.74804,-4.05225,-3.96971,-3.89601,-3.6564,-3.69753,-3.69753,-3.76492,-3.89601,-3.96898,-3.89601,-4.1574,-3.65169,-3.89601,-3.66732,-3.65169,-3.65169,-3.67239,132.413,95.8171,111.142,98.6979,104.797,119.695,113.088,110.108,98.0464,101.391,124.1,74.7224,106.15,101.329,158.114,97.9554,63.2816,104.332,128.425,87.173,75.0182,116.826,85.9118,101.573,99.6633,94.7268,92.6561,103.969,121.494,112.429,137.022,112.801,98.442,84.0407,85.8389,119.183,105.313,112.508,127.967,116.498,60.7638,116.015,109.012,117.39,95.8007,133.126,135.852,112.027,117.383,80.6662,94.2938,92.5006,118.423,128.786,97.8094,83.2624,108.583,112.079,91.9899,88.0855,113.203,100.083,91.0836,86.2784,68.7416,132.884,88.7469,117.105,89.4669,92.7718,105.024,68.7851,114.345,104.088,82.4693,121.948
-233.202,0.991879,0.287123,4,15,0,237.444,102.854,1.0617,11.2525,102.159,104.282,101.097,95.7886,104.282,106.406,110.652,102.175,102.159,101.097,108.529,96.8503,105.344,103.221,109.591,98.9737,97.912,108.529,109.591,103.221,95.7886,98.9737,106.406,101.097,109.591,107.467,103.221,104.282,105.368,108.529,111.714,105.344,101.097,98.9737,100.035,107.467,106.406,107.467,102.159,103.139,98.9737,102.159,108.529,98.9737,107.467,107.467,104.99,102.159,105.344,101.376,97.912,104.282,106.964,98.9737,95.7886,95.7886,102.159,105.368,104.282,102.159,97.912,98.9737,95.7886,95.7886,95.7886,111.714,98.9737,101.097,98.9737,105.698,98.9737,98.9737,108.529,98.9737,98.9737,104.282,-7.42338,-4.31509,-7.15818,-11.6187,-3.46863,-3.39055,-3.34121,-3.41704,-3.92331,-3.82581,-3.85913,-4.02235,-4.18775,-3.52103,-3.34019,-3.81963,-3.35675,-3.34808,-3.34019,-3.52103,-3.40957,-3.81963,-3.50156,-3.34428,-3.34019,-3.36486,-3.38049,-3.6104,-4.24496,-3.34808,-3.8814,-3.42514,-3.34428,-3.81963,-4.91348,-3.95977,-3.39055,-3.36486,-3.58232,-3.42141,-3.81963,-3.35793,-3.34808,-3.34369,-10.4831,-10.4831,-3.35063,-3.35793,-4.18775,-3.39918,-3.58673,-3.33985,-4.44595,-3.34369,-3.40957,-3.40957,-3.35793,-4.24496,-3.41194,-3.92331,-3.91654,-3.81963,-3.34094,-3.47185,-3.47185,-3.35113,-3.81963,-3.82581,-3.81963,-3.94323,-3.34369,-3.81963,-3.34808,-3.34369,-3.34369,-3.46863,107.257,107.811,111.464,86.5552,114.156,109.607,97.1691,92.9266,98.2305,104.072,90.659,96.964,91.5028,97.1648,100.605,96.1912,101.02,86.6205,114.377,106.312,103.546,103.556,104.867,91.303,115.886,124.311,80.0064,107.079,112.448,107.532,109.245,106.529,104.673,104.475,120.597,98.304,104.553,106.884,105.817,91.2738,110.177,92.7647,118.131,90.5701,95.8833,89.8026,87.6962,111.15,97.7254,88.9045,83.7468,107.751,118.641,107.62,82.6836,84.7443,80.8616,106.833,105.878,98.8092,106.596,88.271,102.409,99.5858,85.7937,104.368,84.7636,107.372,100.888,102.822,96.2659,112.968,101.961,111.522,97.6983,112.288
-233.04,0.989694,0.287123,3,15,0,235.482,104.611,0.553545,14.0903,104.249,105.356,103.695,100.927,105.356,106.463,108.677,104.257,104.249,103.695,107.57,101.481,105.909,104.802,108.124,102.588,102.035,107.57,108.124,104.802,100.927,102.588,106.463,103.695,108.124,107.016,104.802,105.356,105.922,107.57,109.231,105.909,103.695,102.588,103.142,107.016,106.463,107.016,104.249,104.76,102.588,104.249,107.57,102.588,107.016,107.016,105.725,104.249,105.909,103.841,102.035,105.356,106.754,102.588,100.927,100.927,104.249,105.922,105.356,104.249,102.035,102.588,100.927,100.927,100.927,109.231,102.588,103.695,102.588,106.094,102.588,102.588,107.57,102.588,102.588,105.356,-6.51847,-4.10451,-6.42375,-10.0962,-3.61875,-3.59594,-3.56883,-3.67125,-4.07573,-4.03678,-3.95354,-3.7472,-4.06445,-3.63247,-3.57329,-3.70278,-3.57485,-3.5793,-3.57329,-3.63247,-3.56659,-3.70278,-3.66962,-3.59881,-3.57329,-3.58684,-3.62251,-3.78487,-4.1849,-3.5793,-3.77901,-3.60657,-3.59881,-3.70278,-4.28017,-3.98896,-3.59594,-3.58684,-3.64773,-3.58609,-3.70278,-3.60989,-3.5793,-3.5813,-8.21743,-8.21743,-3.56666,-3.60989,-4.06445,-3.56952,-3.92917,-3.56906,-4.25245,-3.5813,-3.56659,-3.56659,-3.60989,-4.1849,-3.63667,-4.07573,-3.72422,-3.70278,-3.61638,-3.86515,-3.86515,-3.56592,-3.70278,-4.03678,-3.70278,-3.9745,-3.5813,-3.70278,-3.5793,-3.5813,-3.5813,-3.61875,112.299,93.9764,120.045,86.3814,101.674,87.2996,92.7703,84.1774,97.4018,78.7443,106.415,93.1544,109.327,114.036,88.2722,105.526,74.9543,141.775,131.064,94.9063,76.8742,103.697,107.036,98.0927,101.42,94.3675,110.687,98.74,135.3,74.9487,129.95,95.9315,72.0703,92.9586,109.9,106.144,98.3113,105.676,91.8084,122.926,103.112,98.4847,113.421,101.439,135.055,110.244,99.0741,125.59,103.306,101.943,109.463,100.618,108.715,116.761,116.727,114.644,106.03,120.924,107.361,126.18,105.381,115.216,118.321,99.1406,96.1328,105.267,103.994,83.856,109.141,110.587,117.228,117.391,118.403,92.378,106.734,108.975
