# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 17:42:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\lcwwvome.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621194246_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.113719
# Diagonal elements of inverse mass matrix:
# 2.14275, 0.133822, 0.00631308
-236.36,0.998942,0.113719,5,31,0,237.921,101.409,1.05155,16.5024,100.72,102.823,99.6684,94.4106,102.823,104.926,109.132,100.736,100.72,99.6684,107.029,95.4622,103.875,101.772,108.081,97.5653,96.5137,107.029,108.081,101.772,94.4106,97.5653,104.926,99.6684,108.081,105.978,101.772,102.823,103.898,107.029,110.184,103.875,99.6684,97.5653,98.6168,105.978,104.926,105.978,100.72,101.691,97.5653,100.72,107.029,97.5653,105.978,105.978,103.524,100.72,103.875,99.9451,96.5137,102.823,105.48,97.5653,94.4106,94.4106,100.72,103.898,102.823,100.72,96.5137,97.5653,94.4106,94.4106,94.4106,110.184,97.5653,99.6684,97.5653,104.225,97.5653,97.5653,107.029,97.5653,97.5653,102.823,-5.45511,-4.26415,-5.33852,-7.3436,-3.81702,-3.76971,-3.72383,-3.73888,-3.93344,-3.89407,-4.03134,-4.11048,-4.19986,-3.84676,-3.72921,-4.00633,-3.74476,-3.73865,-3.72921,-3.84676,-3.77981,-4.00633,-3.767,-3.72265,-3.72921,-3.75215,-3.72821,-3.80792,-4.06568,-3.73865,-3.91286,-3.79133,-3.72265,-4.00633,-4.56194,-4.08345,-3.76971,-3.75215,-3.88056,-3.78858,-4.00633,-3.7234,-3.73865,-3.73333,-7.28055,-7.28055,-3.74058,-3.7234,-4.19986,-3.77437,-3.80035,-3.72499,-4.14966,-3.73333,-3.77981,-3.77981,-3.7234,-4.06568,-3.73708,-3.93344,-4.05638,-4.00633,-3.72961,-3.75816,-3.75816,-3.72251,-4.00633,-3.89407,-4.00633,-3.94025,-3.73333,-4.00633,-3.73865,-3.73333,-3.73333,-3.81702,110.305,69.5482,114.32,138.773,108.038,119.83,84.8448,96.8179,113.796,95.2184,101.405,84.9993,124.527,127.332,104.788,96.6201,122.519,110.167,114.669,118.677,78.4647,105.323,107.62,85.0396,128.737,102.782,82.9093,107.253,104.875,116.183,135.975,73.8538,96.6458,95.7306,114.622,89.7544,112.684,73.6323,90.5457,68.0257,115.466,106.561,117.505,76.5377,87.2971,108.58,110.381,86.4462,95.146,112.03,123.635,117.837,87.15,97.7214,103.822,121.112,93.4055,114.508,117.402,84.5631,122.165,80.6504,75.1014,95.357,89.651,96.2626,60.5223,119.786,67.4509,91.2422,105.382,103.749,88.707,95.1278,152.852,99.4564
-233.427,0.999415,0.113719,4,31,0,236.541,101.99,1.02548,14.7838,101.318,103.369,100.293,95.1655,103.369,105.42,109.522,101.334,101.318,100.293,107.471,96.191,104.395,102.344,108.497,98.2419,97.2165,107.471,108.497,102.344,95.1655,98.2419,105.42,100.293,108.497,106.446,102.344,103.369,104.418,107.471,110.548,104.395,100.293,98.2419,99.2674,106.446,105.42,106.446,101.318,102.265,98.2419,101.318,107.471,98.2419,106.446,106.446,104.053,101.318,104.395,100.563,97.2165,103.369,105.96,98.2419,95.1655,95.1655,101.318,104.418,103.369,101.318,97.2165,98.2419,95.1655,95.1655,95.1655,110.548,98.2419,100.293,98.2419,104.737,98.2419,98.2419,107.471,98.2419,98.2419,103.369,-5.85633,-4.2452,-5.7118,-8.27919,-3.71305,-3.66045,-3.61299,-3.64195,-3.90554,-3.85484,-3.97157,-4.04871,-4.16957,-3.74657,-3.61764,-3.92875,-3.6302,-3.6271,-3.61764,-3.74657,-3.66594,-3.92875,-3.67968,-3.61267,-3.61764,-3.64137,-3.62504,-3.73671,-4.07327,-3.6271,-3.86698,-3.68435,-3.61267,-3.92875,-4.59581,-4.03276,-3.66045,-3.64137,-3.7849,-3.67986,-3.92875,-3.61645,-3.6271,-3.61954,-7.95216,-7.95216,-3.6281,-3.61645,-4.16957,-3.66301,-3.73161,-3.61338,-4.17884,-3.61954,-3.66594,-3.66594,-3.61645,-4.07327,-3.63844,-3.90554,-3.98632,-3.92875,-3.61588,-3.67351,-3.67351,-3.61316,-3.92875,-3.85484,-3.92875,-3.90995,-3.61954,-3.92875,-3.6271,-3.61954,-3.61954,-3.71305,109.499,92.6517,85.8431,104.687,108.893,127.683,107.128,79.2731,102.091,128.36,95.0553,121.536,80.3092,123.809,119.221,103.211,103.138,106.331,109.524,104.393,104.654,101.503,99.54,105.357,104.497,115.546,120.239,98.3488,122.626,106.499,112.91,118.452,98.6734,110.977,99.3594,102.657,113.093,96.3541,117.653,95.8403,111.403,119.672,96.9408,98.0784,117.362,100.219,106.201,99.9433,134.539,101.247,117.692,102.59,82.5071,103.546,76.4405,95.8319,76.8088,89.8848,117.086,104.942,87.1281,95.8808,111.462,73.7759,94.4853,100.301,105.407,90.1166,81.8934,93.3996,91.4074,102.044,124.326,88.9236,97.4677,113.24
-232.283,0.999997,0.113719,5,31,0,233.621,105.424,1.3643,11.9647,104.531,107.26,103.167,96.3451,107.26,109.988,115.445,104.551,104.531,103.167,112.717,97.7094,108.624,105.895,114.081,100.438,99.0737,112.717,114.081,105.895,96.3451,100.438,109.988,103.167,114.081,111.352,105.895,107.26,108.655,112.717,116.81,108.624,103.167,100.438,101.802,111.352,109.988,111.352,104.531,105.79,100.438,104.531,112.717,100.438,111.352,111.352,108.169,104.531,108.624,103.526,99.0737,107.26,110.706,100.438,96.3451,96.3451,104.531,108.655,107.26,104.531,99.0737,100.438,96.3451,96.3451,96.3451,116.81,100.438,103.167,100.438,109.079,100.438,100.438,112.717,100.438,100.438,107.26,-7.56561,-3.96784,-7.24302,-10.9029,-3.42713,-3.4009,-3.50446,-3.56274,-4.13838,-4.0064,-3.58617,-3.92851,-3.85292,-3.45975,-3.45907,-3.72025,-3.40389,-3.42667,-3.45907,-3.45975,-3.44755,-3.72025,-3.74934,-3.43592,-3.45907,-3.40728,-3.52228,-3.8437,-4.58714,-3.42667,-4.38782,-3.40751,-3.43592,-3.72025,-4.55755,-3.66209,-3.4009,-3.40728,-3.50537,-3.41353,-3.72025,-3.4726,-3.42667,-3.40157,-8.61782,-8.61782,-3.40878,-3.4726,-3.85292,-3.41144,-3.68846,-3.438,-4.86595,-3.40157,-3.44755,-3.44755,-3.4726,-4.58714,-3.58497,-4.13838,-3.81788,-3.72025,-3.4009,-3.54152,-3.54152,-3.56286,-3.72025,-4.0064,-3.72025,-4.2668,-3.40157,-3.72025,-3.42667,-3.40157,-3.40157,-3.42713,112.781,97.742,95.6344,104.244,101.171,105.993,139.378,99.9233,118.583,94.9748,95.3044,89.5591,111.375,107.284,117.11,112.086,84.9259,122.191,118.953,113.625,89.0344,112.556,114.858,113.707,110.017,125.695,106.217,106.598,114.304,127.457,112.949,106.319,120.178,96.1487,103.205,93.5625,102.024,96.4856,106.709,91.0376,100.98,110.408,120.497,88.775,100.243,93.7704,109.578,102.075,119.624,104.605,97.5334,102.474,104.016,106.171,89.8147,118.128,126.315,100.795,83.0393,91.3774,118.652,93.5434,101.899,89.9457,109.513,102.27,103.116,86.7048,90.015,93.7963,93.2023,91.6321,106.319,114.901,91.098,97.2675
-232.963,0.996245,0.113719,4,15,0,233.951,105.168,1.33116,11.3432,104.297,106.959,102.966,96.3098,106.959,109.621,114.946,104.317,104.297,102.966,112.284,97.6409,108.29,105.628,113.615,100.303,98.9721,112.284,113.615,105.628,96.3098,100.303,109.621,102.966,113.615,110.952,105.628,106.959,108.32,112.284,116.277,108.29,102.966,100.303,101.634,110.952,109.621,110.952,104.297,105.525,100.303,104.297,112.284,100.303,110.952,110.952,107.846,104.297,108.29,103.316,98.9721,106.959,110.322,100.303,96.3098,96.3098,104.297,108.32,106.959,104.297,98.9721,100.303,96.3098,96.3098,96.3098,116.277,100.303,102.966,100.303,108.734,100.303,100.303,112.284,100.303,100.303,106.959,-7.91849,-4.00843,-7.57055,-11.6814,-3.38349,-3.34811,-3.44262,-3.51541,-4.14183,-4.00081,-3.57893,-3.94113,-3.8804,-3.42184,-3.39833,-3.71294,-3.35166,-3.36782,-3.39833,-3.42184,-3.40047,-3.71294,-3.70728,-3.38173,-3.39833,-3.35108,-3.47064,-3.81426,-4.61989,-3.36782,-4.37712,-3.35892,-3.38173,-3.71294,-4.65828,-3.66565,-3.34811,-3.35108,-3.47396,-3.3658,-3.71294,-3.4193,-3.36782,-3.34791,-9.27253,-9.27253,-3.35296,-3.4193,-3.8804,-3.36229,-3.66037,-3.38158,-4.91696,-3.34791,-3.40047,-3.40047,-3.4193,-4.61989,-3.53575,-4.14183,-3.82015,-3.71294,-3.34758,-3.50227,-3.50227,-3.50067,-3.71294,-4.00081,-3.71294,-4.26922,-3.34791,-3.71294,-3.36782,-3.34791,-3.34791,-3.38349,103.804,100.883,87.9863,98.8454,103.482,99.9933,131.467,106.443,120.914,115.041,115.796,107.475,103.625,95.7143,127.959,89.1324,106.637,132.702,113.961,101.437,116.358,104.678,111.018,100.682,135.897,120.542,113.233,98.2045,90.1935,107.593,131.678,106.542,86.3706,115.369,113.492,126.74,117.551,108.663,98.5333,122.68,108.148,99.3069,126.855,112.461,114.047,108.31,113.971,93.0617,99.0035,131.788,75.117,101.318,95.6212,99.918,91.41,100.907,109.089,113.504,113.437,122.194,94.7507,103.416,113.573,117.603,94.9608,129.18,102.87,118.545,101.173,118.665,102.306,91.8252,99.6273,103.201,77.7879,105.568
-232.782,0.99909,0.113719,5,31,0,234.53,104.985,1.7259,12.4001,103.855,107.306,102.129,93.4991,107.306,110.758,117.662,103.88,103.855,102.129,114.21,95.225,109.032,105.58,115.936,98.6768,96.9509,114.21,115.936,105.58,93.4991,98.6768,110.758,102.129,115.936,112.484,105.58,107.306,109.071,114.21,119.388,109.032,102.129,98.6768,100.403,112.484,110.758,112.484,103.855,105.448,98.6768,103.855,114.21,98.6768,112.484,112.484,108.457,103.855,109.032,102.583,96.9509,107.306,111.666,98.6768,93.4991,93.4991,103.855,109.071,107.306,103.855,96.9509,98.6768,93.4991,93.4991,93.4991,119.388,98.6768,102.129,98.6768,109.608,98.6768,98.6768,114.21,98.6768,98.6768,107.306,-7.16361,-3.9606,-6.7933,-9.5896,-3.46023,-3.43851,-3.62753,-3.55908,-4.06081,-3.91499,-3.54566,-4.1465,-3.8278,-3.50016,-3.55121,-3.85356,-3.46687,-3.49427,-3.55121,-3.50016,-3.57406,-3.85356,-3.81299,-3.45137,-3.55121,-3.4567,-3.5379,-3.85233,-4.59153,-3.49427,-4.65892,-3.43968,-3.45137,-3.85356,-4.6855,-3.62033,-3.43851,-3.4567,-3.55945,-3.45302,-3.85356,-3.48495,-3.49427,-3.44233,-8.01337,-8.01337,-3.44706,-3.48495,-3.8278,-3.46,-3.59375,-3.47219,-4.93153,-3.44233,-3.57406,-3.57406,-3.48495,-4.59153,-3.61023,-4.06081,-3.99035,-3.85356,-3.46373,-3.47645,-3.47645,-3.72321,-3.85356,-3.91499,-3.85356,-4.29787,-3.44233,-3.85356,-3.49427,-3.44233,-3.44233,-3.46023,108.13,101.393,110.006,96.765,112.754,116.734,143.038,101.121,98.5801,102.417,123.98,101.308,105.492,109.046,109.689,98.1075,107.283,100.854,123.984,109.773,86.0527,93.6302,132.956,112.559,121.968,109.133,107.934,107.049,105.755,103.997,120.43,103.403,100.609,105.328,116.377,117.885,113.225,101.219,100.613,100.578,95.1145,107.097,126.26,101.92,124.812,103.509,98.3067,118.339,123.669,87.4818,91.9206,114.147,103.306,93.4491,105.966,69.3571,92.2128,102.761,100.693,107.293,106.722,92.843,97.2025,105.636,88.4014,117.176,102.528,118.393,94.9383,139.845,102.442,107.139,123.791,109.029,120.51,119.046
-236.061,0.990727,0.113719,3,15,0,236.583,106.036,1.9523,11.5085,104.758,108.662,102.805,93.0439,108.662,112.567,120.376,104.787,104.758,102.805,116.471,94.9962,110.615,106.71,118.424,98.9008,96.9485,116.471,118.424,106.71,93.0439,98.9008,112.567,102.805,118.424,114.519,106.71,108.662,110.659,116.471,122.328,110.615,102.805,98.9008,100.853,114.519,112.567,114.519,104.758,106.56,98.9008,104.758,116.471,98.9008,114.519,114.519,109.964,104.758,110.615,103.319,96.9485,108.662,113.594,98.9008,93.0439,93.0439,104.758,110.659,108.662,104.758,96.9485,98.9008,93.0439,93.0439,93.0439,122.328,98.9008,102.805,98.9008,111.265,98.9008,98.9008,116.471,98.9008,98.9008,108.662,-7.92275,-3.8473,-7.42479,-10.3565,-3.36878,-3.3869,-3.76846,-3.54927,-4.18421,-3.98106,-3.40903,-4.21186,-3.69456,-3.40289,-3.62991,-3.82709,-3.39718,-3.52013,-3.62991,-3.40289,-3.54469,-3.82709,-3.95821,-3.39173,-3.62991,-3.43912,-3.53199,-3.9673,-4.93817,-3.52013,-5.24413,-3.36345,-3.39173,-3.82709,-4.74601,-3.47543,-3.3869,-3.43912,-3.46577,-3.36687,-3.82709,-3.44748,-3.52013,-3.36659,-8.11451,-8.11451,-3.40306,-3.44748,-3.69456,-3.37629,-3.54429,-3.44408,-5.42363,-3.36659,-3.54469,-3.54469,-3.44748,-4.93817,-3.64529,-4.18421,-4.00509,-3.82709,-3.40418,-3.397,-3.397,-3.9358,-3.82709,-3.98106,-3.82709,-4.57594,-3.36659,-3.82709,-3.52013,-3.36659,-3.36659,-3.36878,115.931,120.528,121.933,81.4803,102.685,117.754,118.9,93.3254,106.388,109.077,99.1339,88.561,94.5848,120.2,113.822,74.3853,94.7735,129.312,118.432,102.942,93.1088,77.4259,109.62,105.634,118.046,112.353,95.5925,104.927,136.589,114.283,124.51,123.509,95.663,70.3512,101.799,116.332,106.862,116.854,114.765,99.0444,76.7893,85.3183,115.676,82.9496,107.806,100.233,113.473,102.632,115.591,69.1869,95.5117,98.8162,122.183,91.9276,113.469,72.0562,110.71,100.742,116.445,128.189,94.8426,102.178,99.8329,96.2379,102.341,122.016,112.002,94.1551,105.275,113.659,92.2564,92.3981,97.5559,104.312,100.502,100.79
