# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 18:09:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\255u3b9r.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621200938_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.1053
# Diagonal elements of inverse mass matrix:
# 2.29348, 0.134808, 0.00788772
-231.763,0.999995,0.1053,4,15,0,234.032,102.586,1.11494,12.8561,101.856,104.086,100.741,95.1661,104.086,106.315,110.775,101.872,101.856,100.741,108.545,96.281,105.201,102.971,109.66,98.5109,97.396,108.545,109.66,102.971,95.1661,98.5109,106.315,100.741,109.66,107.43,102.971,104.086,105.226,108.545,111.89,105.201,100.741,98.5109,99.6259,107.43,106.315,107.43,101.856,102.885,98.5109,101.856,108.545,98.5109,107.43,107.43,104.829,101.856,105.201,101.034,97.396,104.086,106.902,98.5109,95.1661,95.1661,101.856,105.226,104.086,101.856,97.396,98.5109,95.1661,95.1661,95.1661,111.89,98.5109,100.741,98.5109,105.572,98.5109,98.5109,108.545,98.5109,98.5109,104.086,-6.54267,-4.23894,-6.33154,-9.64405,-3.57858,-3.51383,-3.47458,-3.52431,-3.89797,-3.82176,-3.86969,-4.04213,-4.13534,-3.62224,-3.47311,-3.87208,-3.49327,-3.47916,-3.47311,-3.62224,-3.54345,-3.87208,-3.59342,-3.47442,-3.47311,-3.49273,-3.49945,-3.67054,-4.15343,-3.47916,-3.90045,-3.54244,-3.47442,-3.87208,-4.72853,-3.95072,-3.51383,-3.49273,-3.67341,-3.54267,-3.87208,-3.48318,-3.47916,-3.47947,-8.95489,-8.95489,-3.48297,-3.48318,-4.13534,-3.52686,-3.63824,-3.47278,-4.3141,-3.47947,-3.54345,-3.54345,-3.48318,-4.15343,-3.52325,-3.89797,-3.95334,-3.87208,-3.47726,-3.5535,-3.5535,-3.48357,-3.87208,-3.82176,-3.87208,-3.9259,-3.47947,-3.87208,-3.47916,-3.47947,-3.47947,-3.57858,116.037,121.982,94.5344,102.465,88.204,104.543,112.934,110.222,100.347,89.2468,119.501,103.525,99.2354,117.681,121.229,110.596,128.274,109.087,106.133,124.018,89.8406,114.33,133.54,122.055,133.823,112.804,105.076,106.085,96.4913,114.96,122.308,124.48,99.9391,88.4401,88.5321,99.2836,112.34,111.515,102.839,104.39,98.2188,119.332,120.113,87.9046,120.479,113.494,92.906,91.9457,97.1053,99.8492,97.7151,91.052,107.387,104.287,93.5354,91.1397,116.213,85.698,119.503,99.0596,76.6321,100.922,95.0628,90.1055,92.6984,109.662,98.2279,101.799,107.224,94.8009,117.673,115.852,80.5444,90.5021,114.157,108.254
-231.708,0.999868,0.1053,5,31,0,231.974,102.662,1.1847,12.8162,101.886,104.256,100.701,94.778,104.256,106.625,111.364,101.904,101.886,100.701,108.994,95.9627,105.44,103.071,110.179,98.3321,97.1474,108.994,110.179,103.071,94.778,98.3321,106.625,100.701,110.179,107.81,103.071,104.256,105.467,108.994,112.548,105.44,100.701,98.3321,99.5168,107.81,106.625,107.81,101.886,102.98,98.3321,101.886,108.994,98.3321,107.81,107.81,105.045,101.886,105.44,101.013,97.1474,104.256,107.248,98.3321,94.778,94.778,101.886,105.467,104.256,101.886,97.1474,98.3321,94.778,94.778,94.778,112.548,98.3321,100.701,98.3321,105.835,98.3321,98.3321,108.994,98.3321,98.3321,104.256,-6.56462,-4.22423,-6.33891,-9.57317,-3.5701,-3.50432,-3.47531,-3.52232,-3.89972,-3.81826,-3.83836,-4.06947,-4.11494,-3.6158,-3.46975,-3.88407,-3.49442,-3.47273,-3.46975,-3.6158,-3.55266,-3.88407,-3.60325,-3.47115,-3.46975,-3.48425,-3.49835,-3.67711,-4.17678,-3.47273,-3.94898,-3.53294,-3.47115,-3.88407,-4.74682,-3.92201,-3.50432,-3.48425,-3.67005,-3.53725,-3.88407,-3.48048,-3.47273,-3.47812,-8.88813,-8.88813,-3.47765,-3.48048,-4.11494,-3.52463,-3.62515,-3.46985,-4.35175,-3.47812,-3.55266,-3.55266,-3.48048,-4.17678,-3.52478,-3.89972,-3.97249,-3.88407,-3.47752,-3.53914,-3.53914,-3.48942,-3.88407,-3.81826,-3.88407,-3.94542,-3.47812,-3.88407,-3.47273,-3.47812,-3.47812,-3.5701,106.549,93.6213,129.54,100.983,105.888,108.202,99.326,108.247,104.804,102.27,119.234,99.5599,116.349,107.659,114.594,75.1152,97.0677,97.7095,107.774,121.132,85.8399,98.3616,107.159,82.1639,98.621,107.223,98.7613,102.818,94.735,84.4643,110.765,131.904,100.714,99.4536,93.3496,104.605,116.343,100.844,132.484,108.129,125.809,92.1838,105.158,80.0821,84.6691,99.183,108.471,111.291,118.26,93.7861,75.5278,97.8516,90.4037,100.941,93.7405,89.2638,89.1782,109.424,95.2921,80.4665,91.5426,87.5398,109.426,104.534,93.4597,124.411,108.071,86.11,107.605,102.675,98.2596,115.954,128.288,96.8894,107.654,118.433
-231.355,0.999285,0.1053,4,23,0,232.404,104.719,1.1845,12.7808,103.943,106.312,102.759,96.8364,106.312,108.681,113.419,103.961,103.943,102.759,111.05,98.0209,107.497,105.128,112.235,100.39,99.2054,111.05,112.235,105.128,96.8364,100.39,108.681,102.759,112.235,109.866,105.128,106.312,107.524,111.05,114.604,107.497,102.759,100.39,101.574,109.866,108.681,109.866,103.943,105.037,100.39,103.943,111.05,100.39,109.866,109.866,107.102,103.943,107.497,103.071,99.2054,106.312,109.305,100.39,96.8364,96.8364,103.943,107.524,106.312,103.943,99.2054,100.39,96.8364,96.8364,96.8364,114.604,100.39,102.759,100.39,107.892,100.39,100.39,111.05,100.39,100.39,106.312,-6.99352,-4.04035,-6.75168,-10.1815,-3.50851,-3.47221,-3.50267,-3.58519,-4.06198,-3.96517,-3.71205,-3.90613,-3.9454,-3.53955,-3.48217,-3.74958,-3.46882,-3.47026,-3.48217,-3.53955,-3.49752,-3.74958,-3.69757,-3.49018,-3.48217,-3.46694,-3.54737,-3.7924,-4.38277,-3.47026,-4.11969,-3.48606,-3.49018,-3.74958,-4.50608,-3.78125,-3.47221,-3.46694,-3.57917,-3.48847,-3.74958,-3.51448,-3.47026,-3.46735,-8.39726,-8.39726,-3.46747,-3.51448,-3.9454,-3.4816,-3.72626,-3.48325,-4.58111,-3.46735,-3.49752,-3.49752,-3.51448,-4.38277,-3.58885,-4.06198,-3.82356,-3.74958,-3.46751,-3.60994,-3.60994,-3.53176,-3.74958,-3.96517,-3.74958,-4.11563,-3.46735,-3.74958,-3.47026,-3.46735,-3.46735,-3.50851,103.04,105.23,98.7363,98.302,112.992,129.414,119.102,118.225,96.7946,104.987,84.1492,118.688,121.884,97.8222,133.898,93.4649,83.5367,89.3272,112.975,142.39,99.8257,114.435,124.42,123.048,120.15,110.604,115.778,93.6693,112.733,107.689,101.59,116.229,101.867,89.4018,90.9948,98.0411,120.427,121.366,91.7676,92.6631,99.2221,112.813,114.666,93.114,112.993,120.417,96.8793,116.486,123.071,94.4424,127.486,102.437,109.282,91.3218,92.4144,105.168,108.887,105.285,100.6,119.921,110.133,89.3256,98.2146,105.05,96.809,122.838,95.3622,81.7705,86.8556,112.988,99.2676,97.6451,119.244,86.8293,105.329,116.406
-231.866,0.998983,0.1053,4,31,0,232.049,103.832,1.33347,11.853,102.959,105.626,101.625,94.958,105.626,108.293,113.626,102.979,102.959,101.625,110.96,96.2914,106.959,104.292,112.293,98.9584,97.6249,110.96,112.293,104.292,94.958,98.9584,108.293,101.625,112.293,109.626,104.292,105.626,106.989,110.96,114.96,106.959,101.625,98.9584,100.292,109.626,108.293,109.626,102.959,104.19,98.9584,102.959,110.96,98.9584,109.626,109.626,106.515,102.959,106.959,101.976,97.6249,105.626,108.994,98.9584,94.958,94.958,102.959,106.989,105.626,102.959,97.6249,98.9584,94.958,94.958,94.958,114.96,98.9584,101.625,98.9584,107.404,98.9584,98.9584,110.96,98.9584,98.9584,105.626,-7.25749,-4.12686,-6.95099,-10.5849,-3.45961,-3.40189,-3.43832,-3.48903,-3.98916,-3.87249,-3.68238,-4.06032,-3.99676,-3.50746,-3.41023,-3.82541,-3.41159,-3.39479,-3.41023,-3.50746,-3.48199,-3.82541,-3.63625,-3.40092,-3.41023,-3.39201,-3.45708,-3.72126,-4.39164,-3.39479,-4.188,-3.42442,-3.40092,-3.82541,-4.77384,-3.77452,-3.40189,-3.39201,-3.56796,-3.43518,-3.82541,-3.42267,-3.39479,-3.39538,-9.19272,-9.19272,-3.3916,-3.42267,-3.99676,-3.42997,-3.59843,-3.40092,-4.64522,-3.39538,-3.48199,-3.48199,-3.42267,-4.39164,-3.50415,-3.98916,-3.93654,-3.82541,-3.39877,-3.479,-3.479,-3.47907,-3.82541,-3.87249,-3.82541,-4.09609,-3.39538,-3.82541,-3.39479,-3.39538,-3.39538,-3.45961,98.5202,90.7687,70.0258,87.2452,102.614,101.937,114.513,125.153,101.153,111.796,87.7464,100.785,109.681,113.078,120.693,77.4223,83.4299,118.099,110.001,105.648,88.073,85.2857,96.5176,108.022,108.088,92.1477,118.955,122.623,113.587,104.185,97.2984,115.834,113.426,97.3699,106.686,88.3237,120.169,115.691,119.127,117.114,89.6528,112.596,112.789,99.4821,109.08,116.071,113.246,109.194,96.1891,97.2482,71.9379,107.322,114.423,94.7326,87.4558,100.478,110.234,112.292,111.607,115.594,89.2972,95.8837,72.074,91.7967,101.688,107.915,90.936,114.38,94.398,120.504,96.4563,78.8799,113.958,101.407,89.1203,96.8253
-231.649,0.998573,0.1053,4,31,0,232.981,103.834,0.86511,13.2868,103.267,104.998,102.402,98.0766,104.998,106.728,110.188,103.28,103.267,102.402,108.458,98.9417,105.863,104.132,109.323,100.672,99.8069,108.458,109.323,104.132,98.0766,100.672,106.728,102.402,109.323,107.593,104.132,104.998,105.882,108.458,111.053,105.863,102.402,100.672,101.537,107.593,106.728,107.593,103.267,104.066,100.672,103.267,108.458,100.672,107.593,107.593,105.574,103.267,105.863,102.63,99.8069,104.998,107.183,100.672,98.0766,98.0766,103.267,105.882,104.998,103.267,99.8069,100.672,98.0766,98.0766,98.0766,111.053,100.672,102.402,100.672,106.151,100.672,100.672,108.458,100.672,100.672,104.998,-6.64017,-4.14317,-6.47927,-10.052,-3.57659,-3.53604,-3.50581,-3.59251,-4.00424,-3.94135,-3.88302,-3.85205,-4.07178,-3.60322,-3.50701,-3.75215,-3.50582,-3.51245,-3.50701,-3.60322,-3.51619,-3.75215,-3.6339,-3.52205,-3.50701,-3.52212,-3.55408,-3.73499,-4.19997,-3.51245,-3.85174,-3.55419,-3.52205,-3.75215,-4.47116,-3.9417,-3.53604,-3.52212,-3.63409,-3.54296,-3.75215,-3.53595,-3.51245,-3.50699,-8.59909,-8.59909,-3.50909,-3.53595,-4.07178,-3.52535,-3.7781,-3.50853,-4.32014,-3.50699,-3.51619,-3.51619,-3.53595,-4.19997,-3.57645,-4.00424,-3.79998,-3.75215,-3.51381,-3.69046,-3.69046,-3.50885,-3.75215,-3.94135,-3.75215,-3.97102,-3.50699,-3.75215,-3.51245,-3.50699,-3.50699,-3.57659,97.6072,131.221,129.33,109.969,121.711,108.173,91.4926,114.882,107.47,117.92,124.611,80.2539,93.7671,116.189,118.046,88.2682,85.2521,81.2379,106.791,127.88,81.1042,103.364,122.021,96.1555,116.978,102.522,82.2164,95.2446,107.537,103.28,111.02,123.091,86.387,106.646,69.0095,93.6456,119.673,111.498,93.153,99.0413,117.239,91.0966,105.63,103.365,118.785,110.159,94.996,101.05,104.751,92.7675,95.9962,95.8728,98.0692,93.546,113.712,77.1935,125.256,97.1107,79.1956,87.9872,94.6083,102.771,95.7563,90.6071,91.3654,118.286,104.256,117.505,109.19,110.064,101.382,99.796,100.146,92.0186,118.223,81.884
-232.103,0.999083,0.1053,5,31,0,232.44,103.464,1.60098,13.251,102.415,105.617,100.814,92.8094,105.617,108.819,115.223,102.439,102.415,100.814,112.021,94.4103,107.218,104.016,113.622,97.6123,96.0113,112.021,113.622,104.016,92.8094,97.6123,108.819,100.814,113.622,110.42,104.016,105.617,107.254,112.021,116.824,107.218,100.814,97.6123,99.2133,110.42,108.819,110.42,102.415,103.893,97.6123,102.415,112.021,97.6123,110.42,110.42,106.685,102.415,107.218,101.236,96.0113,105.617,109.662,97.6123,92.8094,92.8094,102.415,107.254,105.617,102.415,96.0113,97.6123,92.8094,92.8094,92.8094,116.824,97.6123,100.814,97.6123,107.752,97.6123,97.6123,112.021,97.6123,97.6123,105.617,-6.49507,-4.09207,-6.20681,-8.72155,-3.55771,-3.50698,-3.5807,-3.56578,-3.94193,-3.83603,-3.6843,-4.19508,-3.96823,-3.60497,-3.54037,-3.93998,-3.54832,-3.51465,-3.54037,-3.60497,-3.65025,-3.93998,-3.72449,-3.5049,-3.54037,-3.50352,-3.54894,-3.76638,-4.32874,-3.51465,-4.30901,-3.52505,-3.5049,-3.93998,-4.7334,-3.76434,-3.50698,-3.50352,-3.66683,-3.54412,-3.93998,-3.51962,-3.51465,-3.51925,-7.96389,-7.96389,-3.50301,-3.51962,-3.96823,-3.54921,-3.60591,-3.51046,-4.57872,-3.51925,-3.65025,-3.65025,-3.51962,-4.32874,-3.59286,-3.94193,-4.06023,-3.93998,-3.53943,-3.52549,-3.52549,-3.63562,-3.93998,-3.83603,-3.93998,-4.095,-3.51925,-3.93998,-3.51465,-3.51925,-3.51925,-3.55771,116.284,112.35,89.4112,104.64,102.312,91.4165,106.567,89.9985,105.953,108.412,97.6744,83.5215,111.817,96.8718,121.302,108.875,87.0033,109.765,113.024,104.016,95.4101,103.993,106.046,83.181,127.17,112.236,99.5556,109.791,130.983,106.027,104.039,114.18,112.081,110.371,86.9003,95.2039,105.877,98.547,109.369,105.226,82.2818,102.981,108.669,95.9873,109.023,102.384,95.944,94.6021,90.9968,93.0672,95.1146,107.28,105.694,112.95,101.764,98.3375,113.051,107.521,104.566,103.726,97.9204,116.21,54.0655,105.225,124.038,123.247,92.2078,100.43,97.5403,125.287,67.7895,102.061,109.656,105.943,111.517,93.2277
