# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2_fit_model
# start_datetime = 2022-06-21 18:42:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\24uj8ynq.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2_fit-20220621204222_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.174208
# Diagonal elements of inverse mass matrix:
# 2.15781, 0.152702, 0.00675081
-238.124,0.992465,0.174208,4,15,0,240.065,99.05,1.28129,15.8168,98.2109,100.773,96.9296,90.5232,100.773,103.336,108.461,98.2302,98.2109,96.9296,105.899,91.8045,102.055,99.4922,107.18,94.367,93.0858,105.899,107.18,99.4922,90.5232,94.367,103.336,96.9296,107.18,104.617,99.4922,100.773,102.084,105.899,109.742,102.055,96.9296,94.367,95.6483,104.617,103.336,104.617,98.2109,99.3936,94.367,98.2109,105.899,94.367,104.617,104.617,101.628,98.2109,102.055,97.2668,93.0858,100.773,104.01,94.367,90.5232,90.5232,98.2109,102.084,100.773,98.2109,93.0858,94.367,90.5232,90.5232,90.5232,109.742,94.367,96.9296,94.367,102.482,94.367,94.367,105.899,94.367,94.367,100.773,-5.27063,-4.41882,-5.12942,-6.96201,-3.85015,-3.76877,-3.68475,-3.68049,-3.81476,-3.77599,-4.07744,-4.34171,-4.32363,-3.90069,-3.69591,-4.16846,-3.77556,-3.71363,-3.69591,-3.90069,-3.85951,-4.16846,-3.70226,-3.69886,-3.69591,-3.73792,-3.68053,-3.72555,-3.96105,-3.71363,-3.86971,-3.80618,-3.69886,-4.16846,-4.8652,-4.15294,-3.76877,-3.73792,-3.95779,-3.81766,-4.16846,-3.68641,-3.71363,-3.74343,-7.79635,-7.79635,-3.73076,-3.68641,-4.32363,-3.80781,-3.69904,-3.70082,-4.0598,-3.74343,-3.85951,-3.85951,-3.68641,-3.96105,-3.68121,-3.81476,-4.2518,-4.16846,-3.7487,-3.68056,-3.68056,-3.68015,-4.16846,-3.77599,-4.16846,-3.84729,-3.74343,-4.16846,-3.71363,-3.74343,-3.74343,-3.85015,109.579,100.546,90.5484,66.6887,88.692,88.4917,90.2754,101.865,118.1,95.6585,131.401,91.5218,53.774,91.5483,107.953,93.5754,116.616,117.574,123.339,107.78,95.2589,85.2391,101.283,97.8852,88.9281,117.564,84.1155,83.4494,115.037,98.3964,88.9225,111.998,97.9346,71.1112,75.5702,101.85,94.5768,110.517,98.5408,108.467,107.923,104.697,107.937,150.96,126.689,101.199,97.2999,78.4892,106.487,92.7256,114.192,93.92,113.115,74.504,87.5317,83.8656,85.1408,121.171,132.063,60.0953,104.343,93.3588,83.0952,102.663,96.7176,122.619,91.096,92.7799,77.8261,88.7477,97.1502,92.2448,76.8909,114.013,78.3716,87.6261
-237.161,0.994692,0.174208,4,15,0,241.064,99.0005,1.38483,13.1497,98.0935,100.863,96.7087,89.7845,100.863,103.633,109.172,98.1144,98.0935,96.7087,106.403,91.1694,102.248,99.4784,107.787,93.939,92.5542,106.403,107.787,99.4784,89.7845,93.939,103.633,96.7087,107.787,105.018,99.4784,100.863,102.279,106.403,110.557,102.248,96.7087,93.939,95.3239,105.018,103.633,105.018,98.0935,99.3718,93.939,98.0935,106.403,93.939,105.018,105.018,101.786,98.0935,102.248,97.0731,92.5542,100.863,104.362,93.939,89.7845,89.7845,98.0935,102.279,100.863,98.0935,92.5542,93.939,89.7845,89.7845,89.7845,110.557,93.939,96.7087,93.939,102.71,93.939,93.939,106.403,93.939,93.939,100.863,-5.77753,-4.55429,-5.55808,-8.07221,-3.73673,-3.61256,-3.49732,-3.49573,-3.68475,-3.62548,-4.02997,-4.52068,-4.40658,-3.81545,-3.50949,-4.24124,-3.65565,-3.53276,-3.50949,-3.81545,-3.79709,-4.24124,-3.5335,-3.52666,-3.50949,-3.56712,-3.49612,-3.56372,-3.91546,-3.53276,-3.81761,-3.6691,-3.52666,-4.24124,-5.25607,-4.14441,-3.61256,-3.56712,-3.90526,-3.69552,-4.24124,-3.50585,-3.53276,-3.60156,-9.34624,-9.34624,-3.56421,-3.50585,-4.40658,-3.6893,-3.5142,-3.52379,-4.07317,-3.60156,-3.79709,-3.79709,-3.50585,-3.91546,-3.49749,-3.68475,-4.37541,-4.24124,-3.62133,-3.49547,-3.49547,-3.49623,-4.24124,-3.62548,-4.24124,-3.74955,-3.60156,-4.24124,-3.53276,-3.60156,-3.60156,-3.73673,98.8491,109.255,112.963,64.0101,91.9303,97.2327,112.892,84.6239,97.7414,76.2963,115.638,93.3699,122.72,89.3371,111.63,97.2127,95.17,114.478,116.79,99.6209,82.6959,77.1919,95.6347,104.597,114.511,123.635,91.9042,93.0844,86.1762,99.759,116.075,111.903,83.6684,80.2341,109.548,96.8936,109.309,93.5738,79.6077,98.7168,91.8722,118.323,120.987,110.584,89.9751,100.177,132.546,102.67,116.098,107.519,83.2636,96.1638,96.3865,83.4237,84.1003,95.5557,81.5835,85.8512,104.302,85.2383,86.6002,93.2131,74.4811,109.843,80.2033,115.41,100.239,106.81,118.604,93.4736,115.965,102.681,119.347,98.8898,92.497,111.029
-234.372,1,0.174208,4,15,0,237.995,100.708,1.11436,14.5137,99.9787,102.207,98.8643,93.2925,102.207,104.436,108.894,99.9954,99.9787,98.8643,106.665,94.4069,103.322,101.093,107.779,96.6356,95.5212,106.665,107.779,101.093,93.2925,96.6356,104.436,98.8643,107.779,105.55,101.093,102.207,103.347,106.665,110.008,103.322,98.8643,96.6356,97.7499,105.55,104.436,105.55,99.9787,101.007,96.6356,99.9787,106.665,96.6356,105.55,105.55,102.95,99.9787,103.322,99.1576,95.5212,102.207,105.023,96.6356,93.2925,93.2925,99.9787,103.347,102.207,99.9787,95.5212,96.6356,93.2925,93.2925,93.2925,110.008,96.6356,98.8643,96.6356,103.693,96.6356,96.6356,106.665,96.6356,96.6356,102.207,-5.72727,-4.34547,-5.57163,-8.04281,-3.73817,-3.66751,-3.59694,-3.60606,-3.83038,-3.78054,-4.01613,-4.17117,-4.25429,-3.78234,-3.60574,-4.01798,-3.64164,-3.62043,-3.60574,-3.78234,-3.70082,-4.01798,-3.64074,-3.59709,-3.60574,-3.64102,-3.59687,-3.68549,-4.0027,-3.62043,-3.83177,-3.69989,-3.59709,-4.01798,-4.76914,-4.08962,-3.66751,-3.64102,-3.83241,-3.70011,-4.01798,-3.59403,-3.62043,-3.6209,-8.28378,-8.28378,-3.62681,-3.59403,-4.25429,-3.68251,-3.66639,-3.60166,-4.11374,-3.6209,-3.70082,-3.70082,-3.59403,-4.0027,-3.6056,-3.83038,-4.09163,-4.01798,-3.61674,-3.61976,-3.61976,-3.59403,-4.01798,-3.78054,-4.01798,-3.84878,-3.6209,-4.01798,-3.62043,-3.6209,-3.6209,-3.73817,76.676,107.841,124.701,97.0422,88.8507,111.14,117.231,104.827,71.9628,87.8355,113.839,104.673,99.3722,107.234,111.518,91.498,84.5741,97.9071,112.335,80.0339,84.8961,120.224,83.4785,111.829,102.264,114.238,105.442,99.7781,111.201,121.611,97.6553,73.535,114.262,103.061,100.778,110.59,120.747,91.2718,99.1282,85.2733,111.028,123.284,117.949,59.5176,111.85,124.458,117.488,83.6881,93.3136,108.737,95.2189,107.327,109.136,78.4363,63.6907,95.6955,127.611,80.5713,87.1865,107.333,106.177,90.665,100.54,70.7455,105.861,133.379,85.5165,93.8702,82.4382,92.0947,100.369,92.6811,126.179,107.818,94.2813,114.356
-236.011,0.997027,0.174208,4,15,0,236.235,100.132,1.34469,15.2698,99.2512,101.941,97.9065,91.1831,101.941,104.63,110.009,99.2714,99.2512,97.9065,107.319,92.5278,103.285,100.596,108.664,95.2172,93.8725,107.319,108.664,100.596,91.1831,95.2172,104.63,97.9065,108.664,105.975,100.596,101.941,103.316,107.319,111.353,103.285,97.9065,95.2172,96.5619,105.975,104.63,105.975,99.2512,100.492,95.2172,99.2512,107.319,95.2172,105.975,105.975,102.837,99.2512,103.285,98.2604,93.8725,101.941,105.338,95.2172,91.1831,91.1831,99.2512,103.316,101.941,99.2512,93.8725,95.2172,91.1831,91.1831,91.1831,111.353,95.2172,97.9065,95.2172,103.734,95.2172,95.2172,107.319,95.2172,95.2172,101.941,-5.47962,-4.34419,-5.31481,-7.28179,-3.7841,-3.70666,-3.64482,-3.64982,-3.82834,-3.77887,-3.98963,-4.29945,-4.24392,-3.83446,-3.64864,-4.11343,-3.72533,-3.66023,-3.64864,-3.83446,-3.81152,-4.11343,-3.69079,-3.65422,-3.64864,-3.67956,-3.64558,-3.72049,-4.01226,-3.66023,-3.92123,-3.7415,-3.65422,-4.11343,-4.82283,-4.06664,-3.70666,-3.67956,-3.89257,-3.75598,-4.11343,-3.64602,-3.66023,-3.69387,-7.80112,-7.80112,-3.67627,-3.64602,-4.24392,-3.74997,-3.67697,-3.65391,-4.13454,-3.69387,-3.81152,-3.81152,-3.64602,-4.01226,-3.65289,-3.82834,-4.20256,-4.11343,-3.70286,-3.64782,-3.64782,-3.64875,-4.11343,-3.77887,-4.11343,-3.87676,-3.69387,-4.11343,-3.66023,-3.69387,-3.69387,-3.7841,71.0874,142.036,84.2574,83.9556,107.582,112.451,104.525,93.3515,93.2502,112.549,147.23,105.545,128.529,85.2282,144.213,115.377,118.459,81.6264,135.877,90.8703,69.8897,92.301,121.82,96.0781,125.936,92.7877,101.475,71.6179,119.057,124.513,130.668,85.4697,74.7808,104.511,85.4841,89.3444,80.3531,79.6957,138.192,126.204,81.2064,111.807,104.965,76.2563,118.574,89.1261,126.833,117.082,127.249,82.5473,112.342,109.221,83.024,91.1584,79.4399,108.084,92.4666,115.921,94.9425,91.8704,81.1405,80.3373,65.8233,74.127,87.8878,113.794,93.8646,117.461,102.454,103.576,93.2902,128.783,105.848,89.1531,76.4362,102.153
-235.708,0.99911,0.174208,5,31,0,237.658,100.185,1.69656,13.9744,99.074,102.467,97.3774,88.8946,102.467,105.86,112.646,99.0995,99.074,97.3774,109.253,90.5912,104.164,100.771,110.95,93.9843,92.2877,109.253,110.95,100.771,88.8946,93.9843,105.86,97.3774,110.95,107.557,100.771,102.467,104.202,109.253,114.343,104.164,97.3774,93.9843,95.6809,107.557,105.86,107.557,99.074,100.64,93.9843,99.074,109.253,93.9843,107.557,107.557,103.598,99.074,104.164,97.8239,92.2877,102.467,106.753,93.9843,88.8946,88.8946,99.074,104.202,102.467,99.074,92.2877,93.9843,88.8946,88.8946,88.8946,114.343,93.9843,97.3774,93.9843,104.729,93.9843,93.9843,109.253,93.9843,93.9843,102.467,-5.72044,-4.34323,-5.47523,-7.42948,-3.70145,-3.60005,-3.5741,-3.56087,-3.76698,-3.69552,-3.85187,-4.52066,-4.19828,-3.77427,-3.55848,-4.21291,-3.70845,-3.55759,-3.55848,-3.77427,-3.87193,-4.21291,-3.64409,-3.57378,-3.55848,-3.57145,-3.55769,-3.66325,-4.0563,-3.55759,-4.08289,-3.64338,-3.57378,-4.21291,-5.07042,-3.9526,-3.60005,-3.57145,-3.86182,-3.68351,-4.21291,-3.55836,-3.55759,-3.64882,-8.1685,-8.1685,-3.58027,-3.55836,-4.19828,-3.69786,-3.56957,-3.56218,-4.25556,-3.64882,-3.87193,-3.87193,-3.55836,-4.0563,-3.57175,-3.76698,-4.35942,-4.21291,-3.69984,-3.55929,-3.55929,-3.60446,-4.21291,-3.69552,-4.21291,-3.88867,-3.64882,-4.21291,-3.55759,-3.64882,-3.64882,-3.70145,96.1671,104.597,97.8249,78.3874,118.398,117.496,114.644,73.5154,117.055,107.648,102.301,106.355,109.125,81.0075,108.787,85.2898,65.0498,109.829,166.832,113.395,103.965,79.3475,97.9534,89.5689,115.958,104.837,102.72,125.571,110.822,82.6114,87.6145,98.1856,93.8031,108.063,86.8031,121.38,119.126,110.462,96.5553,82.6887,100.933,88.3499,113.389,117.002,130.005,115.425,107.818,106.256,101.081,92.345,95.1543,91.5132,89.9565,71.8887,77.2265,105.599,95.9033,71.9545,81.9484,105.832,95.4203,91.8687,87.2298,85.547,80.5666,110.744,91.3486,102.201,89.1811,104.675,101.204,106.961,120.524,91.8333,92.5187,89.3174
-236.134,0.999983,0.174208,4,15,0,237.346,100.336,1.77535,14.5933,99.1736,102.724,97.3982,88.5215,102.724,106.275,113.376,99.2003,99.1736,97.3982,109.826,90.2968,104.5,100.949,111.601,93.8475,92.0722,109.826,111.601,100.949,88.5215,93.8475,106.275,97.3982,111.601,108.05,100.949,102.724,104.54,109.826,115.152,104.5,97.3982,93.8475,95.6229,108.05,106.275,108.05,99.1736,100.812,93.8475,99.1736,109.826,93.8475,108.05,108.05,103.908,99.1736,104.5,97.8654,92.0722,102.724,107.209,93.8475,88.5215,88.5215,99.1736,104.54,102.724,99.1736,92.0722,93.8475,88.5215,88.5215,88.5215,115.152,93.8475,97.3982,93.8475,105.091,93.8475,93.8475,109.826,93.8475,93.8475,102.724,-5.59772,-4.30021,-5.36192,-7.08344,-3.72378,-3.63208,-3.62626,-3.60448,-3.79708,-3.728,-3.84254,-4.51096,-4.16359,-3.79184,-3.60552,-4.21205,-3.74706,-3.59957,-3.60552,-3.79184,-3.90884,-4.21205,-3.69194,-3.61539,-3.60552,-3.60842,-3.60161,-3.70566,-4.08055,-3.59957,-4.1385,-3.67053,-3.61539,-4.21205,-4.99468,-3.93476,-3.63208,-3.60842,-3.87469,-3.71063,-4.21205,-3.6011,-3.59957,-3.68837,-7.73114,-7.73114,-3.61737,-3.6011,-4.16359,-3.72799,-3.60958,-3.60332,-4.27673,-3.68837,-3.90884,-3.90884,-3.6011,-4.08055,-3.61692,-3.79708,-4.3541,-4.21205,-3.7447,-3.60463,-3.60463,-3.66181,-4.21205,-3.728,-4.21205,-3.92409,-3.68837,-4.21205,-3.59957,-3.68837,-3.68837,-3.72378,71.4241,117.134,70.0122,86.5209,96.8287,91.2407,129.635,79.7901,107.328,99.3258,120.205,100.662,86.5745,112.477,107.599,90.8537,84.9525,110.412,109.808,98.4113,67.0339,92.1483,94.1373,98.7431,134.72,112.015,97.4677,90.8551,127.953,129.601,136.452,95.1225,86.4014,105.971,109.699,120.62,95.9269,97.2414,92.6701,95.1763,92.1377,108.574,113.634,107.552,129.775,124.952,117.697,92.085,131.387,93.0544,89.2722,99.1387,105.501,106.22,66.9727,90.461,95.3754,120.845,103.97,75.5707,110.231,84.7319,86.7457,82.3102,68.298,130.751,88.6529,101.096,76.1894,90.3754,98.3757,110.533,105.819,121.893,86.6215,117.148
