# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2a_ppc_model
# start_datetime = 2022-06-12 09:55:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\1r4orniz.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_2a_ppc-20220612115551.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76,calorie.77
0,0,92.8203,-14.3417,6.23761,204.547,194.621,199.02,194.363,189.695,184.848,195.804,184.126,178.97,176.801,173.038,172.206,166.624,164.808,169.736,162.129,169.503,155.939,163.889,143.095,151.826,140.453,141.168,137.722,129.958,132.06,122.843,125.72,115.258,123.838,116.456,112.204,104.064,103.839,99.0736,107.175,93.323,89.3061,83.4411,81.1219,73.1497,78.9366,76.2101,81.5597,77.5686,67.7249,59.4427,68.5802,58.1285,60.0998,60.5957,49.1345,45.1463,51.5327,40.3494,32.0845,31.9922,24.3226,30.4209,22.7381,14.9718,21.4307,23.9091,21.0761,18.9054,13.9623,13.3676,-0.669194,9.60754,7.09626,-2.92055,-12.5847,-1.09344,-6.01649,-9.78976,-20.5515,-10.5708
0,0,95.0831,-11.7468,15.9423,173.99,198.243,158.725,196.379,160.92,160.626,179.746,188.861,167.394,192.248,178.362,177.743,160.636,132.523,155.323,169.731,154.064,161.992,146.696,162.138,170.274,142.187,145.159,129.649,137.827,109.686,143.685,116.265,117.305,114.163,89.1381,92.5105,104.084,94.8452,108.707,89.565,91.2967,98.6962,89.3166,100.204,132.398,107.426,117.621,69.2208,85.4574,78.3228,79.692,67.4616,59.485,76.7483,58.9931,60.8339,25.1812,26.4516,49.0038,71.0469,51.1086,43.8848,41.3571,37.412,41.2101,49.4166,51.0405,39.4934,40.9234,39.3621,55.5685,6.6001,11.7552,20.3784,34.1946,28.0134,-4.36465,-17.4629,7.68338,30.5839,-1.92311
0,0,92.6811,13.4887,7.10704,-19.9583,0.715277,-1.27385,-2.96679,-10.028,7.58656,1.82005,15.6995,14.2403,10.0305,-6.0408,8.89186,21.8414,25.1961,9.06501,33.2453,35.9099,20.27,47.4919,31.7808,43.066,58.9426,58.2062,52.1827,58.0472,58.6824,55.4488,64.3979,64.5377,62.8889,69.5659,75.9638,72.1658,76.4717,88.2415,77.5941,85.1927,86.3451,91.5699,81.9118,90.3068,96.8164,84.8126,104.768,103.285,123.319,121.817,118.255,120.334,132.946,132.002,126.012,141.5,126.191,141.316,152.293,153.391,140.972,141.152,161.577,158.575,154.236,160.255,172.937,165.125,176.898,166.79,172.57,185.996,171.375,187.858,193.901,192.403,195.36,194.429,197.729,196.955
0,0,88.9862,-0.207957,249.315,-294.183,-292.276,-49.7451,-334.043,140.427,492.463,334.563,190.18,184.069,270.013,82.6288,540.494,77.1451,147.073,220.547,-9.7538,-150.478,39.1747,-191.405,57.5439,146.869,454.425,-292.978,-344.353,431.388,197.423,-129.369,280.983,401.314,-92.4317,66.6222,-45.052,-77.7018,18.7305,46.765,29.5883,154.257,187.08,-97.9323,1008.34,-90.2315,110.777,-151.726,95.0445,11.6126,339.366,711.407,31.5389,159.102,58.4849,-132.342,15.3548,115.179,269.461,-6.19348,244.395,-13.5847,425.974,29.1704,-144.998,-78.4201,-86.138,16.21,-0.383872,331.929,-111.013,-84.5312,205.972,140.616,-119.145,404.723,326.481,223.169,223.394,-32.4032,255.404,191.201
0,0,134.619,-13.6914,89.6587,261.481,263.735,99.3095,421.399,241.111,212.069,195.626,198.175,51.2847,279.615,271.879,413.168,291.725,269.867,141.571,399.337,243.518,149.673,247.091,227.421,240.987,122.734,293.615,192.458,247.156,191.573,119.369,251.902,302.283,242.375,35.5853,15.6308,234.415,216.305,-61.6453,158.685,62.4329,71.8766,87.609,159.06,158.625,46.0627,-59.8345,35.9738,35.2863,-10.7548,57.2347,-25.3832,39.3688,149.881,146.008,120.951,33.4972,42.0251,60.032,18.9676,14.5218,101.152,-1.5346,67.1944,215.867,279.371,118.781,195.506,143.228,22.1803,-33.4129,175.933,19.5836,95.3901,-50.2344,-8.8121,85.7842,-198.514,218.369,128.395,66.2289
0,0,113.44,-9.67227,23.7994,153.24,178.714,213.846,195.198,186.017,192.947,141.651,178.844,191.79,162.178,169.242,144.446,147.23,223.918,127.88,161.591,174.258,115.332,162.485,150.588,201.187,166.802,118.089,213.643,145.287,151.548,94.5992,155.349,113.375,146.894,127.772,117.228,80.9302,126.894,131.959,164.608,133.781,115.581,131.643,104.335,136.514,97.5272,85.9829,93.7747,32.9797,120.395,109.12,80.0374,100.974,73.6841,59.988,128.895,49.2459,69.8098,58.0937,38.94,110.759,48.8114,60.5467,38.436,75.229,97.3805,67.031,10.8007,45.6159,68.3348,45.6974,33.7004,70.6205,55.3086,54.4874,52.7005,1.83284,61.0152,65.3664,71.5053,51.5594
0,0,123.964,4.36195,76.7601,67.2096,146.433,188.828,-17.534,78.9125,256.386,193.53,91.723,38.8573,95.7369,175.43,42.6959,2.52629,40.7591,253.601,151.553,91.5362,64.7922,93.7773,45.4759,229.991,161.386,29.6847,58.2382,77.2893,-35.0543,60.248,217.805,161.795,184.612,194.819,105.808,182.672,123.064,98.3692,83.5969,140.052,116.711,28.4194,78.3723,186.154,134.669,55.3291,145.52,180.896,120.299,213.038,180.251,-43.9253,65.4294,22.1659,192.228,96.9474,132.616,99.7088,219.143,153.223,198.235,240.927,174.258,38.1218,48.1609,87.3377,327.889,-32.9586,190.772,219.193,183.984,231.301,142.588,259.945,315.55,84.5847,89.2761,196.594,61.7966,127.192
0,0,116.673,8.75767,140.841,21.0369,-60.8035,151.273,135.727,222.721,128.84,-133.404,36.0962,209.962,237.456,99.6341,215.577,71.7589,-44.286,59.319,122.491,111.558,-67.6577,58.5367,16.8157,51.6847,-4.04581,-19.6873,68.2105,259.87,224.488,123.484,380.265,212.985,180.898,158.737,239.977,91.3439,156.672,173.135,50.3821,-62.7691,392.481,67.318,148.241,21.7541,-107.626,25.5085,-26.3853,167.788,192.164,194.798,89.9322,180.739,13.6233,54.8858,-59.0961,-36.1235,400.315,211.688,347.017,154.322,315.728,59.6886,434.469,187.34,-31.5972,105.909,140.463,65.1433,310.557,241.96,280.462,96.8606,196.263,246.066,114.992,413.789,40.681,301.311,194.467,145.328
0,0,109.365,14.6927,5.8624,0.976029,-11.9262,-2.56448,-5.71237,15.621,8.56885,9.70708,15.6953,13.0087,23.8985,24.2558,21.7415,23.5283,32.0179,31.9505,39.1898,43.3381,45.0762,51.3389,58.1139,51.5878,59.9367,60.4378,62.9348,75.5312,79.263,73.2785,74.8469,75.7567,70.666,81.5718,85.4903,85.53,106.256,98.8479,93.4071,96.0749,104.469,114.788,113.362,109.761,117.482,129.391,122.118,124.547,139.35,136.902,136.889,140.265,139.919,148.67,148.747,159.242,173.711,151.445,167.062,154.446,157.359,179.669,181.78,183.057,180.329,190.247,201.077,185.718,192.76,191.173,198.17,190.784,201.284,205.3,215.997,213.717,209.462,212.685,227.106,227.88
0,0,100.051,7.30487,159.357,-37.4479,-0.856519,108.769,-16.2687,66.5533,159.605,-213.798,94.2619,-48.0548,-250.259,37.4599,-13.1041,-75.8522,127.37,155.085,-276.873,23.6475,70.2412,-70.2216,206.878,-184.069,28.9352,330.357,-61.381,262.905,31.3926,170.973,-37.7768,-22.1586,88.5002,17.8119,171.667,14.5517,-230.21,324.635,-25.7809,185.343,30.5551,287.498,221.706,163.229,267.174,90.0403,290.682,175.205,137.623,82.9368,97.7087,-87.4508,144.915,98.6044,300.922,-61.7749,159.47,273.981,44.9324,106.088,-69.2008,263.038,209.281,96.5887,247.287,-82.5634,-253.017,179.856,-14.9719,286.676,86.3634,85.153,277.817,55.0088,-31.646,181.626,32.0778,359.686,199.678,41.1367
