# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2a_ppc_model
# start_datetime = 2022-06-12 17:39:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\mzuqo11s.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2a_ppc-20220612193937.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,92.8203,-14.3417,6.23761,191.7,181.925,186.475,181.969,177.452,172.756,183.863,172.336,167.331,165.313,161.701,161.019,155.589,153.924,159.003,151.547,159.072,145.658,153.759,133.117,141.998,130.776,131.642,128.347,120.734,122.987,113.922,116.949,106.638,115.369,108.138,104.037,96.048,95.9737,91.3596,99.6125,85.911,82.0451,76.331,74.1627,66.3415,72.2794,69.7039,75.2045,71.3643,61.6716,53.5404,62.8288,52.5281,54.6504,55.2972,43.987,40.1498,46.687,35.6548,27.5408,27.5995,20.0808,26.3301,18.7983,11.183,17.7928,20.4222,17.7401,15.7204,10.9283,10.4846,-3.40128,7.02642,4.66611,-5.19974,-14.7129,-3.0707,-7.84278,-11.4651,-22.0758
0,0,146.952,-5.95844,133.529,164.959,69.0978,291.753,-19.7216,315.187,37.7076,54.7668,234.437,330.3,170.024,397.713,300.931,315.265,191.504,-24.4407,186.044,326.248,214.541,300.467,191.874,340.731,428.398,212.671,257.087,146.704,234.722,18.5419,322.824,112.683,140.917,134.123,-55.9583,-8.19008,108.269,50.4077,186.034,45.2257,79.2518,160.749,101.71,212.422,501.594,311.954,416.871,31.0001,186.515,146.279,177.269,94.352,47.0628,211.178,81.9863,116.926,-162.172,-132.01,76.4044,280.554,133.077,92.0937,90.4441,76.9221,128.256,216.513,249.637,172.442,203.941,210.385,365.648,-24.9785,37.7213,129.469,264.712,232.461,-19.2088,-109.395,120.746
0,0,142.023,-1.32784,87.5025,269.382,142.775,79.6424,298.949,239.23,183.158,60.9919,242.635,136.409,272.065,218.872,131.811,-101.288,47.3357,171.543,177.618,-56.2177,206.263,203.843,-23.9456,275.984,47.3186,151.035,311.281,266.985,157.596,194.572,167.164,92.1233,167.076,133.569,78.0412,125.02,168.563,86.5735,104.359,214.042,47.722,106.048,85.0077,114.109,-40.0313,28.1002,73.0183,-110.002,100.461,46.977,258.407,204.692,125.599,115.967,236.026,189.168,80.1894,235.65,11.9453,162.93,262.854,241.14,53.0119,19.9932,236.245,164.06,75.4065,114.286,235.202,103.791,213.508,53.8331,89.7622,219.844,4.5943,172.301,211.476,157.812,158.989
0,0,102.685,-1.50934,77.7053,43.3016,111.372,261.686,-7.55336,-7.24725,68.0555,-20.8415,126.751,236.184,186.682,141.393,139.2,165.699,107.007,249.425,104.722,126.228,148.84,76.7729,32.6242,91.4463,19.2919,96.5951,124.147,219.717,-13.5189,-29.8195,211.672,138.463,36.3213,163.93,201.146,46.9691,96.2541,61.1597,50.6954,80.4627,88.9122,83.2704,121.838,131.78,42.6607,387.171,44.4844,106.846,24.7417,101.366,75.0738,176.938,292.606,80.4197,119.89,88.2417,28.4774,74.2226,105.047,152.845,66.6419,144.456,63.7618,200.473,76.5111,21.9387,42.4013,39.7076,71.3187,65.8586,169.144,30.8018,38.7673,129.022,108.364,27.1143,190.103,165.429,132.941
0,0,117.906,-4.80506,53.4704,173.95,224.547,76.5375,111.718,158.796,160.898,63.5967,256.442,149.68,133.118,124.07,126.348,39.5037,176.433,172.577,257.597,185.929,173.651,97.8966,252.38,160.211,105.002,163.858,152.885,161.734,91.9681,194.636,135.066,168.445,136.054,93.7514,173.549,204.353,169.383,46.8167,35.6743,166.91,156.868,-8.13743,124.021,67.376,73.766,83.9064,127.276,127.775,61.4031,-0.99356,56.9023,57.2503,30.5504,71.8558,23.3423,62.717,129.382,127.83,113.645,62.2473,68.0911,79.588,55.8561,53.9627,106.385,45.903,87.6494,177.073,215.703,120.689,167.203,136.784,65.352,32.9555,158.563,66.0773,112.045,25.9555,51.4168
0,0,118.206,-25.7846,291.078,628.872,431.25,382.796,2.36689,194.449,-176.79,154.509,603.945,395.617,303.075,407.579,-200.046,274.583,452.67,110.244,216.396,-67.1244,-13.3296,944.346,-210.497,221.553,396.231,-304.716,291.734,165.978,804.575,403.778,-172.263,1016.16,199.879,296.207,-380.562,382.181,-111.433,318.266,104.148,-5.06581,-429.255,152.653,234.342,653.408,296.132,93.2826,309.473,-4.77295,408.544,-48.5361,-169.982,-54.9361,-778.741,310.14,191.983,-143.959,131.848,-182.168,-329.93,532.587,-421.816,-150.563,-274.108,-488.619,409.505,-328.393,-165.116,-415.794,53.9497,344.621,-6.81996,-674.797,-229.242,68.3685,-188.75,-315.732,155.567,-11.9578,-2.25354
0,0,113.06,-17.4881,122.683,369.888,408.532,312.713,329.5,275.46,125.816,179.472,301.127,363.919,29.1338,178.315,457,351.574,183.894,94.4354,180.379,302.784,85.6745,16.5076,72.6484,407.861,239.795,138.908,91.1983,132.559,50.395,340.334,225.719,10.2606,50.9314,76.4147,-108.105,39.2475,286.1,191.616,223.117,234.466,87.2376,205.121,104.887,60.4527,31.8773,117.142,74.8717,-71.2068,3.66576,170.964,83.7118,-48.0593,91.1236,142.698,40.8835,184.139,126.772,-236.486,-66.6736,-140.785,126.054,-31.1955,20.8472,-36.7127,149.209,38.8866,105.861,169.131,57.6098,-164.937,-153.857,-96.2076,283.292,-298.403,54.2112,94.67,33.4328,104.092,-42.6606
0,0,134.685,20.967,86.4351,-88.2694,35.734,-112.894,-36.097,45.9432,84.0285,-75.3266,0.604035,-46.5599,86.6546,80.1757,136.627,82.0727,-75.8058,31.2793,141.044,160.979,79.4585,153.675,68.4752,0.31973,66.9645,108.795,105.148,-1.77602,78.732,56.1895,80.6507,49.5105,42.9731,99.9784,220.663,202.011,143.086,303.735,204.137,187.507,176.969,229.888,141.733,184.887,198.052,125.78,59.4001,341.851,145.359,198.084,123.52,47.1805,131.948,103.162,225.389,243.411,248.089,186.795,245.585,146.087,174.472,107.583,124.743,395.65,282.95,369.064,253.868,355.986,201.915,434.982,286.379,155.078,242.528,266.796,223.634,377.307,338.271,364.962,255.346
0,0,110.089,4.94963,50.708,159.469,25.4623,119.625,81.4831,64.1174,86.2568,155.755,79.1751,152.498,15.1322,70.3432,17.3495,176.111,89.3471,73.427,99.4579,50.4541,118.882,96.2072,48.6943,38.3845,86.0513,59.7028,96.555,106.671,95.9403,124.345,157.181,74.9672,121.417,99.9865,95.8193,179.009,185.522,107.993,95.7937,77.8982,8.09966,76.6659,84.7944,59.3722,212.884,123.038,50.2112,47.5216,94.3623,157.856,119.752,62.8385,103.86,181.104,92.4288,87.6745,189.949,143.007,117.13,120.571,91.8072,141.734,116.636,181.648,281.039,62.6776,171.994,37.103,36.5361,203.748,196.241,181.521,132.16,192.185,260.092,101.477,136.626,97.134,131.884
0,0,64.2788,-8.72529,84.7952,174.932,95.4596,-12.5625,-12.4409,149.664,114.38,85.651,175.312,208.542,67.5087,84.416,140.185,71.0882,112.595,159.546,-41.7088,119.649,41.3577,-68.8004,81.7342,52.2652,16.3129,121.886,134.07,-98.3421,59.0042,81.2338,3.92883,148.813,-61.7771,49.001,206.827,-4.18388,165.808,40.0551,111.764,-1.87735,3.86987,60.1891,20.0118,99.3162,13.1503,-119.653,173.022,-16.0012,93.7766,8.84902,143.007,105.435,71.7561,124.502,27.6848,131.885,67.8749,45.314,13.6515,18.9483,-82.1402,38.9403,11.7348,116.827,-78.7313,36.4318,94.8011,-29.6414,0.336544,-95.4995,78.7244,47.5565,-14.9715,62.653,-115.427,-208.69,19.0822,-87.1508,70.7956
