# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2a_ppc_model
# start_datetime = 2022-06-12 20:30:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\w4ndjp05.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2a_ppc-20220612223018.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,92.8203,-14.3417,1.24752,193.212,188.962,187.578,184.382,181.184,177.95,177.876,173.276,169.981,167.282,164.265,161.834,158.454,155.826,154.547,150.761,149.971,144.994,144.32,137.896,137.378,132.839,130.717,127.764,123.946,122.102,117.995,116.305,111.948,111.4,107.659,104.544,100.652,98.3423,95.1248,94.4807,89.4457,86.3778,82.9403,80.212,76.3531,75.246,72.4362,71.2416,68.1789,63.9457,60.0248,59.5878,55.233,53.3628,51.1974,46.6407,43.5786,42.5914,38.0902,34.1728,31.8898,28.0914,27.0466,23.2456,19.4278,18.4551,16.6863,13.8552,11.1566,7.9035,5.52007,0.448221,0.239083,-2.52766,-6.7955,-10.9928,-10.9591,-14.2081,-17.2273,-21.6441
0,0,146.952,-5.95844,26.7058,184.046,163.921,207.498,144.25,210.278,153.829,156.288,191.268,209.488,176.479,221.063,200.754,202.667,176.962,132.819,173.963,201.05,177.756,193.988,171.316,200.134,216.714,172.615,180.545,157.515,174.165,129.976,189.879,146.897,151.591,149.278,110.309,118.909,141.248,128.722,154.894,125.779,131.631,146.977,134.216,155.405,212.286,173.405,193.435,115.307,145.457,136.456,141.701,124.164,113.753,145.623,118.831,124.865,68.0925,73.1716,113.901,153.778,123.329,114.179,112.896,109.238,118.551,135.249,140.921,124.528,129.875,130.21,160.31,81.2309,92.8175,110.214,136.309,128.905,77.6181,58.6274,103.702
0,0,142.023,-1.32784,17.5005,174.958,149.425,136.586,180.234,168.078,156.651,132.006,168.122,146.664,173.583,162.732,145.107,98.2749,127.787,152.416,153.419,106.439,158.723,158.026,112.256,172.03,126.084,146.615,178.452,169.38,147.29,154.473,148.778,133.558,148.336,141.422,130.104,139.288,147.784,131.173,134.518,156.242,122.766,134.218,129.798,135.406,104.365,117.779,126.55,89.7337,131.614,120.705,162.778,151.823,135.791,133.653,157.452,147.868,125.86,156.739,111.786,141.771,161.543,156.988,119.15,112.333,155.371,140.722,122.779,130.342,154.313,127.818,149.549,117.402,124.375,150.179,106.917,140.246,147.868,136.923,136.946
0,0,102.685,-1.50934,15.5411,99.2924,112.665,142.486,88.397,88.2167,103.036,85.0149,114.292,135.937,125.795,116.496,115.816,120.874,108.894,137.136,107.954,112.014,116.295,101.64,92.5686,104.091,89.4191,104.638,109.907,128.78,81.891,78.3894,126.446,111.563,90.8931,116.173,123.375,92.2981,101.914,94.6533,92.3189,98.0309,99.4793,98.1094,105.582,107.328,89.263,157.923,89.1447,101.376,84.7132,99.7965,94.2967,114.428,137.32,94.6414,102.294,95.7228,83.5284,92.436,98.3594,107.677,90.1953,105.517,89.1363,116.237,91.2032,80.0472,83.8982,83.118,89.1988,87.8652,108.281,80.3709,81.7225,99.5319,95.1588,78.6674,111.024,105.847,99.1082
0,0,117.906,-4.80506,10.6941,156.125,165.475,135.104,141.372,150.019,149.67,129.441,167.241,145.12,141.039,138.46,138.147,120.01,146.627,145.087,161.322,146.219,142.995,127.075,157.203,138.001,126.19,137.192,134.229,135.23,120.508,140.273,127.59,133.497,126.25,117.021,132.211,137.603,129.841,104.558,101.561,127.04,124.262,90.4924,116.155,104.057,104.567,105.826,113.731,113.062,99.0188,85.7707,96.581,95.8818,89.773,97.2653,86.7938,93.8999,106.464,105.385,101.779,90.7307,91.1307,92.6613,87.1461,85.9986,95.7142,82.849,90.4295,107.545,114.503,94.7309,103.265,96.4124,81.3572,74.109,98.4617,79.1958,87.6205,69.6338,73.9573
0,0,118.206,-25.7846,58.2157,365.276,321.626,307.809,227.598,261.889,183.516,245.65,331.412,285.62,262.986,279.762,154.111,244.912,276.403,203.793,220.897,160.068,166.701,354.111,119.017,201.301,232.111,87.7962,202.961,173.684,297.278,212.993,93.659,327.218,159.836,174.977,35.4971,183.92,81.0718,162.886,115.937,89.9686,1.00536,113.261,125.474,205.161,129.58,84.8851,123.998,57.0229,135.561,40.0191,11.6044,30.4881,-118.398,95.2522,67.4953,-3.81877,47.2172,-19.7116,-53.3896,114.988,-80.0179,-29.8927,-58.7274,-105.755,69.7442,-81.9609,-53.4311,-107.692,-17.869,36.1398,-38.274,-175.995,-91.0095,-35.6129,-91.1622,-120.684,-30.5499,-68.1804,-70.3651
0,0,113.06,-17.4881,24.5366,262.727,267.658,245.696,246.255,232.649,199.922,207.855,229.388,239.148,169.393,196.431,249.37,225.487,189.153,168.463,182.854,204.536,158.317,141.685,150.115,214.36,177.948,154.973,142.633,148.107,128.876,184.065,158.344,112.455,117.791,120.089,80.3871,107.06,153.632,131.937,135.439,134.911,102.667,123.446,100.601,88.9158,80.4026,94.6575,83.4053,51.3915,63.5679,94.2294,73.9809,44.8286,69.8671,77.3839,54.2228,80.0759,65.8042,-9.64536,21.519,3.89852,54.4682,20.2203,27.8307,13.5206,47.9068,23.0443,33.6412,43.4969,18.3946,-28.9128,-29.4949,-20.7632,52.3387,-66.7985,0.92629,6.21996,-8.8256,2.50823,-29.6405
0,0,134.685,20.967,17.287,-27.7623,0.393134,-25.9777,-7.26362,12.4991,23.4709,-5.04538,13.4955,7.41738,37.415,39.4739,54.1188,46.5628,18.3418,43.1135,68.4211,75.7629,62.8135,81.0116,67.3263,57.0499,73.7336,85.4545,88.0797,70.0497,89.506,88.3522,96.5992,93.7258,95.7731,110.529,138.02,137.645,129.214,164.699,148.134,148.163,149.41,163.349,149.072,161.058,167.045,155.946,146.025,205.869,169.926,183.825,172.267,160.354,180.662,178.26,206.06,213.019,217.31,208.405,223.518,206.973,216.005,205.982,212.769,270.305,251.119,271.697,252.013,275.791,248.331,298.299,271.934,249.028,269.873,278.081,272.803,306.893,302.44,311.133,292.565
0,0,110.089,4.94963,10.1416,92.1427,66.1334,85.7578,78.9215,76.2402,81.4601,96.1516,81.6276,97.0842,70.4029,82.2371,72.4303,104.975,88.4137,86.0216,92.0197,83.0109,97.4885,93.7454,85.0348,83.7647,94.09,89.6123,97.7747,100.59,99.2356,105.709,113.068,97.4168,107.499,104.005,103.963,121.393,123.488,108.774,107.126,104.339,91.1708,105.676,108.094,103.801,135.295,118.118,104.345,104.599,114.759,128.25,121.421,110.83,119.826,136.067,119.124,118.965,140.212,131.615,127.232,128.712,123.751,134.528,130.301,144.095,164.765,121.885,144.54,118.354,119.032,153.267,152.557,150.405,141.325,154.122,168.495,137.564,145.386,138.279,146.021
0,0,64.2788,-8.72529,16.959,135.455,118.164,95.1637,93.792,124.817,116.364,109.222,125.758,131.008,101.406,103.391,113.149,97.9334,104.839,112.833,71.1859,102.061,85.0071,61.5794,90.2903,83.0004,74.4139,94.1325,95.1733,47.2948,77.368,80.4179,63.5608,91.1416,47.6276,68.3871,98.5563,54.9581,87.5605,61.0138,73.9594,49.8352,49.5886,59.4564,50.0249,64.4897,45.8605,17.9037,75.0427,35.842,56.4016,38.02,63.4556,54.5452,46.4133,55.5665,34.8069,54.2509,40.0529,34.1446,26.4161,26.0794,4.46565,27.2857,20.4486,40.0709,-0.436753,21.1998,31.4776,5.19308,9.79263,-10.7706,22.6781,15.0485,1.14684,15.2757,-21.7363,-41.7851,2.37338,-20.2693,9.92398
0,0,99.6135,-3.86571,1.2288,127.774,125.271,123.818,124.677,122.739,124.48,122.461,120.454,121.354,116.76,117.51,116.986,118.465,116.287,116.31,114.55,116.043,112.174,112.769,111.222,111.325,111.21,109.666,109.592,107.535,108.404,105.148,105.31,104.206,105.523,103.109,102.556,98.3498,101.813,103.23,100.76,99.6055,98.8257,100.742,94.8948,96.7915,95.0179,95.4272,94.5675,91.8787,88.6536,90.9202,88.9934,90.1228,90.8255,86.1779,88.1593,86.7014,86.1056,87.2957,83.4113,84.4688,82.6426,80.4115,81.2021,81.1521,80.5358,80.4581,78.7447,74.961,77.8463,74.16,75.6227,73.7649,72.879,72.7904,71.0557,69.8709,69.1432,71.1049,69.2264
0,0,127.143,10.3508,12.5573,44.4089,58.8586,89.5784,59.2764,76.2341,89.2636,76.2538,75.1459,62.1249,62.1314,82.2031,89.9612,82.9028,99.9434,81.2009,80.6847,97.7975,100.436,100.326,84.1129,103.082,99.3784,104.898,120.662,82.9188,112.381,95.283,120.098,103.875,122.885,121.646,103.256,103.476,138.496,122.361,114.619,101.008,137.573,143.291,136.112,151.808,129.598,100.322,139.683,146.911,133.013,157.551,145.439,161.608,161.689,161.212,184.294,170.609,184.593,152.186,146.666,164.415,172.735,173.619,180.821,168.817,195.496,188.545,180.221,179.962,172.35,195.755,174.53,190.231,205.548,201.084,202.353,188.849,227.328,196.681,216.722
0,0,115.643,6.98353,40.7976,86.6597,13.8528,48.82,38.1384,109.617,88.9257,12.4115,12.9937,56.7692,22.8926,129.682,19.9833,71.7631,30.2504,110.999,102.61,97.7144,106.964,93.1229,95.1201,78.4261,60.8548,85.8245,117.862,113.232,40.602,102.555,146.227,126.756,123.501,83.3109,134.886,130.214,109.475,155.942,123.791,108.55,158.179,75.6232,115.317,83.8673,86.8721,119.574,53.198,147.077,152.623,76.1877,80.9073,127.654,241.25,147.827,125.161,88.7037,193.37,189.034,241.995,139.959,113.453,121.904,252.026,133.341,221.193,180.954,132.274,156.535,137.029,171.83,154.813,144.095,175.347,135.94,166.377,78.9505,190.94,182.528,141.714
0,0,130.662,10.6868,20.2192,44.2536,81.6052,77.5169,58.571,41.5141,69.9724,44.2027,75.8048,44.323,87.0779,66.5423,94.8389,95.7554,65.2666,70.1815,87.7832,74.2573,99.5515,80.6936,89.6398,98.4716,132.995,72.9435,98.6506,97.9189,110.848,138.757,145.981,123.559,94.0604,132.538,101.394,119.258,111.251,126.565,166.44,133.167,159.387,90.5337,149,162.617,118.629,138.437,121.518,175.073,146.662,126.023,163.986,176.094,171.611,123.998,145.523,162.619,176.225,168.603,174.401,181.51,170.293,191.087,175.435,191.585,166.205,170.005,185.656,180.017,186.199,217.818,215.584,222.877,189.549,215.471,193.245,182.982,218.66,221.381,232.415
0,0,104.651,-7.45982,43.2997,108.137,179.561,179.526,136.208,117.143,172.832,119.208,126.763,169.753,150.433,122.759,102.055,104.899,128.146,168.63,144.726,85.8472,73.8948,163.527,127.089,106.441,108.203,108.025,89.1243,196.388,154.042,139.545,110.078,137.441,160.418,82.7585,118.711,130.388,42.7311,105.565,96.0043,81.8896,116.634,89.0347,138.079,-5.58949,75.7161,27.7561,133.177,147.653,95.3772,17.0827,124.443,204.707,101.223,94.6324,45.2135,101.994,97.8219,118.877,3.08034,128.574,37.3112,105.961,105.736,72.6113,42.3762,55.1723,76.5072,94.4138,128.579,81.2374,82.2674,-11.0875,45.9479,67.9532,22.8576,-25.2053,107.718,13.6407,46.9404
0,0,106.018,7.14128,2.54432,56.1454,59.8694,60.5863,63.7044,59.3054,65.2672,57.7517,69.0045,66.438,69.2493,69.5007,70.4988,77.0939,77.0774,77.3926,78.629,79.1637,80.8985,84.4524,80.7788,82.6246,86.1857,88.2095,87.5346,90.7118,89.904,94.0147,95.864,97.585,99.6966,95.2549,98.7976,101.154,103.792,107.573,108.82,106.012,104.049,109.026,115.317,114.593,117.05,114.721,118.548,116.73,115.057,116.827,124.617,125.889,126.595,121.956,132.234,132.706,130.581,133.385,131.67,137.697,140.862,139.786,139.412,144.914,146.336,145.634,147.949,141.495,149.421,149.569,148.452,152.855,153.306,156.081,153.224,156.926,160.854,161.67,162.071
0,0,87.5717,-12.4252,11.0534,176.697,179.147,160.461,171.088,175.649,154.907,151.534,142.99,146.817,151.359,139.2,151.773,140.774,139.977,142.055,135.057,131.25,124.019,117.584,133.594,127.291,135.633,90.5902,115.602,87.9175,119.745,112.267,107.648,114.507,101.679,110.493,85.0114,92.3554,89.4728,84.493,77.3888,85.9323,80.3593,85.6466,89.7596,77.772,67.6268,70.2286,66.8145,79.9708,68.1084,40.9208,45.8577,47.9252,59.4475,42.9922,54.5792,51.4532,53.8548,39.6069,45.9154,33.2499,29.8617,31.2326,9.59605,24.7478,24.9309,20.0168,11.2192,21.3939,14.5278,11.631,4.26528,-2.64691,0.172698,-12.0064,-13.9062,-3.44694,18.3008,-0.348882,-33.2221
0,0,80.9225,-4.2491,7.58392,107.854,112.163,113.712,112.564,122.167,100.564,92.1722,99.7874,111.071,94.5859,92.4683,103.809,94.5496,100.774,100.257,107.937,102.455,107.57,114.687,86.967,90.7447,105.038,101.402,95.3725,83.7656,92.1213,85.9796,89.8493,77.7237,87.1445,81.2639,80.4451,87.8704,84.0754,77.237,94.3181,69.6615,81.0501,67.5398,80.7145,90.8885,76.8487,69.8255,72.4202,73.2742,69.6072,82.7133,62.3343,77.8405,61.7828,56.5961,52.0818,66.3059,54.7468,51.2799,67.9483,57.4792,57.0758,48.9944,54.1351,61.8199,48.1454,56.1447,64.0165,59.4099,57.7285,60.6386,64.8131,41.0078,46.952,50.3788,54.4256,62.7626,37.6863,43.0069,53.2525
0,0,110.602,-2.74983,24.0457,98.6051,129.933,139.286,114.944,133.721,118.931,125.587,127.281,128.671,108.826,67.0565,105.119,115.13,119.523,109.495,119.462,108.574,118.737,109.296,131.318,119.317,139.143,119.695,97.9824,151.9,158.685,83.58,84.0648,99.6515,150.79,120.98,147.896,90.504,118.853,131.524,98.3273,137.584,97.1489,103.608,85.4884,100.683,134.228,103.407,150.676,99.8391,98.5926,138.921,102.207,97.9637,118.845,90.0301,116.599,95.0341,119.046,72.0927,159.459,153.802,90.3003,110.682,107.483,70.6852,47.405,93.8597,95.5953,147.149,80.4384,127.594,93.7888,68.8204,66.8695,65.1608,116.363,35.8714,72.1532,103.276,119.989
0,0,124.722,-10.0088,7.11611,200.309,190.657,197.232,194.01,194.01,178.45,189.345,180.819,188.949,181.818,167.526,172.775,162.545,179.902,173.781,167.754,167.23,153.327,169.24,157.825,153.115,150.515,146.89,151.192,145.501,143.68,148.744,133.04,136.902,128.614,133.315,130.852,121.824,128.938,122.107,121.741,123.336,115.837,128.37,125.89,114.273,113.92,108.578,103.231,104.241,108.198,99.1614,91.944,91.6994,90.3415,94.8394,86.401,87.9545,99.553,95.0925,82.4561,86.1321,66.5141,53.8819,68.7386,76.372,64.6271,60.7272,75.2117,79.0136,65.0907,57.9444,69.5571,54.0376,60.637,61.282,51.843,45.5894,43.5776,46.5251,42.2187
