# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2a_ppc_model
# start_datetime = 2022-06-13 19:03:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\0o0480lv.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2a_ppc-20220613210341.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,92.8203,-14.3417,1.24752,187.885,183.635,182.251,179.055,175.857,172.623,172.55,167.95,164.654,161.956,158.939,156.508,153.127,150.499,149.22,145.434,144.645,139.667,138.993,132.57,132.051,127.512,125.391,122.437,118.62,116.776,112.668,110.979,106.622,106.073,102.333,99.2177,95.3251,93.0156,89.7981,89.154,84.119,81.0511,77.6137,74.8853,71.0264,69.9193,67.1095,65.915,62.8522,58.619,54.6981,54.2611,49.9063,48.0361,45.8708,41.314,38.2519,37.2647,32.7636,28.8461,26.5631,22.7647,21.7199,17.9189,14.1011,13.1284,11.3596,8.52852,5.82991,2.57681,0.193376,-4.87847,-5.08761,-7.85435,-12.1222,-16.3195,-16.2857,-19.5348,-22.554,-26.9708
0,0,146.952,-5.95844,26.7058,181.833,161.708,205.285,142.037,208.065,151.616,154.075,189.055,207.275,174.266,218.85,198.541,200.454,174.749,130.606,171.75,198.837,175.543,191.775,169.103,197.921,214.501,170.402,178.332,155.302,171.952,127.763,187.666,144.684,149.378,147.065,108.096,116.696,139.035,126.509,152.681,123.566,129.418,144.764,132.003,153.192,210.073,171.192,191.222,113.094,143.244,134.243,139.488,121.951,111.54,143.409,116.618,122.652,65.8794,70.9585,111.688,151.565,121.116,111.966,110.683,107.025,116.338,133.036,138.708,122.315,127.662,127.997,158.097,79.0179,90.6045,108.001,134.096,126.692,75.4051,56.4144,101.489
0,0,142.023,-1.32784,17.5005,174.465,148.931,136.092,179.741,167.585,156.158,131.512,167.629,146.171,173.09,162.239,144.614,97.7817,127.294,151.923,152.926,105.946,158.23,157.533,111.763,171.537,125.591,146.122,177.958,168.887,146.797,153.979,148.285,133.065,147.843,140.929,129.611,138.794,147.29,130.68,134.025,155.749,122.272,133.725,129.305,134.912,103.872,117.286,126.057,89.2405,131.121,120.211,162.285,151.329,135.298,133.159,156.959,147.375,125.367,156.246,111.293,141.277,161.05,156.495,118.656,111.84,154.878,140.229,122.285,129.849,153.82,127.325,149.056,116.909,123.882,149.686,106.423,139.752,147.375,136.43,136.453
0,0,102.685,-1.50934,15.5411,98.7319,112.105,141.926,87.8364,87.6561,102.475,84.4543,113.731,135.376,125.235,115.935,115.255,120.313,108.334,136.576,107.393,111.453,115.734,101.079,92.008,103.531,88.8585,104.078,109.347,128.219,81.3304,77.8288,125.886,111.002,90.3325,115.613,122.814,91.7375,101.353,94.0927,91.7583,97.4703,98.9187,97.5488,105.021,106.768,88.7024,157.363,88.5842,100.815,84.1526,99.236,93.7361,113.867,136.76,94.0808,101.733,95.1622,82.9678,91.8754,97.7988,107.117,89.6347,104.956,88.5757,115.677,90.6426,79.4866,83.3377,82.5574,88.6382,87.3046,107.72,79.8103,81.1619,98.9713,94.5982,78.1068,110.463,105.287,98.5476
0,0,117.906,-4.80506,10.6941,154.34,163.69,133.32,139.587,148.234,147.886,127.656,165.457,143.335,139.254,136.676,136.363,118.225,144.842,143.302,159.537,144.435,141.21,125.291,155.419,136.216,124.405,135.408,132.444,133.445,118.723,138.488,125.805,131.712,124.465,115.236,130.427,135.819,128.056,102.774,99.7765,125.255,122.478,88.7077,114.371,102.273,102.782,104.041,111.946,111.277,97.2341,83.986,94.7964,94.0972,87.9884,95.4806,85.0091,92.1152,104.679,103.6,99.9944,88.9461,89.346,90.8766,85.3614,84.2139,93.9295,81.0644,88.6448,105.761,112.718,92.9463,101.48,94.6277,79.5725,72.3244,96.677,77.4111,85.8358,67.8492,72.1726
0,0,118.206,-25.7846,58.2157,355.699,312.049,298.233,218.021,252.312,173.939,236.073,321.835,276.044,253.41,270.185,144.534,235.335,266.827,194.216,211.321,150.491,157.124,344.534,109.44,191.724,222.534,78.2195,193.384,164.107,287.701,203.416,84.0823,317.641,150.26,165.4,25.9204,174.343,71.495,153.309,106.36,80.3919,-8.57137,103.685,115.897,195.585,120.004,75.3083,114.421,47.4461,125.984,30.4424,2.02772,20.9113,-127.975,85.6755,57.9186,-13.3955,37.6405,-29.2884,-62.9663,105.412,-89.5946,-39.4694,-68.3041,-115.332,60.1675,-91.5376,-63.0079,-117.269,-27.4457,26.5631,-47.8507,-185.572,-100.586,-45.1897,-100.739,-130.261,-40.1266,-77.7571,-79.9418
0,0,113.06,-17.4881,24.5366,256.232,261.162,239.2,239.76,226.154,193.427,201.36,222.893,232.653,162.898,189.936,242.875,218.992,182.658,161.968,176.358,198.041,151.821,135.19,143.62,207.864,171.453,148.477,136.137,141.611,122.381,177.57,151.849,105.959,111.295,113.594,73.8918,100.564,147.137,125.442,128.944,128.416,96.1718,116.95,94.1054,82.4205,73.9073,88.1622,76.91,44.8962,57.0726,87.7341,67.4856,38.3333,63.3717,70.8886,47.7275,73.5806,59.3089,-16.1407,15.0237,-2.59678,47.9729,13.725,21.3354,7.02534,41.4115,16.549,27.1459,37.0016,11.8993,-35.4081,-35.9903,-27.2585,45.8434,-73.2938,-5.56901,-0.275348,-15.3209,-3.98707,-36.1358
0,0,134.685,20.967,17.287,-19.9749,8.18052,-18.1903,0.523766,20.2865,31.2583,2.74201,21.2828,15.2048,45.2024,47.2613,61.9062,54.3502,26.1292,50.9009,76.2085,83.5503,70.6009,88.799,75.1137,64.8373,81.521,93.2419,95.8671,77.837,97.2934,96.1396,104.387,101.513,103.56,118.316,145.808,145.432,137.002,172.486,155.922,155.95,157.197,171.136,156.86,168.845,174.833,163.733,153.812,213.657,177.713,191.613,180.055,168.142,188.45,186.047,213.847,220.807,225.097,216.193,231.306,214.761,223.792,213.769,220.556,278.092,258.907,279.484,259.8,283.578,256.119,306.087,279.721,256.815,277.66,285.869,280.591,314.68,310.228,318.921,300.352
0,0,110.089,4.94963,10.1416,93.9811,67.9718,87.5962,80.7598,78.0786,83.2984,97.9899,83.466,98.9226,72.2413,84.0754,74.2686,106.813,90.252,87.8599,93.8581,84.8492,99.3268,95.5837,86.8731,85.6031,95.9284,91.4506,99.613,102.428,101.074,107.547,114.906,99.2552,109.337,105.843,105.801,123.231,125.326,110.612,108.964,106.177,93.0091,107.514,109.932,105.639,137.134,119.956,106.183,106.437,116.597,130.088,123.259,112.668,121.664,137.905,120.962,120.803,142.05,133.454,129.07,130.55,125.589,136.367,132.139,145.933,166.603,123.723,146.378,120.192,120.871,155.105,154.396,152.243,143.163,155.96,170.334,139.403,147.224,140.118,147.86
0,0,64.2788,-8.72529,16.959,132.214,114.924,91.9231,90.5513,121.576,113.123,105.982,122.518,127.768,98.165,100.15,109.908,94.6927,101.598,109.592,67.9452,98.8207,81.7664,58.3387,87.0496,79.7598,71.1733,90.8918,91.9326,44.0541,74.1273,77.1772,60.3202,87.9009,44.3869,65.1465,95.3156,51.7174,84.3198,57.7731,70.7187,46.5945,46.3479,56.2157,46.7842,61.249,42.6198,14.6631,71.802,32.6014,53.1609,34.7793,60.215,51.3045,43.1726,52.3258,31.5662,51.0102,36.8122,30.904,23.1754,22.8387,1.22498,24.045,17.2079,36.8302,-3.67743,17.9591,28.237,1.95241,6.55195,-14.0113,19.4374,11.8078,-2.09384,12.035,-24.977,-45.0257,-0.867291,-23.5099,6.6833
