# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2a_ppc_model
# start_datetime = 2022-06-17 19:53:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\c9oeczln.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2a_ppc-20220617215342.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,94.0742,-14.3417,0.878536,189.251,185.41,183.586,180.487,177.387,174.261,173.361,169.273,166.104,163.355,160.382,157.822,154.593,151.894,150.145,146.63,145.226,140.872,139.549,134.177,132.964,128.919,126.576,123.648,120.111,117.964,114.223,112.185,108.268,107.034,103.551,100.509,96.9195,94.4446,91.3304,90.0284,85.6343,82.6254,79.3563,76.5865,73.0206,71.3926,68.5655,66.8758,63.8706,60.0411,56.4315,55.2754,51.3602,49.1948,46.8215,42.7642,39.7594,38.2157,34.1976,30.5904,28.1343,24.611,23.0268,19.5016,15.9647,14.4313,12.3373,9.49516,6.74635,3.60705,1.08019,-3.33992,-4.33558,-7.13237,-10.9863,-14.7905,-15.6151,-18.7516,-21.7261,-25.685
0,0,131.967,-5.95844,18.8069,168.259,153.733,184.07,139.176,185.322,145.217,146.596,170.878,183.356,159.758,190.803,176.148,177.143,158.688,127.249,155.871,174.594,157.837,168.915,152.597,172.539,183.862,152.454,157.686,141.116,152.489,121.017,162.85,132.228,135.181,133.2,105.405,111.109,126.488,117.314,135.393,114.537,118.305,128.76,119.421,133.99,173.695,145.961,159.714,104.342,125.222,118.531,121.872,109.17,101.485,123.576,104.357,108.254,67.9204,71.1447,99.475,127.205,105.409,98.6132,97.357,94.4287,100.635,112.042,115.683,103.787,107.199,107.083,127.927,71.8857,79.6928,91.5912,109.616,104.049,67.5791,53.853,85.2434
0,0,128.516,-1.32784,12.3243,153.976,135.916,126.796,157.456,148.817,140.691,123.257,148.612,133.422,152.301,144.581,132.09,99.0314,119.736,137.002,137.629,104.467,141.208,140.639,108.328,150.343,117.908,132.288,154.63,148.163,132.528,137.507,133.419,122.622,132.95,128.003,119.954,126.342,132.247,120.471,122.748,137.968,114.315,122.301,119.11,122.98,101.042,110.41,116.508,90.5029,119.917,112.156,141.707,133.913,122.545,120.96,137.642,130.814,115.237,136.905,105.169,126.206,140.052,136.765,110.04,105.161,135.391,124.996,112.282,117.529,134.332,115.595,130.82,108.102,112.934,131.028,100.483,123.875,129.165,121.378,121.316
0,0,100.98,-1.50934,10.9444,101.167,110.495,131.406,93.2258,93.0095,103.356,90.5762,111.104,126.258,119.027,112.389,111.82,115.293,106.768,126.567,105.927,108.697,111.622,101.212,94.735,102.76,92.3385,102.967,106.588,119.789,86.6798,84.1246,117.878,107.308,92.6622,110.376,115.358,93.3838,100.066,94.8638,93.1306,97.0638,97.9945,96.9406,102.113,103.254,90.4428,138.706,90.181,98.7049,86.8816,97.4144,93.452,107.54,123.572,93.4269,98.7267,94.0098,85.333,91.5166,95.5988,102.071,89.6709,100.371,88.7465,107.742,90.0235,82.0779,84.7006,84.0618,88.2548,87.2264,101.514,81.7701,82.6326,95.0852,91.9163,80.2133,102.91,99.1755,94.3404
0,0,111.634,-4.80506,7.53104,146.75,153.051,131.379,135.508,141.313,140.783,126.253,152.589,136.726,133.568,131.468,130.963,117.906,136.366,134.997,146.146,135.227,132.672,121.176,142.109,128.302,119.7,127.164,124.793,125.214,114.562,128.196,118.981,122.856,117.468,110.685,121.098,124.611,118.86,100.771,98.3765,116.035,113.795,89.7288,107.517,98.7132,98.7876,99.3901,104.673,103.917,93.7437,84.1297,91.4584,90.6818,86.0956,91.0876,83.4291,88.1491,96.7129,95.6687,92.8451,84.7803,84.7778,85.5714,81.4032,80.3109,86.8686,77.5244,82.5785,94.3477,98.9628,84.755,90.4806,85.3706,74.4841,69.0955,85.961,72.1093,77.7579,64.807,67.5674
0,0,111.844,-25.7846,40.997,329.846,297.581,286.326,228.314,250.937,194.22,236.451,295.321,261.548,244.084,254.372,164.36,226.779,247.431,194.771,205.292,160.929,164.075,294.528,127.444,183.865,204.037,100.882,180.458,158.315,243.828,182.947,97.3839,260.337,140.937,150.074,50.3237,153.322,79.3679,135.458,100.87,81.0574,16.8819,94.4101,101.485,156.078,101.327,68.3257,94.3445,45.6539,99.4369,30.6288,9.09319,20.8662,-85.5087,63.4242,42.3518,-9.39467,25.0209,-23.6374,-48.8795,68.1711,-70.6825,-36.9083,-58.7397,-93.3831,28.6826,-79.6772,-61.1111,-100.848,-39.1179,-2.60886,-56.5383,-155.05,-96.7265,-59.2401,-99.8846,-122.2,-60.2504,-88.2761,-91.3399
0,0,108.242,-17.4881,17.2793,243.49,245.928,229.427,228.787,218.17,194.089,198.641,212.77,218.609,168.451,186.458,222.704,204.851,178.229,162.624,171.723,185.959,152.375,139.628,144.53,188.738,162.062,144.847,135.123,137.943,123.366,161.197,142.049,108.698,111.421,112.006,83.0118,100.761,132.524,116.211,117.643,116.236,92.4948,106.093,88.9706,79.7073,72.6776,81.6817,72.7231,49.1437,56.6841,77.2422,61.9482,40.3839,56.9821,61.2411,43.896,61.0679,49.9829,-4.1851,16.7271,3.28382,37.8618,12.709,17.034,5.92193,29.103,10.5597,16.9878,22.8939,4.18177,-30.1678,-31.6123,-26.4977,23.948,-60.9859,-14.3269,-11.6335,-23.2635,-16.3164,-39.9909
0,0,123.38,20.967,12.174,-26.8063,-5.73828,-23.069,-8.64976,6.50798,15.4749,-3.36671,10.9305,7.89048,30.2559,32.9461,44.4997,40.4189,21.7852,40.4704,59.533,65.9435,58.0646,72.1204,63.7232,57.7266,70.716,80.2104,83.2994,71.8425,86.7845,87.2123,94.2603,93.4771,96.1591,107.791,128.391,129.367,124.671,150.9,140.475,141.735,143.854,154.91,146.097,155.778,161.235,154.658,148.912,192.296,168.224,179.253,172.354,165.205,180.746,180.295,201.113,207.254,211.515,206.485,218.368,207.957,215.558,209.74,215.759,257.518,245.248,260.979,248.357,266.343,248.245,284.674,267.347,252.457,268.377,275.397,272.921,298.168,296.273,303.635,291.799
0,0,106.162,4.94963,7.14197,85.0761,67.0525,81.1653,76.6437,75.0483,79.0171,89.656,79.7206,90.8983,72.4015,81.0282,74.4148,97.6261,86.2563,84.8645,89.3814,83.3299,93.8182,91.475,85.6336,85.032,92.5961,89.7356,95.7765,98.0518,97.3909,102.242,107.717,96.9885,104.381,102.213,102.477,115.044,116.812,106.743,105.875,104.205,95.225,105.733,107.728,104.998,127.47,115.666,106.259,106.731,114.179,123.972,119.456,112.29,118.918,130.648,119.009,119.19,134.446,128.685,125.89,127.226,124.025,131.907,129.223,139.23,154.079,124.175,140.422,122.273,123.044,147.446,147.239,146.016,139.914,149.219,159.634,138.144,143.945,139.234,144.978
0,0,74.0951,-8.72529,11.943,139.111,126.419,109.705,108.223,129.555,123.087,117.541,128.67,131.851,110.488,111.37,117.725,106.494,110.841,115.954,86.1094,107.337,94.8104,77.7959,97.4986,91.8488,85.2858,98.656,98.8728,64.6394,85.3016,86.9332,74.5459,93.4529,62.293,76.3963,97.1261,65.9069,88.3502,69.1392,77.7397,60.2347,59.5449,65.9779,58.8198,68.4902,54.8549,34.6509,74.3734,46.2512,60.2136,46.7527,64.149,57.3579,51.115,57.0448,41.9092,55.086,44.5713,39.8944,33.9356,33.1824,17.4453,32.9996,27.6686,40.971,11.9283,26.6492,33.371,14.3446,17.0675,2.07023,25.1095,19.2204,8.91438,18.3481,-8.2328,-22.8678,7.71357,-8.74809,11.9986
