# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2a_ppc_model
# start_datetime = 2022-06-21 17:20:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\wa4x7w39.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2a_ppc-20220621192018.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,104.365,-14.3417,0.930986,199.526,195.627,193.866,190.753,187.639,184.497,183.715,179.554,176.367,173.626,170.646,168.104,164.853,162.165,160.483,156.93,155.612,151.17,149.939,144.418,143.303,139.188,136.877,133.945,130.368,128.265,124.471,122.483,118.504,117.367,113.847,110.795,107.162,104.711,101.582,100.373,95.8881,92.8709,89.5778,86.814,83.2064,81.6524,78.8278,77.2085,74.1951,70.3082,66.6543,65.6004,61.6228,59.4993,57.1556,53.0273,50.0143,48.5498,44.463,40.8117,38.3802,34.8178,33.3103,29.7459,26.169,24.7153,22.6676,19.827,17.0853,13.9299,11.4234,6.91064,6.02678,3.23425,-0.678496,-4.53861,-5.2412,-8.39369,-11.3746,-15.3985
0,0,144.964,-5.95844,19.9297,181.056,165.734,197.953,150.45,199.423,156.994,158.526,184.329,197.623,172.687,205.657,190.198,191.324,171.838,138.594,168.996,188.908,171.221,183.032,165.81,187.014,199.085,165.873,171.488,153.999,166.123,132.843,177.245,144.866,148.067,146.039,116.655,122.77,139.139,129.489,148.718,126.688,130.752,141.902,132.077,147.587,189.733,160.415,175.06,116.454,138.651,131.632,135.243,121.854,113.782,137.263,116.967,121.168,78.4977,81.9857,112.078,141.535,118.509,111.379,110.119,107.087,113.735,125.894,129.823,117.288,120.975,120.924,143.083,83.767,92.1113,104.791,123.963,118.135,79.559,65.0845,98.4202
0,0,141.267,-1.32784,13.0601,167.72,148.597,138.949,171.455,162.316,153.721,135.261,162.146,146.066,166.087,157.922,144.702,109.685,131.642,149.954,150.635,115.508,154.459,153.871,119.647,164.187,129.832,145.086,168.777,161.94,145.387,150.68,146.363,134.937,145.898,140.671,132.158,138.944,145.217,132.754,135.182,151.327,126.277,134.756,131.39,135.508,112.276,122.219,128.697,101.155,132.341,124.132,155.463,147.22,135.189,133.526,151.219,143.999,127.508,150.485,116.87,139.179,153.868,150.401,122.096,116.942,148.992,137.993,124.535,130.112,147.933,128.094,144.243,120.185,125.322,144.511,112.158,136.963,142.584,134.349,134.299
0,0,111.764,-1.50934,11.5978,111.362,121.265,143.443,103.002,102.79,113.773,100.248,122.02,138.096,130.451,123.435,122.851,126.549,117.532,138.532,116.677,119.63,122.748,111.735,104.889,113.412,102.386,113.667,117.522,131.529,96.4613,93.7715,129.558,118.375,102.873,121.662,126.96,103.692,110.791,105.296,103.477,107.663,108.668,107.569,113.068,114.296,100.737,151.9,100.496,109.547,97.0355,108.215,104.034,118.981,135.988,104.062,109.696,104.715,95.5386,102.109,106.453,113.33,100.208,111.565,99.2641,119.412,100.653,92.2514,95.0487,94.3898,98.8511,97.7793,112.938,92.0333,92.9654,106.179,102.839,90.4557,114.526,110.586,105.48
0,0,123.18,-4.80506,7.98066,158.483,165.217,142.308,146.741,152.951,152.447,137.107,165.072,148.32,145.03,142.862,142.384,128.605,148.225,146.832,158.704,147.189,144.539,132.415,154.655,140.08,131.023,138.99,136.534,137.037,125.807,140.313,130.604,134.769,129.117,121.985,133.078,136.858,130.821,111.71,109.229,127.999,125.683,100.237,119.145,109.873,110.009,110.705,116.361,115.617,104.894,94.7631,102.587,101.821,97.0184,102.366,94.3074,99.3667,108.499,107.45,104.515,96.0263,96.0809,96.9793,92.6196,91.5195,98.5261,88.6814,94.0946,106.624,111.572,96.5731,102.698,97.3403,85.8612,80.2083,98.138,83.5167,89.5599,75.8932,78.8758
0,0,123.404,-25.7846,43.4445,344.177,310.294,298.675,237.507,261.789,201.993,247.053,309.746,274.265,256.065,267.276,172.198,238.651,260.844,205.349,216.805,170.101,173.743,312.292,135.54,195.638,217.322,108.316,192.951,169.795,260.72,196.513,106.149,279.138,152.918,162.908,57.5108,166.966,88.9048,148.652,112.307,91.6188,23.9198,106.384,114.19,172.35,114.638,79.9743,107.854,56.5646,113.866,41.2583,18.7449,31.5286,-80.8891,77.2432,55.2206,0.692621,37.4707,-13.7847,-40.2259,84.1207,-62.7148,-26.6164,-49.4433,-85.8471,43.8141,-70.7071,-50.7248,-92.5266,-26.8028,12.1938,-44.6474,-148.733,-86.6191,-46.5869,-89.35,-112.69,-46.7339,-76.1249,-79.0637
0,0,119.545,-17.4881,18.3109,255.919,258.711,241.434,240.965,229.923,204.613,209.645,224.827,231.224,178.28,197.57,236.19,217.479,189.476,173.149,183,198.294,162.914,149.615,155.019,202.075,174.015,155.982,145.885,149.083,133.844,174.143,154.061,118.927,122.022,122.849,92.3336,111.351,145.219,128.141,129.867,128.586,103.636,118.255,100.319,90.7111,83.4705,93.2211,83.9364,59.1581,67.3575,89.3518,73.3535,50.7105,68.5085,73.2306,55.0588,73.4647,61.9267,4.7336,27.1031,13.0661,49.9172,23.4716,28.2635,16.6969,41.4708,22.0292,29.0498,35.5174,15.8969,-20.2946,-21.6165,-15.9877,37.6785,-52.1173,-2.4639,0.599136,-11.5163,-3.94573,-28.8247
0,0,135.764,20.967,12.9008,-15.058,7.01745,-11.5983,3.43144,19.2438,28.4957,8.27883,23.1793,19.7074,43.1577,45.7582,57.7512,53.1764,33.1799,52.7303,72.6805,79.2235,70.6238,85.2684,76.1195,69.5146,83.0291,92.84,95.8631,83.4718,99.0555,99.2585,106.477,105.397,107.988,120.064,141.644,142.428,137.201,164.746,153.448,154.533,156.528,167.994,158.404,168.412,173.945,166.725,160.385,206.11,180.35,191.787,184.226,176.399,192.619,191.89,213.7,219.957,224.223,218.642,230.984,219.702,227.506,221.09,227.218,271.22,257.966,274.387,260.761,279.57,260.142,298.495,279.883,263.854,280.473,287.663,284.788,311.292,309.034,316.585,303.792
0,0,117.317,4.94963,7.56836,96.9382,77.7794,92.6757,87.8251,86.0754,90.2219,101.437,90.8493,102.635,82.975,92.0576,84.9903,109.528,97.4206,95.8866,100.614,94.1422,105.198,102.655,96.406,95.7094,103.666,100.576,106.918,109.27,108.511,113.592,119.336,107.907,115.682,113.326,113.546,126.804,128.619,117.889,116.911,115.082,105.506,116.582,118.638,115.685,139.44,126.872,116.845,117.285,125.119,135.438,130.593,122.94,129.905,142.276,129.883,130.016,146.123,139.959,136.939,138.294,134.843,143.137,140.234,150.779,166.456,134.707,151.865,132.574,133.331,159.131,158.852,157.498,150.972,160.774,171.751,148.919,155.008,149.956,155.984
0,0,82.9591,-8.72529,12.656,148.39,135.044,117.437,115.97,138.681,131.93,126.157,138.055,141.53,118.995,120.034,126.873,115.076,119.786,125.309,93.7867,116.385,103.216,85.2894,106.273,100.39,93.5391,107.812,108.146,71.9726,93.9725,95.8058,82.7831,102.923,70.007,85.0565,107.128,74.1492,98.0366,77.7829,87.001,68.5551,67.9283,74.8495,67.3683,77.7202,63.375,42.069,84.2672,54.5702,69.4704,55.31,73.8491,66.7567,60.2453,66.6333,50.6983,64.766,53.7277,48.8758,42.6654,41.9714,25.3989,41.9861,36.4409,50.6417,19.9693,35.6732,42.9005,22.8424,25.8321,10.0436,34.5626,28.426,17.6089,27.71,-0.353622,-15.7582,16.7531,-0.587136,21.5023
0,0,109.46,-3.86571,0.917015,135.931,133.867,132.587,133.032,131.389,132.493,130.79,129.095,129.571,125.947,126.31,125.723,126.63,124.809,124.63,123.12,124.038,120.955,121.203,119.852,119.732,119.45,118.102,117.851,116.12,116.572,113.946,113.871,112.851,113.637,111.639,111.031,107.696,110.084,110.945,108.906,107.848,107.07,108.304,103.744,104.963,103.444,103.553,102.715,100.512,97.9094,99.4047,97.7707,98.4173,98.7456,95.081,96.3635,95.0794,94.4386,95.1305,92.0356,92.6285,91.0696,89.2084,89.6022,89.3687,88.7127,88.4585,86.9837,83.9639,85.9209,82.9737,83.8692,82.2865,81.4292,81.167,79.6763,78.5959,77.8566,79.1244,77.5264
