# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2a_ppc_model
# start_datetime = 2022-06-21 17:32:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\b5jl79ur.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2a_ppc-20220621193218.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,99.3652,-14.3417,0.930986,194.526,190.627,188.866,185.753,182.639,179.497,178.715,174.554,171.367,168.626,165.646,163.104,159.853,157.165,155.483,151.93,150.612,146.17,144.939,139.418,138.303,134.188,131.877,128.945,125.368,123.265,119.471,117.483,113.504,112.367,108.847,105.795,102.162,99.7107,96.5818,95.3734,90.8881,87.8709,84.5778,81.814,78.2064,76.6524,73.8278,72.2085,69.1951,65.3082,61.6543,60.6004,56.6228,54.4993,52.1556,48.0273,45.0143,43.5498,39.463,35.8117,33.3802,29.8178,28.3103,24.7459,21.169,19.7153,17.6676,14.827,12.0853,8.92986,6.42339,1.91064,1.02678,-1.76575,-5.6785,-9.53861,-10.2412,-13.3937,-16.3746,-20.3985
0,0,139.964,-5.95844,19.9297,176.056,160.734,192.953,145.45,194.423,151.994,153.526,179.329,192.623,167.687,200.657,185.198,186.324,166.838,133.594,163.996,183.908,166.221,178.032,160.81,182.014,194.085,160.873,166.488,148.999,161.123,127.843,172.245,139.866,143.067,141.039,111.655,117.77,134.139,124.489,143.718,121.688,125.752,136.902,127.077,142.587,184.733,155.415,170.06,111.454,133.651,126.632,130.243,116.854,108.782,132.263,111.967,116.168,73.4977,76.9857,107.078,136.535,113.509,106.379,105.119,102.087,108.735,120.894,124.823,112.288,115.975,115.924,138.083,78.767,87.1113,99.7912,118.963,113.135,74.559,60.0845,93.4202
0,0,136.267,-1.32784,13.0601,162.72,143.597,133.949,166.455,157.316,148.721,130.261,157.146,141.066,161.087,152.922,139.702,104.685,126.642,144.954,145.635,110.508,149.459,148.871,114.647,159.187,124.832,140.086,163.777,156.94,140.387,145.68,141.363,129.937,140.898,135.671,127.158,133.944,140.217,127.754,130.182,146.327,121.277,129.756,126.39,130.508,107.276,117.219,123.697,96.1546,127.341,119.132,150.463,142.22,130.189,128.526,146.219,138.999,122.508,145.485,111.87,134.179,148.868,145.401,117.096,111.942,143.992,132.993,119.535,125.112,142.933,123.094,139.243,115.185,120.322,139.511,107.158,131.963,137.584,129.349,129.299
0,0,106.764,-1.50934,11.5978,106.362,116.265,138.443,98.0015,97.7904,108.773,95.2478,117.02,133.096,125.451,118.435,117.851,121.549,112.532,133.532,111.677,114.63,117.748,106.735,99.8892,108.412,97.3856,108.667,112.522,126.529,91.4613,88.7715,124.558,113.375,97.8728,116.662,121.96,98.6916,105.791,100.296,98.4773,102.663,103.668,102.569,108.068,109.296,95.7373,146.9,95.4958,104.547,92.0355,103.215,99.0342,113.981,130.988,99.0616,104.696,99.7155,90.5386,97.1094,101.453,108.33,95.2075,106.565,94.2641,114.412,95.6533,87.2514,90.0487,89.3898,93.8511,92.7793,107.938,87.0333,87.9654,101.179,97.8393,85.4557,109.526,105.586,100.48
0,0,118.18,-4.80506,7.98066,153.483,160.217,137.308,141.741,147.951,147.447,132.107,160.072,143.32,140.03,137.862,137.384,123.605,143.225,141.832,153.704,142.189,139.539,127.415,149.655,135.08,126.023,133.99,131.534,132.037,120.807,135.313,125.604,129.769,124.117,116.985,128.078,131.858,125.821,106.71,104.229,122.999,120.683,95.2375,114.145,104.873,105.009,105.705,111.361,110.617,99.8936,89.7631,97.5867,96.8211,92.0184,97.3658,89.3074,94.3667,103.499,102.45,99.5151,91.0263,91.0809,91.9793,87.6196,86.5195,93.5261,83.6814,89.0946,101.624,106.572,91.5731,97.698,92.3403,80.8612,75.2083,93.138,78.5167,84.5599,70.8932,73.8758
0,0,118.404,-25.7846,43.4445,339.177,305.294,293.675,232.507,256.789,196.993,242.053,304.746,269.265,251.065,262.276,167.198,233.651,255.844,200.349,211.805,165.101,168.743,307.292,130.54,190.638,212.322,103.316,187.951,164.795,255.72,191.513,101.149,274.138,147.918,157.908,52.5108,161.966,83.9048,143.652,107.307,86.6188,18.9198,101.384,109.19,167.35,109.638,74.9743,102.854,51.5646,108.866,36.2583,13.7449,26.5286,-85.8891,72.2432,50.2206,-4.30738,32.4707,-18.7847,-45.2259,79.1207,-67.7148,-31.6164,-54.4433,-90.8471,38.8141,-75.7071,-55.7248,-97.5266,-31.8028,7.19382,-49.6474,-153.733,-91.6191,-51.5869,-94.35,-117.69,-51.7339,-81.1249,-84.0637
0,0,114.545,-17.4881,18.3109,250.919,253.711,236.434,235.965,224.923,199.613,204.645,219.827,226.224,173.28,192.57,231.19,212.479,184.476,168.149,178,193.294,157.914,144.615,150.019,197.075,169.015,150.982,140.885,144.083,128.844,169.143,149.061,113.927,117.022,117.849,87.3336,106.351,140.219,123.141,124.867,123.586,98.6356,113.255,95.3186,85.7111,78.4705,88.2211,78.9364,54.1581,62.3575,84.3518,68.3535,45.7105,63.5085,68.2306,50.0588,68.4647,56.9267,-0.266401,22.1031,8.06605,44.9172,18.4716,23.2635,11.6969,36.4708,17.0292,24.0498,30.5174,10.8969,-25.2946,-26.6165,-20.9877,32.6785,-57.1173,-7.4639,-4.40086,-16.5163,-8.94573,-33.8247
0,0,130.764,20.967,12.9008,-20.058,2.01745,-16.5983,-1.56856,14.2438,23.4957,3.27883,18.1793,14.7074,38.1577,40.7582,52.7512,48.1764,28.1799,47.7303,67.6805,74.2235,65.6238,80.2684,71.1195,64.5146,78.0291,87.84,90.8631,78.4718,94.0555,94.2585,101.477,100.397,102.988,115.064,136.644,137.428,132.201,159.746,148.448,149.533,151.528,162.994,153.404,163.412,168.945,161.725,155.385,201.11,175.35,186.787,179.226,171.399,187.619,186.89,208.7,214.957,219.223,213.642,225.984,214.702,222.506,216.09,222.218,266.22,252.966,269.387,255.761,274.57,255.142,293.495,274.883,258.854,275.473,282.663,279.788,306.292,304.034,311.585,298.792
0,0,112.317,4.94963,7.56836,91.9382,72.7794,87.6757,82.8251,81.0754,85.2219,96.4369,85.8493,97.6352,77.975,87.0576,79.9903,104.528,92.4206,90.8866,95.614,89.1422,100.198,97.6553,91.406,90.7094,98.6661,95.5756,101.918,104.27,103.511,108.592,114.336,102.907,110.682,108.326,108.546,121.804,123.619,112.889,111.911,110.082,100.506,111.582,113.638,110.685,134.44,121.872,111.845,112.285,120.119,130.438,125.593,117.94,124.905,137.276,124.883,125.016,141.123,134.959,131.939,133.294,129.843,138.137,135.234,145.779,161.456,129.707,146.865,127.574,128.331,154.131,153.852,152.498,145.972,155.774,166.751,143.919,150.008,144.956,150.984
0,0,77.9591,-8.72529,12.656,143.39,130.044,112.437,110.97,133.681,126.93,121.157,133.055,136.53,113.995,115.034,121.873,110.076,114.786,120.309,88.7867,111.385,98.2155,80.2894,101.273,95.3897,88.5391,102.812,103.146,66.9726,88.9725,90.8058,77.7831,97.923,65.007,80.0565,102.128,69.1492,93.0366,72.7829,82.001,63.5551,62.9283,69.8495,62.3683,72.7202,58.375,37.069,79.2672,49.5702,64.4704,50.31,68.8491,61.7567,55.2453,61.6333,45.6983,59.766,48.7277,43.8758,37.6654,36.9714,20.3989,36.9861,31.4409,45.6417,14.9693,30.6732,37.9005,17.8424,20.8321,5.0436,29.5626,23.426,12.6089,22.71,-5.35362,-20.7582,11.7531,-5.58714,16.5023
0,0,104.46,-3.86571,0.917015,130.931,128.867,127.587,128.032,126.389,127.493,125.79,124.095,124.571,120.947,121.31,120.723,121.63,119.809,119.63,118.12,119.038,115.955,116.203,114.852,114.732,114.45,113.102,112.851,111.12,111.572,108.946,108.871,107.851,108.637,106.639,106.031,102.696,105.084,105.945,103.906,102.848,102.07,103.304,98.7441,99.9633,98.4436,98.5529,97.7151,95.5124,92.9094,94.4047,92.7707,93.4173,93.7456,90.081,91.3635,90.0794,89.4386,90.1305,87.0356,87.6285,86.0696,84.2084,84.6022,84.3687,83.7127,83.4585,81.9837,78.9639,80.9209,77.9737,78.8692,77.2865,76.4292,76.167,74.6763,73.5959,72.8566,74.1244,72.5264
0,0,125.107,10.3508,9.3711,48.7565,60.0651,83.5156,61.4274,74.6077,84.8564,75.6729,75.3713,66.1795,66.7096,82.2137,88.5286,83.7864,97.0286,83.5669,83.7069,97.0029,99.4972,99.9406,88.3663,103.047,100.809,105.453,117.743,90.1015,112.613,100.379,119.423,107.842,122.553,122.154,108.955,109.645,136.304,124.788,119.536,109.904,137.716,142.509,137.677,149.916,133.866,112.544,142.443,148.362,138.516,157.353,148.839,161.431,162.017,162.186,179.937,170.249,181.21,157.551,153.957,167.728,174.462,175.647,181.547,173.114,193.549,188.887,183.2,183.532,178.377,196.369,181.055,193.297,205.253,202.447,203.919,194.367,223.608,201.262,216.743
0,0,116.482,6.98353,30.446,84.9964,31.0174,57.4667,49.8497,103.546,88.4595,31.7137,32.5025,65.5252,40.5986,120.646,39.1362,78.1322,47.507,108.122,102.215,98.9165,106.173,96.1988,98.0436,85.9397,73.1813,92.1697,116.432,113.332,59.4848,106.073,139.018,124.842,122.767,93.129,131.972,128.84,113.718,148.749,125.11,114.091,151.481,90.227,120.204,97.0881,99.6849,124.444,75.2638,145.677,150.17,93.4834,97.3598,132.6,217.727,148.363,131.803,104.95,183.414,180.532,220.41,144.618,125.192,131.853,229.313,141.097,207.012,177.337,141.363,159.823,145.621,171.946,159.601,151.957,175.634,146.58,169.649,104.759,188.688,182.765,152.661
0,0,127.746,10.6868,15.0889,48.1794,76.596,74.0874,60.491,48.3043,70.0841,51.3953,75.5213,52.5697,85.0187,70.2359,91.8951,93.1214,70.9109,75.121,88.799,79.2473,98.6659,85.1352,92.3537,99.4869,125.793,81.5207,101.247,101.244,111.435,132.805,138.738,122.547,101.076,130.333,107.633,121.507,116.074,128.044,158.345,134.056,154.166,103.325,147.499,158.203,125.919,141.243,129.159,169.668,149.008,134.148,163.021,172.599,169.796,134.806,151.412,164.712,175.408,170.263,175.132,180.979,173.15,189.211,178.073,190.667,172.269,175.647,187.869,184.204,189.359,213.498,212.373,218.358,194.029,213.916,197.872,190.755,217.923,220.496,229.272
0,0,108.238,-7.45982,32.3132,121.369,174.291,173.886,141.182,126.575,167.755,127.359,132.618,164.322,149.526,128.494,112.666,114.409,131.379,161.213,142.995,98.6773,89.3791,155.89,128.319,112.531,113.468,112.957,98.473,178.142,146.162,134.965,112.596,132.637,149.406,91.0725,117.524,125.86,60.0657,106.578,99.0646,88.1527,113.703,92.7278,128.95,21.3556,81.6529,45.4832,123.777,134.202,94.8111,36.0038,115.745,175.265,97.6595,92.3624,55.1041,97.0989,93.607,108.941,22.1472,115.421,46.9355,97.7884,97.2421,72.1432,49.2011,58.3719,73.915,86.8995,112.017,76.3092,76.6994,6.65296,48.8381,64.8814,30.8494,-5.39698,93.4209,22.8355,47.3074
