# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2a_ppc_model
# start_datetime = 2022-06-21 18:35:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\82tnlt20.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2a_ppc-20220621203549.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,94.3652,-14.3417,0.930986,189.526,185.627,183.866,180.753,177.639,174.497,173.715,169.554,166.367,163.626,160.646,158.104,154.853,152.165,150.483,146.93,145.612,141.17,139.939,134.418,133.303,129.188,126.877,123.945,120.368,118.265,114.471,112.483,108.504,107.367,103.847,100.795,97.1621,94.7107,91.5818,90.3734,85.8881,82.8709,79.5778,76.814,73.2064,71.6524,68.8278,67.2085,64.1951,60.3082,56.6543,55.6004,51.6228,49.4993,47.1556,43.0273,40.0143,38.5498,34.463,30.8117,28.3802,24.8178,23.3103,19.7459,16.169,14.7153,12.6676,9.82701,7.08533,3.92986,1.42339,-3.08936,-3.97322,-6.76575,-10.6785,-14.5386,-15.2412,-18.3937,-21.3746,-25.3985
0,0,134.964,-5.95844,19.9297,171.056,155.734,187.953,140.45,189.423,146.994,148.526,174.329,187.623,162.687,195.657,180.198,181.324,161.838,128.594,158.996,178.908,161.221,173.032,155.81,177.014,189.085,155.873,161.488,143.999,156.123,122.843,167.245,134.866,138.067,136.039,106.655,112.77,129.139,119.489,138.718,116.688,120.752,131.902,122.077,137.587,179.733,150.415,165.06,106.454,128.651,121.632,125.243,111.854,103.782,127.263,106.967,111.168,68.4977,71.9857,102.078,131.535,108.509,101.379,100.119,97.0866,103.735,115.894,119.823,107.288,110.975,110.924,133.083,73.767,82.1113,94.7912,113.963,108.135,69.559,55.0845,88.4202
0,0,131.267,-1.32784,13.0601,157.72,138.597,128.949,161.455,152.316,143.721,125.261,152.146,136.066,156.087,147.922,134.702,99.6849,121.642,139.954,140.635,105.508,144.459,143.871,109.647,154.187,119.832,135.086,158.777,151.94,135.387,140.68,136.363,124.937,135.898,130.671,122.158,128.944,135.217,122.754,125.182,141.327,116.277,124.756,121.39,125.508,102.276,112.219,118.697,91.1546,122.341,114.132,145.463,137.22,125.189,123.526,141.219,133.999,117.508,140.485,106.87,129.179,143.868,140.401,112.096,106.942,138.992,127.993,114.535,120.112,137.933,118.094,134.243,110.185,115.322,134.511,102.158,126.963,132.584,124.349,124.299
0,0,101.764,-1.50934,11.5978,101.362,111.265,133.443,93.0015,92.7904,103.773,90.2478,112.02,128.096,120.451,113.435,112.851,116.549,107.532,128.532,106.677,109.63,112.748,101.735,94.8892,103.412,92.3856,103.667,107.522,121.529,86.4613,83.7715,119.558,108.375,92.8728,111.662,116.96,93.6916,100.791,95.296,93.4773,97.6634,98.6677,97.5689,103.068,104.296,90.7373,141.9,90.4958,99.5467,87.0355,98.2152,94.0342,108.981,125.988,94.0616,99.6959,94.7155,85.5386,92.1094,96.4533,103.33,90.2075,101.565,89.2641,109.412,90.6533,82.2514,85.0487,84.3898,88.8511,87.7793,102.938,82.0333,82.9654,96.1794,92.8393,80.4557,104.526,100.586,95.4802
0,0,113.18,-4.80506,7.98066,148.483,155.217,132.308,136.741,142.951,142.447,127.107,155.072,138.32,135.03,132.862,132.384,118.605,138.225,136.832,148.704,137.189,134.539,122.415,144.655,130.08,121.023,128.99,126.534,127.037,115.807,130.313,120.604,124.769,119.117,111.985,123.078,126.858,120.821,101.71,99.2293,117.999,115.683,90.2375,109.145,99.873,100.009,100.705,106.361,105.617,94.8936,84.7631,92.5867,91.8211,87.0184,92.3658,84.3074,89.3667,98.4991,97.4499,94.5151,86.0263,86.0809,86.9793,82.6196,81.5195,88.5261,78.6814,84.0946,96.6238,101.572,86.5731,92.698,87.3403,75.8612,70.2083,88.138,73.5167,79.5599,65.8932,68.8758
0,0,113.404,-25.7846,43.4445,334.177,300.294,288.675,227.507,251.789,191.993,237.053,299.746,264.265,246.065,257.276,162.198,228.651,250.844,195.349,206.805,160.101,163.743,302.292,125.54,185.638,207.322,98.3162,182.951,159.795,250.72,186.513,96.1491,269.138,142.918,152.908,47.5108,156.966,78.9048,138.652,102.307,81.6188,13.9198,96.3844,104.19,162.35,104.638,69.9743,97.8542,46.5646,103.866,31.2583,8.74485,21.5286,-90.8891,67.2432,45.2206,-9.30738,27.4707,-23.7847,-50.2259,74.1207,-72.7148,-36.6164,-59.4433,-95.8471,33.8141,-80.7071,-60.7248,-102.527,-36.8028,2.19382,-54.6474,-158.733,-96.6191,-56.5869,-99.35,-122.69,-56.7339,-86.1249,-89.0637
0,0,109.545,-17.4881,18.3109,245.919,248.711,231.434,230.965,219.923,194.613,199.645,214.827,221.224,168.28,187.57,226.19,207.479,179.476,163.149,173,188.294,152.914,139.615,145.019,192.075,164.015,145.982,135.885,139.083,123.844,164.143,144.061,108.927,112.022,112.849,82.3336,101.351,135.219,118.141,119.867,118.586,93.6356,108.255,90.3186,80.7111,73.4705,83.2211,73.9364,49.1581,57.3575,79.3518,63.3535,40.7105,58.5085,63.2306,45.0588,63.4647,51.9267,-5.2664,17.1031,3.06605,39.9172,13.4716,18.2635,6.69691,31.4708,12.0292,19.0498,25.5174,5.89693,-30.2946,-31.6165,-25.9877,27.6785,-62.1173,-12.4639,-9.40086,-21.5163,-13.9457,-38.8247
0,0,125.764,20.967,12.9008,-25.058,-2.98255,-21.5983,-6.56856,9.24376,18.4957,-1.72117,13.1793,9.7074,33.1577,35.7582,47.7512,43.1764,23.1799,42.7303,62.6805,69.2235,60.6238,75.2684,66.1195,59.5146,73.0291,82.84,85.8631,73.4718,89.0555,89.2585,96.4769,95.3966,97.9884,110.064,131.644,132.428,127.201,154.746,143.448,144.533,146.528,157.994,148.404,158.412,163.945,156.725,150.385,196.11,170.35,181.787,174.226,166.399,182.619,181.89,203.7,209.957,214.223,208.642,220.984,209.702,217.506,211.09,217.218,261.22,247.966,264.387,250.761,269.57,250.142,288.495,269.883,253.854,270.473,277.663,274.788,301.292,299.034,306.585,293.792
0,0,107.317,4.94963,7.56836,86.9382,67.7794,82.6757,77.8251,76.0754,80.2219,91.4369,80.8493,92.6352,72.975,82.0576,74.9903,99.5283,87.4206,85.8866,90.614,84.1422,95.1975,92.6553,86.406,85.7094,93.6661,90.5756,96.9181,99.2702,98.5107,103.592,109.336,97.907,105.682,103.326,103.546,116.804,118.619,107.889,106.911,105.082,95.5063,106.582,108.638,105.685,129.44,116.872,106.845,107.285,115.119,125.438,120.593,112.94,119.905,132.276,119.883,120.016,136.123,129.959,126.939,128.294,124.843,133.137,130.234,140.779,156.456,124.707,141.865,122.574,123.331,149.131,148.852,147.498,140.972,150.774,161.751,138.919,145.008,139.956,145.984
0,0,72.9591,-8.72529,12.656,138.39,125.044,107.437,105.97,128.681,121.93,116.157,128.055,131.53,108.995,110.034,116.873,105.076,109.786,115.309,83.7867,106.385,93.2155,75.2894,96.2726,90.3897,83.5391,97.8116,98.1456,61.9726,83.9725,85.8058,72.7831,92.923,60.007,75.0565,97.128,64.1492,88.0366,67.7829,77.001,58.5551,57.9283,64.8495,57.3683,67.7202,53.375,32.069,74.2672,44.5702,59.4704,45.31,63.8491,56.7567,50.2453,56.6333,40.6983,54.766,43.7277,38.8758,32.6654,31.9714,15.3989,31.9861,26.4409,40.6417,9.96932,25.6732,32.9005,12.8424,15.8321,0.0435956,24.5626,18.426,7.6089,17.71,-10.3536,-25.7582,6.75313,-10.5871,11.5023
