# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2b_ppc_model
# start_datetime = 2022-06-12 09:56:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\uacnp0g1.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_2b_ppc-20220612115627.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76,calorie.77
0,0,92.8203,0.238312,6.23761,89.0424,82.1857,89.6544,88.0675,86.4688,84.6908,98.7166,90.1077,88.0218,88.9222,88.2289,90.4656,87.9536,89.2069,97.2047,92.6672,103.111,92.6155,103.635,85.9114,97.7112,89.4076,93.1922,92.8155,88.1212,93.2929,87.1455,93.0919,85.6989,97.3485,93.0364,91.8539,86.7831,89.6273,87.9318,99.1031,88.3201,87.3728,84.5772,85.3274,80.4247,89.2812,89.6242,98.0433,97.1216,90.3474,85.1347,97.3417,89.9595,95.0003,98.5656,90.1739,89.2552,98.711,90.5973,85.4018,88.379,83.7789,92.9467,88.3334,83.6366,93.1649,98.7129,98.9493,99.8481,97.9745,100.449,89.482,102.828,103.386,96.4391,89.8444,104.405,102.552,101.848,94.1556,107.206
0,0,95.0831,0.308919,15.9423,78.4845,105.275,68.2948,108.487,75.566,77.8101,99.4685,111.121,92.1928,119.584,108.237,110.155,95.5865,70.0118,95.3493,112.296,99.1662,109.632,96.8747,114.854,125.528,99.9795,105.49,92.5182,103.234,77.6314,114.167,89.2857,92.8639,92.26,69.7732,75.6837,89.7953,83.0944,99.4944,82.8903,87.1601,97.0976,90.256,103.681,138.414,115.979,128.713,82.8504,101.625,97.0284,100.936,91.2434,85.8047,105.606,90.389,94.7678,61.6531,65.4615,90.5518,115.133,97.7326,93.0469,93.0573,91.6502,97.9863,108.731,112.893,103.884,107.852,108.828,127.573,81.1425,88.8357,99.997,116.351,112.708,82.868,72.3077,99.9921,125.431,95.4617
0,0,92.6811,3.85305,7.10704,56.3757,75.0207,71.003,67.2815,58.1918,73.7778,65.9827,77.8336,74.3459,68.1075,50.0077,62.9118,73.8328,75.1589,56.9993,79.151,79.7872,62.1187,87.3121,69.5723,78.8291,92.6771,89.9121,81.8601,85.6961,84.3027,79.0406,85.9611,84.0723,80.395,85.0435,89.4128,83.5863,85.8636,95.6049,82.9289,88.499,87.6228,90.8191,79.1325,85.4989,89.9799,75.9476,93.8743,90.3631,108.368,104.838,99.247,99.2974,109.882,106.908,98.8898,112.349,95.0124,108.108,117.057,116.126,101.679,99.8297,118.227,113.196,106.829,110.819,121.473,111.632,121.376,109.24,112.991,124.389,107.739,122.193,126.208,122.682,123.61,120.65,121.922,119.12
0,0,88.9862,0.979419,249.315,-303.589,-301.432,-58.6516,-342.699,132.02,484.307,326.656,182.523,176.662,262.856,75.7221,533.837,70.7383,140.916,214.64,-15.4107,-155.885,34.0178,-196.312,52.887,142.462,450.268,-296.886,-348.01,427.981,194.266,-132.276,278.326,398.906,-94.5889,64.7149,-46.7093,-79.1092,17.5731,45.8576,28.9309,153.85,186.922,-97.8398,1008.68,-89.639,111.62,-150.633,96.3869,13.2049,341.208,713.5,33.8812,161.694,61.3272,-129.249,18.697,118.771,273.303,-2.10137,248.738,-8.99262,430.817,34.2624,-139.656,-72.8281,-80.2961,22.3019,5.958,338.521,-104.171,-77.4394,213.314,148.208,-111.303,412.815,334.822,231.761,232.235,-23.3116,264.745,200.792
0,0,134.619,0.254325,89.6587,151.002,156.191,-5.298,319.728,142.375,116.269,102.762,108.247,-35.7071,195.559,190.759,334.984,216.477,197.555,72.1953,332.896,180.013,89.1045,189.459,172.724,189.227,73.9092,247.726,149.505,207.14,154.492,85.2241,220.693,274.01,217.038,13.1843,-3.83417,217.886,202.712,-72.3024,150.964,57.6476,70.0273,88.6956,163.083,165.583,55.9572,-47.004,51.7402,53.9887,10.8835,81.809,2.12699,69.8149,183.263,182.326,160.205,75.6872,87.1511,108.094,69.9655,68.4556,158.021,58.2711,129.936,281.545,347.984,190.331,269.991,220.649,102.538,49.8804,262.162,108.749,187.491,44.8027,89.1609,186.693,-94.6691,325.15,238.112,178.882
0,0,113.44,0.380136,23.7994,73.6044,101.194,138.443,121.911,114.846,123.892,74.713,114.022,129.084,101.588,110.769,88.0894,92.9895,171.793,77.8718,113.699,128.483,71.6732,120.942,111.162,163.877,131.608,85.0113,182.682,116.442,124.82,69.9869,132.853,92.995,128.63,111.625,103.197,69.0157,117.096,124.277,159.042,130.332,114.248,132.426,107.234,141.53,104.659,95.2314,105.14,46.4608,135.993,126.833,99.8674,122.92,97.7467,86.1669,157.19,79.6574,102.338,92.7378,75.7004,149.635,89.8043,103.656,83.6615,122.571,146.839,118.605,64.4914,101.423,126.258,105.737,95.8563,134.893,121.697,122.992,123.322,74.5702,135.869,142.336,150.592,132.762
0,0,123.964,1.54681,76.7601,89.5113,168.142,209.944,2.98972,98.8436,275.725,212.276,109.876,56.4178,112.705,191.805,58.4784,17.7161,55.3563,267.606,164.965,104.355,77.0187,105.411,56.517,240.44,171.242,38.9479,66.9088,85.3672,-27.5691,67.1406,224.105,167.502,189.726,199.341,109.737,186.008,125.808,100.52,85.1555,141.018,117.084,28.2,77.5603,184.749,132.671,52.7391,142.337,177.12,115.931,208.077,174.697,-50.0713,58.6908,14.8346,184.304,88.4308,123.507,90.0069,208.848,142.336,186.755,228.855,161.593,24.8639,34.3103,72.8945,312.854,-48.5871,174.55,202.379,166.578,213.302,123.996,240.761,295.773,64.2149,68.3137,175.038,39.6488,104.451
0,0,116.673,2.40072,140.841,71.3972,-11.7815,198.957,182.072,267.729,172.508,-91.0737,77.0884,249.616,275.772,136.611,251.216,106.06,-11.3237,90.943,152.777,140.505,-40.0486,84.8075,41.7482,75.2789,18.21,1.23023,87.7898,278.111,241.391,139.048,394.491,225.873,192.448,168.949,248.85,98.8784,162.868,177.993,53.9017,-60.5879,393.324,66.8226,146.408,18.5822,-112.137,19.6599,-33.5722,159.262,182.3,183.596,77.3921,166.86,-1.59341,38.3308,-76.9895,-55.3551,379.745,189.78,323.77,129.737,289.805,32.4272,405.869,157.402,-62.8736,73.2945,106.51,29.852,273.927,203.992,241.156,56.2161,154.281,202.745,70.3322,367.791,-6.65509,252.637,144.454,93.9769
0,0,109.365,4.34607,5.8624,82.943,67.8625,75.046,69.7199,88.875,79.6447,78.6046,82.4146,77.5497,86.2613,84.4403,79.7479,79.3564,85.6678,83.4221,88.4831,90.4532,90.0131,94.0975,98.6943,89.9899,96.1606,94.4835,94.8022,105.22,106.774,98.6112,98.0013,96.7329,89.464,98.1915,99.9317,97.7932,116.341,106.755,99.1356,99.6252,105.841,113.982,110.377,104.598,110.141,119.872,110.421,110.671,123.296,118.67,116.478,117.677,115.152,121.724,119.623,127.94,140.231,115.787,129.225,114.431,115.166,135.298,135.231,134.329,129.423,137.163,145.815,128.278,133.142,129.376,134.194,124.63,132.952,134.79,143.309,138.85,132.418,133.462,145.704,144.301
0,0,100.051,2.07609,159.357,3.9749,39.4655,147.99,21.8517,103.573,195.524,-178.979,127.979,-15.4383,-218.743,67.8748,16.21,-47.639,154.482,181.097,-251.962,47.4576,92.9505,-48.6131,227.386,-164.662,47.2413,347.562,-45.2765,277.909,45.2955,183.775,-26.0755,-11.5581,98,26.2108,178.965,20.7491,-225.114,328.631,-22.886,187.137,31.2485,287.091,220.198,160.62,263.464,85.2296,284.771,168.193,129.51,73.723,87.3941,-98.8662,132.398,84.9874,286.204,-77.5935,142.55,255.961,25.8114,85.8659,-90.5234,240.614,185.757,71.9637,221.561,-109.39,-280.945,150.828,-45.1008,255.446,54.0329,51.7217,243.285,19.3759,-68.3797,143.792,-6.85745,319.65,158.541,-1.10093
