# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2b_ppc_model
# start_datetime = 2022-06-12 17:39:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\jtbkkbit.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2b_ppc-20220612193951.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,92.8203,0.238312,6.23761,89.2559,82.3967,89.8628,88.2735,86.6722,84.8917,98.9151,90.3036,88.2152,89.1131,88.4173,90.6515,88.137,89.3877,97.3831,92.8431,103.284,92.7863,103.804,86.0772,97.8745,89.5684,93.3505,92.9713,88.2744,93.4437,87.2938,93.2376,85.8421,97.4892,93.1746,91.9896,86.9163,89.758,88.06,99.2288,88.4433,87.4934,84.6954,85.4431,80.5379,89.3918,89.7323,98.1489,97.2247,90.448,85.2328,97.4372,90.0525,95.0908,98.6537,90.2595,89.3383,98.7915,90.6753,85.4773,88.452,83.8494,93.0147,88.3989,83.6996,93.2253,98.7708,99.0047,99.901,98.0249,100.497,89.5274,102.871,103.427,96.4769,89.8798,104.438,102.582,101.876,94.1809
0,0,146.952,0.551097,133.529,119.221,24.6616,248.619,-61.554,274.656,-1.52094,16.8402,197.812,294.978,136.003,364.994,269.513,285.149,162.691,-51.9521,159.834,301.34,190.935,278.164,170.873,321.031,410,195.575,241.293,132.212,221.532,6.6534,312.237,103.399,132.934,127.442,-61.3373,-12.2671,105.494,48.9345,185.863,46.3563,81.6843,164.484,106.746,218.76,509.235,320.896,427.115,42.546,199.363,160.429,192.72,111.105,65.1182,230.535,102.646,138.887,-138.909,-107.445,102.271,307.723,161.548,121.866,121.519,109.299,161.934,251.494,285.919,210.026,242.827,250.573,407.138,17.8131,81.8148,174.864,311.409,280.46,30.0924,-58.7922,172.651
0,0,142.023,0.875654,87.5025,253.899,127.733,65.0413,284.788,225.51,169.879,48.1536,230.237,124.452,260.549,207.796,121.176,-111.482,37.5823,162.23,168.746,-64.649,198.273,196.293,-31.0548,269.316,41.0908,145.248,305.934,262.079,153.131,190.547,163.58,88.9804,164.374,131.307,76.2204,123.64,167.623,86.0749,104.301,214.425,48.5455,107.312,86.7125,116.254,-37.4451,31.1271,76.4859,-106.093,104.81,51.7667,263.637,210.363,131.711,122.519,243.019,196.602,88.064,243.965,20.7013,172.126,272.491,251.218,63.5307,30.9527,247.645,175.901,87.6881,127.009,248.365,117.395,227.553,68.3182,104.688,235.211,20.4015,188.549,228.165,174.942,176.559
0,0,102.685,0.859905,77.7053,26.6546,95.1991,245.987,-22.7789,-21.9989,53.7777,-34.6454,113.421,223.328,174.3,129.485,127.766,154.738,96.5204,239.412,95.1825,117.163,140.249,68.6551,24.9803,84.2762,12.5957,90.3727,118.399,214.442,-18.3198,-34.1464,207.819,135.083,33.4159,161.498,199.188,45.4852,95.2441,60.6235,50.633,80.8742,89.7975,84.6296,123.671,134.087,45.4414,390.425,48.2128,111.048,29.4179,106.516,80.6977,183.036,299.178,87.4651,127.409,96.2348,36.9444,83.1634,114.462,162.733,77.0042,155.292,75.0718,212.257,88.7688,34.6702,55.6067,53.3868,85.4718,80.4856,184.245,46.3765,54.8158,145.544,125.36,44.5843,208.047,183.846,151.832
0,0,117.906,0.618471,53.4704,135.843,187.524,40.5995,76.8644,125.028,128.214,31.9975,225.927,120.25,104.773,96.8092,100.172,14.4128,152.427,149.655,235.76,165.177,153.984,79.3139,234.882,143.798,89.6734,149.614,139.726,149.659,80.9783,184.731,126.246,160.709,129.403,88.1851,169.068,200.957,167.071,45.5893,35.5316,167.852,158.895,-5.02604,128.217,72.6568,80.1315,91.3566,135.811,137.394,72.1074,10.7955,69.776,71.2088,45.5936,87.9837,40.5549,81.0142,148.764,148.297,135.196,84.8834,91.8119,104.394,81.7463,80.9376,134.444,75.0474,117.878,208.386,248.101,154.172,201.771,172.437,102.089,70.7774,197.469,106.069,153.121,68.1163,94.6623
0,0,118.206,0.0758905,291.078,447.167,254.718,211.436,-163.821,33.433,-332.634,3.83761,458.445,255.289,167.919,277.596,-324.857,154.944,338.203,0.949475,112.273,-166.075,-107.108,855.74,-293.931,143.29,323.141,-372.634,228.988,108.404,752.173,356.548,-214.321,979.272,168.166,269.666,-401.931,365.984,-122.458,312.414,103.468,-0.574241,-419.591,167.488,254.35,678.588,326.484,128.807,350.169,41.0955,459.584,7.6765,-108.597,11.6207,-707.012,387.041,274.057,-56.7141,224.266,-84.5788,-227.169,640.521,-308.711,-32.285,-150.658,-359.997,543.299,-189.426,-20.9779,-266.483,208.432,504.276,158.007,-504.798,-54.0708,248.712,-3.23458,-125.044,351.427,189.074,203.95
0,0,113.06,0.17398,122.683,245.788,287.965,195.678,215.998,165.49,19.3785,76.5673,201.754,268.079,-63.1741,89.5399,371.757,269.864,105.716,19.7897,109.265,235.203,21.6261,-44.0085,15.6648,354.41,189.876,92.5212,48.3444,93.2373,14.606,308.077,196.995,-14.9311,29.272,58.2878,-122.7,28.1855,278.57,187.619,222.653,237.534,93.8376,215.254,118.551,77.65,52.6071,141.404,102.666,-39.8797,38.5252,209.356,125.636,-2.6026,140.113,195.22,96.9375,243.726,189.89,-169.835,3.51015,-67.0693,203.302,49.5855,105.161,51.1331,240.587,133.797,204.304,271.106,163.118,-55.8964,-41.2843,19.8976,402.93,-175.233,180.914,224.905,167.2,241.392,98.1717
0,0,134.685,8.13926,86.4351,1.86231,123.3,-27.8932,46.3381,125.813,161.332,-0.588146,72.7769,23.0474,153.696,144.652,198.537,141.418,-19.0262,85.4934,192.692,210.062,125.976,197.627,109.861,39.1405,103.22,142.485,136.272,26.7826,104.725,79.617,101.513,67.8069,58.704,113.144,231.262,210.045,148.554,306.638,204.475,185.279,172.175,222.529,131.808,172.397,182.996,108.159,39.2133,319.099,120.041,170.201,93.0711,14.166,96.3679,65.0168,184.678,200.134,202.247,138.387,194.612,92.5484,118.368,48.9127,63.5075,331.848,216.584,300.132,182.37,281.922,125.286,355.787,204.619,70.7525,155.637,177.339,131.612,282.72,241.118,265.243,153.062
0,0,110.089,1.64044,50.708,182.72,48.0519,141.552,102.749,84.7215,106.199,175.035,97.7937,170.455,32.4271,86.9762,33.3208,191.421,103.995,87.4127,112.782,63.1161,130.883,107.546,59.3708,48.3992,95.4041,68.3938,104.584,114.039,102.646,130.389,162.563,79.6872,125.475,103.383,98.5538,181.082,186.933,108.742,95.8808,77.3235,6.86307,74.7675,82.2341,56.1501,209,118.492,45.0035,41.6521,87.831,150.663,111.897,54.3217,94.6809,171.264,81.9264,76.5103,178.123,130.519,103.98,106.759,77.3338,126.599,100.838,165.189,263.918,44.8951,153.549,17.9968,16.768,183.318,175.149,159.767,109.744,169.108,236.353,77.0763,111.563,71.4093,105.497
0,0,64.2788,0.417893,84.7952,110.689,33.0453,-73.1481,-71.1979,92.736,59.2805,32.3799,123.869,158.928,19.7235,38.4594,96.0573,28.789,72.1247,120.904,-78.5222,84.6644,8.20164,-100.128,52.2354,24.595,-9.52858,97.873,111.886,-118.698,40.4772,64.5354,-10.9409,135.772,-72.9895,39.6172,199.272,-9.9104,161.911,37.9859,111.523,-0.289321,7.28653,65.4344,27.0857,108.219,23.8815,-107.093,187.41,0.215932,111.822,28.7234,164.71,128.967,97.1164,151.691,56.7023,162.731,100.55,79.8175,49.9836,57.1091,-42.1508,80.7583,55.3815,162.302,-31.4273,85.5644,145.762,23.1484,54.955,-39.0524,137,107.661,46.9616,126.415,-49.8364,-141.271,88.3298,-16.0746,143.7
0,0,99.6135,0.679382,6.144,99.8337,91.3199,88.0555,96.3548,90.6656,103.373,97.2806,91.2446,99.7479,80.7793,88.5321,89.9131,101.307,94.4191,98.5345,93.739,105.202,89.8619,96.8397,93.1032,97.6193,101.045,97.3282,100.962,94.6789,103.025,90.7469,95.5562,94.0397,104.625,96.5557,97.7942,80.7639,102.081,113.166,104.821,103.048,103.151,116.735,91.5,104.985,100.119,106.167,105.87,96.4274,84.3034,99.6378,94.0057,103.654,111.169,91.9328,105.841,102.554,103.576,113.528,98.1079,107.397,102.268,95.1137,103.068,106.82,107.74,111.353,106.788,91.8707,110.299,95.8687,107.184,101.896,101.468,105.027,100.355,98.4328,98.7957,112.606,107.215
0,0,127.143,2.81532,62.7863,57.3299,119.791,263.602,102.304,177.305,232.665,157.828,142.501,67.6082,57.8532,148.424,177.427,132.347,207.763,104.262,91.8933,167.67,171.074,160.738,69.8839,154.94,126.636,144.445,213.477,14.9748,152.496,57.2203,171.505,80.6049,165.865,149.883,48.1471,39.4581,204.769,114.307,65.8124,-12.0304,161.004,179.806,134.127,202.817,81.9786,-74.1861,112.832,139.182,59.9039,172.807,102.457,173.514,164.135,151.961,257.584,179.371,239.503,67.6792,30.2911,109.249,141.063,135.693,161.918,92.1062,215.714,171.175,119.765,108.682,60.8368,168.074,52.1609,120.876,187.676,155.568,152.126,74.8182,257.425,94.4023,184.82
0,0,115.643,2.01044,203.988,201.943,-168.672,-0.417734,-60.4074,290.402,180.366,-208.786,-212.457,-0.160532,-176.125,351.239,-203.834,48.483,-165.662,231.502,182.971,151.914,191.58,115.794,119.198,29.1464,-65.2912,52.9758,206.58,176.853,-192.881,110.301,322.082,218.144,195.289,-12.244,239.051,209.111,98.8336,324.588,157.247,74.4636,316.026,-103.334,88.5542,-75.2762,-66.8336,90.0939,-248.367,214.445,235.596,-153.163,-136.147,91.0076,652.405,178.706,58.7961,-130.072,386.679,358.417,616.641,99.881,-39.2306,-3.56003,640.472,40.4639,473.142,265.363,15.3831,130.105,25.9966,193.419,101.752,41.5796,191.26,-12.3586,133.247,-310.467,242.901,194.258,-16.3938
