# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2b_ppc_model
# start_datetime = 2022-06-13 19:03:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\zbodusxa.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2b_ppc-20220613210351.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,92.8203,0.238312,1.24752,90.8564,89.5227,91.054,90.7743,90.4922,90.1742,93.017,91.3328,90.9533,91.171,91.07,91.5549,91.0901,91.3784,93.0156,92.1458,94.2721,92.2107,94.4522,90.9451,93.3427,91.7196,92.5141,92.4764,91.5752,92.6472,91.4553,92.6822,91.2412,93.6088,92.784,92.5851,91.6086,92.2151,91.9136,94.1855,92.0665,91.9147,91.3932,91.5809,90.638,92.4469,92.5531,94.2746,94.1279,92.8106,91.8057,94.2847,92.8459,93.8917,94.6424,93.0017,92.8556,94.7844,93.1993,92.1978,92.8309,91.9485,93.8197,92.9346,92.0329,93.9762,95.1234,95.2083,95.4257,95.0886,95.6212,93.4654,96.1722,96.3215,94.9697,93.6884,96.6381,96.3051,96.2019,94.7011
0,0,146.952,0.551097,26.7058,138.513,119.689,164.569,102.622,169.953,114.805,118.566,154.848,174.37,142.663,188.549,169.541,172.757,148.353,105.513,147.958,176.348,154.355,171.889,150.518,180.638,198.52,155.723,164.955,143.227,161.179,118.292,179.497,137.817,143.813,142.802,105.135,115.037,138.677,127.454,154.927,127.114,134.268,150.916,139.457,161.948,220.131,182.551,203.883,127.058,158.509,150.811,157.357,141.122,132.013,165.184,139.695,147.031,91.5602,97.9412,139.973,181.151,152.004,144.156,144.175,141.819,152.434,170.434,177.407,162.317,168.965,170.603,202.004,124.227,137.116,155.814,183.211,177.109,127.124,109.435,155.812
0,0,142.023,0.875654,17.5005,159.801,134.708,122.31,166.399,154.684,143.698,119.493,156.05,135.033,162.392,151.982,134.798,88.4061,118.359,143.429,144.872,98.3332,151.058,150.802,105.472,165.687,120.182,141.153,173.431,164.8,143.15,150.773,145.52,130.74,145.959,139.486,128.609,138.233,147.169,131,134.785,156.95,123.914,135.808,131.828,137.876,107.277,121.131,130.343,93.9672,136.288,125.819,168.334,157.819,142.229,140.53,164.771,155.627,134.06,165.38,120.867,151.292,171.505,167.391,129.994,123.618,167.097,152.888,135.385,143.39,167.801,141.747,163.919,132.212,139.626,165.871,123.049,156.819,164.882,154.377,154.841
0,0,102.685,0.859905,15.5411,82.9648,96.8113,127.106,73.4908,73.7844,89.0773,71.5303,101.281,123.4,113.732,104.907,104.7,110.232,98.7265,127.442,98.7341,103.268,108.023,93.8414,85.244,97.2408,83.0423,98.7353,104.478,123.824,77.4095,74.3818,122.912,108.503,88.307,114.061,121.737,91.1336,101.223,94.4364,92.5759,98.7618,100.684,99.788,107.734,109.955,92.3631,161.497,93.1926,105.897,89.7087,105.266,100.24,120.845,144.211,102.006,110.132,104.035,92.3147,101.696,108.093,117.885,100.877,116.672,100.766,128.34,103.78,93.0982,97.423,97.1166,103.671,102.812,123.701,96.2649,98.0904,116.374,112.474,96.4568,129.287,124.584,118.319
0,0,117.906,0.618471,10.6941,118.247,128.682,99.3962,106.748,116.48,117.216,98.0716,136.956,115.92,112.923,111.43,112.201,95.1484,122.85,122.395,139.715,125.697,123.557,108.722,139.935,121.817,111.091,123.178,121.3,123.385,109.748,130.597,118.999,125.991,119.829,111.684,127.96,134.436,127.758,103.561,101.648,128.211,126.519,93.8335,120.581,109.568,111.162,113.506,122.496,122.911,109.953,97.7894,109.684,110.07,105.046,113.623,104.236,112.427,126.076,126.081,123.56,113.597,115.081,117.696,113.266,113.203,124.004,112.223,120.888,139.089,147.131,128.444,138.063,132.295,118.324,112.161,137.598,119.417,128.926,112.024,117.432
0,0,118.206,0.0758905,58.2157,183.6,145.122,136.478,61.4383,100.901,27.7001,95.0065,185.94,145.321,127.859,149.807,29.3282,125.301,161.965,94.526,116.803,61.1454,72.9509,265.533,35.6105,123.067,159.049,19.9064,140.243,116.138,244.904,165.791,51.6298,290.361,128.151,148.464,14.1564,167.752,70.0752,157.062,115.285,94.4884,10.6972,128.125,145.51,230.369,159.961,120.437,164.722,102.919,186.629,96.26,73.0174,97.0731,-46.6413,172.181,149.597,83.4547,139.663,77.906,49.4002,222.95,33.1161,88.4134,64.7509,22.8952,203.567,57.0337,90.7355,41.6465,136.642,195.823,126.581,-5.96776,84.1898,144.758,94.3813,70.0315,165.338,132.879,135.867
0,0,113.06,0.17398,24.5366,138.692,147.155,128.726,132.817,122.744,93.5492,105.015,130.08,143.373,77.15,107.721,164.192,143.841,111.039,93.8819,111.805,137.02,94.3327,81.2336,93.1961,160.973,128.094,108.651,99.8434,108.85,93.1514,151.873,129.685,87.3275,96.1959,102.027,65.8573,96.0621,146.167,128.004,135.039,138.043,109.332,133.643,114.33,106.178,101.197,118.984,111.265,82.7831,98.492,132.686,115.97,90.3499,118.921,129.97,110.341,139.727,128.988,57.0706,91.7673,77.6793,131.781,101.066,112.209,101.431,139.35,118.02,132.149,145.537,123.967,80.1922,83.1425,95.4067,172.041,56.4362,127.693,136.52,125.006,139.873,111.256
0,0,134.685,8.13926,17.287,65.3925,90.9823,62.0459,78.1945,95.3917,103.798,72.7161,88.6913,80.0477,107.48,106.973,119.053,108.931,78.1444,100.351,123.093,127.869,112.354,127.986,111.736,98.8937,113.012,122.167,122.227,101.631,118.522,114.803,120.484,115.045,114.527,126.717,151.643,148.702,137.706,170.625,151.495,148.958,147.639,159.012,142.171,151.591,155.013,141.348,128.861,186.14,147.631,158.965,144.841,130.363,148.105,143.137,168.372,172.765,174.49,163.021,175.568,156.457,162.924,150.335,154.556,209.527,187.776,205.788,183.538,204.75,174.725,222.128,193.197,167.726,186.005,191.648,183.804,215.328,208.31,214.437,193.304
0,0,110.089,1.64044,10.1416,116.003,89.3323,108.295,100.797,97.4536,102.012,116.041,100.855,115.65,88.3071,99.4794,89.0108,120.893,103.67,100.617,105.953,96.2822,110.098,105.693,96.3205,94.3887,104.052,98.9125,106.413,108.566,106.55,112.361,119.059,102.746,112.166,108.01,107.307,124.075,125.508,110.132,107.822,104.373,90.5434,104.387,106.143,101.188,132.021,114.182,99.7464,99.3385,108.837,121.666,114.175,102.922,111.257,126.836,109.231,108.41,128.995,119.737,114.691,115.51,109.887,120.003,115.113,128.246,148.254,104.712,126.705,99.8569,99.8736,133.446,132.075,129.261,119.519,131.654,145.365,113.773,120.932,113.164,120.244
0,0,64.2788,0.417893,16.959,71.367,55.9052,34.7333,35.1902,68.0439,61.4196,56.1064,74.4711,81.5497,53.7757,57.5897,69.1762,55.7894,64.5234,74.346,34.5277,67.2319,52.0062,30.4072,60.9467,55.4855,48.7276,70.2748,73.1442,27.0944,58.9962,63.8747,48.8463,78.2557,36.5703,59.1586,91.1563,49.3868,83.8178,59.0997,73.874,51.5784,53.1605,64.8569,57.254,73.5475,56.7469,30.6188,89.5864,52.2144,74.6025,58.0496,85.3139,78.2321,71.9288,82.9106,63.9797,85.2523,72.8829,68.8033,62.9034,64.3954,44.6103,69.2589,64.2504,85.7014,47.0224,70.4876,82.594,58.1381,64.5663,45.8317,81.1091,75.3081,63.2351,79.1926,44.0092,25.7891,71.7762,50.9622,82.984
