# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2b_ppc_model
# start_datetime = 2022-06-13 19:31:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\m_t6iirt.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2b_ppc-20220613213140.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,94.0742,0.238312,0.878536,92.2221,91.2969,92.3895,92.2066,92.022,91.8122,93.8282,92.6563,92.4031,92.5705,92.5135,92.8691,92.5559,92.773,93.94,93.3416,94.8531,93.4155,95.0081,92.5524,94.255,93.126,93.6997,93.6872,93.0666,93.8356,93.0104,93.8885,92.8878,94.5692,94.0025,93.8765,93.2029,93.6441,93.4459,95.0599,93.5818,93.489,93.1358,93.2821,92.6322,93.9201,94.009,95.2354,95.1462,94.2327,93.5391,95.299,94.2999,95.0504,95.5932,94.4518,94.363,95.7354,94.6333,93.9421,94.402,93.7947,95.1265,94.5174,93.8965,95.2791,96.1011,96.175,96.3422,96.1189,96.508,95.0039,96.9243,97.0435,96.1056,95.2174,97.3088,97.0883,97.0298,95.9869
0,0,131.967,0.551097,18.8069,124.939,111.715,143.353,99.7614,147.21,108.406,111.087,136.671,150.451,128.155,160.501,147.148,149.445,132.292,102.155,132.079,152.104,136.649,149.029,134.013,155.256,167.882,137.776,144.31,129.041,141.716,111.546,154.681,125.362,129.616,128.937,102.443,109.449,126.13,118.259,137.639,118.085,123.155,134.912,126.875,142.746,183.753,157.321,172.376,118.306,140.488,135.099,139.741,128.341,121.959,145.351,127.433,132.633,93.6011,98.1274,127.76,156.791,136.298,130.804,130.849,129.223,136.731,149.44,154.383,143.789,148.503,149.689,171.835,117.095,126.204,139.404,158.731,154.466,119.298,106.874,139.566
0,0,128.516,0.875654,12.3243,139.312,121.693,113.014,144.114,135.916,128.231,111.237,137.033,122.284,141.603,134.324,122.274,89.6557,110.801,128.508,129.576,96.8538,134.036,133.907,102.037,144.493,112.499,127.32,150.102,144.076,128.881,134.302,130.654,120.297,131.067,126.56,118.952,125.781,132.126,120.791,123.508,139.169,115.956,124.384,121.633,125.944,104.447,114.255,120.794,95.2296,125.085,117.764,147.756,140.403,129.475,128.331,145.454,139.066,123.93,146.038,114.743,136.221,150.507,147.662,121.377,116.939,147.61,137.655,125.382,131.07,148.313,130.017,145.683,123.406,128.679,147.213,117.108,140.942,146.672,139.326,139.704
0,0,100.98,0.859905,10.9444,85.3994,95.2013,116.587,78.8802,79.1379,89.9584,77.6522,98.6543,114.282,107.524,101.36,101.266,105.212,97.1605,117.434,97.2676,100.511,103.91,93.9746,87.971,96.4703,86.5222,97.6245,101.72,115.395,82.759,80.6776,114.905,104.808,90.6367,108.824,114.28,92.7799,99.9359,95.2076,93.9482,98.3553,99.7599,99.1797,104.826,106.441,94.1035,142.841,94.7894,103.787,92.4377,103.444,99.9558,114.517,131.023,101.352,107.126,102.883,94.6799,101.337,105.893,112.84,100.913,112.087,100.936,120.406,103.161,95.6894,98.786,98.6211,103.288,102.733,117.495,98.2247,99.5611,112.488,109.792,98.5633,121.734,118.473,114.112
0,0,111.634,0.618471,7.53104,110.657,118.042,97.4549,102.669,109.559,110.114,96.6684,124.089,109.311,107.237,106.222,106.802,94.8294,114.374,114.09,126.324,116.489,115.019,104.608,126.625,113.903,106.386,114.935,113.648,115.153,105.586,120.306,112.175,117.135,112.832,107.133,118.631,123.229,118.562,101.558,100.248,118.991,117.836,94.8546,113.727,106.008,107.167,108.855,115.222,115.551,106.462,97.9331,106.347,106.655,103.153,109.23,102.656,108.461,118.109,118.15,116.411,109.431,110.513,112.391,109.308,109.3,116.943,108.683,114.822,127.676,133.376,120.252,127.063,123.038,113.236,108.932,126.882,114.115,120.848,108.982,112.827
0,0,111.844,0.0758905,40.997,157.747,130.654,124.571,71.7311,99.5264,47.9807,95.3841,159.426,130.826,118.533,133.994,49.1542,116.745,142.569,95.0816,110.774,71.5831,79.9014,215.527,53.6143,115.208,140.552,42.5685,127.317,110.347,201.031,145.322,64.9314,233.056,118.829,133.138,38.5596,146.73,77.948,139.211,109.795,95.1539,36.1505,118.851,131.098,190.863,141.284,113.455,144.646,101.127,160.082,96.4464,80.0828,97.028,-4.17483,149.93,134.03,87.4555,127.043,83.557,63.487,185.71,52.0283,90.9745,74.3152,44.8439,172.082,68.8941,92.6322,58.067,124.97,166.651,117.894,24.5538,88.0495,130.708,95.2356,78.0924,145.214,122.36,124.469
0,0,108.242,0.17398,17.2793,125.95,131.92,118.952,121.844,114.76,94.211,102.296,119.957,129.329,82.7034,104.242,144.021,129.7,106.61,94.538,107.17,124.938,94.8863,85.6719,94.1065,141.847,118.703,105.021,98.8288,105.182,94.1367,135.501,119.885,90.0662,96.3219,100.439,74.9772,96.2586,131.554,118.774,123.738,125.864,105.655,122.786,109.195,103.465,99.9673,112.504,107.078,87.0307,98.1035,122.194,110.432,92.4005,112.531,120.323,106.51,127.214,119.662,69.0261,93.4708,83.5599,121.67,100.05,107.907,100.328,127.041,112.03,121.991,131.429,116.25,85.4325,87.5204,96.1675,150.146,68.7441,118.935,125.161,117.064,127.543,107.401
0,0,123.38,8.13926,12.174,58.561,77.0635,57.1672,69.0209,81.6131,88.0145,66.6073,78.339,72.7334,92.5333,92.658,101.646,94.9996,73.8005,89.9201,106.417,110.262,99.8176,111.308,100.345,91.783,102.207,109.136,109.659,95.6367,108.013,105.875,110.358,107.009,107.126,116.192,134.227,132.637,125.375,149.039,136.048,134.743,134.296,142.787,131.408,138.523,141.414,132.273,123.961,164.78,138.142,146.605,137.14,127.426,140.402,137.385,155.637,159.213,160.909,153.313,162.631,149.654,154.689,146.305,149.759,188.953,174.117,187.283,172.095,187.515,166.852,200.716,180.823,163.367,176.721,181.176,176.135,198.816,194.355,199.152,184.75
0,0,106.162,1.64044,7.14197,107.098,88.413,101.864,96.6806,94.4233,97.7302,107.707,97.1101,107.626,88.4673,96.4322,89.157,111.706,99.6748,97.6212,101.476,94.7629,104.589,101.584,95.081,93.8176,100.72,97.1975,102.577,104.19,102.867,107.057,111.87,100.479,107.21,104.381,103.982,115.888,116.994,106.263,104.733,102.401,92.7593,102.605,103.939,100.547,122.357,109.891,99.8225,99.6324,106.418,115.55,110.372,102.544,108.511,119.579,107.278,106.797,121.39,114.968,111.512,112.185,108.322,115.543,112.197,121.542,135.729,105.163,120.748,101.938,102.047,125.787,124.918,123.033,116.27,124.913,134.666,112.514,117.653,112.28,117.363
0,0,74.0951,0.417893,11.943,78.2643,67.4004,52.5154,52.8619,76.0229,71.3827,67.6657,80.6233,85.633,66.0985,68.8092,76.9934,67.5908,73.7662,80.7083,52.692,75.7478,65.0502,49.8643,71.3957,67.5745,62.8402,78.039,80.0844,47.6797,70.1705,73.6308,63.0721,83.8077,54.4765,70.4084,92.9668,63.5763,87.8482,70.4659,80.895,65.2186,66.3574,74.6191,69.2897,80.7887,68.982,50.6066,92.1578,65.8642,81.6552,70.023,89.2479,84.2854,79.8712,87.6296,74.3227,89.3281,80.642,77.7938,73.6636,74.739,60.8306,78.2135,74.7111,89.8421,62.6281,79.1777,87.728,70.5303,75.0819,61.9132,86.7812,82.7207,74.2433,85.5057,60.7534,47.947,80.357,65.724,88.2993
