# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2b_ppc_model
# start_datetime = 2022-06-21 17:25:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\kyqzyyby.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2b_ppc-20220621192504.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,104.365,0.238312,0.930986,102.497,101.514,102.669,102.472,102.274,102.049,104.182,102.937,102.666,102.841,102.778,103.152,102.817,103.044,104.278,103.641,105.24,103.713,105.398,102.793,104.595,103.395,104,103.984,103.324,104.136,103.259,104.186,103.123,104.902,104.299,104.162,103.446,103.91,103.697,105.405,103.836,103.734,103.357,103.51,102.818,104.18,104.271,105.568,105.471,104.5,103.762,105.624,104.562,105.355,105.927,104.715,104.618,106.07,104.899,104.163,104.648,104.002,105.41,104.762,104.101,105.563,106.431,106.507,106.681,106.442,106.851,105.254,107.287,107.41,106.413,105.469,107.683,107.446,107.381,106.273
0,0,144.964,0.551097,19.9297,137.736,123.716,157.236,111.036,161.31,120.183,123.017,150.122,164.718,141.084,175.356,161.199,163.626,145.443,113.5,145.204,166.418,150.033,163.146,147.226,169.732,183.105,151.195,158.112,141.925,155.35,123.372,169.076,138,142.502,141.776,113.693,121.111,138.781,130.433,150.964,130.236,135.603,148.054,139.531,156.343,199.791,171.775,187.722,130.417,153.917,148.199,153.113,141.025,134.255,159.038,140.044,145.547,104.178,108.968,140.363,171.121,149.398,143.569,143.611,141.881,149.831,163.291,168.523,157.29,162.279,163.529,186.991,128.976,138.623,152.604,173.078,168.552,131.278,118.105,152.743
0,0,141.267,0.875654,13.0601,153.056,134.374,125.166,158.113,149.415,141.261,123.242,150.567,134.927,155.389,147.665,134.885,100.309,122.707,141.46,142.581,107.895,147.286,147.14,113.356,158.337,124.422,140.117,164.249,157.853,141.741,147.474,143.598,132.613,144.015,139.228,131.155,138.382,145.096,133.073,135.943,152.528,127.919,136.839,133.913,138.472,115.68,126.064,132.983,105.881,137.508,129.741,161.512,153.71,142.119,140.897,159.031,152.252,136.201,159.619,126.445,149.195,164.323,161.297,133.433,128.72,161.211,150.652,137.635,143.652,161.914,142.516,159.106,135.489,141.066,160.696,128.784,154.03,160.091,152.297,152.687
0,0,111.764,0.859905,11.5978,95.5952,105.972,128.624,88.656,88.9187,100.375,87.3238,109.57,126.12,118.949,112.406,112.296,116.468,107.925,129.398,108.018,111.445,115.037,104.498,98.1252,107.122,96.5694,108.324,112.654,127.135,92.5404,90.3245,126.585,115.875,100.847,120.11,125.882,103.088,110.661,105.64,104.295,108.955,110.433,109.808,115.781,117.482,104.398,156.034,105.104,114.629,102.592,114.245,110.538,125.959,143.44,111.987,118.095,113.588,104.885,111.93,116.748,124.099,111.45,123.281,111.454,132.076,113.791,105.863,109.134,108.949,113.884,113.286,128.919,108.488,109.894,123.582,120.715,108.806,133.349,129.884,125.252
0,0,123.18,0.618471,7.98066,122.39,130.208,108.385,113.903,121.196,121.777,107.522,136.572,120.904,118.699,117.616,118.223,105.528,126.233,125.924,138.881,128.452,126.886,115.847,139.171,125.682,117.709,126.76,125.39,126.977,116.832,132.422,123.798,129.048,124.48,118.433,130.611,135.476,130.523,112.497,111.101,130.955,129.724,105.363,125.355,117.168,118.389,120.17,126.91,127.251,117.612,108.567,117.475,117.794,114.076,120.508,113.534,119.678,129.895,129.931,128.081,120.677,121.816,123.799,120.524,120.509,128.6,119.84,126.338,139.952,145.985,132.071,139.28,135.007,124.613,120.045,139.059,125.522,132.65,120.068,124.136
0,0,123.404,0.0758905,43.4445,172.078,143.367,136.92,80.924,110.378,55.7539,105.986,173.851,143.542,130.515,146.898,56.992,128.617,155.982,105.659,122.287,80.7554,89.5694,233.291,61.7111,126.981,153.837,50.0032,139.81,121.826,217.924,158.888,73.6966,251.858,130.81,145.972,45.7468,160.374,87.4849,152.404,121.231,105.715,43.1884,130.825,143.802,207.134,154.595,125.103,158.155,112.038,174.512,107.076,89.7345,107.69,0.444713,163.749,146.899,97.5428,139.493,93.4097,72.1406,201.659,59.996,101.266,83.6117,52.38,187.213,77.8641,103.019,66.3889,137.285,181.453,129.784,30.8712,98.1569,143.361,105.77,87.6025,158.731,134.512,136.745
0,0,119.545,0.17398,18.3109,138.38,144.704,130.96,134.022,126.513,104.735,113.3,132.014,141.943,92.5322,115.355,157.506,142.328,117.858,105.063,118.447,137.273,105.426,95.6591,104.595,155.184,130.656,116.155,109.591,116.321,104.615,148.446,131.896,100.295,106.922,111.282,84.299,106.849,144.249,130.704,135.963,138.213,116.796,134.947,120.543,114.468,110.76,124.043,118.291,97.045,108.777,134.304,121.838,102.727,124.058,132.312,117.673,139.611,131.606,77.9448,103.847,93.3421,133.726,110.812,119.137,111.103,139.409,123.5,134.053,144.053,127.965,95.3057,97.5163,106.677,163.876,77.6127,130.799,137.394,128.811,139.914,118.567
0,0,135.764,8.13926,12.9008,70.3093,89.8192,68.6379,81.1021,94.3489,101.035,78.2529,90.5878,84.5504,105.435,105.47,114.898,107.757,85.1951,102.18,119.565,123.542,112.377,124.456,112.741,103.571,114.52,121.765,122.223,107.266,120.284,117.922,122.574,118.929,118.955,128.465,147.48,145.698,137.905,162.884,149.021,147.541,146.97,155.87,143.715,151.158,154.125,144.34,135.434,178.593,150.268,159.139,149.012,138.62,152.274,148.98,168.225,171.916,173.617,165.47,175.247,161.398,166.637,157.655,161.219,202.654,186.835,200.69,184.499,200.742,178.749,214.537,193.359,174.764,188.818,193.442,188.002,211.94,207.116,212.102,196.743
0,0,117.317,1.64044,7.56836,118.961,99.1399,113.374,107.862,105.45,108.935,119.488,108.239,119.363,99.0408,107.462,99.7325,123.609,110.839,108.643,112.709,105.575,115.969,112.765,105.853,104.495,111.79,108.038,113.718,115.408,113.987,118.407,123.488,111.398,118.511,115.493,115.051,127.648,128.8,117.409,115.769,113.278,103.041,113.455,114.848,111.234,134.327,121.097,110.408,110.187,117.358,127.015,121.508,113.194,119.497,131.207,118.152,117.623,133.068,126.242,122.56,123.254,119.141,126.773,123.207,133.091,148.106,115.695,132.191,112.239,112.334,137.472,136.532,134.515,127.328,136.467,146.783,123.289,128.716,123.002,128.369
0,0,82.9591,0.417893,12.656,87.5432,76.0257,60.247,60.6092,85.1481,80.2258,76.2819,90.0081,95.3118,74.6062,77.4737,86.1415,76.1726,82.7117,90.0632,60.3693,84.7966,73.4553,57.3579,80.1697,76.1154,71.0934,87.1946,89.3572,55.0129,78.8414,82.5033,71.3093,93.2778,62.1905,79.0686,102.969,71.8186,97.5346,79.1095,90.1563,73.539,74.7408,83.4907,77.8381,90.0187,77.5021,58.0247,102.052,74.1833,90.912,78.5803,98.948,93.6843,89.0015,97.2182,83.1118,99.0081,89.7984,86.7751,82.3934,83.528,68.7842,87.2,83.4835,99.5128,70.6691,88.2017,97.2576,79.0281,83.8465,69.8866,96.2342,91.9263,82.9378,94.8676,68.6326,55.0567,89.3966,73.885,97.8031
