# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2b_ppc_model
# start_datetime = 2022-06-21 17:32:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\pyk00xtv.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2b_ppc-20220621193255.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,99.3652,0.238312,0.930986,97.4972,96.514,97.6689,97.4722,97.2738,97.0486,99.1822,97.9374,97.6663,97.8408,97.7775,98.1515,97.8168,98.044,99.2779,98.6408,100.24,98.7135,100.398,97.7932,99.5945,98.3954,99.0004,98.9844,98.3239,99.136,98.2586,99.1863,98.123,99.902,99.2985,99.1622,98.4456,98.9102,98.6974,100.405,98.8357,98.7344,98.3574,98.5095,97.8179,99.18,99.2713,100.568,100.471,99.4998,98.762,100.624,99.5624,100.355,100.927,99.715,99.618,101.07,99.8987,99.1634,99.6479,99.0015,100.41,99.7617,99.1008,100.563,101.431,101.507,101.681,101.442,101.851,100.254,102.287,102.41,101.413,100.469,102.683,102.446,102.381,101.273
0,0,139.964,0.551097,19.9297,132.736,118.716,152.236,106.036,156.31,115.183,118.017,145.122,159.718,136.084,170.356,156.199,158.626,140.443,108.5,140.204,161.418,145.033,158.146,142.226,164.732,178.105,146.195,153.112,136.925,150.35,118.372,164.076,133,137.502,136.776,108.693,116.111,133.781,125.433,145.964,125.236,130.603,143.054,134.531,151.343,194.791,166.775,182.722,125.417,148.917,143.199,148.113,136.025,129.255,154.038,135.044,140.547,99.1785,103.968,135.363,166.121,144.398,138.569,138.611,136.881,144.831,158.291,163.523,152.29,157.279,158.529,181.991,123.976,133.623,147.604,168.078,163.552,126.278,113.105,147.743
0,0,136.267,0.875654,13.0601,148.056,129.374,120.166,153.113,144.415,136.261,118.242,145.567,129.927,150.389,142.665,129.885,95.3093,117.707,136.46,137.581,102.895,142.286,142.14,108.356,153.337,119.422,135.117,159.249,152.853,136.741,142.474,138.598,127.613,139.015,134.228,126.155,133.382,140.096,128.073,130.943,147.528,122.919,131.839,128.913,133.472,110.68,121.064,127.983,100.881,132.508,124.741,156.512,148.71,137.119,135.897,154.031,147.252,131.201,154.619,121.445,144.195,159.323,156.297,128.433,123.72,156.211,145.652,132.635,138.652,156.914,137.516,154.106,130.489,136.066,155.696,123.784,149.03,155.091,147.297,147.687
0,0,106.764,0.859905,11.5978,90.5952,100.972,123.624,83.656,83.9187,95.3749,82.3238,104.57,121.12,113.949,107.406,107.296,111.468,102.925,124.398,103.018,106.445,110.037,99.4975,93.1252,102.122,91.5694,103.324,107.654,122.135,87.5404,85.3245,121.585,110.875,95.8474,115.11,120.882,98.0877,105.661,100.64,99.295,103.955,105.433,104.808,110.781,112.482,99.398,151.034,100.104,109.629,97.5916,109.245,105.538,120.959,138.44,106.987,113.095,108.588,99.8855,106.93,111.748,119.099,106.45,118.281,106.454,127.076,108.791,100.863,104.134,103.949,108.884,108.286,123.919,103.488,104.894,118.582,115.715,103.806,128.349,124.884,120.252
0,0,118.18,0.618471,7.98066,117.39,125.208,103.385,108.903,116.196,116.777,102.522,131.572,115.904,113.699,112.616,113.223,100.528,121.233,120.924,133.881,123.452,121.886,110.847,134.171,120.682,112.709,121.76,120.39,121.977,111.832,127.422,118.798,124.048,119.48,113.433,125.611,130.476,125.523,107.497,106.101,125.955,124.724,100.363,120.355,112.168,113.389,115.17,121.91,122.251,112.612,103.567,112.475,112.794,109.076,115.508,108.534,114.678,124.895,124.931,123.081,115.677,116.816,118.799,115.524,115.509,123.6,114.84,121.338,134.952,140.985,127.071,134.28,130.007,119.613,115.045,134.059,120.522,127.65,115.068,119.136
0,0,118.404,0.0758905,43.4445,167.078,138.367,131.92,75.924,105.378,50.7539,100.986,168.851,138.542,125.515,141.898,51.992,123.617,150.982,100.659,117.287,75.7554,84.5694,228.291,56.7111,121.981,148.837,45.0032,134.81,116.826,212.924,153.888,68.6966,246.858,125.81,140.972,40.7468,155.374,82.4849,147.404,116.231,100.715,38.1884,125.825,138.802,202.134,149.595,120.103,153.155,107.038,169.512,102.076,84.7345,102.69,-4.55529,158.749,141.899,92.5428,134.493,88.4097,67.1406,196.659,54.996,96.2664,78.6117,47.38,182.213,72.8641,98.0186,61.3889,132.285,176.453,124.784,25.8712,93.1569,138.361,100.77,82.6025,153.731,129.512,131.745
0,0,114.545,0.17398,18.3109,133.38,139.704,125.96,129.022,121.513,99.735,108.3,127.014,136.943,87.5322,110.355,152.506,137.328,112.858,100.063,113.447,132.273,100.426,90.6591,99.5952,150.184,125.656,111.155,104.591,111.321,99.6148,143.446,126.896,95.2951,101.922,106.282,79.299,101.849,139.249,125.704,130.963,133.213,111.796,129.947,115.543,109.468,105.76,119.043,113.291,92.045,103.777,129.304,116.838,97.7272,119.058,127.312,112.673,134.611,126.606,72.9448,98.8468,88.3421,128.726,105.812,114.137,106.103,134.409,118.5,129.053,139.053,122.965,90.3057,92.5163,101.677,158.876,72.6127,125.799,132.394,123.811,134.914,113.567
0,0,130.764,8.13926,12.9008,65.3093,84.8192,63.6379,76.1021,89.3489,96.0353,73.2529,85.5878,79.5504,100.435,100.47,109.898,102.757,80.1951,97.18,114.565,118.542,107.377,119.456,107.741,98.571,109.52,116.765,117.223,102.266,115.284,112.922,117.574,113.929,113.955,123.465,142.48,140.698,132.905,157.884,144.021,142.541,141.97,150.87,138.715,146.158,149.125,139.34,130.434,173.593,145.268,154.139,144.012,133.62,147.274,143.98,163.225,166.916,168.617,160.47,170.247,156.398,161.637,152.655,156.219,197.654,181.835,195.69,179.499,195.742,173.749,209.537,188.359,169.764,183.818,188.442,183.002,206.94,202.116,207.102,191.743
0,0,112.317,1.64044,7.56836,113.961,94.1399,108.374,102.862,100.45,103.935,114.488,103.239,114.363,94.0408,102.462,94.7325,118.609,105.839,103.643,107.709,100.575,110.969,107.765,100.853,99.495,106.79,103.038,108.718,110.408,108.987,113.407,118.488,106.398,113.511,110.493,110.051,122.648,123.8,112.409,110.769,108.278,98.0406,108.455,109.848,106.234,129.327,116.097,105.408,105.187,112.358,122.015,116.508,108.194,114.497,126.207,113.152,112.623,128.068,121.242,117.56,118.254,114.141,121.773,118.207,128.091,143.106,110.695,127.191,107.239,107.334,132.472,131.532,129.515,122.328,131.467,141.783,118.289,123.716,118.002,123.369
0,0,77.9591,0.417893,12.656,82.5432,71.0257,55.247,55.6092,80.1481,75.2258,71.2819,85.0081,90.3118,69.6062,72.4737,81.1415,71.1726,77.7117,85.0632,55.3693,79.7966,68.4553,52.3579,75.1697,71.1154,66.0934,82.1946,84.3572,50.0129,73.8414,77.5033,66.3093,88.2778,57.1905,74.0686,97.9687,66.8186,92.5346,74.1095,85.1563,68.539,69.7408,78.4907,72.8381,85.0187,72.5021,53.0247,97.0516,69.1833,85.912,73.5803,93.948,88.6843,84.0015,92.2182,78.1118,94.0081,84.7984,81.7751,77.3934,78.528,63.7842,82.2,78.4835,94.5128,65.6691,83.2017,92.2576,74.0281,78.8465,64.8866,91.2342,86.9263,77.9378,89.8676,63.6326,50.0567,84.3966,68.885,92.8031
