# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_2b_ppc_model
# start_datetime = 2022-06-21 18:01:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\8exy1qzb.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_2b_ppc-20220621200149.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,94.3652,0.238312,0.930986,92.4972,91.514,92.6689,92.4722,92.2738,92.0486,94.1822,92.9374,92.6663,92.8408,92.7775,93.1515,92.8168,93.044,94.2779,93.6408,95.2397,93.7135,95.3984,92.7932,94.5945,93.3954,94.0004,93.9844,93.3239,94.136,93.2586,94.1863,93.123,94.902,94.2985,94.1622,93.4456,93.9102,93.6974,95.4049,93.8357,93.7344,93.3574,93.5095,92.8179,94.18,94.2713,95.5681,95.4707,94.4998,93.762,95.6241,94.5624,95.355,95.9273,94.715,94.618,96.0695,94.8987,94.1634,94.6479,94.0015,95.41,94.7617,94.1008,95.5631,96.4314,96.5068,96.6811,96.4417,96.8512,95.2545,97.2866,97.4101,96.4134,95.4693,97.6827,97.4462,97.3813,96.2734
0,0,134.964,0.551097,19.9297,127.736,113.716,147.236,101.036,151.31,110.183,113.017,140.122,154.718,131.084,165.356,151.199,153.626,135.443,103.5,135.204,156.418,140.033,153.146,137.226,159.732,173.105,141.195,148.112,131.925,145.35,113.372,159.076,128,132.502,131.776,103.693,111.111,128.781,120.433,140.964,120.236,125.603,138.054,129.531,146.343,189.791,161.775,177.722,120.417,143.917,138.199,143.113,131.025,124.255,149.038,130.044,135.547,94.1785,98.9684,130.363,161.121,139.398,133.569,133.611,131.881,139.831,153.291,158.523,147.29,152.279,153.529,176.991,118.976,128.623,142.604,163.078,158.552,121.278,108.105,142.743
0,0,131.267,0.875654,13.0601,143.056,124.374,115.166,148.113,139.415,131.261,113.242,140.567,124.927,145.389,137.665,124.885,90.3093,112.707,131.46,132.581,97.8953,137.286,137.14,103.356,148.337,114.422,130.117,154.249,147.853,131.741,137.474,133.598,122.613,134.015,129.228,121.155,128.382,135.096,123.073,125.943,142.528,117.919,126.839,123.913,128.472,105.68,116.064,122.983,95.8813,127.508,119.741,151.512,143.71,132.119,130.897,149.031,142.252,126.201,149.619,116.445,139.195,154.323,151.297,123.433,118.72,151.211,140.652,127.635,133.652,151.914,132.516,149.106,125.489,131.066,150.696,118.784,144.03,150.091,142.297,142.687
0,0,101.764,0.859905,11.5978,85.5952,95.972,118.624,78.656,78.9187,90.3749,77.3238,99.5695,116.12,108.949,102.406,102.296,106.468,97.925,119.398,98.0179,101.445,105.037,94.4975,88.1252,97.1216,86.5694,98.3242,102.654,117.135,82.5404,80.3245,116.585,105.875,90.8474,110.11,115.882,93.0877,100.661,95.6398,94.295,98.9549,100.433,99.808,105.781,107.482,94.398,146.034,95.1042,104.629,92.5916,104.245,100.538,115.959,133.44,101.987,108.095,103.588,94.8855,101.93,106.748,114.099,101.45,113.281,101.454,122.076,103.791,95.8629,99.134,98.949,103.884,103.286,118.919,98.488,99.8939,113.582,110.715,98.8057,123.349,119.884,115.252
0,0,113.18,0.618471,7.98066,112.39,120.208,98.3846,103.903,111.196,111.777,97.5217,126.572,110.904,108.699,107.616,108.223,95.5285,116.233,115.924,128.881,118.452,116.886,105.847,129.171,115.682,107.709,116.76,115.39,116.977,106.832,122.422,113.798,119.048,114.48,108.433,120.611,125.476,120.523,102.497,101.101,120.955,119.724,95.3632,115.355,107.168,108.389,110.17,116.91,117.251,107.612,98.5665,107.475,107.794,104.076,110.508,103.534,109.678,119.895,119.931,118.081,110.677,111.816,113.799,110.524,110.509,118.6,109.84,116.338,129.952,135.985,122.071,129.28,125.007,114.613,110.045,129.059,115.522,122.65,110.068,114.136
0,0,113.404,0.0758905,43.4445,162.078,133.367,126.92,70.924,100.378,45.7539,95.9864,163.851,133.542,120.515,136.898,46.992,118.617,145.982,95.6586,112.287,70.7554,79.5694,223.291,51.7111,116.981,143.837,40.0032,129.81,111.826,207.924,148.888,63.6966,241.858,120.81,135.972,35.7468,150.374,77.4849,142.404,111.231,95.7153,33.1884,120.825,133.802,197.134,144.595,115.103,148.155,102.038,164.512,97.0759,79.7345,97.6904,-9.55529,153.749,136.899,87.5428,129.493,83.4097,62.1406,191.659,49.996,91.2664,73.6117,42.38,177.213,67.8641,93.0186,56.3889,127.285,171.453,119.784,20.8712,88.1569,133.361,95.7702,77.6025,148.731,124.512,126.745
0,0,109.545,0.17398,18.3109,128.38,134.704,120.96,124.022,116.513,94.735,103.3,122.014,131.943,82.5322,105.355,147.506,132.328,107.858,95.0628,108.447,127.273,95.4257,85.6591,94.5952,145.184,120.656,106.155,99.5912,106.321,94.6148,138.446,121.896,90.2951,96.9221,101.282,74.299,96.8488,134.249,120.704,125.963,128.213,106.796,124.947,110.543,104.468,100.76,114.043,108.291,87.045,98.7769,124.304,111.838,92.7272,114.058,122.312,107.673,129.611,121.606,67.9448,93.8468,83.3421,123.726,100.812,109.137,101.103,129.409,113.5,124.053,134.053,117.965,85.3057,87.5163,96.6775,153.876,67.6127,120.799,127.394,118.811,129.914,108.567
0,0,125.764,8.13926,12.9008,60.3093,79.8192,58.6379,71.1021,84.3489,91.0353,68.2529,80.5878,74.5504,95.4351,95.4701,104.898,97.7571,75.1951,92.18,109.565,113.542,102.377,114.456,102.741,93.571,104.52,111.765,112.223,97.2661,110.284,107.922,112.574,108.929,108.955,118.465,137.48,135.698,127.905,152.884,139.021,137.541,136.97,145.87,133.715,141.158,144.125,134.34,125.434,168.593,140.268,149.139,139.012,128.62,142.274,138.98,158.225,161.916,163.617,155.47,165.247,151.398,156.637,147.655,151.219,192.654,176.835,190.69,174.499,190.742,168.749,204.537,183.359,164.764,178.818,183.442,178.002,201.94,197.116,202.102,186.743
0,0,107.317,1.64044,7.56836,108.961,89.1399,103.374,97.8619,95.4504,98.9351,109.488,98.2388,109.363,89.0408,97.4616,89.7325,113.609,100.839,98.6432,102.709,95.5751,105.969,102.765,95.8535,94.495,101.79,98.0375,103.718,105.408,103.987,108.407,113.488,101.398,108.511,105.493,105.051,117.648,118.8,107.409,105.769,103.278,93.0406,103.455,104.848,101.234,124.327,111.097,100.408,100.187,107.358,117.015,111.508,103.194,109.497,121.207,108.152,107.623,123.068,116.242,112.56,113.254,109.141,116.773,113.207,123.091,138.106,105.695,122.191,102.239,102.334,127.472,126.532,124.515,117.328,126.467,136.783,113.289,118.716,113.002,118.369
0,0,72.9591,0.417893,12.656,77.5432,66.0257,50.247,50.6092,75.1481,70.2258,66.2819,80.0081,85.3118,64.6062,67.4737,76.1415,66.1726,72.7117,80.0632,50.3693,74.7966,63.4553,47.3579,70.1697,66.1154,61.0934,77.1946,79.3572,45.0129,68.8414,72.5033,61.3093,83.2778,52.1905,69.0686,92.9687,61.8186,87.5346,69.1095,80.1563,63.539,64.7408,73.4907,67.8381,80.0187,67.5021,48.0247,92.0516,64.1833,80.912,68.5803,88.948,83.6843,79.0015,87.2182,73.1118,89.0081,79.7984,76.7751,72.3934,73.528,58.7842,77.2,73.4835,89.5128,60.6691,78.2017,87.2576,69.0281,73.8465,59.8866,86.2342,81.9263,72.9378,84.8676,58.6326,45.0567,79.3966,63.885,87.8031
