# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 09:57:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\1ugbeqql.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_3_fit-20220612115754_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,nu,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76,calorie.77
# Adaptation terminated
# Step size = 0.699823
# Diagonal elements of inverse mass matrix:
# 2.18038, 0.123377, 0.0120243, 3.19284
-263.235,0.595066,0.699823,2,3,0,263.866,105.717,1.55667,13.6802,70.6767,110.508,107.395,96.498,108.951,105.838,115.178,115.178,110.508,108.951,110.508,99.6113,113.621,104.281,110.508,107.395,99.6113,116.735,99.6113,99.6113,113.621,99.6113,107.395,102.725,94.9413,116.735,98.0547,113.621,105.838,99.6113,115.178,112.065,105.838,113.621,104.281,108.951,115.178,108.951,105.838,98.0547,99.6113,113.621,104.281,99.6113,118.291,99.6113,104.281,94.9413,94.9413,94.9413,102.725,102.725,110.508,113.621,118.291,102.725,99.6113,101.168,112.065,116.735,107.395,113.621,112.065,104.281,94.9413,94.9413,104.281,107.395,104.281,99.6113,102.725,112.065,112.065,98.0547,99.6113,99.6113,94.9413,93.3846,-3.34623,-4.96151,-4.29607,-4.11673,-3.61333,-3.6876,-3.6876,-4.07722,-3.38575,-3.34623,-4.06849,-3.57381,-3.62206,-4.73393,-3.84964,-4.06849,-5.00975,-3.33751,-4.06849,-3.57381,-3.33751,-3.49954,-5.70122,-6.59423,-3.80139,-3.4513,-3.57381,-3.61333,-4.06849,-3.6876,-3.46002,-3.73585,-3.77536,-3.72712,-5.5787,-6.58551,-4.11673,-5.80628,-3.89788,-3.33751,-3.77536,-4.35304,-4.06849,-3.91518,-4.06849,-5.81501,-4.40128,-3.6703,-3.6703,-4.23925,-4.23925,-4.00294,-3.57381,-4.64617,-3.50827,-4.06849,-4.68568,-3.46002,-3.54778,-4.23052,-3.77536,-3.88915,-3.62206,-6.59423,-6.59423,-3.62206,-3.49954,-4.35304,-4.06849,-3.50827,-6.0821,-6.0821,-4.18228,-3.33751,-3.33751,-3.67888,-3.79267,122.677,152.13,122.956,92.7626,113.488,133.203,117.012,114.916,125.29,98.2168,99.7703,112.507,134.034,110.197,140.492,105.254,104.499,104.534,100.878,102.436,134.709,110.937,120.871,135.958,113.869,72.4014,109.351,98.6104,109.53,120.686,114.348,114.047,121.08,77.0896,93.8019,139.412,93.9114,107.707,101.931,86.3082,95.4687,103.292,130.605,124.009,99.6221,91.9248,95.0341,110.324,106.387,77.2847,85.3957,104.437,116.419,92.6094,104.559,89.6053,114.188,116.677,104.019,147.644,111.427,123.604,106.328,97.7983,88.4798,97.9178,75.0355,103.377,146.064,115.284,108.962,65.0786,100.602,99.1883,94.0769,113.446,94.0311
-262.686,0.843821,0.699823,3,7,0,264.269,107.831,1.87031,12.2001,59.8356,113.588,109.847,96.7548,111.717,107.977,119.198,119.198,113.588,111.717,113.588,100.495,117.328,106.106,113.588,109.847,100.495,121.069,100.495,100.495,117.328,100.495,109.847,104.236,94.8845,121.069,98.6251,117.328,107.977,100.495,119.198,115.458,107.977,117.328,106.106,111.717,119.198,111.717,107.977,98.6251,100.495,117.328,106.106,100.495,122.939,100.495,106.106,94.8845,94.8845,94.8845,104.236,104.236,113.588,117.328,122.939,104.236,100.495,102.366,115.458,121.069,109.847,117.328,115.458,106.106,94.8845,94.8845,106.106,109.847,106.106,100.495,104.236,115.458,115.458,98.6251,100.495,100.495,94.8845,93.0142,-3.48865,-4.84647,-4.28026,-3.8735,-3.36044,-3.94856,-3.94856,-4.30831,-3.33535,-3.48865,-3.97365,-3.79525,-3.69511,-4.53986,-4.00171,-3.97365,-4.74632,-3.2352,-3.97365,-3.79525,-3.2352,-3.20714,-6.0008,-6.87361,-4.10186,-3.30729,-3.79525,-3.36044,-3.97365,-3.94856,-3.64195,-3.84841,-3.41359,-3.51374,-5.51283,-6.53895,-3.8735,-5.81944,-3.90156,-3.2352,-3.41359,-4.51477,-3.97365,-4.25516,-3.97365,-6.1541,-4.41462,-3.59496,-3.59496,-4.36147,-4.36147,-3.7202,-3.79525,-5.07483,-3.5418,-3.97365,-4.64001,-3.64195,-3.2822,-4.0268,-3.41359,-3.5669,-3.69511,-6.87361,-6.87361,-3.69511,-3.20714,-4.51477,-3.97365,-3.5418,-6.02589,-6.02589,-4.12695,-3.2352,-3.2352,-3.61389,-3.7672,125.739,115.829,99.8516,126.771,100.409,100.468,107.196,120.595,73.006,119.928,98.8656,131.634,105.492,95.0439,69.9545,128.678,123.307,100.521,102.442,122.055,100.486,97.4754,109.333,76.1601,75.0617,90.2789,137.264,114.324,97.9141,129.901,110.913,121.456,101.628,130.28,106.486,127.062,127.582,120.588,115.038,107.474,137.627,90.0486,112.178,117.8,88.9469,109.791,84.4215,99.5261,94.3201,115.86,99.5548,121.509,126.854,149.468,106.157,125.352,97.2008,122.439,119.499,115.942,110.557,119.437,104.693,113.171,90.9432,106.231,83.1533,92.1807,97.2204,121.988,104.227,82.0978,78.6991,108.238,106.67,69.6984,88.1705
-263.916,0.873641,0.699823,3,7,0,266.886,106.324,1.31912,8.99944,30.3581,110.384,107.746,98.5117,109.065,106.426,114.341,114.341,110.384,109.065,110.384,101.15,113.022,105.107,110.384,107.746,101.15,115.66,101.15,101.15,113.022,101.15,107.746,103.788,97.1926,115.66,99.8308,113.022,106.426,101.15,114.341,111.703,106.426,113.022,105.107,109.065,114.341,109.065,106.426,99.8308,101.15,113.022,105.107,101.15,116.979,101.15,105.107,97.1926,97.1926,97.1926,103.788,103.788,110.384,113.022,116.979,103.788,101.15,102.469,111.703,115.66,107.746,113.022,111.703,105.107,97.1926,97.1926,105.107,107.746,105.107,101.15,103.788,111.703,111.703,99.8308,101.15,101.15,97.1926,95.8735,-2.93295,-5.36318,-4.16686,-4.10542,-3.2874,-3.37269,-3.37269,-4.04413,-2.99424,-2.93295,-3.87371,-3.22611,-3.45782,-5.07003,-3.75098,-3.87371,-5.59489,-3.01809,-3.87371,-3.22611,-3.01809,-3.14082,-6.64479,-8.13426,-3.51927,-2.90911,-3.22611,-3.2874,-3.87371,-3.37269,-3.07953,-3.6044,-3.66569,-3.43398,-6.32778,-7.96383,-4.10542,-6.62094,-3.98269,-3.01809,-3.66569,-4.569,-3.87371,-3.66584,-3.87371,-6.79137,-4.80072,-3.68954,-3.68954,-4.42243,-4.42243,-3.95884,-3.22611,-4.77702,-3.31125,-3.87371,-4.83831,-3.07953,-3.37253,-4.252,-3.66569,-3.81227,-3.45782,-8.13426,-8.13426,-3.45782,-3.14082,-4.569,-3.87371,-3.31125,-7.14581,-7.14581,-4.02029,-3.01809,-3.01809,-3.20226,-3.34884,104.532,66.6055,75.2684,90.926,136.851,141.28,97.5325,146.229,161.118,105.918,84.3445,163.942,111.435,102.887,116.326,114.393,121.224,99.4971,105.877,116.447,113.61,103.266,113.977,97.5682,109.969,96.3851,117.5,112.974,99.4735,114.306,115.876,98.6447,108.396,112.712,101.596,102.629,108.744,130.688,77.5501,100.704,107.928,109.009,100.473,104.358,100.855,103.332,100.701,96.7358,106.11,106.483,93.4986,118.598,104.289,117.136,118.848,82.9251,113.905,99.8096,113.534,99.7807,66.4076,111.044,100.083,92.0044,86.2041,109.354,110.097,130.369,99.7331,97.8253,148.899,118.429,95.9452,102.016,100.903,95.4634,107.094
-262.734,0.930809,0.699823,3,7,0,265.87,108.628,1.27972,13.2097,33.0231,112.567,110.007,101.049,111.287,108.728,116.406,116.406,112.567,111.287,112.567,103.609,115.126,107.448,112.567,110.007,103.609,117.686,103.609,103.609,115.126,103.609,110.007,106.168,99.7696,117.686,102.329,115.126,108.728,103.609,116.406,113.847,108.728,115.126,107.448,111.287,116.406,111.287,108.728,102.329,103.609,115.126,107.448,103.609,118.965,103.609,107.448,99.7696,99.7696,99.7696,106.168,106.168,112.567,115.126,118.965,106.168,103.609,104.889,113.847,117.686,110.007,115.126,113.847,107.448,99.7696,99.7696,107.448,110.007,107.448,103.609,106.168,113.847,113.847,102.329,103.609,103.609,99.7696,98.4899,-3.46842,-4.78758,-3.95168,-3.93368,-3.37042,-3.75905,-3.75905,-4.22543,-3.37154,-3.46842,-3.75793,-3.66217,-3.83792,-4.59382,-4.03168,-3.75793,-4.96333,-3.54729,-3.75793,-3.66217,-3.54729,-3.27466,-6.0121,-7.04175,-3.85592,-3.45042,-3.66217,-3.37042,-3.75793,-3.75905,-3.56529,-3.9348,-3.64305,-3.4673,-5.44772,-6.57424,-3.93368,-5.64147,-4.20743,-3.54729,-3.64305,-4.59494,-3.75793,-3.9528,-3.75793,-6.10898,-4.7707,-4.01368,-4.01368,-4.49806,-4.49806,-3.8368,-3.66217,-4.70982,-3.74105,-3.75793,-4.41807,-3.56529,-3.4493,-4.03056,-3.64305,-3.73993,-3.83792,-7.04175,-7.04175,-3.83792,-3.27466,-4.59494,-3.75793,-3.74105,-6.01098,-6.01098,-3.8548,-3.54729,-3.54729,-3.29154,-3.38842,124.255,110.8,134.274,116.403,122.773,95.0379,132.946,132.297,110.531,103.242,76.4673,118.658,88.1513,100.753,114.515,179.402,118.352,115.308,95.1936,131.518,128.134,120.252,144.249,106.988,114.281,92.7754,144.685,113.149,118.751,141.95,124.471,128.155,123.757,105.428,134.956,117.169,98.6736,81.429,126.247,123.409,117.424,97.6854,80.7832,120.607,64.2215,121.702,103.556,91.6321,79.5299,91.801,96.0845,126.212,107.457,111.161,88.1682,121.598,79.0782,115.367,116.099,119.386,123.319,176.67,75.1816,83.3615,114.106,140.995,114.828,111.732,95.9018,124.007,85.2611,129.278,127.861,119.728,126.76,94.5572,69.0218
-261.652,1,0.699823,2,7,0,263.2,106.208,1.14349,10.3886,35.7508,109.727,107.44,99.4358,108.584,106.297,113.158,113.158,109.727,108.584,109.727,101.723,112.014,105.153,109.727,107.44,101.723,114.301,101.723,101.723,112.014,101.723,107.44,104.01,98.2923,114.301,100.579,112.014,106.297,101.723,113.158,110.871,106.297,112.014,105.153,108.584,113.158,108.584,106.297,100.579,101.723,112.014,105.153,101.723,115.445,101.723,105.153,98.2923,98.2923,98.2923,104.01,104.01,109.727,112.014,115.445,104.01,101.723,102.866,110.871,114.301,107.44,112.014,110.871,105.153,98.2923,98.2923,105.153,107.44,105.153,101.723,104.01,110.871,110.871,100.579,101.723,101.723,98.2923,97.1488,-3.06011,-5.20545,-4.05076,-4.13278,-3.39033,-3.33781,-3.33781,-3.97019,-3.17018,-3.06011,-3.83062,-3.22774,-3.5299,-4.9853,-3.75005,-3.83062,-5.50761,-3.19969,-3.83062,-3.22774,-3.19969,-3.28026,-6.30762,-7.68245,-3.44788,-3.08962,-3.22774,-3.39033,-3.83062,-3.33781,-3.11767,-3.63998,-3.80256,-3.5004,-6.05797,-7.54287,-4.13278,-6.27811,-4.05221,-3.19969,-3.80256,-4.4925,-3.83062,-3.55796,-3.83062,-6.41769,-4.79466,-3.83207,-3.83207,-4.38243,-4.38243,-4.02271,-3.22774,-4.52055,-3.41983,-3.83062,-4.68314,-3.11767,-3.58242,-4.24285,-3.80256,-3.91264,-3.5299,-7.68245,-7.68245,-3.5299,-3.28026,-4.4925,-3.83062,-3.41983,-6.80042,-6.80042,-3.94069,-3.19969,-3.19969,-3.19824,-3.30831,109.356,96.2745,101.636,115.716,101.253,111.037,120.797,125.048,109.282,122.095,92.383,116.847,123.496,101.705,101.215,123.44,128.681,119.369,105.526,142.58,102.268,107.42,109.583,81.2045,92.7731,146.723,103.748,111.15,103.339,112.542,118.675,114.814,115.06,96.9377,104.413,121.207,77.6134,102.205,97.4808,102.504,102.751,105.008,82.0448,119.74,103.546,97.4712,91.5928,98.3175,98.2656,105.82,103.411,114.327,99.0332,118.39,115.225,106.838,101.449,115.282,140.087,116.9,113.003,105.469,131.853,83.2029,76.2596,130.397,93.1325,111.669,122.925,109.266,108.297,94.1782,95.294,85.7557,131.621,106.879,91.8789
-261.915,0.976922,0.699823,2,3,0,262.285,105.03,1.2987,10.6125,64.2848,109.028,106.43,97.3395,107.729,105.132,112.924,112.924,109.028,107.729,109.028,99.9369,111.625,103.833,109.028,106.43,99.9369,114.223,99.9369,99.9369,111.625,99.9369,106.43,102.534,96.0408,114.223,98.6382,111.625,105.132,99.9369,112.924,110.326,105.132,111.625,103.833,107.729,112.924,107.729,105.132,98.6382,99.9369,111.625,103.833,99.9369,115.521,99.9369,103.833,96.0408,96.0408,96.0408,102.534,102.534,109.028,111.625,115.521,102.534,99.9369,101.236,110.326,114.223,106.43,111.625,110.326,103.833,96.0408,96.0408,103.833,106.43,103.833,99.9369,102.534,110.326,110.326,98.6382,99.9369,99.9369,96.0408,94.7421,-3.14679,-5.27611,-4.24816,-4.21145,-3.51391,-3.33069,-3.33069,-3.90585,-3.26917,-3.14679,-4.00341,-3.20832,-3.41636,-5.03136,-3.6611,-4.00341,-5.48415,-3.06113,-4.00341,-3.20832,-3.06113,-3.39154,-6.12084,-7.39353,-3.45307,-3.1835,-3.20832,-3.51391,-4.00341,-3.33069,-3.08594,-3.53873,-3.84433,-3.63629,-6.09602,-7.49109,-4.21145,-6.34077,-3.86914,-3.06113,-3.84433,-4.35864,-4.00341,-3.57544,-4.00341,-6.24321,-4.56668,-3.62439,-3.62439,-4.23627,-4.23627,-4.08908,-3.20832,-4.51773,-3.29398,-4.00341,-4.82332,-3.08594,-3.59958,-4.33383,-3.84433,-3.9667,-3.41636,-7.39353,-7.39353,-3.41636,-3.39154,-4.35864,-4.00341,-3.29398,-6.79356,-6.79356,-4.12579,-3.06113,-3.06113,-3.42825,-3.55062,114.26,101.274,93.8223,108.749,100.89,129.201,91.5624,112.521,123.517,107.892,94.9361,108.367,107.557,133.342,100.154,107.173,103.662,97.0774,100.366,120.622,120.628,105.276,102.955,127.704,112.758,90.1165,111.103,99.717,91.3685,109.573,110.772,122.651,112.958,94.4071,108.29,109.615,95.0482,114.834,97.3245,112.432,111.4,91.7813,76.5328,150.939,106.29,94.7856,94.8432,96.8221,93.3943,108.664,111.607,104.735,104.821,112.86,121.69,114.887,116.066,109.414,101.997,117.621,110.919,102.29,136.574,95.4999,108.814,101.523,84.5638,97.5761,91.0916,113.264,124.843,92.6811,72.3177,102.591,95.712,98.6784,155.823
