# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 09:57:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmppskox6w4\1ugbeqql.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\samples\cereal_3_fit-20220612115754_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,nu,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76,calorie.77
# Adaptation terminated
# Step size = 0.539313
# Diagonal elements of inverse mass matrix:
# 2.33787, 0.131707, 0.0121266, 2.5664
-262.741,0.999711,0.539313,3,7,0,264.351,107.604,0.682171,11.271,32.1684,109.704,108.339,103.564,109.022,107.657,111.75,111.75,109.704,109.022,109.704,104.929,111.068,106.975,109.704,108.339,104.929,112.433,104.929,104.929,111.068,104.929,108.339,106.293,102.882,112.433,104.246,111.068,107.657,104.929,111.75,110.386,107.657,111.068,106.975,109.022,111.75,109.022,107.657,104.246,104.929,111.068,106.975,104.929,113.115,104.929,106.975,102.882,102.882,102.882,106.293,106.293,109.704,111.068,113.115,106.293,104.929,105.611,110.386,112.433,108.339,111.068,110.386,106.975,102.882,102.882,106.975,108.339,106.975,104.929,106.293,110.386,110.386,104.246,104.929,104.929,102.882,102.2,-3.14166,-5.03717,-3.68638,-4.08941,-3.32323,-3.27068,-3.27068,-3.97634,-3.20218,-3.14166,-3.56533,-3.21015,-3.73424,-4.91612,-3.85529,-3.56533,-5.56126,-3.55267,-3.56533,-3.21015,-3.55267,-3.26271,-6.33541,-7.80725,-3.3312,-3.49214,-3.21015,-3.32323,-3.56533,-3.27068,-3.14963,-3.79476,-3.90784,-3.38375,-5.86388,-7.39625,-4.08941,-5.98493,-4.37937,-3.55267,-3.90784,-4.62147,-3.56533,-3.39173,-3.56533,-6.39594,-5.14556,-4.25832,-4.25832,-4.56095,-4.56095,-4.02889,-3.21015,-4.27896,-3.67371,-3.56533,-4.39204,-3.14963,-3.78679,-4.14994,-3.90784,-3.96837,-3.73424,-7.80725,-7.80725,-3.73424,-3.26271,-4.62147,-3.56533,-3.67371,-6.63006,-6.63006,-3.62585,-3.55267,-3.55267,-3.37109,-3.31057,97.5543,115.124,103.014,99.5426,92.4878,109.049,123.576,108.367,103.928,128.458,98.0456,112.377,99.7719,145.772,104.35,77.0008,120.466,106.344,113.378,95.2466,106.706,104.527,114.867,71.442,122.762,109.255,117.852,86.4645,139.302,112.342,118.014,113.734,97.1352,115.706,100.91,112.294,100.348,104.949,109.631,97.32,134.678,77.6709,108.124,116.208,95.4815,100.959,103.113,111.848,118.383,116.866,126.772,120.013,98.0057,140.942,108.433,145.332,99.089,123.49,124.053,108.219,103.264,89.6259,93.9914,100.409,101.145,107.237,104.667,103.119,143.633,108.189,108.854,106.616,81.707,125.047,95.3952,101.186,38.7938
-262.703,1,0.539313,3,7,0,264.075,104.419,1.54003,12.5308,54.7073,109.159,106.079,95.2989,107.619,104.539,113.779,113.779,109.159,107.619,109.159,98.3789,112.239,102.999,109.159,106.079,98.3789,115.319,98.3789,98.3789,112.239,98.3789,106.079,101.459,93.7588,115.319,96.8389,112.239,104.539,98.3789,113.779,110.699,104.539,112.239,102.999,107.619,113.779,107.619,104.539,96.8389,98.3789,112.239,102.999,98.3789,116.859,98.3789,102.999,93.7588,93.7588,93.7588,101.459,101.459,109.159,112.239,116.859,101.459,98.3789,99.9189,110.699,115.319,106.079,112.239,110.699,102.999,93.7588,93.7588,102.999,106.079,102.999,98.3789,101.459,110.699,110.699,96.8389,98.3789,98.3789,93.7588,92.2188,-3.28844,-5.13031,-4.39454,-4.20937,-3.65714,-3.52293,-3.52293,-3.95227,-3.41134,-3.28844,-4.14874,-3.40003,-3.46067,-4.88451,-3.70647,-4.14874,-5.19094,-3.35071,-4.14874,-3.40003,-3.35071,-3.53424,-5.73187,-6.71344,-3.64583,-3.4736,-3.40003,-3.65714,-4.14874,-3.52293,-3.27713,-3.58357,-3.84068,-3.78004,-5.80544,-6.90991,-4.20937,-6.05124,-3.7671,-3.35071,-3.84068,-4.2587,-4.14874,-3.76873,-4.14874,-5.85477,-4.31934,-3.52131,-3.52131,-4.1358,-4.1358,-4.08648,-3.40003,-4.56676,-3.33777,-4.14874,-4.82387,-3.27713,-3.59488,-4.33227,-3.84068,-3.96358,-3.46067,-6.71344,-6.71344,-3.46067,-3.53424,-4.2587,-4.14874,-3.33777,-6.35767,-6.35767,-4.27164,-3.35071,-3.35071,-3.7194,-3.8423,123.456,96.3498,86.5986,150.98,97.5268,106.913,111.775,105.519,88.0229,114.718,99.6991,100.429,106.352,113.561,106.236,107.015,130.516,103.064,64.3118,111.498,66.3793,107.089,104.824,88.19,118.61,137.502,120.71,108.234,76.7841,116.092,118.472,109.092,110.78,95.0132,46.3908,124.552,101.934,131.29,76.6711,113.946,80.3271,101.876,93.9941,101.069,76.5224,185.295,98.8547,102.36,90.2981,97.4143,131.632,117.746,136.771,90.8098,101.449,81.5617,72.5866,95.3128,110.114,139.702,101.379,119.791,103.332,85.9504,89.0078,126.897,83.7192,64.7059,97.2524,104.859,97.7906,111.069,105.602,80.1088,99.6524,77.0231,102.577
-263.947,0.830963,0.539313,2,7,0,265.273,103.896,1.39186,13.4221,69.5803,108.18,105.397,95.6535,106.788,104.005,112.356,112.356,108.18,106.788,108.18,98.4372,110.964,102.613,108.18,105.397,98.4372,113.748,98.4372,98.4372,110.964,98.4372,105.397,101.221,94.2617,113.748,97.0454,110.964,104.005,98.4372,112.356,109.572,104.005,110.964,102.613,106.788,112.356,106.788,104.005,97.0454,98.4372,110.964,102.613,98.4372,115.14,98.4372,102.613,94.2617,94.2617,94.2617,101.221,101.221,108.18,110.964,115.14,101.221,98.4372,99.8291,109.572,113.748,105.397,110.964,109.572,102.613,94.2617,94.2617,102.613,105.397,102.613,98.4372,101.221,109.572,109.572,97.0454,98.4372,98.4372,94.2617,92.8698,-3.42563,-5.1231,-4.35892,-4.27437,-3.73673,-3.46557,-3.46557,-3.89951,-3.52933,-3.42563,-4.15152,-3.36187,-3.48472,-4.91571,-3.69211,-4.15152,-5.24595,-3.40648,-4.15152,-3.36187,-3.40648,-3.63303,-5.61613,-6.58771,-3.56927,-3.51018,-3.36187,-3.73673,-4.15152,-3.46557,-3.32193,-3.58842,-3.96327,-3.84043,-5.76444,-6.83972,-4.27437,-5.97184,-3.81496,-3.40648,-3.96327,-4.22975,-4.15152,-3.67297,-4.15152,-5.71983,-4.3526,-3.60756,-3.60756,-4.12606,-4.12606,-4.17067,-3.36187,-4.41801,-3.38102,-4.15152,-4.79286,-3.32193,-3.75587,-4.37807,-3.96327,-4.06697,-3.48472,-6.58771,-6.58771,-3.48472,-3.63303,-4.22975,-4.15152,-3.38102,-6.30208,-6.30208,-4.25522,-3.40648,-3.40648,-3.71758,-3.82128,116.744,96.0611,89.2849,104.58,70.0001,95.737,104.298,108.272,100.626,92.6675,83.8093,107.252,103.394,110.275,120.519,96.4556,121.955,103.452,105.613,99.917,85.5198,107.552,85.8203,87.0233,114.055,81.2038,63.6708,111.288,92.1102,119.112,102.004,93.4882,113.974,106.526,122.675,108.16,104.932,85.2498,102.082,90.607,115.262,106.372,104.81,107.733,95.9934,105.098,77.954,86.8155,89.9275,110.554,119.74,79.865,124.112,138.335,114.318,103.533,108.93,100.89,120.754,103.845,124.653,111.316,90.4814,85.1997,99.4797,138.485,152.525,107.779,137.916,133.014,116.956,132.413,106.568,91.6045,91.5552,105.312,91.1233
-263.288,0.979737,0.539313,3,7,0,264.989,108.368,1.50672,10.0687,27.3147,113.005,109.992,99.4448,111.499,108.485,117.525,117.525,113.005,111.499,113.005,102.458,116.019,106.978,113.005,109.992,102.458,119.032,102.458,102.458,116.019,102.458,109.992,105.472,97.9381,119.032,100.952,116.019,108.485,102.458,117.525,114.512,108.485,116.019,106.978,111.499,117.525,111.499,108.485,100.952,102.458,116.019,106.978,102.458,120.539,102.458,106.978,97.9381,97.9381,97.9381,105.472,105.472,113.005,116.019,120.539,105.472,102.458,103.965,114.512,119.032,109.992,116.019,114.512,106.978,97.9381,97.9381,106.978,109.992,106.978,102.458,105.472,114.512,114.512,100.952,102.458,102.458,97.9381,96.4314,-3.30106,-4.98974,-4.05089,-3.84692,-3.15303,-3.74999,-3.74999,-4.29423,-3.15141,-3.30106,-3.75161,-3.60035,-3.69566,-4.69045,-3.99495,-3.75161,-5.08505,-3.24673,-3.75161,-3.60035,-3.24673,-3.00339,-6.52554,-7.76368,-3.89963,-3.09708,-3.60035,-3.15303,-3.75161,-3.74999,-3.4507,-3.8453,-3.39799,-3.30268,-5.83327,-7.22105,-3.84692,-6.13256,-4.09026,-3.24673,-3.39799,-4.68884,-3.75161,-4.04928,-3.75161,-6.67519,-4.78415,-3.79097,-3.79097,-4.53919,-4.53919,-3.69728,-3.60035,-5.04245,-3.54602,-3.75161,-4.59514,-3.4507,-3.0987,-3.99656,-3.39799,-3.54763,-3.69566,-7.76368,-7.76368,-3.69566,-3.00339,-4.68884,-3.75161,-3.54602,-6.52716,-6.52716,-3.90125,-3.24673,-3.24673,-3.20736,-3.35701,129.313,99.926,93.9447,86.123,108.914,109.172,114.853,92.1521,118.509,111.554,118.307,142.873,98.2683,109.922,127.236,106.277,126.033,109.626,109.791,117.385,123.746,102.454,95.4527,90.4496,129.297,106.31,118.257,127.261,103.549,116.964,137.052,115.606,110.47,100.456,134.33,120.443,130.956,102.076,136.499,75.7085,134.547,142.44,111.761,115.443,100.61,105.437,76.9417,130.021,99.5818,104.334,92.4892,112.742,112.237,130.714,102.256,93.7538,111.565,119.7,122.743,97.8178,120.129,112.919,85.4207,90.756,112.067,103.427,113.469,112.07,96.413,85.7556,98.5347,111.491,98.855,86.8017,100.938,106.194,89.4808
-265.157,0.670759,0.539313,3,7,0,267.133,103.661,0.906374,11.5621,6.60146,106.451,104.638,98.2936,105.545,103.732,109.17,109.17,106.451,105.545,106.451,100.106,108.264,102.825,106.451,104.638,100.106,110.076,100.106,100.106,108.264,100.106,104.638,101.919,97.3872,110.076,99.1999,108.264,103.732,100.106,109.17,107.357,103.732,108.264,102.825,105.545,109.17,105.545,103.732,99.1999,100.106,108.264,102.825,100.106,110.983,100.106,102.825,97.3872,97.3872,97.3872,101.919,101.919,106.451,108.264,110.983,101.919,100.106,101.013,107.357,110.076,104.638,108.264,107.357,102.825,97.3872,97.3872,102.825,104.638,102.825,100.106,101.919,107.357,107.357,99.1999,100.106,100.106,97.3872,96.4808,-3.44783,-5.33441,-4.15336,-4.39112,-3.68301,-3.21266,-3.21266,-3.69882,-3.52623,-3.44783,-3.99658,-3.29105,-3.38525,-5.17763,-3.54203,-3.99658,-5.72896,-3.15007,-3.99658,-3.29105,-3.15007,-3.60462,-5.90155,-7.23938,-3.14749,-3.21007,-3.29105,-3.68301,-3.99658,-3.21266,-3.36944,-3.46364,-4.15595,-3.7614,-6.12092,-7.53714,-4.39112,-6.2777,-3.93658,-3.15007,-4.15595,-4.25015,-3.99658,-3.22588,-3.99658,-5.97994,-4.64469,-3.77979,-3.77979,-4.17175,-4.17175,-4.31273,-3.29105,-4.09078,-3.30686,-3.99658,-4.78308,-3.36944,-3.99916,-4.46952,-4.15595,-4.23434,-3.38525,-7.23938,-7.23938,-3.38525,-3.60462,-4.25015,-3.99658,-3.30686,-6.82903,-6.82903,-4.07497,-3.15007,-3.15007,-3.36686,-3.44525,110.58,87.2352,87.1921,111.504,105.224,93.6942,120.075,108.669,95.0577,119.039,103.921,138.925,105.066,150.86,98.5143,87.9803,112.524,120.894,101.723,109.24,90.2513,108.117,75.8937,116.098,114.825,104.372,109.506,104.076,122.184,91.4256,103.676,103.805,114,101.203,109.132,90.3785,90.3601,68.0752,97.3623,147.966,105.794,119.023,104.331,114.119,92.3661,102.197,103.911,111.963,98.74,102.284,96.7921,110.55,99.7162,104.961,107.469,125.86,78.025,103.267,106.002,97.0139,96.2717,70.3895,107.206,76.574,100.626,99.7569,105.159,104.318,102.164,83.8808,102.419,100.733,125.53,104.362,101.146,100.94,93.9232
-265.368,0.971137,0.539313,3,7,0,267.653,108.556,1.57256,9.84298,5.06974,113.396,110.251,99.2428,111.823,108.678,118.113,118.113,113.396,111.823,113.396,102.388,116.541,107.106,113.396,110.251,102.388,119.686,102.388,102.388,116.541,102.388,110.251,105.533,97.6702,119.686,100.815,116.541,108.678,102.388,118.113,114.968,108.678,116.541,107.106,111.823,118.113,111.823,108.678,100.815,102.388,116.541,107.106,102.388,121.259,102.388,107.106,97.6702,97.6702,97.6702,105.533,105.533,113.396,116.541,121.259,105.533,102.388,103.96,114.968,119.686,110.251,116.541,114.968,107.106,97.6702,97.6702,107.106,110.251,107.106,102.388,105.533,114.968,114.968,100.815,102.388,102.388,97.6702,96.0977,-3.3249,-4.98634,-4.07279,-3.81063,-3.1142,-3.80419,-3.80419,-4.34085,-3.16514,-3.3249,-3.75326,-3.64443,-3.7018,-4.66681,-4.02133,-3.75326,-5.04371,-3.2225,-3.75326,-3.64443,-3.2225,-3.00537,-6.58989,-7.82297,-3.96396,-3.06274,-3.64443,-3.1142,-3.75326,-3.80419,-3.48467,-3.86156,-3.33133,-3.27397,-5.84253,-7.23538,-3.81063,-6.16206,-4.07869,-3.2225,-3.33133,-4.71775,-3.75326,-4.12372,-3.75326,-6.74965,-4.77512,-3.75916,-3.75916,-4.55798,-4.55798,-3.65086,-3.64443,-5.13968,-3.54203,-3.75326,-4.60945,-3.48467,-3.01181,-3.97039,-3.33133,-3.4911,-3.7018,-7.82297,-7.82297,-3.7018,-3.00537,-4.71775,-3.75326,-3.54203,-6.53895,-6.53895,-3.91302,-3.2225,-3.2225,-3.2166,-3.37637,95.8514,124.247,77.7341,128.46,109.638,138.072,130.491,120.448,105.638,98.5522,130.919,103.28,80.9597,124.551,109.714,102.178,102.554,107.959,98.0355,111.803,83.0566,94.8369,101.358,101.598,113.615,88.4272,120.216,117.53,88.4058,137.795,120.817,111.039,116.417,112.684,117.686,128.842,111.264,114.529,107.594,109.835,125.791,104.017,114.118,123.371,91.9808,133.338,95.6597,89.1029,83.5565,98.212,127.867,119.681,118.821,124.104,102.606,97.0844,114.872,103.848,127.048,131.103,94.254,108.41,107.137,101.694,92.4975,110.304,106.228,101.02,101.495,93.35,132.015,117.051,103.741,102.561,84.6219,113.691,104.149
