# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 13:07:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\5v_3efjv.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612150737_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,nu,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.551399
# Diagonal elements of inverse mass matrix:
# 2.12693, 0.147838, 0.015257, 2.66509
-264.603,0.626911,0.551399,2,3,0,264.785,105.911,2.50466,14.7341,67.3252,113.359,108.35,90.8173,110.855,105.845,120.873,120.873,113.359,110.855,113.359,95.8266,118.369,103.341,113.359,108.35,95.8266,123.378,95.8266,95.8266,118.369,95.8266,108.35,100.836,88.3127,123.378,93.322,118.369,105.845,95.8266,120.873,115.864,105.845,118.369,103.341,110.855,120.873,110.855,105.845,93.322,95.8266,118.369,103.341,95.8266,125.883,95.8266,103.341,88.3127,88.3127,88.3127,100.836,100.836,113.359,118.369,125.883,100.836,95.8266,98.3313,115.864,123.378,108.35,118.369,115.864,103.341,88.3127,88.3127,103.341,108.35,103.341,95.8266,100.836,115.864,115.864,93.322,95.8266,95.8266,88.3127,-3.6113,-4.8527,-4.68524,-4.00401,-3.66529,-4.12128,-4.12128,-4.29,-3.44131,-3.6113,-4.34525,-3.95129,-3.61004,-4.51271,-3.95002,-4.34525,-4.51145,-3.66655,-4.34525,-3.95129,-3.66655,-3.4953,-5.47614,-5.98359,-4.29127,-3.83655,-3.95129,-3.66529,-4.34525,-4.12128,-3.7813,-3.78003,-3.49403,-3.83528,-5.3614,-6.03884,-4.00401,-5.70139,-3.60877,-3.66655,-3.49403,-4.28874,-4.34525,-4.46126,-4.34525,-5.64614,-3.94749,-3.49783,-3.49783,-4.11875,-4.11875,-3.83401,-3.95129,-5.13996,-3.44005,-4.34525,-4.85396,-3.7813,-3.61257,-4.174,-3.49403,-3.66402,-3.61004,-5.98359,-5.98359,-3.61004,-3.4953,-4.28874,-4.34525,-3.44005,-5.70012,-5.70012,-4.51525,-3.66655,-3.66655,-4.17653,114.75,108.918,72.5671,116.865,99.1207,104.888,113.87,106.277,109.961,113.638,110.498,74.8394,111.237,118.34,88.735,75.7229,138.544,101.432,124.661,99.3003,100.041,101.574,97.1426,78.3552,129.266,69.6368,173.234,104.94,118.009,127.43,91.6307,108.718,119.177,17.7574,83.9486,120.33,105.048,103.627,68.6949,37.0668,119.035,113.252,74.525,119.77,79.3977,118.724,64.1619,96.3625,80.9995,73.007,115.121,80.5022,110.655,77.4637,113.805,74.653,78.0965,166.998,164.089,106.745,120.92,101.262,125.433,84.9077,92.0868,118.772,105.549,30.8692,114.021,106.78,104.533,90.8282,96.9074,77.1493,94.1386,88.8863
-266.496,1,0.551399,2,7,0,268.338,107.265,2.77164,15.7356,24.0306,115.507,109.964,90.5626,112.736,107.192,123.822,123.822,115.507,112.736,115.507,96.1059,121.051,104.421,115.507,109.964,96.1059,126.594,96.1059,96.1059,121.051,96.1059,109.964,101.649,87.7909,126.594,93.3342,121.051,107.192,96.1059,123.822,118.279,107.192,121.051,104.421,112.736,123.822,112.736,107.192,93.3342,96.1059,121.051,104.421,96.1059,129.366,96.1059,104.421,87.7909,87.7909,87.7909,101.649,101.649,115.507,121.051,129.366,101.649,96.1059,98.8775,118.279,126.594,109.964,121.051,118.279,104.421,87.7909,87.7909,104.421,109.964,104.421,96.1059,101.649,118.279,118.279,93.3342,96.1059,96.1059,87.7909,-3.79907,-4.72236,-4.68432,-3.91072,-3.62749,-4.32748,-4.32748,-4.43457,-3.62293,-3.79907,-4.33205,-4.15134,-3.73001,-4.37008,-4.08229,-4.33205,-4.30103,-3.69654,-4.33205,-4.15134,-3.69654,-3.45135,-5.46038,-5.85069,-4.50362,-3.87268,-4.15134,-3.62749,-4.33205,-4.32748,-3.97521,-3.90615,-3.51584,-3.80363,-5.18172,-5.74817,-3.91072,-5.534,-3.66096,-3.69654,-3.51584,-4.36552,-4.33205,-4.67976,-4.33205,-5.63652,-3.94419,-3.58946,-3.58946,-4.18938,-4.18938,-3.73458,-4.15134,-5.31526,-3.55388,-4.33205,-4.79141,-3.97521,-3.86812,-4.08686,-3.51584,-3.55844,-3.73001,-5.85069,-5.85069,-3.73001,-3.45135,-4.36552,-4.33205,-3.55388,-5.46495,-5.46495,-4.50819,-3.69654,-3.69654,-4.22496,103.016,155.078,83.3548,102.16,93.5237,141.594,145.268,131.024,119.272,126.607,115.767,123.159,106.691,96.5884,91.8428,107.461,123.945,119.856,70.283,114.156,93.2642,107.469,106.543,71.681,127.842,77.432,118.168,152.042,119.316,133.4,143.71,77.0583,121.024,79.8814,77.9122,151.096,130.183,110.589,89.0781,33.6753,146.767,107.843,109.209,150.405,77.2528,148.713,89.0972,53.274,61.3966,101.636,100.423,120.134,140.929,79.3101,97.9692,91.9895,92.8086,169.495,120.594,140.651,131.541,131.798,115.23,83.063,111.411,111.528,120.135,91.4331,110.438,136.391,85.8256,124.699,107.71,116.08,87.3372,79.8862
-260.223,0.974222,0.551399,3,7,0,267.99,103.931,1.35453,13.5757,35.7184,107.959,105.25,95.7679,106.604,103.895,112.022,112.022,107.959,106.604,107.959,98.4769,110.668,102.54,107.959,105.25,98.4769,113.377,98.4769,98.4769,110.668,98.4769,105.25,101.186,94.4133,113.377,97.1224,110.668,103.895,98.4769,112.022,109.313,103.895,110.668,102.54,106.604,112.022,106.604,103.895,97.1224,98.4769,110.668,102.54,98.4769,114.731,98.4769,102.54,94.4133,94.4133,94.4133,101.186,101.186,107.959,110.668,114.731,101.186,98.4769,99.8314,109.313,113.377,105.25,110.668,109.313,102.54,94.4133,94.4133,102.54,105.25,102.54,98.4769,101.186,109.313,109.313,97.1224,98.4769,98.4769,94.4133,-3.4518,-5.12457,-4.34978,-4.28819,-3.75113,-3.45038,-3.45038,-3.88767,-3.55158,-3.4518,-4.15023,-3.35061,-3.48856,-4.92502,-3.68812,-4.15023,-5.26253,-3.41362,-4.15023,-3.35061,-3.41362,-3.65135,-5.59862,-6.57296,-3.55016,-3.5134,-3.35061,-3.75113,-4.15023,-3.45038,-3.35202,-3.58834,-3.98886,-3.8509,-5.76141,-6.83552,-4.28819,-5.96096,-3.82607,-3.41362,-3.98886,-4.22517,-4.15023,-3.64994,-4.15023,-5.69839,-4.36313,-3.62652,-3.62652,-4.1254,-4.1254,-4.18841,-3.35061,-4.38655,-3.38879,-4.15023,-4.78707,-3.35202,-3.78931,-4.38796,-3.98886,-4.08864,-3.48856,-6.57296,-6.57296,-3.48856,-3.65135,-4.22517,-4.15023,-3.38879,-6.29847,-6.29847,-4.25001,-3.41362,-3.41362,-3.71295,121.294,103.275,84.1624,84.7923,108.75,87.3114,112.136,102.264,118.527,67.1466,110.644,116.691,108.121,97.0219,49.3035,90.1921,105.922,88.1862,111.125,152.828,103.043,85.0918,137.055,80.0679,167.273,93.3126,101.679,64.2272,85.1863,134.98,102.913,119.001,108.815,67.4744,89.2124,151.278,97.8526,94.9517,120.999,124.849,111.065,94.8331,85.1157,110.766,102.535,111.39,134.825,88.4179,90.0459,103.699,83.8186,90.8229,114.542,119.993,93.7061,134.632,89.4503,110.006,80.9385,98.571,150.93,95.5428,93.2783,109.536,144.05,82.3274,103.82,109.951,115.291,95.3875,101.457,127.096,97.3341,128.147,26.1924,91.02
-258.596,0.963521,0.551399,2,3,0,261.34,104.844,1.31477,12.0922,31.8771,108.754,106.125,96.9213,107.439,104.81,112.698,112.698,108.754,107.439,108.754,99.5508,111.384,103.495,108.754,106.125,99.5508,114.013,99.5508,99.5508,111.384,99.5508,106.125,102.18,95.6065,114.013,98.236,111.384,104.81,99.5508,112.698,110.069,104.81,111.384,103.495,107.439,112.698,107.439,104.81,98.236,99.5508,111.384,103.495,99.5508,115.328,99.5508,103.495,95.6065,95.6065,95.6065,102.18,102.18,108.754,111.384,115.328,102.18,99.5508,100.866,110.069,114.013,106.125,111.384,110.069,103.495,95.6065,95.6065,103.495,106.125,103.495,99.5508,102.18,110.069,110.069,98.236,99.5508,99.5508,95.6065,-3.28874,-5.16015,-4.26729,-4.22444,-3.61492,-3.40887,-3.40887,-3.90966,-3.39746,-3.28874,-4.04983,-3.30014,-3.47475,-4.94269,-3.6922,-4.04983,-5.33476,-3.22286,-4.04983,-3.30014,-3.22286,-3.50619,-5.84695,-6.95727,-3.5176,-3.33158,-3.30014,-3.61492,-4.04983,-3.40887,-3.19141,-3.58348,-3.89826,-3.72365,-5.8784,-7.09744,-4.22444,-6.09585,-3.86681,-3.22286,-3.89826,-4.30173,-4.04983,-3.62633,-4.04983,-5.95568,-4.47633,-3.64936,-3.64936,-4.193,-4.193,-4.11571,-3.30014,-4.4533,-3.36602,-4.04983,-4.76808,-3.19141,-3.6808,-4.33317,-3.89826,-4.00699,-3.47475,-6.95727,-6.95727,-3.47475,-3.50619,-4.30173,-4.04983,-3.36602,-6.48792,-6.48792,-4.15856,-3.22286,-3.22286,-3.54904,120.58,102.954,102.097,112.833,103.458,120.102,125.256,112.47,98.2536,143.772,96.9033,110.986,128.755,94.5382,74.886,92.5049,118.474,97.9696,105.16,140.85,93.8596,116.881,141.723,118.993,99.7037,104.998,127.316,106.431,103.447,127.14,99.2044,104.95,110.399,129.794,107.164,141.954,112.427,93.9941,102.587,100.67,101.497,134.519,102.682,131.368,135.806,100.962,72.9311,91.8318,89.2179,110.948,107.049,110.773,118.64,121.921,78.145,86.1599,122.286,96.7748,115.665,109.551,99.6248,94.0234,102.621,123.003,100.66,103.505,95.2024,103.577,113.148,112.297,87.582,94.7515,92.8693,102.023,76.8499,97.228
-258.726,0.863409,0.551399,3,7,0,259.476,106.106,0.99026,12.5208,41.3758,109.05,107.07,100.138,108.06,106.08,112.021,112.021,109.05,108.06,109.05,102.119,111.031,105.089,109.05,107.07,102.119,113.011,102.119,102.119,111.031,102.119,107.07,104.099,99.1478,113.011,101.128,111.031,106.08,102.119,112.021,110.041,106.08,111.031,105.089,108.06,112.021,108.06,106.08,101.128,102.119,111.031,105.089,102.119,114.002,102.119,105.089,99.1478,99.1478,99.1478,104.099,104.099,109.05,111.031,114.002,104.099,102.119,103.109,110.041,113.011,107.07,111.031,110.041,105.089,99.1478,99.1478,105.089,107.07,105.089,102.119,104.099,110.041,110.041,101.128,102.119,102.119,99.1478,-3.29638,-5.0519,-4.00818,-4.17414,-3.53365,-3.38197,-3.38197,-3.94337,-3.37547,-3.29638,-3.85,-3.30288,-3.62701,-4.89372,-3.78519,-3.85,-5.37603,-3.38975,-3.85,-3.30288,-3.38975,-3.45456,-5.94394,-7.14583,-3.46106,-3.31066,-3.30288,-3.53365,-3.85,-3.38197,-3.22379,-3.7061,-3.93687,-3.61273,-5.77148,-7.05246,-4.17414,-5.92966,-4.10933,-3.38975,-3.93687,-4.42568,-3.85,-3.54015,-3.85,-6.02303,-4.74982,-3.95115,-3.95115,-4.3466,-4.3466,-4.09505,-3.30288,-4.33882,-3.54792,-3.85,-4.56958,-3.22379,-3.77869,-4.25323,-3.93687,-4.01596,-3.62701,-7.14583,-7.14583,-3.62701,-3.45456,-4.42568,-3.85,-3.54792,-6.41197,-6.41197,-3.92909,-3.38975,-3.38975,-3.2886,111.962,119.522,86.6897,105.404,96.7292,120.822,146.434,84.4666,86.8858,116.504,176.997,168.662,104.02,81.975,99.9521,110.802,100.352,110.247,82.3729,107.953,104.807,119.54,110.239,102.326,128.461,93.3615,91.8083,93.7614,109.31,72.2924,116.548,104.407,125.713,104.459,89.0291,71.0802,136.983,108.377,101.155,104.116,115.882,105.08,89.4218,119.233,82.9021,57.8729,90.5822,119.607,105.663,101.45,115.083,104.386,124.865,97.8892,128.908,96.7504,111.179,126.322,125.954,123.914,118.193,130.873,88.6096,111.137,93.874,93.2374,110.851,94.3513,106.882,103.52,121.971,105.236,109.258,111.895,129.345,101.119
-258.469,0.720039,0.551399,2,7,0,260.89,106.441,1.29669,11.1696,53.4993,110.297,107.704,98.627,109,106.407,114.187,114.187,110.297,109,110.297,101.22,112.891,105.11,110.297,107.704,101.22,115.484,101.22,101.22,112.891,101.22,107.704,103.814,97.3303,115.484,99.9236,112.891,106.407,101.22,114.187,111.594,106.407,112.891,105.11,109,114.187,109,106.407,99.9236,101.22,112.891,105.11,101.22,116.781,101.22,105.11,97.3303,97.3303,97.3303,103.814,103.814,110.297,112.891,116.781,103.814,101.22,102.517,111.594,115.484,107.704,112.891,111.594,105.11,97.3303,97.3303,105.11,107.704,105.11,101.22,103.814,111.594,111.594,99.9236,101.22,101.22,97.3303,-3.13295,-5.10249,-4.12456,-4.09112,-3.42801,-3.48122,-3.48122,-4.02824,-3.19583,-3.13295,-3.89238,-3.36513,-3.56387,-4.87031,-3.79605,-3.89238,-5.30123,-3.2156,-3.89238,-3.36513,-3.2156,-3.31192,-6.13364,-7.34376,-3.59731,-3.11318,-3.36513,-3.42801,-3.89238,-3.48122,-3.24904,-3.67996,-3.74284,-3.5441,-5.88169,-7.2079,-4.09112,-6.11387,-3.99479,-3.2156,-3.74284,-4.45916,-3.89238,-3.7134,-3.89238,-6.24973,-4.6579,-3.76261,-3.76261,-4.34307,-4.34307,-3.97503,-3.36513,-4.60869,-3.44778,-3.89238,-4.67157,-3.24904,-3.51066,-4.20721,-3.74284,-3.85893,-3.56387,-7.34376,-7.34376,-3.56387,-3.31192,-4.45916,-3.89238,-3.44778,-6.54479,-6.54479,-4.00847,-3.2156,-3.2156,-3.34536,83.4415,64.6968,98.2227,101.32,129.046,111.774,99.5306,117.66,111.135,102.398,80.8151,93.3067,95.7547,107.727,112.884,108.907,119.388,98.717,111.593,115.689,68.7015,109.089,96.5503,46.2695,86.6356,77.4109,150.651,139.842,80.3584,158.677,176.2,100.865,92.0325,168.309,116.854,104.882,119.65,122.844,106.829,99.1689,118.757,109.362,116.685,111.22,113.866,105.577,90.2666,93.0537,102.889,111.94,101.733,110.253,118.07,107.122,98.0722,110.659,93.2477,97.0571,115.086,137.816,85.2369,111.041,98.7884,102.173,96.4903,89.4452,107.338,102.907,105.575,103.247,122.662,114.939,87.1528,111.415,90.3811,97.5243
