# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 13:07:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\5v_3efjv.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612150737_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,nu,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.55191
# Diagonal elements of inverse mass matrix:
# 2.54493, 0.150309, 0.0129845, 3.14531
-260.455,0.984219,0.55191,3,7,0,262.096,104.705,1.74819,10.3993,35.5657,109.904,106.407,94.1702,108.156,104.659,115.148,115.148,109.904,108.156,109.904,97.6665,113.4,102.911,109.904,106.407,97.6665,116.897,97.6665,97.6665,113.4,97.6665,106.407,101.163,92.422,116.897,95.9184,113.4,104.659,97.6665,115.148,111.652,104.659,113.4,102.911,108.156,115.148,108.156,104.659,95.9184,97.6665,113.4,102.911,97.6665,118.645,97.6665,102.911,92.422,92.422,92.422,101.163,101.163,109.904,113.4,118.645,101.163,97.6665,99.4147,111.652,116.897,106.407,113.4,111.652,102.911,92.422,92.422,102.911,106.407,102.911,97.6665,101.163,111.652,111.652,95.9184,97.6665,97.6665,92.422,-3.04412,-5.30355,-4.55709,-4.17384,-3.54845,-3.52996,-3.52996,-3.98724,-3.21223,-3.04412,-4.22088,-3.36185,-3.31482,-4.96734,-3.65103,-4.22088,-5.25652,-3.25927,-4.22088,-3.36185,-3.25927,-3.38034,-6.03153,-7.11421,-3.69807,-3.42737,-3.36185,-3.54845,-4.22088,-3.52996,-3.19374,-3.48292,-3.66952,-3.71655,-6.09706,-7.34784,-4.17384,-6.43327,-3.60399,-3.25927,-3.66952,-4.27642,-4.22088,-3.86617,-4.22088,-6.19964,-4.22939,-3.26778,-3.26778,-4.10832,-4.10832,-4.00573,-3.36185,-4.82778,-3.14671,-4.22088,-5.01438,-3.19374,-3.3333,-4.34195,-3.66952,-3.83763,-3.31482,-7.11421,-7.11421,-3.31482,-3.38034,-4.27642,-4.22088,-3.14671,-6.72245,-6.72245,-4.38898,-3.25927,-3.25927,-3.76359,102.242,115.387,91.3406,122.636,73.731,133.922,109.5,117.449,96.8656,110.226,100.864,119.214,114.103,108.494,104.006,83.1348,118.372,101.46,105.31,108.64,100.346,94.2638,113.427,91.0886,99.6788,98.4434,98.5246,103.358,97.6555,116.02,105.622,102.505,112.242,88.2096,90.5216,126.53,130.256,109.515,92.4296,104.985,112.606,120.372,137.565,114.239,92.6122,90.8909,91.6758,102.304,74.2499,103.442,92.9608,118.271,86.6406,125.029,94.365,94.7782,100.101,108.594,117.238,99.2983,123.17,132.041,44.4397,74.1656,85.0662,90.5589,91.3416,66.152,101.659,76.3357,113.931,109.124,82.8047,112.839,101.75,106.013
-259.179,0.978945,0.55191,3,7,0,261.454,107.157,0.956787,12.8004,50.4139,110.002,108.089,101.391,109.046,107.132,112.873,112.873,110.002,109.046,110.002,103.305,111.916,106.175,110.002,108.089,103.305,113.829,103.305,103.305,111.916,103.305,108.089,105.218,100.434,113.829,102.348,111.916,107.132,103.305,112.873,110.959,107.132,111.916,106.175,109.046,112.873,109.046,107.132,102.348,103.305,111.916,106.175,103.305,114.786,103.305,106.175,100.434,100.434,100.434,105.218,105.218,110.002,111.916,114.786,105.218,103.305,104.262,110.959,113.829,108.089,111.916,110.959,106.175,100.434,100.434,106.175,108.089,106.175,103.305,105.218,110.959,110.959,102.348,103.305,103.305,100.434,-3.24281,-4.95439,-3.91516,-4.09842,-3.46669,-3.46705,-3.46705,-4.02403,-3.31719,-3.24281,-3.76567,-3.3923,-3.72504,-4.80489,-3.87454,-3.76567,-5.28713,-3.5008,-3.76567,-3.3923,-3.5008,-3.39194,-5.99397,-7.18268,-3.54179,-3.42606,-3.3923,-3.46669,-3.76567,-3.46705,-3.31755,-3.79979,-3.87418,-3.54143,-5.66086,-6.92432,-4.09842,-5.81036,-4.20728,-3.5008,-3.87418,-4.50627,-3.76567,-3.61654,-3.76567,-6.06871,-4.83901,-4.05779,-4.05779,-4.43152,-4.43152,-4.02367,-3.3923,-4.39776,-3.6503,-3.76567,-4.47215,-3.31755,-3.72468,-4.17316,-3.87418,-3.94892,-3.72504,-7.18268,-7.18268,-3.72504,-3.39194,-4.50627,-3.76567,-3.6503,-6.29259,-6.29259,-3.84042,-3.5008,-3.5008,-3.27657,127.184,102.822,99.7491,103.279,105.646,110.971,100.412,111.167,112.339,104.836,97.5873,66.6185,89.5198,106.496,105.755,57.6869,116.188,89.8502,110.59,111.065,160.632,119.998,107.003,39.1358,101.583,113.804,74.1698,118.765,105.224,112.329,137.475,115.25,102.895,120.214,105.423,109.508,96.0918,111.5,118.303,103.226,114.523,129.206,108.99,84.0717,108.041,103.496,107.201,84.2767,93.226,97.6996,153.787,97.7262,115.628,152.814,95.877,97.2281,94.706,122.159,105.634,117.025,111.934,85.4545,110.697,91.4535,114.17,105.466,110.245,104.189,112.911,96.2023,113.16,89.1797,96.8725,98.9394,86.8217,106.324
-262.272,0.832337,0.55191,3,7,0,264.091,110.205,1.75452,13.4126,64.0656,115.422,111.913,99.6314,113.668,110.159,120.686,120.686,115.422,113.668,115.422,103.14,118.931,108.404,115.422,111.913,103.14,122.44,103.14,103.14,118.931,103.14,111.913,106.65,97.8769,122.44,101.386,118.931,110.159,103.14,120.686,117.177,110.159,118.931,108.404,113.668,120.686,113.668,110.159,101.386,103.14,118.931,108.404,103.14,124.195,103.14,108.404,97.8769,97.8769,97.8769,106.65,106.65,115.422,118.931,124.195,106.65,103.14,104.895,117.177,122.44,111.913,118.931,117.177,108.404,97.8769,97.8769,108.404,111.913,108.404,103.14,106.65,117.177,117.177,101.386,103.14,103.14,97.8769,-3.6936,-4.63784,-4.06239,-3.76146,-3.30117,-4.08604,-4.08604,-4.43917,-3.56279,-3.6936,-3.80077,-3.95522,-3.91592,-4.37622,-4.17755,-3.80077,-4.59854,-3.52349,-3.80077,-3.95522,-3.52349,-3.43198,-6.02181,-6.85888,-4.21685,-3.39268,-3.95522,-3.30117,-3.80077,-4.08604,-3.82441,-4.04673,-3.36903,-3.40833,-5.25259,-6.22048,-3.76146,-5.51422,-4.13824,-3.52349,-3.36903,-4.66149,-3.80077,-4.34766,-3.80077,-6.15262,-4.62219,-3.87662,-3.87662,-4.53068,-4.53068,-3.63065,-3.95522,-5.09322,-3.78511,-3.80077,-4.41552,-3.82441,-3.47128,-3.89228,-3.36903,-3.49984,-3.91592,-6.85888,-6.85888,-3.91592,-3.43198,-4.66149,-3.80077,-3.78511,-5.73654,-5.73654,-3.93158,-3.52349,-3.52349,-3.44763,124.305,96.0088,97.1166,134.299,103.829,119.542,111.274,115.942,122.045,121.392,122.229,132.707,84.7964,134.258,123.29,106.916,110.031,108.704,111.074,144.588,101.252,118.421,116.382,64.1397,125.713,102.233,122.691,135.814,108.598,124.99,130.343,95.0323,115.632,76.3103,74.3791,115.931,105.945,69.4699,112.719,91.8009,106.454,119.777,123.214,114.214,102.937,90.2079,87.5625,100.705,101.858,122.889,128.31,78.2494,133.037,130.81,109.05,113.229,118.907,109.647,113.606,122.875,130.981,96.0648,102.492,92.7079,87.3863,124.143,119.764,46.2425,99.2525,100.581,179.846,85.9995,58.0907,113.472,113.145,86.4664
-260.137,0.990757,0.55191,2,7,0,264.248,109.013,1.80923,12.0481,39.9159,114.393,110.774,98.1097,112.583,108.965,119.82,119.82,114.393,112.583,114.393,101.728,118.011,107.156,114.393,110.774,101.728,121.63,101.728,101.728,118.011,101.728,110.774,105.347,96.3004,121.63,99.9189,118.011,108.965,101.728,119.82,116.202,108.965,118.011,107.156,112.583,119.82,112.583,108.965,99.9189,101.728,118.011,107.156,101.728,123.439,101.728,107.156,96.3004,96.3004,96.3004,105.347,105.347,114.393,118.011,123.439,105.347,101.728,103.537,116.202,121.63,110.774,118.011,116.202,107.156,96.3004,96.3004,107.156,110.774,107.156,101.728,105.347,116.202,116.202,99.9189,101.728,101.728,96.3004,-3.54665,-4.7778,-4.16896,-3.79763,-3.26796,-3.99715,-3.99715,-4.37666,-3.39648,-3.54665,-3.86862,-3.84699,-3.77599,-4.47747,-4.07632,-3.86862,-4.70681,-3.32549,-3.86862,-3.84699,-3.32549,-3.24632,-6.11585,-7.02503,-4.14732,-3.18878,-3.84699,-3.26796,-3.86862,-3.99715,-3.69682,-3.92616,-3.34713,-3.41812,-5.45764,-6.51699,-3.79763,-5.75798,-4.00533,-3.32549,-3.34713,-4.606,-3.86862,-4.29749,-3.86862,-6.26601,-4.535,-3.70499,-3.70499,-4.45583,-4.45583,-3.64746,-3.84699,-5.1275,-3.62582,-3.86862,-4.54847,-3.69682,-3.31731,-3.9478,-3.34713,-3.49729,-3.77599,-7.02503,-7.02503,-3.77599,-3.24632,-4.606,-3.86862,-3.62582,-5.98732,-5.98732,-4.01879,-3.32549,-3.32549,-3.48912,64.1153,110.442,131.221,121.777,92.8038,133.136,125.147,112.213,140.485,117.195,140.654,137.398,107.704,114.435,112.967,87.9894,119.486,114.044,102.613,122.095,138.246,111.898,95.991,84.9694,147.637,100.241,112.209,88.8432,106.04,99.7219,89.1653,109.295,91.7816,79.8884,115.757,99.9827,117.492,104.154,89.616,101.442,128.557,100.131,107.022,123.498,107.938,118.862,89.9155,109.751,112.683,130.995,106.413,89.0885,61.0275,125,107.844,104.191,107.266,136.876,133.031,141.029,77.0676,111.012,112.048,97.6557,116.87,108.015,106.542,116.571,98.149,119.685,108.664,125.243,101.04,121.463,104.468,110.441
-260.504,0.673255,0.55191,3,7,0,262.976,106.217,1.42091,9.24181,37.1373,110.443,107.601,97.6546,109.022,106.18,114.706,114.706,110.443,109.022,110.443,100.496,113.285,104.759,110.443,107.601,100.496,116.126,100.496,100.496,113.285,100.496,107.601,103.338,96.2337,116.126,99.0755,113.285,106.18,100.496,114.706,111.864,106.18,113.285,104.759,109.022,114.706,109.022,106.18,99.0755,100.496,113.285,104.759,100.496,117.547,100.496,104.759,96.2337,96.2337,96.2337,103.338,103.338,110.443,113.285,117.547,103.338,100.496,101.917,111.864,116.126,107.601,113.285,111.864,104.759,96.2337,96.2337,104.759,107.601,104.759,100.496,103.338,111.864,111.864,99.0755,100.496,100.496,96.2337,-2.9648,-5.34055,-4.25271,-4.10476,-3.33022,-3.42604,-3.42604,-4.04683,-3.02272,-2.9648,-3.94521,-3.27229,-3.43184,-5.03305,-3.73934,-3.94521,-5.5001,-2.9706,-3.94521,-3.27229,-2.9706,-3.17647,-6.52421,-7.91955,-3.57979,-3.01692,-3.27229,-3.33022,-3.94521,-3.42604,-3.11854,-3.58559,-3.64352,-3.48397,-6.26884,-7.81792,-4.10476,-6.57634,-3.89889,-2.9706,-3.64352,-4.51388,-3.94521,-3.73354,-3.94521,-6.67796,-4.67343,-3.59139,-3.59139,-4.36013,-4.36013,-3.95101,-3.27229,-4.81558,-3.27809,-3.94521,-4.8735,-3.11854,-3.33602,-4.25851,-3.64352,-3.79726,-3.43184,-7.91955,-7.91955,-3.43184,-3.17647,-4.51388,-3.94521,-3.27809,-7.04338,-7.04338,-4.09896,-2.9706,-2.9706,-3.32442,89.2073,109.394,118.219,109.73,100.104,128.773,115.917,112.034,106.03,115.236,90.871,116.503,125.223,104.892,103.329,100.717,122.919,94.0537,107.674,111.3,91.7694,112.111,84.7881,83.2175,117.872,107.749,81.3697,87.8012,95.5019,111.602,111.203,95.7603,106.735,103.001,107.088,124.667,106.912,101.533,101.356,100.968,101.183,110.158,104.795,120.496,102.312,98.3076,118.019,91.7943,90.8196,108.935,91.0508,125.581,106.512,118.125,103.084,90.6842,91.5344,112.753,84.1364,107.665,112.903,100.532,92.4519,101.548,89.2381,86.9768,111.053,113.175,98.4717,104.405,125.571,109.108,92.9065,87.3734,81.4476,95.8899
-259.21,0.680272,0.55191,3,7,0,261.93,105.401,1.63621,11.814,21.3123,110.266,106.994,95.5402,108.63,105.357,115.175,115.175,110.266,108.63,110.266,98.8126,113.539,103.721,110.266,106.994,98.8126,116.811,98.8126,98.8126,113.539,98.8126,106.994,102.085,93.904,116.811,97.1764,113.539,105.357,98.8126,115.175,111.902,105.357,113.539,103.721,108.63,115.175,108.63,105.357,97.1764,98.8126,113.539,103.721,98.8126,118.447,98.8126,103.721,93.904,93.904,93.904,102.085,102.085,110.266,113.539,118.447,102.085,98.8126,100.449,111.902,116.811,106.994,113.539,111.902,103.721,93.904,93.904,103.721,106.994,103.721,98.8126,102.085,111.902,111.902,97.1764,98.8126,98.8126,93.904,-3.18496,-5.10981,-4.38639,-4.12486,-3.5554,-3.60045,-3.60045,-4.03141,-3.27841,-3.18496,-4.10939,-3.46195,-3.47742,-4.83282,-3.75441,-4.10939,-5.12528,-3.26294,-4.10939,-3.46195,-3.26294,-3.4169,-5.87828,-6.8787,-3.73895,-3.40144,-3.46195,-3.5554,-4.10939,-3.60045,-3.32345,-3.61592,-3.70937,-3.6939,-5.81777,-6.95668,-4.12486,-6.09476,-3.76988,-3.26294,-3.70937,-4.32387,-4.10939,-3.87744,-4.10939,-6.01678,-4.33934,-3.49289,-3.49289,-4.18538,-4.18538,-3.98636,-3.46195,-4.7239,-3.33892,-4.10939,-4.81735,-3.32345,-3.43237,-4.26336,-3.70937,-3.84787,-3.47742,-6.8787,-6.8787,-3.47742,-3.4169,-4.32387,-4.10939,-3.33892,-6.38722,-6.38722,-4.24789,-3.26294,-3.26294,-3.67843,89.3646,101.381,111.431,87.1743,109.563,114.809,108.513,120.502,102.529,108.533,96.9091,111.485,108.045,77.7344,130.693,101.596,118.749,83.7198,108.347,142.69,68.2316,99.169,99.8723,99.9514,97.1472,87.6637,112.146,107.114,91.7471,129.454,104.126,115.104,113.47,117.024,79.7387,109.61,113.163,126.988,103.33,109.553,102.336,94.8687,82.2128,133.405,103.178,107.799,71.0602,66.5692,77.5392,69.6828,117.026,70.0062,118.992,116.004,94.9868,123.284,116.055,122.753,116.957,75.5446,106.109,111.53,108.884,96.3453,88.9903,108.205,100.812,70.49,101.517,102.902,112.298,114.464,100.553,105.418,100.029,105.436
