# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 13:14:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\f01th8dp.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612151418_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,nu,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.606986
# Diagonal elements of inverse mass matrix:
# 2.159, 0.143101, 0.0140314, 2.77593
-258.719,0.984117,0.606986,2,3,0,260.54,106.984,1.44012,12.5705,52.6898,111.267,108.387,98.3058,109.827,106.947,115.587,115.587,111.267,109.827,111.267,101.186,114.147,105.506,111.267,108.387,101.186,117.027,101.186,101.186,114.147,101.186,108.387,104.066,96.8657,117.027,99.7459,114.147,106.947,101.186,115.587,112.707,106.947,114.147,105.506,109.827,115.587,109.827,106.947,99.7459,101.186,114.147,105.506,101.186,118.467,101.186,105.506,96.8657,96.8657,96.8657,104.066,104.066,111.267,114.147,118.467,104.066,101.186,102.626,112.707,117.027,108.387,114.147,112.707,105.506,96.8657,96.8657,105.506,108.387,105.506,101.186,104.066,112.707,112.707,99.7459,101.186,101.186,96.8657,-3.32528,-4.94387,-4.15479,-4.03379,-3.46741,-3.66897,-3.66897,-4.12079,-3.23828,-3.32528,-3.92566,-3.5544,-3.66254,-4.71475,-3.89167,-3.92566,-5.05201,-3.31885,-3.92566,-3.5544,-3.31885,-3.35284,-5.93452,-6.95274,-3.78353,-3.24471,-3.5544,-3.46741,-3.92566,-3.66897,-3.43984,-3.7771,-3.6901,-3.58197,-5.62483,-6.75761,-4.03379,-5.85395,-3.9998,-3.31885,-3.6901,-4.45806,-3.92566,-3.8981,-3.92566,-6.04909,-4.56619,-3.77067,-3.77067,-4.34349,-4.34349,-3.91923,-3.5544,-4.69361,-3.54798,-3.92566,-4.60661,-3.43984,-3.46098,-4.14836,-3.6901,-3.80467,-3.66254,-6.95274,-6.95274,-3.66254,-3.35284,-4.45806,-3.92566,-3.54798,-6.19122,-6.19122,-4.04022,-3.31885,-3.31885,-3.47383,111.217,114.215,87.4362,103.365,117.569,105.155,99.2273,110.82,143.716,80.145,100.564,107.032,110.957,110.322,90.7568,100.774,114.547,106.087,100.548,126.603,104.951,94.0141,115.539,84.6671,117.246,120.781,88.6905,122.92,84.5735,112.617,101.582,41.8353,113.227,98.4889,102.58,100.238,115.758,110.231,135.032,99.207,105.818,157.463,110.581,113.04,102.396,105.161,94.4504,112.539,96.3345,79.5489,53.2699,104.325,107.135,132.131,143.882,98.6224,118.596,117.882,111.196,105.626,108.832,106.727,100.308,63.6141,107.13,113.274,175.443,122.929,148.324,132.652,128.78,111.827,74.033,92.9186,142.264,91.8806
-258.428,0.921325,0.606986,3,7,0,259.248,106.683,1.59898,11.6942,31.5209,111.438,108.24,97.0472,109.839,106.641,116.235,116.235,111.438,109.839,111.438,100.245,114.636,105.042,111.438,108.24,100.245,117.834,100.245,100.245,114.636,100.245,108.24,103.443,95.4483,117.834,98.6462,114.636,106.641,100.245,116.235,113.037,106.641,114.636,105.042,109.839,116.235,109.839,106.641,98.6462,100.245,114.636,105.042,100.245,119.433,100.245,105.042,95.4483,95.4483,95.4483,103.443,103.443,111.438,114.636,119.433,103.443,100.245,101.844,113.037,117.834,108.24,114.636,113.037,105.042,95.4483,95.4483,105.042,108.24,105.042,100.245,103.443,113.037,113.037,98.6462,100.245,100.245,95.4483,-3.27521,-5.01299,-4.25986,-4.02112,-3.43946,-3.68541,-3.68541,-4.13034,-3.166,-3.27521,-3.9864,-3.54868,-3.5834,-4.73952,-3.85687,-3.9864,-5.04771,-3.1732,-3.9864,-3.54868,-3.1732,-3.30273,-6.01205,-7.03864,-3.82214,-3.268,-3.54868,-3.43946,-3.9864,-3.68541,-3.41194,-3.72014,-3.61092,-3.5762,-5.73138,-6.8947,-4.02112,-6.00485,-3.8916,-3.1732,-3.61092,-4.43853,-3.9864,-3.95888,-3.9864,-6.14879,-4.47326,-3.61813,-3.61813,-4.3018,-4.3018,-3.88439,-3.54868,-4.814,-3.44667,-3.9864,-4.70479,-3.41194,-3.33746,-4.15786,-3.61092,-3.74766,-3.5834,-7.03864,-7.03864,-3.5834,-3.30273,-4.43853,-3.9864,-3.44667,-6.31304,-6.31304,-4.12313,-3.1732,-3.1732,-3.54147,112.891,73.3718,109.666,113.191,99.4372,98.3174,103.516,102.511,121.918,104.648,93.3366,98.7012,120.967,88.589,109.586,98.8404,126.137,107.498,155.861,86.0717,85.7196,120.932,133.141,99.7155,121.627,91.8235,130.428,81.3353,113.906,138.838,127.307,127.137,110.022,78.955,123.64,115.98,106.066,120.678,74.0691,104.229,109.143,117.993,103.013,109.931,98.4138,110.889,96.3512,65.8811,92.0465,127.076,100.439,119.815,113.915,111.595,103.41,105.389,71.0145,98.0431,94.7955,102.391,108.485,144.841,85.0757,67.7339,96.1894,104.756,107.822,92.4732,102.721,111.472,107.36,110.649,107.245,117.492,101.031,109.371
-260.918,0.663871,0.606986,2,3,0,266.162,107.135,1.40641,15.3015,34.0799,111.317,108.505,98.6597,109.911,107.098,115.537,115.537,111.317,109.911,111.317,101.472,114.13,105.692,111.317,108.505,101.472,116.943,101.472,101.472,114.13,101.472,108.505,104.285,97.2533,116.943,100.066,114.13,107.098,101.472,115.537,112.724,107.098,114.13,105.692,109.911,115.537,109.911,107.098,100.066,101.472,114.13,105.692,101.472,118.349,101.472,105.692,97.2533,97.2533,97.2533,104.285,104.285,111.317,114.13,118.349,104.285,101.472,102.879,112.724,116.943,108.505,114.13,112.724,105.692,97.2533,97.2533,105.692,108.505,105.692,101.472,104.285,112.724,112.724,100.066,101.472,101.472,97.2533,-3.50719,-4.82589,-4.16222,-4.08045,-3.61074,-3.78293,-3.78293,-4.16072,-3.42692,-3.50719,-3.9784,-3.69102,-3.79307,-4.64206,-3.9769,-3.9784,-4.92794,-3.51733,-3.9784,-3.69102,-3.51733,-3.51883,-5.66175,-6.50924,-3.87485,-3.42542,-3.69102,-3.61074,-3.9784,-3.78293,-3.59911,-3.88498,-3.80471,-3.70266,-5.38751,-6.32692,-4.08045,-5.57134,-4.07895,-3.51733,-3.80471,-4.4466,-3.9784,-3.96676,-3.9784,-5.75366,-4.54865,-3.89512,-3.89512,-4.35469,-4.35469,-3.98853,-3.69102,-4.62029,-3.70116,-3.9784,-4.54001,-3.59911,-3.62088,-4.17236,-3.80471,-3.89662,-3.79307,-6.50924,-6.50924,-3.79307,-3.51883,-4.4466,-3.9784,-3.70116,-5.85721,-5.85721,-4.07031,-3.51733,-3.51733,-3.60061,149.297,122.438,100.116,101.955,146.425,93.3112,83.0843,148.499,88.8368,120.914,132.702,121.872,101.9,86.7308,100.72,77.9543,160.981,114.119,93.7103,113.097,97.951,113.473,96.8514,115.414,103.225,102.436,120.225,105.585,99.4947,119.244,109.487,114.737,73.5554,90.2468,115.04,105.679,114.671,126.956,113.345,162.845,135.724,111.922,94.4849,136.392,131.067,104.622,134.481,81.3225,42.917,52.7633,111.829,103.883,109.059,119.82,98.1692,124.942,72.0791,117.761,139.707,106.868,106.92,108.027,111.06,132.31,88.2038,116.124,93.278,101.569,102.091,117.257,142.557,111.059,100.673,147.126,99.3603,84.9664
-260.467,0.637277,0.606986,3,7,0,263.299,108.153,1.92627,11.7253,9.65754,113.881,110.028,96.5443,111.954,108.102,119.66,119.66,113.881,111.954,113.881,100.397,117.733,106.176,113.881,110.028,100.397,121.586,100.397,100.397,117.733,100.397,110.028,104.249,94.618,121.586,98.4706,117.733,108.102,100.397,119.66,115.807,108.102,117.733,106.176,111.954,119.66,111.954,108.102,98.4706,100.397,117.733,106.176,100.397,123.512,100.397,106.176,94.618,94.618,94.618,104.249,104.249,113.881,117.733,123.512,104.249,100.397,102.323,115.807,121.586,110.028,117.733,115.807,106.176,94.618,94.618,106.176,110.028,106.176,100.397,104.249,115.807,115.807,98.4706,100.397,100.397,94.618,-3.48586,-4.85821,-4.30247,-3.84107,-3.31678,-3.97871,-3.97871,-4.33872,-3.32158,-3.48586,-3.97391,-3.81443,-3.68159,-4.52964,-4.01016,-3.97391,-4.72537,-3.18874,-3.97391,-3.81443,-3.18874,-3.1573,-6.07588,-6.96018,-4.143,-3.28533,-3.81443,-3.31678,-3.97391,-3.97871,-3.65015,-3.84587,-3.34822,-3.48106,-5.54678,-6.59536,-3.84107,-5.87535,-3.87731,-3.18874,-3.34822,-4.53445,-3.97391,-4.30728,-3.97391,-6.24016,-4.4016,-3.54875,-3.54875,-4.37016,-4.37016,-3.67678,-3.81443,-5.16014,-3.51731,-3.97391,-4.66248,-3.65015,-3.29014,-4.00535,-3.34822,-3.5125,-3.68159,-6.96018,-6.96018,-3.68159,-3.1573,-4.53445,-3.97391,-3.51731,-6.07107,-6.07107,-4.13819,-3.18874,-3.18874,-3.6139,130.266,109.02,83.037,124.318,107.321,110.78,155.833,113.283,126.067,111.328,76.2374,110.82,96.4029,125.736,126.067,80.9012,92.5054,103.33,95.729,120.647,167.883,88.6531,110.525,96.5372,125.727,97.9607,112.482,128.481,101.23,102.771,134.548,73.1468,96.5732,99.9605,123.748,104.739,119.961,120.714,99.7425,107.492,105.474,111.524,54.8411,89.7905,80.6484,118.315,84.7751,92.6729,96.8429,94.8392,110.1,109.163,113.909,127.02,101.504,108.74,82.8564,87.8238,134.632,97.6602,118.697,117.235,96.8736,86.7499,94.7297,105.018,129.565,80.3725,104.907,102.409,105.19,108.129,93.4976,103.923,100.55,88.5805
-260.442,0.760239,0.606986,3,7,0,262.21,106.514,1.94585,13.261,64.4525,112.301,108.409,94.788,110.355,106.463,118.138,118.138,112.301,110.355,112.301,98.6797,116.192,104.517,112.301,108.409,98.6797,120.084,98.6797,98.6797,116.192,98.6797,108.409,102.571,92.8422,120.084,96.7339,116.192,106.463,98.6797,118.138,114.246,106.463,116.192,104.517,110.355,118.138,110.355,106.463,96.7339,98.6797,116.192,104.517,98.6797,122.03,98.6797,104.517,92.8422,92.8422,92.8422,102.571,102.571,112.301,116.192,122.03,102.571,98.6797,100.626,114.246,120.084,108.409,116.192,114.246,104.517,92.8422,92.8422,104.517,108.409,104.517,98.6797,102.571,114.246,114.246,96.7339,98.6797,98.6797,92.8422,-3.45147,-4.90614,-4.4251,-4.00531,-3.54469,-3.89167,-3.89167,-4.20555,-3.30473,-3.45147,-4.13163,-3.74493,-3.61862,-4.61267,-3.91209,-4.13163,-4.77982,-3.37754,-4.13163,-3.74493,-3.37754,-3.39796,-5.73415,-6.50866,-4.0384,-3.52427,-3.74493,-3.54469,-4.13163,-3.89167,-3.5982,-3.76535,-3.56511,-3.69142,-5.51349,-6.43473,-4.00531,-5.80696,-3.78577,-3.37754,-3.56511,-4.37271,-4.13163,-4.18514,-4.13163,-5.88089,-4.24639,-3.4923,-3.4923,-4.22597,-4.22597,-3.85858,-3.74493,-4.93923,-3.47188,-4.13163,-4.73898,-3.5982,-3.28431,-4.15205,-3.56511,-3.71184,-3.61862,-6.50866,-6.50866,-3.61862,-3.39796,-4.37271,-4.13163,-3.47188,-5.97411,-5.97411,-4.27836,-3.37754,-3.37754,-3.81774,109.981,128.139,105.695,155.648,127.698,127.218,120.264,118.807,126.825,112.461,101.142,143.621,98.7028,143.892,118.404,107.955,170.379,94.1315,150.779,91.6938,97.3902,100.387,82.8529,70.0027,116.599,93.2502,135.774,112.643,85.4963,117.677,117.682,125.038,118.893,87.6364,110.818,104.487,126.473,91.3965,90.4901,127.868,121.33,118.269,99.5661,114.09,139.359,107.078,103.59,91.814,88.7676,106.804,102.151,100.295,91.0479,131.367,113.625,190.121,98.0119,153.85,150.962,94.673,125.66,128.883,84.0673,131.283,100.774,124.859,103.566,86.6736,107.578,95.1306,113.311,119.304,62.9223,110.395,83.4471,67.9569
-259.293,0.969621,0.606986,3,7,0,263.052,104.868,1.11576,11.0873,15.5097,108.186,105.955,98.1443,107.07,104.839,111.533,111.533,108.186,107.07,108.186,100.376,110.418,103.723,108.186,105.955,100.376,112.649,100.376,100.376,110.418,100.376,105.955,102.607,97.0286,112.649,99.2601,110.418,104.839,100.376,111.533,109.302,104.839,110.418,103.723,107.07,111.533,107.07,104.839,99.2601,100.376,110.418,103.723,100.376,113.765,100.376,103.723,97.0286,97.0286,97.0286,102.607,102.607,108.186,110.418,113.765,102.607,100.376,101.492,109.302,112.649,105.955,110.418,109.302,103.723,97.0286,97.0286,103.723,105.955,103.723,100.376,102.607,109.302,109.302,99.2601,100.376,100.376,97.0286,-3.26254,-5.26768,-4.16825,-4.26511,-3.56444,-3.23725,-3.23725,-3.83728,-3.36317,-3.26254,-3.96698,-3.13662,-3.43475,-5.06641,-3.63602,-3.96698,-5.56581,-3.13284,-3.96698,-3.13662,-3.13284,-3.46381,-6.03992,-7.34062,-3.33789,-3.16568,-3.13662,-3.56444,-3.96698,-3.23725,-3.1619,-3.53538,-3.96321,-3.66508,-6.06898,-7.47032,-4.26511,-6.27025,-3.93414,-3.13284,-3.96321,-4.33668,-3.96698,-3.43852,-3.96698,-6.14056,-4.63481,-3.73288,-3.73288,-4.23605,-4.23605,-4.16447,-3.13662,-4.34046,-3.33411,-3.96698,-4.76828,-3.1619,-3.76194,-4.36574,-3.96321,-4.06384,-3.43475,-7.34062,-7.34062,-3.43475,-3.46381,-4.33668,-3.96698,-3.33411,-6.76965,-6.76965,-4.06761,-3.13284,-3.13284,-3.36695,116.077,113.814,98.4317,128.911,107.163,110.22,151.227,113.618,99.9307,107.151,103.802,109.258,103.671,111.767,104.666,86.7272,120.754,89.7666,72.8246,109.665,78.3632,127.112,112.07,106.939,111.251,95.8484,103.386,112.789,104.423,108.905,107.579,105.237,109.683,106.606,99.1128,111.227,93.8021,111.922,106.366,104.994,114.208,112.669,100.588,129.737,113.016,103.962,99.1795,68.9996,94.1784,87.9975,101.285,118.441,78.3709,128.515,97.8989,114.241,151.102,142.942,110.186,134.634,106.142,89.5509,106.111,174.545,107.893,108.458,102.679,88.1403,103.491,97.6791,105.991,95.5315,96.3143,115.374,81.3861,89.2457
