# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 17:40:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\ow39as_u.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612194023_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,nu,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.585095
# Diagonal elements of inverse mass matrix:
# 2.33275, 0.160462, 0.0142167, 2.84285
-259.603,1,0.585095,2,3,0,263.987,108.109,1.4732,13.1354,49.7731,112.49,109.543,99.2308,111.016,108.07,116.909,116.909,112.49,111.016,112.49,102.177,115.436,106.597,112.49,109.543,102.177,118.382,102.177,102.177,115.436,102.177,109.543,105.124,97.7576,118.382,100.704,115.436,108.07,102.177,116.909,113.963,108.07,115.436,106.597,111.016,116.909,111.016,108.07,100.704,102.177,115.436,106.597,102.177,119.856,102.177,106.597,97.7576,97.7576,97.7576,105.124,105.124,112.49,115.436,119.856,105.124,102.177,103.65,113.963,118.382,109.543,115.436,113.963,106.597,97.7576,97.7576,106.597,109.543,106.597,102.177,105.124,113.963,113.963,100.704,102.177,102.177,97.7576,-3.45799,-4.82584,-4.08832,-3.95238,-3.41539,-3.79446,-3.79446,-4.21929,-3.34584,-3.45799,-3.86401,-3.6823,-3.77067,-4.60153,-3.99498,-3.86401,-4.91421,-3.43421,-3.86401,-3.6823,-3.43421,-3.30324,-5.94242,-6.90425,-3.90661,-3.32205,-3.6823,-3.41539,-3.86401,-3.79446,-3.57015,-3.88283,-3.61592,-3.52755,-5.47498,-6.54896,-3.95238,-5.69929,-4.08335,-3.43421,-3.61592,-4.53197,-3.86401,-4.01877,-3.86401,-6.05458,-4.62035,-3.85904,-3.85904,-4.41982,-4.41982,-3.84023,-3.6823,-4.78007,-3.65852,-3.86401,-4.51316,-3.57015,-3.39161,-4.06454,-3.61592,-3.72807,-3.77067,-6.90425,-6.90425,-3.77067,-3.30324,-4.53197,-3.86401,-3.65852,-6.01197,-6.01197,-3.97617,-3.43421,-3.43421,-3.43917,121.046,108.314,92.7939,142.231,114.506,152.488,127.742,109.625,116.409,105.285,97.9828,107.536,103.777,108.178,112.853,116.604,108.872,124.6,108.862,104.675,35.5519,127.429,102.22,83.2138,112.011,84.4836,99.5042,59.0544,93.1768,110.616,132.254,105.856,109.263,118.152,162.822,116.812,109.02,98.7092,109.935,101.351,105.632,113.46,97.0602,115.842,112.3,121.188,126.917,101.519,100.379,107.333,106.2,114.441,116.928,128.28,104.407,107.149,98.0097,114.687,96.6354,110.583,97.2735,101.248,116.759,88.5518,107.308,123.073,105.492,118.234,102.209,114.208,102.265,177.675,104.119,95.8001,124.252,93.1698
-258.695,0.962812,0.585095,3,7,0,261.659,106.308,1.65157,11.184,31.6886,111.22,107.916,96.3554,109.568,106.265,116.174,116.174,111.22,109.568,111.22,99.6586,114.523,104.613,111.22,107.916,99.6586,117.826,99.6586,99.6586,114.523,99.6586,107.916,102.962,94.7039,117.826,98.007,114.523,106.265,99.6586,116.174,112.871,106.265,114.523,104.613,109.568,116.174,109.568,106.265,98.007,99.6586,114.523,104.613,99.6586,119.477,99.6586,104.613,94.7039,94.7039,94.7039,102.962,102.962,111.22,114.523,119.477,102.962,99.6586,101.31,112.871,117.826,107.916,114.523,112.871,104.613,94.7039,94.7039,104.613,107.916,104.613,99.6586,102.962,112.871,112.871,98.007,99.6586,99.6586,94.7039,-3.21668,-5.0822,-4.32764,-4.04039,-3.4416,-3.65969,-3.65969,-4.11081,-3.14626,-3.21668,-4.03229,-3.51202,-3.52012,-4.78686,-3.81547,-4.03229,-5.0903,-3.13816,-4.03229,-3.51202,-3.13816,-3.29393,-6.05485,-7.10476,-3.80737,-3.28583,-3.51202,-3.4416,-4.03229,-3.65969,-3.36435,-3.66779,-3.59738,-3.58928,-5.82866,-7.02624,-4.04039,-6.12401,-3.82356,-3.13816,-3.59738,-4.41425,-4.03229,-3.95504,-4.03229,-6.20252,-4.42235,-3.52822,-3.52822,-4.26658,-4.26658,-3.89272,-3.51202,-4.84917,-3.37245,-4.03229,-4.77876,-3.36435,-3.30203,-4.18807,-3.59738,-3.74505,-3.52012,-7.10476,-7.10476,-3.52012,-3.29393,-4.41425,-4.03229,-3.37245,-6.42745,-6.42745,-4.17997,-3.13816,-3.13816,-3.58118,110.119,107.71,84.0667,86.1228,97.9744,124.027,96.9487,121.235,113.79,110.126,105.436,101.835,118.217,97.9752,108.693,107.322,111.479,93.9566,54.4574,83.3562,78.3943,90.0077,117.786,80.3943,95.8923,87.9193,130.28,104.835,95.2383,112.604,109.715,147.105,99.9398,110.636,113.192,114.52,120.184,146.316,89.4233,99.0017,116.363,101.002,107.506,108.121,78.9667,51.3203,107.203,96.7999,85.2573,92.592,101.268,101.342,120.08,133.056,116.557,105.605,102.391,113.713,119.475,123.131,119.176,99.6348,123.422,91.6964,102.785,110.199,144.754,94.3222,118.037,92.8725,98.8914,121.808,85.1951,92.302,89.4313,77.9013
-258.725,0.705198,0.585095,2,7,0,260.403,107.361,1.34843,12.0311,34.4831,111.371,108.674,99.235,110.022,107.326,115.416,115.416,111.371,110.022,111.371,101.932,114.068,105.977,111.371,108.674,101.932,116.765,101.932,101.932,114.068,101.932,108.674,104.629,97.8865,116.765,100.583,114.068,107.326,101.932,115.416,112.719,107.326,114.068,105.977,110.022,115.416,110.022,107.326,100.583,101.932,114.068,105.977,101.932,118.113,101.932,105.977,97.8865,97.8865,97.8865,104.629,104.629,111.371,114.068,118.113,104.629,101.932,103.28,112.719,116.765,108.674,114.068,112.719,105.977,97.8865,97.8865,105.977,108.674,105.977,101.932,104.629,112.719,112.719,100.583,101.932,101.932,97.8865,-3.29458,-4.95322,-4.07541,-4.00996,-3.40294,-3.63082,-3.63082,-4.12576,-3.1825,-3.29458,-3.85125,-3.51874,-3.67745,-4.72906,-3.9016,-3.85125,-5.11193,-3.34121,-3.85125,-3.51874,-3.34121,-3.29086,-6.0589,-7.16087,-3.74289,-3.22913,-3.51874,-3.40294,-3.85125,-3.63082,-3.40666,-3.78952,-3.67373,-3.51502,-5.67232,-6.88636,-4.00996,-5.89648,-4.06031,-3.34121,-3.67373,-4.50863,-3.85125,-3.85497,-3.85125,-6.17098,-4.66733,-3.83616,-3.83616,-4.39655,-4.39655,-3.89788,-3.51874,-4.68615,-3.56537,-3.85125,-4.57035,-3.40666,-3.44957,-4.12204,-3.67373,-3.7858,-3.67745,-7.16087,-7.16087,-3.67745,-3.29086,-4.50863,-3.85125,-3.56537,-6.27934,-6.27934,-3.96333,-3.34121,-3.34121,-3.35631,105.792,150.739,151.198,119.769,89.4159,114.847,107.232,107.45,99.4231,112.448,106.025,96.3687,100.136,100.663,110.362,103.887,100.195,88.6626,162.25,91.3091,94.7603,122.747,107.284,94.8695,117.34,74.6618,90.5961,119.088,134.852,110.785,108.883,91.66,97.4499,107.731,132.513,102.935,94.6435,95.2318,100.164,84.3436,121.896,94.2206,115.301,152.466,100.479,92.1725,145.434,84.4571,108.551,111.405,110.543,137.597,53.4579,121.17,100.296,130.598,114.238,122.108,108.515,84.8962,146.37,156.096,100.631,132.234,101.219,97.7088,137.656,120.484,112.495,112.216,119.079,120.875,87.9125,81.9023,100.545,100.349
-260.064,0.919265,0.585095,2,3,0,260.356,107.332,1.9059,13.7292,30.8148,113,109.188,95.8466,111.094,107.282,118.717,118.717,113,111.094,113,99.6584,116.812,105.376,113,109.188,99.6584,120.623,99.6584,99.6584,116.812,99.6584,109.188,103.47,93.9407,120.623,97.7525,116.812,107.282,99.6584,118.717,114.906,107.282,116.812,105.376,111.094,118.717,111.094,107.282,97.7525,99.6584,116.812,105.376,99.6584,122.529,99.6584,105.376,93.9407,93.9407,93.9407,103.47,103.47,113,116.812,122.529,103.47,99.6584,101.564,114.906,120.623,109.188,116.812,114.906,105.376,93.9407,93.9407,105.376,109.188,105.376,99.6584,103.47,114.906,114.906,97.7525,99.6584,99.6584,93.9407,-3.53116,-4.82857,-4.34357,-3.96138,-3.51064,-3.94763,-3.94763,-4.25954,-3.39234,-3.53116,-4.06593,-3.80881,-3.70425,-4.55093,-3.9819,-4.06593,-4.72402,-3.33755,-4.06593,-3.80881,-3.33755,-3.37182,-5.75056,-6.5132,-4.08645,-3.47637,-3.80881,-3.51064,-4.06593,-3.94763,-3.66998,-3.84308,-3.54491,-3.64946,-5.41813,-6.31959,-3.96138,-5.69577,-3.87735,-3.33755,-3.54491,-4.43263,-4.06593,-4.22527,-4.06593,-5.88938,-4.32808,-3.5997,-3.5997,-4.29381,-4.29381,-3.82256,-3.80881,-4.95364,-3.56543,-4.06593,-4.65548,-3.66998,-3.35807,-4.1002,-3.54491,-3.68373,-3.70425,-6.5132,-6.5132,-3.70425,-3.37182,-4.43263,-4.06593,-3.56543,-5.86886,-5.86886,-4.20475,-3.33755,-3.33755,-3.75402,115.311,105.245,87.4732,114.822,106.878,108.379,128.619,118.694,149.237,109.243,133.426,105.979,91.0598,136.933,85.4333,139.939,118.405,110.31,121.378,148.44,99.9176,113.89,96.1606,80.8833,117.707,112.782,92.559,96.4578,53.3473,125.129,105.759,86.0764,154.248,116.123,119.926,93.2831,97.3942,102.162,106.037,103.19,127.958,46.9854,110.988,113.303,118.267,101.124,98.5616,86.7202,72.8727,108.022,122.08,110.185,66.9883,107.988,66.9777,94.0271,105.427,114.001,123.44,115.567,107.681,87.777,99.7527,97.4333,90.2755,100.077,117.132,99.0947,97.0363,123.57,110.781,128.477,96.5474,116.879,100.239,88.0237
-259.698,0.863943,0.585095,3,7,0,261.137,107.957,1.73093,12.2882,66.4808,113.104,109.642,97.5254,111.373,107.911,118.297,118.297,113.104,111.373,113.104,100.987,116.566,106.18,113.104,109.642,100.987,120.028,100.987,100.987,116.566,100.987,109.642,104.449,95.7944,120.028,99.2563,116.566,107.911,100.987,118.297,114.835,107.911,116.566,106.18,111.373,118.297,111.373,107.911,99.2563,100.987,116.566,106.18,100.987,121.758,100.987,106.18,95.7944,95.7944,95.7944,104.449,104.449,113.104,116.566,121.758,104.449,100.987,102.718,114.835,120.028,109.642,116.566,114.835,106.18,95.7944,95.7944,106.18,109.642,106.18,100.987,104.449,114.835,114.835,99.2563,100.987,100.987,95.7944,-3.45437,-4.85851,-4.21696,-3.90385,-3.37179,-3.87695,-3.87695,-4.26816,-3.3135,-3.45437,-3.93523,-3.73609,-3.70471,-4.57678,-3.98643,-3.93523,-4.82713,-3.28212,-3.93523,-3.73609,-3.28212,-3.23092,-6.00522,-6.9285,-4.01781,-3.2623,-3.73609,-3.37179,-3.93523,-3.87695,-3.59523,-3.84557,-3.48127,-3.51265,-5.53144,-6.59557,-3.90385,-5.81316,-3.95505,-3.28212,-3.48127,-4.5185,-3.93523,-4.15868,-3.93523,-6.14609,-4.48712,-3.67333,-3.67333,-4.37764,-4.37764,-3.76299,-3.73609,-4.97247,-3.56385,-3.93523,-4.60816,-3.59523,-3.20402,-4.04472,-3.48127,-3.62213,-3.70471,-6.9285,-6.9285,-3.70471,-3.23092,-4.5185,-3.93523,-3.56385,-6.0635,-6.0635,-4.0761,-3.28212,-3.28212,-3.54403,113.882,112.423,81.8221,112.565,108.148,116.07,131.832,99.3394,80.1418,108.792,111.111,107.672,115.503,114.625,102.678,118.534,110.483,99.4243,103.849,120.698,84.3465,130.507,106.201,95.0911,138.875,92.567,110.295,106.45,137.214,108.835,130.676,119,130.105,81.1253,103.276,136.698,109.624,115.25,93.4381,95.6303,108.067,111.78,93.2672,120.392,116.807,106.518,90.2434,95.8684,68.0765,87.9972,100.481,103.113,127.897,122.143,122.038,98.8932,98.3178,121.251,139.711,156.853,122.071,115.908,65.1709,89.7603,64.4895,115.767,110.123,107.385,102.479,109.514,111.853,130.781,107.027,96.796,100.824,85.1948
-259.416,0.625617,0.585095,3,7,0,263.35,106.639,1.41487,10.8716,10.7382,110.846,108.016,98.112,109.431,106.601,115.091,115.091,110.846,109.431,110.846,100.942,113.676,105.186,110.846,108.016,100.942,116.505,100.942,100.942,113.676,100.942,108.016,103.772,96.6972,116.505,99.5269,113.676,106.601,100.942,115.091,112.261,106.601,113.676,105.186,109.431,115.091,109.431,106.601,99.5269,100.942,113.676,105.186,100.942,117.92,100.942,105.186,96.6972,96.6972,96.6972,103.772,103.772,110.846,113.676,117.92,103.772,100.942,102.357,112.261,116.505,108.016,113.676,112.261,105.186,96.6972,96.6972,105.186,108.016,105.186,100.942,103.772,112.261,112.261,99.5269,100.942,100.942,96.6972,-3.15711,-5.10143,-4.17279,-4.05146,-3.39193,-3.54754,-3.54754,-4.07694,-3.13164,-3.15711,-3.9125,-3.4174,-3.55636,-4.84114,-3.81665,-3.9125,-5.24039,-3.16593,-3.9125,-3.4174,-3.16593,-3.26178,-6.18569,-7.37462,-3.67769,-3.12282,-3.4174,-3.39193,-3.9125,-3.54754,-3.28726,-3.68651,-3.66103,-3.52207,-5.89111,-7.21019,-4.05146,-6.1514,-3.95561,-3.16593,-3.66103,-4.47619,-3.9125,-3.80783,-3.9125,-6.31584,-4.61515,-3.69533,-3.69533,-4.34604,-4.34604,-3.92132,-3.4174,-4.72765,-3.42622,-3.9125,-4.70218,-3.28726,-3.40075,-4.18161,-3.66103,-3.79118,-3.55636,-7.37462,-7.37462,-3.55636,-3.26178,-4.47619,-3.9125,-3.42622,-6.55065,-6.55065,-4.04264,-3.16593,-3.16593,-3.38311,103.888,117.3,104.867,131.172,93.1918,122.473,114.249,107.316,107.302,114.463,121.082,124.566,124.362,123.094,125.798,105.572,105.223,65.5802,87.9771,150.352,87.4484,106.093,94.4033,91.0702,132.85,111.927,113.925,106.446,112.131,177.863,131.451,111.642,107.431,103.16,125.074,109.003,101.606,101.199,113.333,99.4952,144.722,107.989,102.983,113.457,100.088,107.026,107.552,105.61,100.357,118.453,128.756,123.188,136.854,122.734,100.992,107.436,94.6745,121.187,95.0119,113.193,123.931,127.751,100.615,111.106,106.224,97.6238,118.424,98.1921,48.3207,111.536,104.073,107.135,76.3088,112.054,119.918,109.983
