# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 17:42:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\hpwrg8g1.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612194215_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.51771
# Diagonal elements of inverse mass matrix:
# 2.07899, 0.152343, 0.0114376
-263.166,1,0.51771,3,7,0,264.64,107.925,2.1254,11.8616,114.245,109.994,95.1165,112.12,107.869,120.621,120.621,114.245,112.12,114.245,99.3673,118.496,105.743,114.245,109.994,99.3673,122.747,99.3673,99.3673,118.496,99.3673,109.994,103.618,92.9911,122.747,97.2419,118.496,107.869,99.3673,120.621,116.371,107.869,118.496,105.743,112.12,120.621,112.12,107.869,97.2419,99.3673,118.496,105.743,99.3673,124.872,99.3673,105.743,92.9911,92.9911,92.9911,103.618,103.618,114.245,118.496,124.872,103.618,99.3673,101.493,116.371,122.747,109.994,118.496,116.371,105.743,92.9911,92.9911,105.743,109.994,105.743,99.3673,103.618,116.371,116.371,97.2419,99.3673,99.3673,92.9911,-3.52434,-4.85305,-4.42122,-3.83081,-3.34611,-4.06189,-4.06189,-4.3674,-3.34515,-3.52434,-4.06285,-3.88271,-3.65066,-4.49468,-4.00903,-4.06285,-4.62101,-3.21979,-4.06285,-3.88271,-3.21979,-3.16693,-6.00066,-6.79085,-4.24107,-3.39898,-3.88271,-3.34611,-4.06285,-4.06189,-3.70352,-3.82984,-3.29325,-3.5253,-5.51693,-6.48631,-3.83081,-5.87529,-3.77698,-3.21979,-3.29325,-4.49372,-4.06285,-4.42026,-4.06285,-6.17984,-4.26168,-3.41862,-3.41862,-4.31454,-4.31454,-3.65162,-3.88271,-5.26332,-3.47148,-4.06285,-4.72673,-3.70352,-3.39801,-4.00999,-3.29325,-3.47244,-3.65066,-6.79085,-6.79085,-3.65066,-3.16693,-4.49372,-4.06285,-3.47148,-6.00162,-6.00162,-4.24203,-3.21979,-3.21979,-3.75734,128.025,122.496,95.3483,111.629,139.714,124.873,100.011,107.388,93.2312,111.173,100.204,94.4209,118.847,112.002,103.527,99.5032,120.863,102.782,99.068,124.489,106.225,113.007,96.2881,151.572,118.077,120.501,125.144,119.937,99.2933,141.215,114.686,134.379,79.2739,68.2815,108.012,133.708,103.134,112.536,102.604,82.2758,168.624,99.4525,93.4728,133.442,82.4208,101.579,97.1773,96.7751,92.2305,76.1596,104.127,126.351,127.189,80.2036,109.967,107.339,97.6431,115.908,172.811,100.233,101.31,114.84,110.045,89.2751,98.9522,104.887,89.1865,90.6615,106.253,111.725,111.019,105.061,113.397,106.023,94.4226,94.4542
-262.391,0.998727,0.51771,2,3,0,263.258,108.053,1.89575,12.0546,113.69,109.899,96.6282,111.794,108.003,119.377,119.377,113.69,111.794,113.69,100.42,117.482,106.107,113.69,109.899,100.42,121.273,100.42,100.42,117.482,100.42,109.899,104.211,94.7325,121.273,98.524,117.482,108.003,100.42,119.377,115.586,108.003,117.482,106.107,111.794,119.377,111.794,108.003,98.524,100.42,117.482,106.107,100.42,123.169,100.42,106.107,94.7325,94.7325,94.7325,104.211,104.211,113.69,117.482,123.169,104.211,100.42,102.315,115.586,121.273,109.899,117.482,115.586,106.107,94.7325,94.7325,106.107,109.899,106.107,100.42,104.211,115.586,115.586,98.524,100.42,100.42,94.7325,-3.4887,-4.85013,-4.29186,-3.86331,-3.34828,-3.96049,-3.96049,-4.31826,-3.33144,-3.4887,-3.97733,-3.80323,-3.6892,-4.5356,-4.00373,-3.97733,-4.73611,-3.21741,-3.97733,-3.80323,-3.21741,-3.19101,-6.02062,-6.89342,-4.11776,-3.30504,-3.80323,-3.34828,-3.97733,-3.96049,-3.64597,-3.84647,-3.39152,-3.50554,-5.52243,-6.55249,-3.86331,-5.83695,-3.88971,-3.21741,-3.39152,-4.51876,-3.97733,-4.27502,-3.97733,-6.17788,-4.40474,-3.57518,-3.57518,-4.3615,-4.3615,-3.70604,-3.80323,-5.10458,-3.53194,-3.97733,-4.64963,-3.64597,-3.2882,-4.02057,-3.39152,-3.54878,-3.6892,-6.89342,-6.89342,-3.6892,-3.19101,-4.51876,-3.97733,-3.53194,-6.03746,-6.03746,-4.1346,-3.21741,-3.21741,-3.61957,116.944,107.632,82.2213,120.556,70.9636,118.538,85.4462,95.546,130.153,115.201,104.411,109.267,78.7112,79.21,110.312,102.131,117.484,94.6266,94.6017,103.218,114.5,110.261,122.716,105.024,115.382,118.449,121.49,125.272,99.7628,123.993,108.153,123.273,106.675,93.4964,146.268,140.88,111.694,131.797,106.739,93.9978,118.916,101.291,100.06,118.935,103.771,113.958,52.4466,91.5976,111.205,137.344,107.148,110.798,105.49,121.26,82.7943,75.6202,107.746,125.457,115.003,117.59,148.863,113.14,102.233,91.8844,99.7034,115.025,107.048,108.528,103.613,81.9799,148.182,124.712,114.25,90.5752,93.8701,93.6672
-262.485,0.927377,0.51771,3,7,0,264.857,106.913,1.28296,10.0553,110.729,108.163,99.1819,109.446,106.88,114.577,114.577,110.729,109.446,110.729,101.748,113.294,105.597,110.729,108.163,101.748,115.86,101.748,101.748,113.294,101.748,108.163,104.314,97.8989,115.86,100.465,113.294,106.88,101.748,114.577,112.011,106.88,113.294,105.597,109.446,114.577,109.446,106.88,100.465,101.748,113.294,105.597,101.748,117.143,101.748,105.597,97.8989,97.8989,97.8989,104.314,104.314,110.729,113.294,117.143,104.314,101.748,103.031,112.011,115.86,108.163,113.294,112.011,105.597,97.8989,97.8989,105.597,108.163,105.597,101.748,104.314,112.011,112.011,100.465,101.748,101.748,97.8989,-3.0737,-5.17298,-4.07711,-4.05089,-3.31156,-3.45647,-3.45647,-4.0682,-3.05638,-3.0737,-3.82193,-3.32888,-3.55784,-4.9178,-3.81302,-3.82193,-5.40194,-3.17507,-3.82193,-3.32888,-3.17507,-3.18397,-6.41375,-7.76481,-3.58406,-3.04747,-3.32888,-3.31156,-3.82193,-3.45647,-3.20129,-3.68543,-3.66811,-3.43915,-6.03989,-7.51853,-4.05089,-6.29507,-4.04198,-3.17507,-3.66811,-4.55234,-3.82193,-3.71165,-3.82193,-6.54134,-4.7813,-3.7868,-3.7868,-4.42475,-4.42475,-3.92329,-3.32888,-4.70615,-3.43025,-3.82193,-4.68884,-3.20129,-3.41293,-4.17848,-3.66811,-3.7957,-3.55784,-7.76481,-7.76481,-3.55784,-3.18397,-4.55234,-3.82193,-3.43025,-6.77921,-6.77921,-3.94952,-3.17507,-3.17507,-3.2102,107.28,105.81,110.093,98.6198,108.508,105.046,113.34,121.68,115.311,127.836,106.828,113.435,62.8068,116.081,85.4808,103.205,97.8687,106.537,113.669,62.6493,106.682,109.872,102.355,92.3957,127.328,98.1901,121.656,103.744,101.565,123.621,113.514,99.4457,104.74,104.607,118.789,115.99,129.741,116.836,104.378,120.858,94.556,152.331,95.2217,107.078,103.364,104.945,95.9905,87.2978,71.2295,108.629,100.008,109.298,117.052,100.837,97.877,111.171,95.465,107.102,88.7639,116.196,143.22,95.1142,98.0461,96.5925,66.2369,90.4679,103.492,88.9174,96.2881,84.4866,122.21,116.413,77.4188,92.3393,114.538,80.813
-262.667,0.939611,0.51771,3,7,0,263.628,107.134,1.9961,11.5637,113.07,109.077,95.1047,111.073,107.081,119.058,119.058,113.07,111.073,113.07,99.0969,117.062,105.085,113.07,109.077,99.0969,121.054,99.0969,99.0969,117.062,99.0969,109.077,103.089,93.1086,121.054,97.1008,117.062,107.081,99.0969,119.058,115.066,107.081,117.062,105.085,111.073,119.058,111.073,107.081,97.1008,99.0969,117.062,105.085,99.0969,123.05,99.0969,105.085,93.1086,93.1086,93.1086,103.089,103.089,113.07,117.062,123.05,103.089,99.0969,101.093,115.066,121.054,109.077,117.062,115.066,105.085,93.1086,93.1086,105.085,109.077,105.085,99.0969,103.089,115.066,115.066,97.1008,99.0969,99.0969,93.1086,-3.40647,-4.95036,-4.42913,-3.91296,-3.39342,-3.92432,-3.92432,-4.27124,-3.23385,-3.40647,-4.08389,-3.7517,-3.58077,-4.60512,-3.92601,-4.08389,-4.77943,-3.21911,-4.08389,-3.7517,-3.21911,-3.2208,-6.00249,-6.86895,-4.09694,-3.39173,-3.7517,-3.39342,-4.08389,-3.92432,-3.57908,-3.75339,-3.39511,-3.56604,-5.64251,-6.6816,-3.91296,-5.98775,-3.75508,-3.21911,-3.39511,-4.44555,-4.08389,-4.26956,-4.08389,-6.1751,-4.27462,-3.40984,-3.40984,-4.27293,-4.27293,-3.74034,-3.7517,-5.13433,-3.40815,-4.08389,-4.77605,-3.57908,-3.23216,-4.08558,-3.39511,-3.56772,-3.58077,-6.86895,-6.86895,-3.58077,-3.2208,-4.44555,-4.08389,-3.40815,-6.16206,-6.16206,-4.25651,-3.21911,-3.21911,-3.73697,114.498,108.818,99.0284,80.2555,123.338,109.709,134.306,104.301,118.634,141.072,105.492,116.732,114.485,83.3905,140.38,115.731,158.01,109.812,147.632,115.416,130.013,103.102,114.098,116.12,156.298,124.558,119.782,136.384,98.3017,134.865,120.601,118.762,128.859,84.5058,137.866,153.323,101.283,119.672,103.324,108.839,94.8675,112.14,102.193,132.57,93.6057,67.9936,81.8836,87.8034,102.788,87.8155,116.15,122.245,100.474,130.548,77.4859,99.3417,96.0371,124.17,111.864,103.996,135.869,155.392,118.254,94.2313,92.5742,68.3987,112.784,110.259,99.635,87.1776,117.961,113.479,148.004,90.6942,128.602,96.7258
-261.13,0.88456,0.51771,3,7,0,263.056,105.949,1.3472,11.8172,109.956,107.261,97.8308,108.608,105.914,113.997,113.997,109.956,108.608,109.956,100.525,112.65,104.567,109.956,107.261,100.525,115.344,100.525,100.525,112.65,100.525,107.261,103.22,96.4836,115.344,99.178,112.65,105.914,100.525,113.997,111.303,105.914,112.65,104.567,108.608,113.997,108.608,105.914,99.178,100.525,112.65,104.567,100.525,116.692,100.525,104.567,96.4836,96.4836,96.4836,103.22,103.22,109.956,112.65,116.692,103.22,100.525,101.872,111.303,115.344,107.261,112.65,111.303,104.567,96.4836,96.4836,104.567,107.261,104.567,100.525,103.22,111.303,111.303,99.178,100.525,100.525,96.4836,-3.16646,-5.08692,-4.19249,-4.12669,-3.50847,-3.50095,-3.50095,-4.00517,-3.28046,-3.16646,-3.96448,-3.38695,-3.54915,-4.85891,-3.77716,-3.96448,-5.24912,-3.20714,-3.96448,-3.38695,-3.20714,-3.39447,-5.97383,-7.09626,-3.61496,-3.23226,-3.38695,-3.50847,-3.96448,-3.50095,-3.27295,-3.66316,-3.78468,-3.62247,-5.81914,-7.05558,-4.12669,-6.04715,-3.93937,-3.20714,-3.78468,-4.39538,-3.96448,-3.72896,-3.96448,-6.08783,-4.55758,-3.71136,-3.71136,-4.28138,-4.28138,-4.01269,-3.38695,-4.57519,-3.43515,-3.96448,-4.69671,-3.27295,-3.55667,-4.24069,-3.78468,-3.89868,-3.54915,-7.09626,-7.09626,-3.54915,-3.39447,-4.39538,-3.96448,-3.43515,-6.43736,-6.43736,-4.07849,-3.20714,-3.20714,-3.46027,104.932,116.18,104.624,107.604,106.067,86.7628,109.768,131.23,92.4311,108.131,94.1497,101.651,75.9841,98.9043,77.1292,102.453,109.421,102.565,103.172,123.368,85.4425,103.882,134.736,91.8196,121.88,54.8583,130.414,137.423,101.69,99.5669,121.369,104.641,81.259,101.379,72.6441,111.726,93.6897,139.648,73.9369,103.823,95.5047,97.6858,114.732,110.988,109.721,111.605,108.141,102.166,90.3354,76.8178,94.3599,103.392,113.241,116.449,63.1519,105.462,101.289,112.937,136.276,104.474,90.6535,152.928,103.204,83.7578,84.3441,108.985,104.2,103.79,94.2121,95.608,103.55,117.162,94.6055,108.704,110.785,93.1168
-261.264,0.9933,0.51771,2,7,0,261.476,106.27,1.30223,12.214,110.142,107.537,98.4219,108.84,106.235,114.049,114.049,110.142,108.84,110.142,101.026,112.746,104.933,110.142,107.537,101.026,115.351,101.026,101.026,112.746,101.026,107.537,103.631,97.1197,115.351,99.7241,112.746,106.235,101.026,114.049,111.444,106.235,112.746,104.933,108.84,114.049,108.84,106.235,99.7241,101.026,112.746,104.933,101.026,116.653,101.026,104.933,97.1197,97.1197,97.1197,103.631,103.631,110.142,112.746,116.653,103.631,101.026,102.329,111.444,115.351,107.537,112.746,111.444,104.933,97.1197,97.1197,104.933,107.537,104.933,101.026,103.631,111.444,111.444,99.7241,101.026,101.026,97.1197,-3.20735,-5.03481,-4.14367,-4.10946,-3.50396,-3.5272,-3.5272,-4.02608,-3.29073,-3.20735,-3.93043,-3.42059,-3.59961,-4.82157,-3.81285,-3.93043,-5.21384,-3.27976,-3.93043,-3.42059,-3.27976,-3.39734,-5.94919,-7.05357,-3.63382,-3.21832,-3.42059,-3.50396,-3.93043,-3.5272,-3.31397,-3.70623,-3.78961,-3.61058,-5.74692,-6.95792,-4.10946,-5.96016,-3.99188,-3.27976,-3.78961,-4.41835,-3.93043,-3.74044,-3.93043,-6.05581,-4.59737,-3.77864,-3.77864,-4.31173,-4.31173,-4.00284,-3.42059,-4.55917,-3.493,-3.93043,-4.64255,-3.31397,-3.57637,-4.21608,-3.78961,-3.89622,-3.59961,-7.05357,-7.05357,-3.59961,-3.39734,-4.41835,-3.93043,-3.493,-6.35242,-6.35242,-4.03705,-3.27976,-3.27976,-3.43155,113.152,114.453,84.4636,107.52,98.6998,75.7307,102.551,113.607,93.9675,115.906,102.541,128.545,87.9066,105.508,109.064,112.384,119.05,103.374,55.6671,87.8157,100.868,113.561,95.287,92.1642,114.185,106.062,99.5525,92.1224,96.578,131.233,138.697,125.863,103.654,109.26,120.903,122.218,110.908,104.023,59.8764,69.044,126.487,113.924,74.1582,133.141,111.705,103.205,69.027,89.2219,71.306,100.396,106.224,97.4306,125.189,129.263,96.3299,99.8245,106.999,95.5309,98.8536,100.475,92.8939,111.548,119.948,79.3321,64.2455,120.085,128.683,111.036,82.4789,113.029,102.707,114.175,143.284,117.281,83.6343,98.5115
