# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 17:42:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\hpwrg8g1.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612194215_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.669327
# Diagonal elements of inverse mass matrix:
# 2.37356, 0.1589, 0.010781
-261.563,0.965941,0.669327,3,7,0,262.033,107.102,1.65761,11.6509,112.032,108.716,97.1131,110.374,107.059,117.004,117.004,112.032,110.374,112.032,100.428,115.347,105.401,112.032,108.716,100.428,118.662,100.428,100.428,115.347,100.428,108.716,103.743,95.4555,118.662,98.7707,115.347,107.059,100.428,117.004,113.689,107.059,115.347,105.401,110.374,117.004,110.374,107.059,98.7707,100.428,115.347,105.401,100.428,120.32,100.428,105.401,95.4555,95.4555,95.4555,103.743,103.743,112.032,115.347,120.32,103.743,100.428,102.086,113.689,118.662,108.716,115.347,113.689,105.401,95.4555,95.4555,105.401,108.716,105.401,100.428,103.743,113.689,113.689,98.7707,100.428,100.428,95.4555,-3.3229,-4.97532,-4.25462,-3.97474,-3.40098,-3.74971,-3.74971,-4.1812,-3.18062,-3.3229,-3.97007,-3.60744,-3.61211,-4.69077,-3.89665,-3.97007,-4.97998,-3.18529,-3.97007,-3.60744,-3.18529,-3.25871,-6.04475,-7.04999,-3.89199,-3.25404,-3.60744,-3.40098,-3.97007,-3.74971,-3.46517,-3.75438,-3.54792,-3.54325,-5.69135,-6.83886,-3.97474,-5.97589,-3.90132,-3.18529,-3.54792,-4.47041,-3.97007,-4.03426,-3.97007,-6.18702,-4.47508,-3.61677,-3.61677,-4.32814,-4.32814,-3.83247,-3.60744,-4.89256,-3.46983,-3.97007,-4.6861,-3.46517,-3.26337,-4.11701,-3.54792,-3.69019,-3.61211,-7.04999,-7.04999,-3.61211,-3.25871,-4.47041,-3.97007,-3.46983,-6.26511,-6.26511,-4.11235,-3.18529,-3.18529,-3.53859,125.118,109.88,100.695,113.768,110.42,113.879,137.041,135.266,98.2261,152.639,101.946,124.372,99.9201,101.913,104.107,99.2995,122.117,102.225,94.9823,125.891,85.4757,97.7857,97.8172,86.1248,112.895,106.221,113.271,118.307,99.6959,132.706,139.297,111.003,116.536,83.6313,106.245,107.733,119.126,117.792,92.3725,89.432,123.864,82.0564,107.118,134.448,114.017,104.038,100.005,97.8206,87.4815,93.7849,86.6007,104.558,152.878,121.744,102.281,97.3626,103.412,120.899,145.053,168.389,121.429,147.181,117.763,109.57,102.968,110.15,76.8088,105.778,101.218,127.654,97.3099,131.144,125.835,127.177,104.372,92.0726
-263.393,0.738306,0.669327,2,7,0,264.244,106.501,1.40496,15.0169,110.679,107.869,98.0339,109.274,106.464,114.893,114.893,110.679,109.274,110.679,100.844,113.488,105.059,110.679,107.869,100.844,116.298,100.844,100.844,113.488,100.844,107.869,103.654,96.629,116.298,99.4389,113.488,106.464,100.844,114.893,112.084,106.464,113.488,105.059,109.274,114.893,109.274,106.464,99.4389,100.844,113.488,105.059,100.844,117.703,100.844,105.059,96.629,96.629,96.629,103.654,103.654,110.679,113.488,117.703,103.654,100.844,102.249,112.084,116.298,107.869,113.488,112.084,105.059,96.629,96.629,105.059,107.869,105.059,100.844,103.654,112.084,112.084,99.4389,100.844,100.844,96.629,-3.44751,-4.87609,-4.19916,-4.11661,-3.63781,-3.72819,-3.72819,-4.11343,-3.4507,-3.44751,-4.01205,-3.63463,-3.73919,-4.68897,-3.92631,-4.01205,-4.98065,-3.45852,-4.01205,-3.63463,-3.45852,-3.54426,-5.64338,-6.50742,-3.82174,-3.43969,-3.63463,-3.63781,-4.01205,-3.72819,-3.54107,-3.83275,-3.83594,-3.73137,-5.44844,-6.40604,-4.11661,-5.63556,-4.03088,-3.45852,-3.83594,-4.40511,-4.01205,-3.9153,-4.01205,-5.73694,-4.50967,-3.84376,-3.84376,-4.31155,-4.31155,-4.02305,-3.63463,-4.58122,-3.64564,-4.01205,-4.5844,-3.54107,-3.64882,-4.21017,-3.83594,-3.9295,-3.73919,-6.50742,-6.50742,-3.73919,-3.54426,-4.40511,-4.01205,-3.64564,-5.92724,-5.92724,-4.10561,-3.45852,-3.45852,-3.62681,126.96,82.3569,78.8187,112.921,107.293,125.342,110.24,107.964,116.194,127.336,92.6957,117.625,100.938,154.568,108.018,92.2202,141.173,99.6577,80.1559,102.53,81.788,100.048,104.691,72.6781,161.41,99.8703,113.106,71.7943,112.783,109.806,116.659,106.346,112.795,84.3632,87.4463,107.399,109.686,101.424,110.145,81.4747,109.535,101.479,85.7214,112.73,103.239,106.227,77.2097,78.8182,100.243,75.892,113.406,80.0748,111.921,96.8738,100.771,95.4507,132.58,85.7811,123.463,121.567,102.069,127.828,84.9921,105.533,98.2572,112.621,115.555,90.96,92.0221,117.611,95.873,128.795,104.041,110.25,93.3876,101.838
-262.166,0.862874,0.669327,2,7,0,263.776,105.038,1.25912,13.7742,108.782,106.264,97.4503,107.523,105.005,112.56,112.56,108.782,107.523,108.782,99.9686,111.301,103.746,108.782,106.264,99.9686,113.819,99.9686,99.9686,111.301,99.9686,106.264,102.487,96.1912,113.819,98.7095,111.301,105.005,99.9686,112.56,110.041,105.005,111.301,103.746,107.523,112.56,107.523,105.005,98.7095,99.9686,111.301,103.746,99.9686,115.078,99.9686,103.746,96.1912,96.1912,96.1912,102.487,102.487,108.782,111.301,115.078,102.487,99.9686,101.228,110.041,113.819,106.264,111.301,110.041,103.746,96.1912,96.1912,103.746,106.264,103.746,99.9686,102.487,110.041,110.041,98.7095,99.9686,99.9686,96.1912,-3.40434,-5.03916,-4.22704,-4.22175,-3.67858,-3.50178,-3.50178,-3.95354,-3.49575,-3.40434,-4.04422,-3.41037,-3.58789,-4.85633,-3.77072,-4.04422,-5.21669,-3.31822,-4.04422,-3.41037,-3.31822,-3.58716,-5.67447,-6.66941,-3.59319,-3.40964,-3.41037,-3.67858,-4.04422,-3.50178,-3.31895,-3.67931,-3.94752,-3.76999,-5.67374,-6.76009,-4.22175,-5.85657,-3.94825,-3.31822,-3.94752,-4.31389,-4.04422,-3.6846,-4.04422,-5.76588,-4.49142,-3.76542,-3.76542,-4.22248,-4.22248,-4.13034,-3.41037,-4.4106,-3.49648,-4.04422,-4.67881,-3.31895,-3.76469,-4.31316,-3.94752,-4.03893,-3.58789,-6.66941,-6.66941,-3.58789,-3.58716,-4.31389,-4.04422,-3.49648,-6.21692,-6.21692,-4.13563,-3.31822,-3.31822,-3.59246,124.334,107.275,130.746,117.746,92.6088,112.53,116.432,92.8797,113.726,127.006,80.7707,142.459,37.257,116.652,115.265,109.006,110.987,97.057,95.6799,95.8332,102.653,105.589,98.4239,101.793,103.746,93.2265,115.426,120.582,51.8703,110.565,115.494,119.058,93.517,103.186,125.214,116.505,97.527,157.397,85.9639,99.7618,58.4645,121.221,126.724,131.324,105.335,110.36,115.302,118.933,61.6672,119.887,123.052,80.1529,119.363,111.487,122.05,111.218,92.5993,119.087,134.651,143.547,103.423,106.583,109.757,113.92,107.662,93.958,149.788,99.3602,101.184,108.255,94.2212,118.711,104.689,101.745,100.216,118.744
-262.166,0.444248,0.669327,3,7,0,262.853,105.038,1.25912,13.7742,108.782,106.264,97.4503,107.523,105.005,112.56,112.56,108.782,107.523,108.782,99.9686,111.301,103.746,108.782,106.264,99.9686,113.819,99.9686,99.9686,111.301,99.9686,106.264,102.487,96.1912,113.819,98.7095,111.301,105.005,99.9686,112.56,110.041,105.005,111.301,103.746,107.523,112.56,107.523,105.005,98.7095,99.9686,111.301,103.746,99.9686,115.078,99.9686,103.746,96.1912,96.1912,96.1912,102.487,102.487,108.782,111.301,115.078,102.487,99.9686,101.228,110.041,113.819,106.264,111.301,110.041,103.746,96.1912,96.1912,103.746,106.264,103.746,99.9686,102.487,110.041,110.041,98.7095,99.9686,99.9686,96.1912,-3.40434,-5.03916,-4.22704,-4.22175,-3.67858,-3.50178,-3.50178,-3.95354,-3.49575,-3.40434,-4.04422,-3.41037,-3.58789,-4.85633,-3.77072,-4.04422,-5.21669,-3.31822,-4.04422,-3.41037,-3.31822,-3.58716,-5.67447,-6.66941,-3.59319,-3.40964,-3.41037,-3.67858,-4.04422,-3.50178,-3.31895,-3.67931,-3.94752,-3.76999,-5.67374,-6.76009,-4.22175,-5.85657,-3.94825,-3.31822,-3.94752,-4.31389,-4.04422,-3.6846,-4.04422,-5.76588,-4.49142,-3.76542,-3.76542,-4.22248,-4.22248,-4.13034,-3.41037,-4.4106,-3.49648,-4.04422,-4.67881,-3.31895,-3.76469,-4.31316,-3.94752,-4.03893,-3.58789,-6.66941,-6.66941,-3.58789,-3.58716,-4.31389,-4.04422,-3.49648,-6.21692,-6.21692,-4.13563,-3.31822,-3.31822,-3.59246,80.0539,111.411,79.9938,101.971,106.03,83.4696,152.619,108.384,98.9827,138.677,78.4343,122.262,88.6145,113.559,165.913,101.53,112.526,97.4699,108.265,98.1369,87.6819,88.8665,91.1192,56.5768,95.1233,114.945,102.915,110.288,129.36,123.127,113.587,78.2417,70.8627,130.79,107.761,102.709,63.9736,94.3388,77.9518,88.2714,133.621,104.507,99.6774,76.7053,107.294,92.6387,99.4962,60.6565,108.29,90.7846,83.6792,105.412,90.2874,90.955,85.792,123.907,102.403,113.223,40.6898,110.236,100.036,114.46,100.47,71.0546,73.2692,101.912,107.712,103.252,97.2973,97.599,72.3622,116.688,102.322,118.948,99.7049,71.257
-263.768,0.434572,0.669327,3,7,0,264.219,108.954,1.02735,10.723,112.009,109.955,102.763,110.982,108.927,115.091,115.091,112.009,110.982,112.009,104.818,114.064,107.9,112.009,109.955,104.818,116.119,104.818,104.818,114.064,104.818,109.955,106.873,101.736,116.119,103.791,114.064,108.927,104.818,115.091,113.037,108.927,114.064,107.9,110.982,115.091,110.982,108.927,103.791,104.818,114.064,107.9,104.818,117.146,104.818,107.9,101.736,101.736,101.736,106.873,106.873,112.009,114.064,117.146,106.873,104.818,105.845,113.037,116.119,109.955,114.064,113.037,107.9,101.736,101.736,107.9,109.955,107.9,104.818,106.873,113.037,113.037,103.791,104.818,104.818,101.736,-3.25292,-4.93492,-3.74043,-3.90654,-3.16558,-3.54034,-3.54034,-4.18549,-3.15711,-3.25292,-3.54881,-3.44454,-3.80226,-4.7433,-3.99388,-3.54881,-5.29265,-3.51484,-3.54881,-3.44454,-3.51484,-3.06978,-6.50417,-7.89027,-3.63615,-3.41903,-3.44454,-3.16558,-3.54881,-3.54034,-3.34873,-3.89807,-3.61912,-3.26139,-5.77168,-7.2536,-3.90654,-5.9633,-4.35161,-3.51484,-3.61912,-4.73483,-3.54881,-3.73196,-3.54881,-6.59998,-5.09256,-4.15999,-4.15999,-4.63903,-4.63903,-3.81073,-3.44454,-4.66453,-3.70646,-3.54881,-4.38558,-3.34873,-3.4275,-4.00235,-3.61912,-3.71493,-3.80226,-7.89027,-7.89027,-3.80226,-3.06978,-4.73483,-3.54881,-3.70646,-6.51264,-6.51264,-3.64462,-3.51484,-3.51484,-3.22742,109.723,113.196,106.26,111.042,112.751,112.936,141.26,106.31,141.822,102.524,92.4102,120.639,119.427,113.183,119.762,111.467,94.2778,112.56,122.474,113.117,89.7442,72.6275,108.684,90.9162,91.2925,92.8218,116.582,95.8705,103.065,120.714,136.837,100.476,128.097,121.122,92.1184,116.659,105.508,115.525,112.387,116.711,106.995,93.8504,69.0012,120.255,144.973,90.2749,107.384,106.422,107.572,73.875,97.7139,133.419,122.811,116.76,113.053,118.76,98.0326,117.364,110.94,100.903,134.227,115.431,82.0253,112.98,102.076,103.102,109.97,98.734,107.775,100.596,118.334,108.298,90.2408,126.959,114.467,147.513
-264.485,0.82462,0.669327,1,1,0,264.559,109.352,1.01483,10.5444,112.37,110.34,103.237,111.355,109.325,115.414,115.414,112.37,111.355,112.37,105.266,114.4,108.311,112.37,110.34,105.266,116.429,105.266,105.266,114.4,105.266,110.34,107.296,102.222,116.429,104.251,114.4,109.325,105.266,115.414,113.385,109.325,114.4,108.311,111.355,115.414,111.355,109.325,104.251,105.266,114.4,108.311,105.266,117.444,105.266,108.311,102.222,102.222,102.222,107.296,107.296,112.37,114.4,117.444,107.296,105.266,106.281,113.385,116.429,110.34,114.4,113.385,108.311,102.222,102.222,108.311,110.34,108.311,105.266,107.296,113.385,113.385,104.251,105.266,105.266,102.222,-3.2735,-4.91321,-3.69017,-3.8686,-3.11271,-3.56223,-3.56223,-4.22187,-3.17726,-3.2735,-3.49768,-3.46599,-3.8369,-4.72073,-4.02939,-3.49768,-5.28412,-3.54817,-3.49768,-3.46599,-3.54817,-3.08101,-6.58578,-8.0013,-3.65847,-3.45192,-3.46599,-3.11271,-3.49768,-3.56223,-3.36974,-3.93314,-3.57987,-3.20895,-5.76534,-7.27711,-3.8686,-5.95783,-4.4003,-3.54817,-3.57987,-4.78527,-3.49768,-3.75472,-3.49768,-6.68202,-5.15618,-4.20781,-4.20781,-4.68903,-4.68903,-3.77235,-3.46599,-4.70309,-3.74066,-3.49768,-4.34981,-3.36974,-3.38738,-3.96484,-3.57987,-3.67611,-3.8369,-8.0013,-8.0013,-3.8369,-3.08101,-4.78527,-3.49768,-3.74066,-6.52123,-6.52123,-3.59393,-3.54817,-3.54817,-3.25944,112.127,98.5697,113.46,103.512,110.72,113.917,115.649,82.2121,139.157,112.089,107.445,119.129,113.521,124.796,95.1954,113.706,131.116,99.0572,90.5343,101.262,77.7639,104.282,99.9792,98.2393,150.374,94.81,118.73,112.046,110.81,113.316,112.629,112.635,106.507,100.717,112.126,113.861,123.582,111.259,106.528,106.241,115.09,118.722,86.5335,104.485,103.454,114.857,102.696,97.4615,85.1254,124.608,107.106,111.105,108.58,124.927,120.529,106.562,88.4703,160.409,122.972,100.833,138.728,116.894,114.409,102.799,93.9839,95.5609,114.3,130.06,112.793,102.053,157.038,106.279,118.966,105.648,116.55,81.4604
-263.4,0.722757,0.669327,3,7,0,267.497,107.064,1.16629,14.8085,110.532,108.2,100.036,109.366,107.034,114.031,114.031,110.532,109.366,110.532,102.368,112.865,105.867,110.532,108.2,102.368,115.198,102.368,102.368,112.865,102.368,108.2,104.701,98.8695,115.198,101.202,112.865,107.034,102.368,114.031,111.699,107.034,112.865,105.867,109.366,114.031,109.366,107.034,101.202,102.368,112.865,105.867,102.368,116.364,102.368,105.867,98.8695,98.8695,98.8695,104.701,104.701,110.532,112.865,116.364,104.701,102.368,103.535,111.699,115.198,108.2,112.865,111.699,105.867,98.8695,98.8695,105.867,108.2,105.867,102.368,104.701,111.699,111.699,101.202,102.368,102.368,98.8695,-3.42431,-4.86049,-4.06122,-4.10644,-3.58867,-3.66058,-3.66058,-4.09959,-3.43116,-3.42431,-3.9037,-3.58182,-3.78456,-4.70297,-3.94207,-3.9037,-5.06322,-3.54828,-3.9037,-3.58182,-3.54828,-3.50991,-5.73166,-6.68844,-3.73934,-3.46953,-3.58182,-3.58867,-3.9037,-3.66058,-3.50306,-3.86332,-3.87017,-3.66743,-5.45701,-6.49255,-4.10644,-5.61453,-4.14481,-3.54828,-3.87017,-4.45984,-3.9037,-3.8181,-3.9037,-5.81042,-4.66258,-3.98729,-3.98729,-4.38109,-4.38109,-4.02768,-3.58182,-4.49338,-3.7058,-3.9037,-4.50023,-3.50306,-3.71265,-4.1852,-3.87017,-3.94892,-3.78456,-6.68844,-6.68844,-3.78456,-3.50991,-4.45984,-3.9037,-3.7058,-5.97478,-5.97478,-3.98246,-3.54828,-3.54828,-3.46469,112.706,106.676,47.6696,117.362,86.3375,95.7219,115.874,107.595,136.906,85.3295,99.0576,129.968,105.91,82.222,68.4322,96.6302,111.103,96.9946,79.4138,103.674,123.626,83.9682,106.393,92.9868,104.381,101.594,101.123,120.56,116.754,109.602,102.771,129.797,98.321,137.216,123.619,107.853,124.809,114.957,114.45,60.3612,99.357,99.4001,95.0042,126.544,61.7402,141.426,115.828,110.159,98.923,117.367,109.165,142.022,106.32,113.285,106.258,114.732,129.008,110.64,64.9408,96.2568,99.3846,110.204,76.4824,93.6698,89.7103,98.8019,91.0527,105.631,74.7996,98.9178,93.6575,101.019,82.2617,101.115,121.906,141.102
