# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 18:34:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\y89ohr53.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612203436_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.469783
# Diagonal elements of inverse mass matrix:
# 2.44009, 0.150903, 2.05286
-264.183,0.967113,0.469783,3,7,0,266.772,105.872,1.39272,10.1801,110.013,107.228,97.4785,108.62,105.835,114.191,114.191,110.013,108.62,110.013,100.264,112.798,104.442,110.013,107.228,100.264,115.584,100.264,100.264,112.798,100.264,107.228,103.049,96.0858,115.584,98.8713,112.798,105.835,100.264,114.191,111.406,105.835,112.798,104.442,108.62,114.191,108.62,105.835,98.8713,100.264,112.798,104.442,100.264,116.977,100.264,104.442,96.0858,96.0858,96.0858,103.049,103.049,110.013,112.798,116.977,103.049,100.264,101.657,111.406,115.584,107.228,112.798,111.406,104.442,96.0858,96.0858,104.442,107.228,104.442,100.264,103.049,111.406,111.406,98.8713,100.264,100.264,96.0858,-3.01486,-5.25053,-4.24358,-4.13142,-3.42273,-3.42529,-3.42529,-3.99717,-3.14911,-3.01486,-3.96996,-3.28848,-3.44994,-4.97692,-3.72355,-3.96996,-5.41199,-3.03951,-3.96996,-3.28848,-3.03951,-3.28592,-6.26005,-7.54063,-3.5621,-3.12446,-3.28848,-3.42273,-3.96996,-3.42529,-3.15167,-3.58675,-3.72099,-3.55954,-6.09603,-7.51341,-4.13142,-6.36965,-3.88501,-3.03951,-3.72099,-4.43225,-3.96996,-3.6989,-3.96996,-6.39686,-4.5937,-3.6114,-3.6114,-4.29544,-4.29544,-3.99461,-3.28848,-4.68121,-3.31313,-3.96996,-4.81546,-3.15167,-3.44738,-4.26823,-3.72099,-3.8578,-3.44994,-7.54063,-7.54063,-3.44994,-3.28592,-4.43225,-3.96996,-3.31313,-6.80472,-6.80472,-4.10677,-3.03951,-3.03951,-3.39808,92.2644,138.284,95.6825,98.5394,106.205,114.293,89.2291,110.141,109.043,94.6584,100.347,114.132,80.3251,126.331,91.4791,102.153,115.313,98.19,113.545,105.708,107.93,101.467,109.176,84.2441,94.9592,122.525,95.3889,104.699,94.2852,117.94,101.637,115.311,115.164,101.223,108.068,112.31,137.292,158.776,93.7944,105.559,115.323,102.63,117.063,122.336,101.999,84.8245,101.592,111.625,96.801,107.526,120.266,109.011,106.483,103.675,98.742,86.2086,98.2426,110.243,121.908,71.8682,121.679,116.428,103.437,117.093,92.5979,120.078,130.874,109.326,81.9036,109.971,119.368,111.494,94.0912,106.331,97.582,90.12
-263.744,0.820489,0.469783,2,3,0,264.592,105.162,1.26064,11.1587,108.91,106.389,97.5647,107.65,105.129,112.692,112.692,108.91,107.65,108.91,100.086,111.432,103.868,108.91,106.389,100.086,113.953,100.086,100.086,111.432,100.086,106.389,102.607,96.304,113.953,98.8253,111.432,105.129,100.086,112.692,110.171,105.129,111.432,103.868,107.65,112.692,107.65,105.129,98.8253,100.086,111.432,103.868,100.086,115.214,100.086,103.868,96.304,96.304,96.304,102.607,102.607,108.91,111.432,115.214,102.607,100.086,101.347,110.171,113.953,106.389,111.432,110.171,103.868,96.304,96.304,103.868,106.389,103.868,100.086,102.607,110.171,110.171,98.8253,100.086,100.086,96.304,-3.20301,-5.22128,-4.21977,-4.21214,-3.54193,-3.34665,-3.34665,-3.90389,-3.31599,-3.20301,-3.99383,-3.23367,-3.45199,-4.99533,-3.67794,-3.99383,-5.43959,-3.11307,-3.99383,-3.23367,-3.11307,-3.42896,-6.0275,-7.25495,-3.45962,-3.21064,-3.23367,-3.54193,-3.99383,-3.34665,-3.1207,-3.56497,-3.87322,-3.65491,-6.00446,-7.34489,-4.21214,-6.23041,-3.89626,-3.11307,-3.87322,-4.34815,-3.99383,-3.57259,-3.99383,-6.14047,-4.56647,-3.67031,-3.67031,-4.23518,-4.23518,-4.09917,-3.23367,-4.46875,-3.33902,-3.99383,-4.77701,-3.1207,-3.64728,-4.32512,-3.87322,-3.9862,-3.45199,-7.25495,-7.25495,-3.45199,-3.42896,-4.34815,-3.99383,-3.33902,-6.67467,-6.67467,-4.1068,-3.11307,-3.11307,-3.43659,123.311,113.299,134.702,130.728,97.7514,105.245,125.389,108.806,105.524,121.915,101.739,125.916,98.1062,103.514,95.6517,94.9413,132.906,89.1702,90.1761,76.6802,84.3585,95.314,103.923,93.0012,144.382,133.414,115.373,115.619,100.569,110.786,115.348,121.893,88.3319,109.398,105.181,91.4051,100.261,97.3135,121.634,105.185,43.9592,126.828,95.7753,107.797,101.551,86.634,101.157,110.349,136.647,85.2183,104.417,107.276,93.5263,116.037,96.365,85.1007,98.5846,114.259,141.472,108.185,109.301,106.318,88.1083,91.735,94.3643,105.905,111.518,80.552,99.3004,104.055,86.5159,177.03,93.5843,115.383,104.457,74.1837
-263.627,0.915239,0.469783,3,7,0,263.861,105.914,1.45672,11.0903,110.246,107.333,97.1355,108.789,105.876,114.616,114.616,110.246,108.789,110.246,100.049,113.159,104.419,110.246,107.333,100.049,116.073,100.049,100.049,113.159,100.049,107.333,102.962,95.6788,116.073,98.5922,113.159,105.876,100.049,114.616,111.703,105.876,113.159,104.419,108.789,114.616,108.789,105.876,98.5922,100.049,113.159,104.419,100.049,117.53,100.049,104.419,95.6788,95.6788,95.6788,102.962,102.962,110.246,113.159,117.53,102.962,100.049,101.506,111.703,116.073,107.333,113.159,111.703,104.419,95.6788,95.6788,104.419,107.333,104.419,100.049,102.962,111.703,111.703,98.5922,100.049,100.049,95.6788,-3.12139,-5.14312,-4.2592,-4.11008,-3.47109,-3.51544,-3.51544,-4.02308,-3.20839,-3.12139,-3.99649,-3.38409,-3.49768,-4.88042,-3.76038,-3.99649,-5.25671,-3.10363,-3.99649,-3.38409,-3.10363,-3.33974,-6.07141,-7.21804,-3.6468,-3.22615,-3.38409,-3.47109,-3.99649,-3.51544,-3.25274,-3.62903,-3.71603,-3.60244,-5.91347,-7.19145,-4.11008,-6.17617,-3.87397,-3.10363,-3.71603,-4.39937,-3.99649,-3.77815,-3.99649,-6.20276,-4.51296,-3.61127,-3.61127,-4.26802,-4.26802,-3.97873,-3.38409,-4.67984,-3.36633,-3.99649,-4.76684,-3.25274,-3.45333,-4.24143,-3.71603,-3.84738,-3.49768,-7.21804,-7.21804,-3.49768,-3.33974,-4.39937,-3.99649,-3.36633,-6.55246,-6.55246,-4.12785,-3.10363,-3.10363,-3.48885,101.726,115.754,118.413,106.418,100.436,107.322,115.276,100.815,100.179,119.5,89.63,138.253,106.617,99.0387,105.766,100.801,99.6982,96.9713,101.942,132.096,122.033,110.299,90.25,104.386,117.785,94.083,116.019,101.449,96.4201,105.232,103.091,107.044,123.973,119.861,111.17,131.472,88.749,91.4451,98.7033,99.3138,105.811,110.029,58.2535,97.7756,101.317,106.394,108.494,102.804,94.1491,103.18,70.0858,109.324,96.4163,114.822,102.959,85.1269,82.9739,123.762,118.049,116.315,111.617,121.441,96.4959,88.0539,68.7181,128.498,91.0254,115.823,115.771,104.046,93.8386,117.701,121.442,99.4411,116.689,116.126
-267.11,0.833404,0.469783,2,7,0,267.332,105.453,1.95233,9.65272,111.259,107.354,93.6877,109.306,105.402,117.116,117.116,111.259,109.306,111.259,97.5924,115.163,103.449,111.259,107.354,97.5924,119.068,97.5924,97.5924,115.163,97.5924,107.354,101.497,91.7354,119.068,95.64,115.163,105.402,97.5924,117.116,113.211,105.402,115.163,103.449,109.306,117.116,109.306,105.402,95.64,97.5924,115.163,103.449,97.5924,121.02,97.5924,103.449,91.7354,91.7354,91.7354,101.497,101.497,111.259,115.163,121.02,101.497,97.5924,99.5447,113.211,119.068,107.354,115.163,113.211,103.449,91.7354,91.7354,103.449,107.354,103.449,97.5924,101.497,113.211,113.211,95.64,97.5924,97.5924,91.7354,-3.09079,-5.30646,-4.6503,-4.06822,-3.43676,-3.69756,-3.69756,-4.12676,-3.03225,-3.09079,-4.24579,-3.4953,-3.31773,-4.90194,-3.72225,-4.24579,-5.12889,-3.20981,-4.24579,-3.4953,-3.20981,-3.2345,-6.22341,-7.28408,-3.89981,-3.41207,-3.4953,-3.43676,-4.24579,-3.69756,-3.29304,-3.51999,-3.46145,-3.63902,-6.14018,-7.4031,-4.06822,-6.54469,-3.54468,-3.20981,-3.46145,-4.35371,-4.24579,-4.10207,-4.24579,-6.42567,-4.17615,-3.14017,-3.14017,-4.15145,-4.15145,-3.86597,-3.4953,-5.13805,-3.11548,-4.24579,-5.07951,-3.29304,-3.05694,-4.27048,-3.46145,-3.66371,-3.31773,-7.28408,-7.28408,-3.31773,-3.2345,-4.35371,-4.24579,-3.11548,-6.77164,-6.77164,-4.44805,-3.20981,-3.20981,-3.81658,111.47,83.7608,93.1312,98.1276,117.305,97.2281,128.087,103.042,149.717,111.479,88.2431,104.95,102.855,121.441,101.236,99.5731,137.425,98.1071,92.63,121.953,75.185,118.591,89.276,94.8054,119.48,97.012,113.616,101.907,85.5925,127.909,116.401,120.822,114.878,95.0106,107.024,121.975,117.078,95.6823,100.719,115.583,115.217,124.59,156.906,117.49,104.166,112.121,78.3008,78.4508,82.7684,95.7333,111.731,97.6112,132.711,111.266,128.92,101.618,91.6145,103.705,122.865,94.1749,114.776,118.56,89.197,134.958,94.3367,134.128,107.282,83.6585,91.9869,109.479,94.6408,113.906,85.1193,94.9168,99.757,91.576
-268.545,0.871473,0.469783,3,7,0,270.25,109.25,1.2815,15.8253,113.06,110.497,101.527,111.779,109.216,116.905,116.905,113.06,111.779,113.06,104.09,115.623,107.934,113.06,110.497,104.09,118.186,104.09,104.09,115.623,104.09,110.497,106.653,100.245,118.186,102.808,115.623,109.216,104.09,116.905,114.342,109.216,115.623,107.934,111.779,116.905,111.779,109.216,102.808,104.09,115.623,107.934,104.09,119.468,104.09,107.934,100.245,100.245,100.245,106.653,106.653,113.06,115.623,119.468,106.653,104.09,105.371,114.342,118.186,110.497,115.623,114.342,107.934,100.245,100.245,107.934,110.497,107.934,104.09,106.653,114.342,114.342,102.808,104.09,104.09,100.245,-3.64814,-4.68713,-3.99017,-3.97425,-3.5043,-3.89108,-3.89108,-4.28004,-3.56716,-3.64814,-3.82821,-3.8101,-3.95613,-4.52517,-4.11809,-3.82821,-4.83316,-3.7132,-3.82821,-3.8101,-3.7132,-3.48619,-5.77086,-6.62977,-3.97206,-3.63222,-3.8101,-3.5043,-3.82821,-3.89108,-3.72912,-4.03711,-3.73131,-3.58528,-5.23805,-6.17794,-3.97425,-5.40001,-4.26412,-3.7132,-3.73131,-4.58803,-3.82821,-4.05303,-3.82821,-5.85183,-4.73406,-4.10216,-4.10216,-4.50705,-4.50705,-3.89327,-3.8101,-4.68494,-3.87515,-3.82821,-4.37914,-3.72912,-3.56935,-4.05522,-3.73131,-3.81229,-3.95613,-6.62977,-6.62977,-3.95613,-3.48619,-4.58803,-3.82821,-3.87515,-5.70799,-5.70799,-3.90919,-3.7132,-3.7132,-3.47026,111.332,144.657,142.47,111.955,160.107,93.7167,111.326,107.248,105.848,122.548,110.44,134.505,105.916,57.6039,117.668,100.87,88.7996,100.552,93.6624,124.399,111.405,109.125,98.7658,115.827,84.7628,103.195,81.5671,101.905,116.544,112.664,120.657,110.395,115.245,118.535,76.3545,160.011,115.311,119.046,91.8549,82.7974,135.649,83.8386,92.0877,120.44,97.2022,102.517,98.4532,105.957,103.24,108.457,120.162,123.539,51.5945,158.314,75.9005,98.3887,95.129,111.966,127.444,77.8701,116.387,122.511,68.0207,105.045,149.689,105.378,67.8644,66.359,99.6704,97.4003,135.649,105.095,157.652,110.588,77.2208,104.582
-268.38,0.882459,0.469783,3,7,0,269.811,107.408,1.37606,16.575,111.5,108.748,99.1158,110.124,107.372,115.629,115.629,111.5,110.124,111.5,101.868,114.252,105.996,111.5,108.748,101.868,117.005,101.868,101.868,114.252,101.868,108.748,104.62,97.7398,117.005,100.492,114.252,107.372,101.868,115.629,112.876,107.372,114.252,105.996,110.124,115.629,110.124,107.372,100.492,101.868,114.252,105.996,101.868,118.381,101.868,105.996,97.7398,97.7398,97.7398,104.62,104.62,111.5,114.252,118.381,104.62,101.868,103.244,112.876,117.005,108.748,114.252,112.876,105.996,97.7398,97.7398,105.996,108.748,105.996,101.868,104.62,112.876,112.876,100.492,101.868,101.868,97.7398,-3.59156,-4.7832,-4.15771,-4.09686,-3.65958,-3.84062,-3.84062,-4.19488,-3.50854,-3.59156,-3.99166,-3.7576,-3.8628,-4.61716,-4.02884,-3.99166,-4.8884,-3.61374,-3.99166,-3.7576,-3.61374,-3.57656,-5.58974,-6.38127,-3.92364,-3.53072,-3.7576,-3.65958,-3.99166,-3.84062,-3.67458,-3.94582,-3.8478,-3.7426,-5.3035,-6.17805,-4.09686,-5.46954,-4.13404,-3.61374,-3.8478,-4.46612,-3.99166,-4.00666,-3.99166,-5.67276,-4.57131,-3.968,-3.968,-4.3831,-4.3831,-4.01384,-3.7576,-4.60998,-3.77978,-3.99166,-4.51196,-3.67458,-3.68176,-4.17988,-3.8478,-3.93082,-3.8628,-6.38127,-6.38127,-3.8628,-3.57656,-4.46612,-3.99166,-3.77978,-5.74078,-5.74078,-4.07468,-3.61374,-3.61374,-3.63741,117.682,65.4454,72.0273,136.714,99.9009,98.3406,101.711,98.8147,113.862,86.5857,97.5203,156.085,132.59,114.902,100.889,97.5324,113.07,113.055,149.071,127.579,90.1611,123.587,95.6607,102.465,118.771,140.433,98.4919,83.5297,82.2564,138.092,126.384,128.223,110.688,113.222,145.425,119.47,127.614,134.798,96.3676,117.947,102.061,123.023,108.866,127.883,130.259,93.9639,104.646,74.4275,83.4719,84.4392,131.978,116.662,108.3,111.789,104.346,79.7156,78.7308,110.691,123.906,100.815,113.496,107.374,108.634,121.862,89.4153,169.359,135.056,104.11,96.3899,103.787,114.902,109.182,104.222,63.317,98.4243,72.2097
