# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 18:34:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\y89ohr53.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612203436_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.610909
# Diagonal elements of inverse mass matrix:
# 2.41585, 0.169582, 2.28429
-264.604,0.71407,0.610909,3,7,0,265.497,108.05,1.42702,11.8903,112.294,109.44,99.4506,110.867,108.013,116.575,116.575,112.294,110.867,112.294,102.305,115.148,106.586,112.294,109.44,102.305,118.002,102.305,102.305,115.148,102.305,109.44,105.159,98.0236,118.002,100.878,115.148,108.013,102.305,116.575,113.721,108.013,115.148,106.586,110.867,116.575,110.867,108.013,100.878,102.305,115.148,106.586,102.305,119.429,102.305,106.586,98.0236,98.0236,98.0236,105.159,105.159,112.294,115.148,119.429,105.159,102.305,103.732,113.721,118.002,109.44,115.148,113.721,106.586,98.0236,98.0236,106.586,109.44,106.586,102.305,105.159,113.721,113.721,100.878,102.305,102.305,98.0236,-3.36178,-4.89804,-4.0561,-3.937,-3.336,-3.72183,-3.72183,-4.2028,-3.24176,-3.36178,-3.81607,-3.60181,-3.72274,-4.658,-3.96277,-3.81607,-5.01896,-3.36269,-3.81607,-3.60181,-3.36269,-3.21599,-6.1258,-7.20777,-3.84184,-3.24267,-3.60181,-3.336,-3.81607,-3.72183,-3.48179,-3.84276,-3.57695,-3.45602,-5.61904,-6.82103,-3.937,-5.85908,-4.0837,-3.36269,-3.57695,-4.56376,-3.81607,-3.96186,-3.81607,-6.24581,-4.68469,-3.84367,-3.84367,-4.44375,-4.44375,-3.81698,-3.60181,-4.80288,-3.60272,-3.81607,-4.53708,-3.48179,-3.33691,-4.05701,-3.57695,-3.69696,-3.72274,-7.20777,-7.20777,-3.72274,-3.21599,-4.56376,-3.81607,-3.60272,-6.22004,-6.22004,-3.93608,-3.36269,-3.36269,-3.33509,124.899,64.3654,99.463,106.546,115.591,101.052,114.874,125.321,116.011,117.578,92.1829,119.016,91.241,57.2855,108.946,123.269,126.713,104.859,159.788,108.857,111.566,77.9528,102.758,109.237,171.861,91.5262,118.006,117.938,97.182,115.188,115.343,135.586,104.728,143.545,127.108,97.9966,118.955,108.273,109.909,97.2207,91.3139,84.6211,84.9041,137.727,92.607,99.8351,104.818,115.153,89.4099,99.7307,91.9446,115.424,89.5274,77.05,120.253,88.5042,137.069,113.779,125.954,114.272,102.853,115.877,70.8062,60.7827,112.925,102.135,113.948,112.451,116.856,97.5432,117.154,114.167,90.7691,104.61,111.328,81.9701
-265.254,0.956827,0.610909,2,3,0,266.734,104.392,1.26783,10.2225,108.162,105.626,96.7515,106.894,104.359,111.966,111.966,108.162,106.894,108.162,99.2872,110.698,103.091,108.162,105.626,99.2872,113.233,99.2872,99.2872,110.698,99.2872,105.626,101.823,95.4837,113.233,98.0194,110.698,104.359,99.2872,111.966,109.43,104.359,110.698,103.091,106.894,111.966,106.894,104.359,98.0194,99.2872,110.698,103.091,99.2872,114.501,99.2872,103.091,95.4837,95.4837,95.4837,101.823,101.823,108.162,110.698,114.501,101.823,99.2872,100.555,109.43,113.233,105.626,110.698,109.43,103.091,95.4837,95.4837,103.091,105.626,103.091,99.2872,101.823,109.43,109.43,98.0194,99.2872,99.2872,95.4837,-3.19753,-5.40205,-4.31375,-4.29979,-3.56961,-3.21001,-3.21001,-3.81618,-3.32156,-3.19753,-4.0657,-3.08599,-3.32008,-5.154,-3.56813,-4.0657,-5.63614,-3.08747,-4.0657,-3.08599,-3.08747,-3.44558,-6.13076,-7.46711,-3.33404,-3.21149,-3.08599,-3.56961,-4.0657,-3.21001,-3.07351,-3.4441,-3.92772,-3.69363,-6.25626,-7.71664,-4.29979,-6.50431,-3.80222,-3.08747,-3.92772,-4.29832,-4.0657,-3.45806,-4.0657,-6.25478,-4.53241,-3.55417,-3.55417,-4.17429,-4.17429,-4.17577,-3.08599,-4.43629,-3.19606,-4.0657,-4.91991,-3.07351,-3.67967,-4.42382,-3.92772,-4.05175,-3.32008,-7.46711,-7.46711,-3.32008,-3.44558,-4.29832,-4.0657,-3.19606,-6.98645,-6.98645,-4.18972,-3.08747,-3.08747,-3.45954,112.52,85.4413,105.831,106.473,106.959,110.761,111.943,100.673,105.989,106.036,100.591,106.508,103.148,104.924,107.754,90.331,119.568,107.551,94.3828,106.77,100.176,112.989,96.9132,88.9223,113.057,99.0481,115.101,143.813,104.117,94.1069,105.851,79.4914,113.73,110.833,96.7001,112.72,109.379,82.4824,101.278,70.8701,99.3164,117.976,84.5872,115.303,88.4337,106.236,103.931,97.1979,91.1423,110.198,105.268,97.7343,129.831,108.208,99.0229,108.677,85.646,107.056,106.771,106.199,130.132,99.7206,122.153,96.5221,90.54,92.6483,102.031,97.0631,101.167,109.887,128.933,111.45,94.5392,84.7623,103.951,90.9989
-267.085,0.738846,0.610909,3,7,0,268.093,110.054,0.977231,12.4891,112.96,111.006,104.165,111.983,110.028,115.892,115.892,112.96,111.983,112.96,106.119,114.914,109.051,112.96,111.006,106.119,116.869,106.119,106.119,114.914,106.119,111.006,108.074,103.188,116.869,105.142,114.914,110.028,106.119,115.892,113.937,110.028,114.914,109.051,111.983,115.892,111.983,110.028,105.142,106.119,114.914,109.051,106.119,117.846,106.119,109.051,103.188,103.188,103.188,108.074,108.074,112.96,114.914,117.846,108.074,106.119,107.097,113.937,116.869,111.006,114.914,113.937,109.051,103.188,103.188,109.051,111.006,109.051,106.119,108.074,113.937,113.937,105.142,106.119,106.119,103.188,-3.45501,-4.73889,-3.68522,-3.85994,-3.22027,-3.68975,-3.68975,-4.25571,-3.37677,-3.45501,-3.52873,-3.61151,-3.94272,-4.58239,-4.09922,-3.52873,-5.0701,-3.70798,-3.52873,-3.61151,-3.70798,-3.29852,-6.26656,-7.47672,-3.768,-3.62974,-3.61151,-3.22027,-3.52873,-3.68975,-3.53326,-4.02097,-3.6252,-3.29399,-5.46133,-6.74974,-3.85994,-5.61783,-4.43043,-3.70798,-3.6252,-4.74342,-3.52873,-3.84625,-3.52873,-6.34481,-5.07463,-4.27394,-4.27394,-4.66517,-4.66517,-3.7817,-3.61151,-4.64694,-3.86448,-3.52873,-4.25118,-3.53326,-3.46871,-3.93819,-3.6252,-3.70345,-3.94272,-7.47672,-7.47672,-3.94272,-3.29852,-4.74342,-3.52873,-3.86448,-6.10554,-6.10554,-3.60697,-3.70798,-3.70798,-3.47324,115.031,126.822,104.448,102.953,115.891,85.3627,123.149,124.708,143.812,112.29,104.373,138.816,115.089,45.7314,109.809,96.5268,99.9376,124.696,127.015,93.5503,87.9918,95.5989,113.505,97.8804,115.613,104.045,120.841,108.274,117.88,142.263,114.052,107.157,121.309,109.339,128.108,117.977,131.419,104.793,100.255,88.9957,118.82,117.799,105.876,119.199,103.421,102.879,100.308,97.5311,66.7549,104.014,129.978,122.881,107.983,126.143,106.564,105.596,101.748,86.9065,119.516,123.173,103.519,104.544,85.5248,94.8535,120.921,132.703,102.18,121.172,47.9329,93.2523,113.323,114.476,92.6805,114.198,111.922,118.325
-264.02,1,0.610909,2,3,0,267.125,106.945,1.34318,12.2708,110.939,108.252,98.8502,109.596,106.909,114.968,114.968,110.939,109.596,110.939,101.537,113.625,105.566,110.939,108.252,101.537,116.312,101.537,101.537,113.625,101.537,108.252,104.223,97.507,116.312,100.193,113.625,106.909,101.537,114.968,112.282,106.909,113.625,105.566,109.596,114.968,109.596,106.909,100.193,101.537,113.625,105.566,101.537,117.655,101.537,105.566,97.507,97.507,97.507,104.223,104.223,110.939,113.625,117.655,104.223,101.537,102.88,112.282,116.312,108.252,113.625,112.282,105.566,97.507,97.507,105.566,108.252,105.566,101.537,104.223,112.282,112.282,100.193,101.537,101.537,97.507,-3.27688,-4.97267,-4.10901,-4.04826,-3.45224,-3.60526,-3.60526,-4.09182,-3.23332,-3.27688,-3.89009,-3.4958,-3.65397,-4.75375,-3.8729,-3.89009,-5.13085,-3.32559,-3.89009,-3.4958,-3.32559,-3.34278,-5.98935,-7.07193,-3.71472,-3.21613,-3.4958,-3.45224,-3.89009,-3.60526,-3.38634,-3.76344,-3.71988,-3.5617,-5.67815,-6.8702,-4.04826,-5.89708,-4.03107,-3.32559,-3.71988,-4.46892,-3.89009,-3.82418,-3.89009,-6.09881,-4.62709,-3.81215,-3.81215,-4.35946,-4.35946,-3.9388,-3.4958,-4.63913,-3.54451,-3.89009,-4.59557,-3.38634,-3.50096,-4.15773,-3.71988,-3.82934,-3.65397,-7.07193,-7.07193,-3.65397,-3.34278,-4.46892,-3.89009,-3.54451,-6.27418,-6.27418,-3.99955,-3.32559,-3.32559,-3.40353,111.307,98.564,100.255,124.57,106.113,107.495,115.248,106.271,101.029,95.8253,127.7,102.776,138.929,115.853,116.813,83.4457,130.135,124.443,103.161,118.199,76.0251,108.433,104.456,98.1218,156.952,106.157,91.5182,95.2644,93.946,155.033,158.725,85.6255,140.035,137.792,105.55,111.029,121.441,100.805,91.1777,97.9455,108.556,101.302,88.9368,123.213,88.5087,108.624,130.793,153.061,92.4775,117.599,108.997,111.261,123.487,106.328,103.039,109.558,110.046,106.272,111.791,122.235,119.958,94.4682,94.4271,117.36,94.4423,76.0672,125.589,92.8762,127.964,115.352,94.0424,116.07,171.099,140.845,107.269,85.6646
-265.503,0.912281,0.610909,1,3,0,267.309,108.971,1.38243,11.1816,113.082,110.317,100.64,111.7,108.935,117.23,117.23,113.082,111.7,113.082,103.405,115.847,107.552,113.082,110.317,103.405,118.612,103.405,103.405,115.847,103.405,110.317,106.17,99.2579,118.612,102.023,115.847,108.935,103.405,117.23,114.465,108.935,115.847,107.552,111.7,117.23,111.7,108.935,102.023,103.405,115.847,107.552,103.405,119.994,103.405,107.552,99.2579,99.2579,99.2579,106.17,106.17,113.082,115.847,119.994,106.17,103.405,104.788,114.465,118.612,110.317,115.847,114.465,107.552,99.2579,99.2579,107.552,110.317,107.552,103.405,106.17,114.465,114.465,102.023,103.405,103.405,99.2579,-3.38307,-4.86769,-3.94448,-3.84973,-3.20268,-3.75397,-3.75397,-4.27739,-3.25944,-3.38307,-3.69721,-3.63034,-3.78286,-4.62042,-4.03012,-3.69721,-5.0202,-3.41195,-3.69721,-3.63034,-3.41195,-3.1358,-6.34219,-7.51266,-3.87761,-3.28832,-3.63034,-3.20268,-3.69721,-3.75397,-3.5067,-3.90649,-3.47883,-3.32631,-5.63837,-6.93248,-3.84973,-5.88564,-4.18264,-3.41195,-3.47883,-4.67718,-3.69721,-4.00124,-3.69721,-6.46582,-4.8297,-3.93537,-3.93537,-4.55354,-4.55354,-3.7261,-3.63034,-4.89556,-3.65922,-3.69721,-4.4679,-3.5067,-3.23156,-3.97336,-3.47883,-3.60246,-3.78286,-7.51266,-7.51266,-3.78286,-3.1358,-4.67718,-3.69721,-3.65922,-6.28543,-6.28543,-3.82085,-3.41195,-3.41195,-3.17379,146.876,118.35,76.794,103.605,115.076,111.841,131.088,115.317,113.034,125.786,73.7644,121.137,101.428,118.496,119.422,69.285,143.385,84.5405,110.67,95.7367,100.524,102.777,127.81,105.003,120.981,82.7898,115.888,112.714,102.71,124.99,102.968,100.095,137.514,93.7617,122.096,122.955,102.984,112.209,128.581,94.8505,111.352,106.837,112.366,82.9846,97.5182,102.22,113.083,101.906,101.567,110.221,103.891,128.489,133.652,127.536,101.995,89.7845,96.4189,104.999,123.159,111.556,127.344,101.719,159.391,119.167,62.6948,99.0075,102.602,100.815,98.7783,102.923,121.536,113.827,98.7809,100.007,115.818,109.453
-265.503,0.44852,0.610909,2,3,0,272.397,108.971,1.38243,11.1816,113.082,110.317,100.64,111.7,108.935,117.23,117.23,113.082,111.7,113.082,103.405,115.847,107.552,113.082,110.317,103.405,118.612,103.405,103.405,115.847,103.405,110.317,106.17,99.2579,118.612,102.023,115.847,108.935,103.405,117.23,114.465,108.935,115.847,107.552,111.7,117.23,111.7,108.935,102.023,103.405,115.847,107.552,103.405,119.994,103.405,107.552,99.2579,99.2579,99.2579,106.17,106.17,113.082,115.847,119.994,106.17,103.405,104.788,114.465,118.612,110.317,115.847,114.465,107.552,99.2579,99.2579,107.552,110.317,107.552,103.405,106.17,114.465,114.465,102.023,103.405,103.405,99.2579,-3.38307,-4.86769,-3.94448,-3.84973,-3.20268,-3.75397,-3.75397,-4.27739,-3.25944,-3.38307,-3.69721,-3.63034,-3.78286,-4.62042,-4.03012,-3.69721,-5.0202,-3.41195,-3.69721,-3.63034,-3.41195,-3.1358,-6.34219,-7.51266,-3.87761,-3.28832,-3.63034,-3.20268,-3.69721,-3.75397,-3.5067,-3.90649,-3.47883,-3.32631,-5.63837,-6.93248,-3.84973,-5.88564,-4.18264,-3.41195,-3.47883,-4.67718,-3.69721,-4.00124,-3.69721,-6.46582,-4.8297,-3.93537,-3.93537,-4.55354,-4.55354,-3.7261,-3.63034,-4.89556,-3.65922,-3.69721,-4.4679,-3.5067,-3.23156,-3.97336,-3.47883,-3.60246,-3.78286,-7.51266,-7.51266,-3.78286,-3.1358,-4.67718,-3.69721,-3.65922,-6.28543,-6.28543,-3.82085,-3.41195,-3.41195,-3.17379,88.2257,102.341,125.912,97.1539,134.117,123.786,108.16,115.686,124.4,115.638,107.351,117.35,106.749,112.511,111.913,102.857,110.001,91.8689,80.6675,147.415,105.86,126.176,130.838,77.618,91.508,100.178,165.016,104.976,102.363,156.864,112.699,101.81,127.772,105.283,116.581,121.327,93.9805,106.158,100.375,94.2284,116.01,95.6815,97.7292,93.8532,105.295,112.087,125.135,99.5752,102.3,102.059,95.9978,109.466,124.665,117.847,103.096,101.341,102.629,115.75,118.53,110.598,106.935,117.386,107.219,108.815,130.213,104.663,107.59,122.245,89.2078,90.5668,89.5402,123.638,88.2912,91.7044,92.1573,93.1366
