# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 20:32:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\ftyhr08d.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612223257_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.553747
# Diagonal elements of inverse mass matrix:
# 2.43902, 0.153225, 0.0134193
-268.356,0.819331,0.553747,2,7,0,269.028,109.927,0.715027,9.34224,109.193,110.623,108.478,104.903,110.623,112.053,114.913,110.623,109.193,108.478,113.483,105.618,111.338,109.908,114.198,107.048,106.333,113.483,114.198,109.908,104.903,107.048,112.053,108.478,114.198,112.768,109.908,112.053,113.483,113.483,115.628,111.338,108.478,107.048,107.763,112.768,112.053,112.768,109.193,111.338,107.048,109.193,113.483,107.048,112.768,112.768,114.198,109.193,111.338,109.908,106.333,112.053,114.913,107.048,104.903,104.903,109.193,113.483,110.623,109.193,106.333,107.048,104.903,104.903,104.903,115.628,107.048,108.478,107.048,114.913,107.048,107.048,113.483,107.048,107.048,110.623,-7.12295,-3.9314,-7.04641,-8.80454,-2.9944,-3.14747,-3.45362,-5.0018,-4.98214,-4.9056,-3.62525,-3.39675,-3.85486,-2.93753,-3.37708,-3.24367,-3.60558,-3.30055,-3.37708,-2.93753,-3.45251,-3.24367,-4.21788,-3.83519,-3.37708,-3.22401,-3.98827,-3.77832,-3.62525,-3.30055,-4.60056,-3.07093,-3.83519,-3.24367,-4.23754,-3.70179,-3.14747,-3.22401,-3.01406,-5.99567,-3.24367,-3.91173,-3.30055,-3.68212,-6.91301,-6.91301,-7.83034,-3.91173,-3.85486,-6.14875,-4.67599,-4.84873,-3.47217,-3.68212,-8.80454,-8.80454,-3.91173,-3.62525,-4.0648,-4.98214,-3.32021,-3.24367,-5.59332,-4.52292,-4.52292,-3.53016,-3.24367,-4.9056,-3.24367,-5.61299,-3.68212,-3.24367,-3.30055,-3.68212,-3.68212,-2.9944,102.595,118.987,103.428,107.566,111.619,134.566,106.03,97.1847,98.1394,121.139,121.097,117.37,109.329,113.981,134.095,109.213,116.191,128.942,111.874,118.971,98.0312,116.645,115.997,113.834,130.2,105.986,113.801,98.9136,105.441,102.109,131.048,114.247,105.123,103.333,107.609,100.282,98.2367,111.537,113.083,106.866,106.622,106.092,114.97,120.644,108.076,148.482,129.026,108.13,108.251,109.439,107.475,109.971,117.016,85.3194,102.962,90.5133,105.452,122.773,137.188,91.641,108.469,98.0807,113.835,86.0361,99.2028,125.541,123.645,111.473,107.999,101.489,98.5993,115.239,123.742,101.672,119.726,87.3597
-267.435,0.915099,0.553747,3,7,0,268.657,109.718,0.865137,9.47642,108.831,110.561,107.965,103.64,110.561,112.291,115.752,110.561,108.831,107.965,114.021,104.505,111.426,109.696,114.886,106.235,105.37,114.021,114.886,109.696,103.64,106.235,112.291,107.965,114.886,113.156,109.696,112.291,114.021,114.021,116.617,111.426,107.965,106.235,107.1,113.156,112.291,113.156,108.831,111.426,106.235,108.831,114.021,106.235,113.156,113.156,114.886,108.831,111.426,109.696,105.37,112.291,115.752,106.235,103.64,103.64,108.831,114.021,110.561,108.831,105.37,106.235,103.64,103.64,103.64,116.617,106.235,107.965,106.235,115.752,106.235,106.235,114.021,106.235,106.235,110.561,-7.03955,-3.93803,-6.94825,-8.60229,-3.00113,-3.18372,-3.54889,-4.99328,-4.92905,-4.83775,-3.57285,-3.52183,-3.84673,-2.97407,-3.4576,-3.33924,-3.50862,-3.36631,-3.4576,-2.97407,-3.32603,-3.33924,-4.23897,-3.7825,-3.4576,-3.27501,-3.96509,-3.75544,-3.57285,-3.36631,-4.69544,-3.09243,-3.7825,-3.33924,-4.3032,-3.66415,-3.18372,-3.27501,-3.06536,-5.95723,-3.33924,-3.8738,-3.36631,-3.59991,-6.8299,-6.8299,-7.70256,-3.8738,-3.84673,-6.13982,-4.56387,-4.81069,-3.39026,-3.59991,-8.60229,-8.60229,-3.8738,-3.57285,-4.05638,-4.92905,-3.43054,-3.33924,-5.43654,-4.38128,-4.38128,-3.64019,-3.33924,-4.83775,-3.33924,-5.50077,-3.59991,-3.33924,-3.36631,-3.59991,-3.59991,-3.00113,96.2176,116.07,111.698,78.5416,129.014,131.073,137.353,106.575,111.444,89.6155,101.209,106.202,125.944,122.831,117.579,105.837,73.1741,110.366,106.959,120.166,120.718,122.762,99.0207,123.586,134.821,112.752,111.14,124.313,114.009,113.424,125.946,107.867,100.442,109.633,108.518,130.688,99.7106,115.202,92.3763,142.304,102.694,90.4082,116.523,111.414,111.763,107.024,118.167,126.649,107.335,100.229,97.4291,92.5259,116.299,95.2051,151.749,114.87,109.717,98.0784,111.652,99.0939,72.4717,109.398,113.363,105.926,136.966,121.457,85.293,86.1166,94.8501,98.4296,98.621,111.469,115.329,98.9889,90.823,93.8964
-262.126,0.575453,0.553747,2,7,0,269.133,105.331,1.04676,12.2283,104.257,106.351,103.21,97.9766,106.351,108.444,112.631,106.351,104.257,103.21,110.538,99.0234,107.397,105.304,111.584,101.117,100.07,110.538,111.584,105.304,97.9766,101.117,108.444,103.21,111.584,109.491,105.304,108.444,110.538,110.538,113.678,107.397,103.21,101.117,102.164,109.491,108.444,109.491,104.257,107.397,101.117,104.257,110.538,101.117,109.491,109.491,111.584,104.257,107.397,105.304,100.07,108.444,112.631,101.117,97.9766,97.9766,104.257,110.538,106.351,104.257,100.07,101.117,97.9766,97.9766,97.9766,113.678,101.117,103.21,101.117,112.631,101.117,101.117,110.538,101.117,101.117,106.351,-5.99836,-4.31311,-5.91276,-7.1203,-3.49534,-3.32413,-3.41208,-5.13088,-4.36281,-4.27721,-3.97071,-4.09454,-4.22751,-3.58094,-3.32648,-3.92334,-3.20264,-3.24087,-3.32648,-3.58094,-3.36237,-3.92334,-3.88744,-3.45944,-3.32648,-3.23853,-3.63064,-4.14191,-3.97071,-3.24087,-4.31545,-3.40974,-3.45944,-3.92334,-4.65551,-4.05631,-3.32413,-3.23853,-3.66654,-5.86305,-3.92334,-3.54504,-3.24087,-3.28824,-6.50962,-6.50962,-7.15619,-3.54504,-4.22751,-6.03425,-4.02041,-4.95968,-3.7995,-3.28824,-7.1203,-7.1203,-3.54504,-3.97071,-3.71624,-4.36281,-4.00894,-3.92334,-4.66698,-3.84921,-3.84921,-3.49768,-3.92334,-4.27721,-3.92334,-5.43505,-3.28824,-3.92334,-3.24087,-3.28824,-3.28824,-3.49534,97.8786,107.776,92.9218,115.181,114.355,115.379,111.85,99.0031,70.5354,101.391,108.594,55.8529,116.026,93.661,101.221,86.8182,91.6394,107.56,108.868,97.4497,85.2438,111.935,108.796,108.15,113.115,102.325,107.14,117.28,108.684,106.133,111.708,109.141,150.932,111.97,109.143,103.73,81.6511,138.728,149.862,109.009,92.3241,100.101,122.752,96.6707,117.731,78.6135,124.122,100.473,111.403,125.118,103.154,127.393,102.345,121.46,95.3442,98.834,65.9286,117.119,123.943,110.674,147.985,95.2403,81.8666,93.328,90.3816,106.638,109.876,91.7769,92.2029,112.396,131.231,131.001,59.4508,95.9861,84.5853,90.9561
-261.967,0.781896,0.553747,2,7,0,262.911,106.574,1.45035,10.8879,105.085,107.986,103.635,96.3831,107.986,110.887,116.688,107.986,105.085,103.635,113.787,97.8334,109.436,106.536,115.238,100.734,99.2838,113.787,115.238,106.536,96.3831,100.734,110.887,103.635,115.238,112.337,106.536,110.887,113.787,113.787,118.138,109.436,103.635,100.734,102.184,112.337,110.887,112.337,105.085,109.436,100.734,105.085,113.787,100.734,112.337,112.337,115.238,105.085,109.436,106.536,99.2838,110.887,116.688,100.734,96.3831,96.3831,105.085,113.787,107.986,105.085,99.2838,100.734,96.3831,96.3831,96.3831,118.138,100.734,103.635,100.734,116.688,100.734,100.734,113.787,100.734,100.734,107.986,-6.30321,-4.18424,-6.17,-7.34087,-3.26579,-3.16222,-3.69505,-5.10269,-4.4663,-4.33309,-3.65141,-4.19824,-4.05103,-3.39899,-3.56184,-3.93182,-3.14658,-3.42864,-3.56184,-3.39899,-3.41299,-3.93182,-4.08067,-3.41464,-3.56184,-3.29543,-3.68105,-3.91783,-3.65141,-3.42864,-4.74671,-3.13258,-3.41464,-3.93182,-4.71707,-3.78462,-3.16222,-3.29543,-3.5322,-5.88794,-3.93182,-3.54784,-3.42864,-3.14822,-6.53998,-6.53998,-7.19202,-3.54784,-4.05103,-6.15435,-3.93347,-4.83628,-3.385,-3.14822,-7.34087,-7.34087,-3.54784,-3.65141,-3.81426,-4.4663,-4.06503,-3.93182,-4.58551,-3.66705,-3.66705,-3.82826,-3.93182,-4.33309,-3.93182,-5.2219,-3.14822,-3.93182,-3.42864,-3.14822,-3.14822,-3.26579,120.199,96.6164,78.6847,92.5115,111.231,130.795,113.53,111.505,86.6888,80.7666,128.45,97.2078,111.365,108.287,141.648,102.143,96.4998,120.818,103.287,111.664,95.9201,49.3552,104.104,106.495,120.772,134.63,146.359,104.898,116.754,135.428,165.013,108.04,101.327,116.41,110.134,93.7051,106.128,130.086,108.552,111.329,100.131,112.817,119.891,98.4356,136.404,85.6551,110.687,104.022,88.419,104.568,92.3875,118.093,157.82,81.7374,100.447,98.0369,104.089,107.502,92.7015,104.492,56.2373,92.4287,96.7876,94.3894,67.1623,134.084,104.506,104.387,96.3524,117.302,105.11,105.115,102.802,105.787,98.924,101.686
-262.426,0.90621,0.553747,3,7,0,263.604,106.979,0.921175,11.7417,106.034,107.876,105.112,100.506,107.876,109.718,113.403,107.876,106.034,105.112,111.561,101.428,108.797,106.955,112.482,103.27,102.349,111.561,112.482,106.955,100.506,103.27,109.718,105.112,112.482,110.639,106.955,109.718,111.561,111.561,114.324,108.797,105.112,103.27,104.191,110.639,109.718,110.639,106.034,108.797,103.27,106.034,111.561,103.27,110.639,110.639,112.482,106.034,108.797,106.955,102.349,109.718,113.403,103.27,100.506,100.506,106.034,111.561,107.876,106.034,102.349,103.27,100.506,100.506,100.506,114.324,103.27,105.112,103.27,113.403,103.27,103.27,111.561,103.27,103.27,107.876,-6.22515,-4.18886,-6.1467,-7.45777,-3.3372,-3.18029,-3.44611,-5.04053,-4.52182,-4.44336,-3.87505,-3.88637,-4.11041,-3.41565,-3.36765,-3.72946,-3.35633,-3.2892,-3.36765,-3.41565,-3.19943,-3.72946,-3.98396,-3.59169,-3.36765,-3.21075,-3.7486,-4.03196,-3.87505,-3.2892,-4.37623,-3.25874,-3.59169,-3.72946,-4.50268,-3.9535,-3.18029,-3.21075,-3.4941,-5.81374,-3.72946,-3.67015,-3.2892,-3.43479,-6.50851,-6.50851,-7.20327,-3.67015,-4.11041,-5.97065,-4.208,-4.88362,-3.71814,-3.43479,-7.45777,-7.45777,-3.67015,-3.87505,-3.82705,-4.52182,-3.80792,-3.72946,-4.90276,-4.05109,-4.05109,-3.52456,-3.72946,-4.44336,-3.72946,-5.42148,-3.43479,-3.72946,-3.2892,-3.43479,-3.43479,-3.3372,74.7232,130.578,116.173,99.9306,127.717,77.2033,112.051,101.833,125.902,88.7914,105.25,89.125,93.86,122.546,124.82,92.6049,103.625,115.089,102.752,115.793,140.114,102.738,103.63,112.838,134.103,106.265,84.9456,103.426,96.9294,127.679,117.571,98.3584,112.215,102.72,99.2345,77.8482,107.7,112.737,116.46,108.449,139.142,115.642,127.703,109.326,108.577,107.591,153.251,90.599,157.101,106.245,109.966,115.066,101.629,103.608,77.992,98.8853,106.339,112.911,109.718,68.0745,100.824,100.943,115.101,103.444,117.676,115.819,93.8382,91.8707,109.633,106.327,101.446,103.102,120.606,109.166,115.968,118.799
-262.01,0.952654,0.553747,2,7,0,263.601,105.73,1.06387,11.2398,104.638,106.766,103.574,98.2548,106.766,108.894,113.149,106.766,104.638,103.574,111.021,99.3187,107.83,105.702,112.085,101.446,100.383,111.021,112.085,105.702,98.2548,101.446,108.894,103.574,112.085,109.957,105.702,108.894,111.021,111.021,114.213,107.83,103.574,101.446,102.51,109.957,108.894,109.957,104.638,107.83,101.446,104.638,111.021,101.446,109.957,109.957,112.085,104.638,107.83,105.702,100.383,108.894,113.149,101.446,98.2548,98.2548,104.638,111.021,106.766,104.638,100.383,101.446,98.2548,98.2548,98.2548,114.213,101.446,103.574,101.446,113.149,101.446,101.446,111.021,101.446,101.446,106.766,-6.19434,-4.29005,-6.09969,-7.40582,-3.40035,-3.21105,-3.39277,-5.17975,-4.41495,-4.3203,-3.91144,-4.06292,-4.1954,-3.49501,-3.29812,-3.87361,-3.14664,-3.20347,-3.29812,-3.49501,-3.26787,-3.87361,-3.90386,-3.4306,-3.29812,-3.1164,-3.6199,-4.10075,-3.91144,-3.20347,-4.37712,-3.3057,-3.4306,-3.87361,-4.66866,-4.00609,-3.21105,-3.1164,-3.58966,-5.97479,-3.87361,-3.52525,-3.20347,-3.2413,-6.67518,-6.67518,-7.37558,-3.52525,-4.1954,-6.1641,-4.03634,-4.99044,-3.72214,-3.2413,-7.40582,-7.40582,-3.52525,-3.91144,-3.71456,-4.41495,-3.96827,-3.87361,-4.73673,-3.84704,-3.84704,-3.48743,-3.87361,-4.3203,-3.87361,-5.50153,-3.2413,-3.87361,-3.20347,-3.2413,-3.2413,-3.40035,89.1867,97.3717,99.2694,84.6416,102.32,106.783,104.489,107.73,112.989,104.716,106.141,91.7757,103.655,108.283,112.702,134.111,128.212,104.038,111.378,108.565,97.837,129.56,109.057,102.516,105.113,136.988,117.992,110.544,142.016,146.234,141.078,77.6479,108.217,99.5388,105.498,107.491,112.228,104.639,110.529,100.793,102.102,94.2739,103.956,108.165,111.033,95.9635,105.924,127.335,99.8891,132.545,90.4408,123.156,85.8567,111.81,76.2117,92.3739,106.516,102.767,108.727,110.023,91.2207,105.176,99.6966,104.203,124.974,97.4059,98.4702,114.776,124.16,105.197,102.994,126.445,107.094,111.969,71.2624,64.8354
