# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-12 20:32:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpay9zw7ak\ftyhr08d.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220612223257_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.57865
# Diagonal elements of inverse mass matrix:
# 2.36932, 0.140467, 0.0115715
-264.645,0.683868,0.57865,3,7,0,267.092,107.353,2.123,10.1856,105.174,109.42,103.051,92.4361,109.42,113.666,122.158,109.42,105.174,103.051,117.912,94.5591,111.543,107.297,120.035,98.8051,96.6821,117.912,120.035,107.297,92.4361,98.8051,113.666,103.051,120.035,115.789,107.297,113.666,117.912,117.912,124.281,111.543,103.051,98.8051,100.928,115.789,113.666,115.789,105.174,111.543,98.8051,105.174,117.912,98.8051,115.789,115.789,120.035,105.174,111.543,107.297,96.6821,113.666,122.158,98.8051,92.4361,92.4361,105.174,117.912,109.42,105.174,96.6821,98.8051,92.4361,92.4361,92.4361,124.281,98.8051,103.051,98.8051,122.158,98.8051,98.8051,117.912,98.8051,98.8051,109.42,-6.46743,-4.05283,-6.259,-7.18039,-3.07106,-3.37405,-4.20778,-5.03461,-4.50388,-4.29545,-3.21911,-4.53008,-3.8444,-3.27949,-3.99935,-4.11322,-3.33987,-3.79092,-3.99935,-3.27949,-3.75673,-4.11322,-4.35583,-3.31367,-3.99935,-3.58248,-3.73053,-3.63597,-3.21911,-3.79092,-5.39799,-3.16562,-3.31367,-4.11322,-4.88656,-3.42754,-3.37405,-3.58248,-3.48792,-5.80795,-4.11322,-3.5221,-3.79092,-3.13144,-6.37287,-6.37287,-6.93778,-3.5221,-3.8444,-6.22482,-3.67015,-4.61775,-3.226,-3.13144,-7.18039,-7.18039,-3.5221,-3.21911,-3.93897,-4.50388,-4.32165,-4.11322,-4.23507,-3.25329,-3.25329,-4.41621,-4.11322,-4.29545,-4.11322,-4.7658,-3.13144,-4.11322,-3.79092,-3.13144,-3.13144,-3.07106,100.795,104.419,95.5783,86.7527,97.5973,118.736,140.753,105.848,108.922,102.218,101.478,85.4633,105.35,111.911,119.307,104.017,90.7994,126.815,114.628,114.714,84.5308,92.5007,113.552,131.918,126.215,114.401,122.576,114.91,120.889,114.205,141.815,116.259,105.64,106.334,104.52,134.227,115.621,125.493,101.945,103.48,112.761,114.141,117.483,115.149,113.208,124.864,126.145,90.2892,102.837,98.8392,132.811,93.4381,124.476,93.9498,90.9312,118.474,103.589,105.051,123.254,106.207,118.722,106.904,79.5194,104.466,110.098,134.568,87.384,98.759,68.1554,112.907,103.612,109.021,139.496,103.421,98.6057,125.463
-262.622,0.837217,0.57865,2,7,0,265.396,106.179,1.78114,12.3417,104.351,107.913,102.569,93.6637,107.913,111.475,118.6,107.913,104.351,102.569,115.037,95.4448,109.694,106.132,116.819,99.0071,97.226,115.037,116.819,106.132,93.6637,99.0071,111.475,102.569,116.819,113.256,106.132,111.475,115.037,115.037,120.381,109.694,102.569,99.0071,100.788,113.256,111.475,113.256,104.351,109.694,99.0071,104.351,115.037,99.0071,113.256,113.256,116.819,104.351,109.694,106.132,97.226,111.475,118.6,99.0071,93.6637,93.6637,104.351,115.037,107.913,104.351,97.226,99.0071,93.6637,93.6637,93.6637,120.381,99.0071,102.569,99.0071,118.6,99.0071,99.0071,115.037,99.0071,99.0071,107.913,-5.98942,-4.18551,-5.84511,-6.74403,-3.37525,-3.32565,-3.90293,-4.99577,-4.3689,-4.22458,-3.60823,-4.38548,-4.04119,-3.51956,-3.75861,-4.09684,-3.4309,-3.61429,-3.75861,-3.51956,-3.71954,-4.09684,-4.13591,-3.41432,-3.75861,-3.46997,-3.70296,-3.89687,-3.60823,-3.61429,-4.85751,-3.23093,-3.41432,-4.09684,-4.76278,-3.75255,-3.32565,-3.46997,-3.66388,-5.66171,-4.09684,-3.55864,-3.61429,-3.28658,-6.18334,-6.18334,-6.70496,-3.55864,-4.04119,-5.95035,-3.79162,-4.70713,-3.31959,-3.28658,-6.74403,-6.74403,-3.55864,-3.60823,-3.84728,-4.3689,-4.24116,-4.09684,-4.31325,-3.50299,-3.50299,-4.04725,-4.09684,-4.22458,-4.09684,-4.94012,-3.28658,-4.09684,-3.61429,-3.28658,-3.28658,-3.37525,108.08,105.653,93.7502,94.0519,102.506,146.364,90.766,105.067,105.644,99.7894,129.794,105.31,93.1131,104.218,117.451,105.891,94.8581,127.943,116.184,95.8601,69.583,114.025,133.792,85.7373,135.442,117.583,100.768,143.769,115.661,117.282,120.605,104.369,122.086,115.551,106.549,110.669,124.533,104.238,85.4592,93.1104,102.727,97.7235,109.238,100.097,104.285,102.567,132.568,123.342,118.404,105.818,89.2131,53.8027,123.98,144.439,99.9176,117.574,133.371,116.288,76.3859,104.081,86.6787,120.541,87.4391,115.726,94.5132,130.257,87.4009,76.3125,94.5372,120.358,79.0979,105.399,111.596,91.8909,92.71,120.23
-263.137,0.636518,0.57865,3,7,0,263.782,105.671,0.809238,12.8568,104.841,106.459,104.031,99.9853,106.459,108.078,111.315,106.459,104.841,104.031,109.696,100.794,107.268,105.65,110.505,102.413,101.604,109.696,110.505,105.65,99.9853,102.413,108.078,104.031,110.505,108.887,105.65,108.078,109.696,109.696,112.124,107.268,104.031,102.413,103.222,108.887,108.078,108.887,104.841,107.268,102.413,104.841,109.696,102.413,108.887,108.887,110.505,104.841,107.268,105.65,101.604,108.078,111.315,102.413,99.9853,99.9853,104.841,109.696,106.459,104.841,101.604,102.413,99.9853,99.9853,99.9853,112.124,102.413,104.031,102.413,111.315,102.413,102.413,109.696,102.413,102.413,106.459,-5.95692,-4.30022,-5.89398,-7.13486,-3.52243,-3.39654,-3.34927,-5.07802,-4.40133,-4.33838,-4.04845,-3.96302,-4.23728,-3.58537,-3.28633,-3.83714,-3.37176,-3.27066,-3.28633,-3.58537,-3.24817,-3.83714,-3.8753,-3.56059,-3.28633,-3.3336,-3.68647,-4.17434,-4.04845,-3.27066,-4.19001,-3.45949,-3.56059,-3.83714,-4.55199,-4.1114,-3.39654,-3.3336,-3.64831,-5.79287,-3.83714,-3.62353,-3.27066,-3.4347,-6.44478,-6.44478,-7.0967,-3.62353,-4.23728,-5.91876,-4.14956,-4.95214,-3.92257,-3.4347,-7.13486,-7.13486,-3.62353,-4.04845,-3.74941,-4.40133,-3.90008,-3.83714,-4.80147,-4.02367,-4.02367,-3.41221,-3.83714,-4.33838,-3.83714,-5.47816,-3.4347,-3.83714,-3.27066,-3.4347,-3.4347,-3.52243,100.882,98.4192,111.562,93.8499,104.071,98.3909,107.18,99.3811,63.8856,107.342,118.722,96.5597,140.103,112.8,123.818,102.75,97.4104,113.872,106.781,101.307,58.1153,123.807,102.206,104.212,123.63,115.267,107.353,90.4332,112.934,107.384,69.9832,111.11,107.364,116.417,105.301,105.394,106.049,116.674,90.3091,103.226,97.517,103.954,105.472,92.2131,120.82,91.4814,112.548,108.079,117.03,137.684,75.9325,105.581,94.1854,95.2821,100.198,30.3817,59.4458,107.087,98.2645,106.743,76.9712,118.401,137.422,100.521,93.8509,99.5977,104.354,75.4645,111.672,137.684,102.882,110.557,104.704,103.816,80.1579,107.313
-261.692,1,0.57865,2,3,0,263.12,106.225,1.32026,11.3392,104.87,107.511,103.55,96.9486,107.511,110.151,115.432,107.511,104.87,103.55,112.792,98.2689,108.831,106.19,114.112,100.909,99.5892,112.792,114.112,106.19,96.9486,100.909,110.151,103.55,114.112,111.471,106.19,110.151,112.792,112.792,116.752,108.831,103.55,100.909,102.23,111.471,110.151,111.471,104.87,108.831,100.909,104.87,112.792,100.909,111.471,111.471,114.112,104.87,108.831,106.19,99.5892,110.151,115.432,100.909,96.9486,96.9486,104.87,112.792,107.511,104.87,99.5892,100.909,96.9486,96.9486,96.9486,116.752,100.909,103.55,100.909,115.432,100.909,100.909,112.792,100.909,100.909,107.511,-6.1966,-4.22284,-6.08017,-7.2618,-3.34094,-3.13475,-3.60048,-5.10474,-4.43281,-4.31638,-3.75711,-4.15597,-4.10641,-3.45738,-3.48405,-3.92311,-3.15764,-3.36761,-3.48405,-3.45738,-3.39051,-3.92311,-4.01664,-3.43448,-3.48405,-3.25118,-3.66734,-3.98998,-3.75711,-3.36761,-4.59881,-3.22451,-3.43448,-3.92311,-4.68857,-3.87354,-3.13475,-3.25118,-3.57381,-5.8702,-3.92311,-3.55091,-3.36761,-3.20161,-6.51923,-6.51923,-7.16827,-3.55091,-4.10641,-6.10307,-3.96708,-4.87187,-3.52424,-3.20161,-7.2618,-7.2618,-3.55091,-3.75711,-3.78378,-4.43281,-4.03954,-3.92311,-4.61611,-3.73421,-3.73421,-3.71691,-3.92311,-4.31638,-3.92311,-5.28804,-3.20161,-3.92311,-3.36761,-3.20161,-3.20161,-3.34094,84.4686,85.5638,107.863,107.616,94.2816,146.864,106.788,106.948,100.428,95.2886,84.7976,99.5171,73.0531,113.044,140.511,94.1892,127.406,123.044,116.32,100.738,81.9875,89.4804,111.278,99.1201,116.635,69.2464,117.349,95.7623,113.815,113.575,109.709,109.508,99.6433,106.198,76.7613,97.0526,113.03,105.933,102.028,150.866,110.243,99.0807,121.997,106.189,111.693,117.88,97.0093,99.2655,68.1417,131.746,107.707,117.048,100.445,87.0963,86.2596,81.0397,95.6171,112.748,111.563,123.939,113.504,110.019,87.7215,86.2842,87.5283,127.418,110.986,83.4355,107.58,117.296,107.079,100.41,98.1327,110.151,121.404,100.088
-262.659,0.770352,0.57865,2,7,0,263.521,104.855,1.52584,11.1999,103.289,106.34,101.763,94.1337,106.34,109.392,115.495,106.34,103.289,101.763,112.444,95.6595,107.866,104.815,113.97,98.7112,97.1854,112.444,113.97,104.815,94.1337,98.7112,109.392,101.763,113.97,110.918,104.815,109.392,112.444,112.444,117.021,107.866,101.763,98.7112,100.237,110.918,109.392,110.918,103.289,107.866,98.7112,103.289,112.444,98.7112,110.918,110.918,113.97,103.289,107.866,104.815,97.1854,109.392,115.495,98.7112,94.1337,94.1337,103.289,112.444,106.34,103.289,97.1854,98.7112,94.1337,94.1337,94.1337,117.021,98.7112,101.763,98.7112,115.495,98.7112,98.7112,112.444,98.7112,98.7112,106.34,-6.08128,-4.32867,-5.94504,-7.04959,-3.43581,-3.16333,-3.59972,-5.22153,-4.29556,-4.15932,-3.78372,-4.38946,-4.19243,-3.57204,-3.46349,-4.11699,-3.36036,-3.32725,-3.46349,-3.57204,-3.63283,-4.11699,-3.94764,-3.26646,-3.46349,-3.19101,-3.53893,-4.05619,-3.78372,-3.32725,-4.62882,-3.29957,-3.26646,-4.11699,-4.87361,-3.91996,-3.16333,-3.19101,-3.70828,-5.97816,-4.11699,-3.40269,-3.32725,-3.22413,-6.59854,-6.59854,-7.21893,-3.40269,-4.19243,-6.25063,-3.75061,-4.94906,-3.51125,-3.22413,-7.04959,-7.04959,-3.40269,-3.78372,-3.67517,-4.29556,-4.25322,-4.11699,-4.371,-3.47814,-3.47814,-3.73596,-4.11699,-4.15932,-4.11699,-5.29697,-3.22413,-4.11699,-3.32725,-3.22413,-3.22413,-3.43581,71.4442,116.764,111.8,113.289,92.3405,115.704,103.824,114.485,100.404,96.0734,127.488,98.7043,113.653,100.165,123.015,94.9775,89.7782,62.2343,109.14,123.992,85.0364,111.736,110.637,118.805,107.52,100.129,100.53,108.155,82.7099,130.977,92.6358,100.225,100.582,100.266,102.013,90.0705,93.4347,119.294,107.388,120.438,90.494,150.366,103.217,119.492,103.17,103.517,137.092,108.344,132.884,107.252,106.58,123.594,119.697,98.9771,95.9315,101.76,110.779,99.8057,61.4812,83.4001,78.5689,61.7893,75.6897,77.2892,97.3598,169.71,94.9825,105.753,96.1876,105.644,98.5784,114.398,79.8324,91.7943,86.5974,133.346
-262.248,1,0.57865,3,7,0,262.81,107.141,1.12239,12.2674,105.989,108.234,104.867,99.2549,108.234,110.479,114.968,108.234,105.989,104.867,112.724,100.377,109.356,107.112,113.846,102.622,101.5,112.724,113.846,107.112,99.2549,102.622,110.479,104.867,113.846,111.601,107.112,110.479,112.724,112.724,116.091,109.356,104.867,102.622,103.744,111.601,110.479,111.601,105.989,109.356,102.622,105.989,112.724,102.622,111.601,111.601,113.846,105.989,109.356,107.112,101.5,110.479,114.968,102.622,99.2549,99.2549,105.989,112.724,108.234,105.989,101.5,102.622,99.2549,99.2549,99.2549,116.091,102.622,104.867,102.622,114.968,102.622,102.622,112.724,102.622,102.622,108.234,-6.13383,-4.15922,-6.04233,-7.2152,-3.34405,-3.23912,-3.6051,-4.97439,-4.50349,-4.41199,-3.79324,-3.9845,-4.06772,-3.43554,-3.51361,-3.80152,-3.32234,-3.42211,-3.51361,-3.43554,-3.26083,-3.80152,-4.05429,-3.59682,-3.51361,-3.33062,-3.77981,-3.97623,-3.79324,-3.42211,-4.51176,-3.25255,-3.59682,-3.80152,-4.52519,-3.88474,-3.23912,-3.33062,-3.52703,-5.69806,-3.80152,-3.68832,-3.42211,-3.41384,-6.33024,-6.33024,-6.96242,-3.68832,-4.06772,-5.88105,-4.13751,-4.7914,-3.61025,-3.41384,-7.2152,-7.2152,-3.68832,-3.79324,-3.87131,-4.50349,-3.89301,-3.80152,-4.76969,-3.95452,-3.95452,-3.69659,-3.80152,-4.41199,-3.80152,-5.24059,-3.41384,-3.80152,-3.42211,-3.41384,-3.41384,-3.34405,108.084,116.077,107.919,70.8162,123.679,93.7824,112.951,110.249,113.646,110.36,126.171,100.33,97.9235,109.994,118.336,101.221,84.3773,152.671,118.173,118.61,77.2738,82.0999,129.739,124.604,97.9069,109.442,107.272,107.205,115.414,108.702,134.751,110.723,116.255,104.473,170.97,101.878,100.24,62.9879,107.862,104.428,95.1644,113.854,108.23,124.844,88.0812,89.0229,96.1464,87.7949,119.434,115.102,94.6888,121.695,104.265,113.709,126.737,97.2571,114.572,147.428,81.3782,113.783,89.9222,101.719,109.967,92.6147,93.9297,119.184,62.6265,90.1305,107.717,104.543,101.249,106.49,110.024,79.0619,93.4179,128.032
