# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-13 19:04:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\hj1sbcs0.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220613210417_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.682118
# Diagonal elements of inverse mass matrix:
# 1.04041, 0.0351117, 0.0151362
-238.462,0.793359,0.682118,3,7,0,238.647,103.739,1.06471,7.57801,103.041,105.171,101.977,96.6531,105.171,107.3,111.559,103.057,103.041,101.977,109.43,97.7178,106.236,104.106,110.494,99.8472,98.7825,109.43,110.494,104.106,96.6531,99.8472,107.3,101.977,110.494,108.365,104.106,105.171,106.26,109.43,112.624,106.236,101.977,99.8472,100.912,108.365,107.3,108.365,103.041,104.024,99.8472,103.041,109.43,99.8472,108.365,108.365,105.881,103.041,106.236,102.257,98.7825,105.171,107.861,99.8472,96.6531,96.6531,103.041,106.26,105.171,103.041,98.7825,99.8472,96.6531,96.6531,96.6531,112.624,99.8472,101.977,99.8472,106.59,99.8472,99.8472,109.43,99.8472,99.8472,105.171,-7.07857,-4.67527,-6.93807,-8.87478,-3.35566,-3.07466,-2.92414,-3.41951,-4.43935,-4.29885,-4.11327,-4.33917,-4.53477,-3.49616,-2.78364,-4.05816,-2.87906,-2.79366,-2.78364,-3.49616,-3.16006,-4.05816,-3.68174,-2.97924,-2.78364,-2.93416,-3.26024,-3.92859,-4.83425,-2.79366,-4.38425,-3.21516,-2.97924,-4.05816,-5.23727,-4.25377,-3.07466,-2.93416,-3.63666,-3.20244,-4.05816,-3.11974,-2.79366,-2.73856,-8.21259,-8.21259,-2.82212,-3.11974,-4.53477,-3.11511,-3.87735,-2.8729,-5.04553,-2.73856,-3.16006,-3.16006,-3.11974,-4.83425,-3.40074,-4.43935,-4.19866,-4.05816,-2.7537,-3.59635,-3.59635,-3.06464,-4.05816,-4.29885,-4.05816,-4.46782,-2.73856,-4.05816,-2.79366,-2.73856,-2.73856,-3.35566,144.909,95.2533,97.2964,103.553,111.572,111.318,115.296,119.081,100.565,97.1077,110.988,93.2186,113.162,97.8523,107.189,76.392,69.4982,85.7718,107.717,108.26,93.6309,95.6267,86.4556,91.6703,119.43,106.773,115.106,99.9396,110.638,112.361,108.521,93.5052,96.5561,98.2996,93.0753,121.361,101.439,118.859,110.073,108.063,98.5432,109.071,108.854,96.7078,99.6116,128.879,109.5,108.499,127.988,102.836,88.4838,122.691,103.689,86.6353,119.772,95.3161,95.5373,106.535,105.247,84.4598,98.8777,100.162,85.2232,96.7146,97.6455,94.6712,111.994,90.2536,101.253,106.389,98.3034,109.734,104.152,105.554,95.5589,109.732
-239.246,0.950502,0.682118,1,1,0,239.394,103.345,1.04841,7.42071,102.658,104.755,101.61,96.368,104.755,106.852,111.046,102.674,102.658,101.61,108.949,97.4164,105.804,103.707,109.997,99.5132,98.4648,108.949,109.997,103.707,96.368,99.5132,106.852,101.61,109.997,107.901,103.707,104.755,105.827,108.949,112.094,105.804,101.61,99.5132,100.562,107.901,106.852,107.901,102.658,103.626,99.5132,102.658,108.949,99.5132,107.901,107.901,105.454,102.658,105.804,101.886,98.4648,104.755,107.404,99.5132,96.368,96.368,102.658,105.827,104.755,102.658,98.4648,99.5132,96.368,96.368,96.368,112.094,99.5132,101.61,99.5132,106.153,99.5132,99.5132,108.949,99.5132,99.5132,104.755,-7.09841,-4.75177,-6.95713,-8.94588,-3.40419,-3.12162,-2.83835,-3.36176,-4.40325,-4.26197,-4.18664,-4.39316,-4.61048,-3.54547,-2.69778,-4.1106,-2.9043,-2.83906,-2.69778,-3.54547,-3.18686,-4.1106,-3.6208,-2.91439,-2.69778,-2.98034,-3.19696,-3.87727,-4.79989,-2.83906,-4.32721,-3.2629,-2.91439,-4.1106,-5.31689,-4.32792,-3.12162,-2.98034,-3.68675,-3.24536,-4.1106,-3.05567,-2.83906,-2.76302,-8.37066,-8.37066,-2.86081,-3.05567,-4.61048,-3.15253,-3.83813,-2.79921,-5.01234,-2.76302,-3.18686,-3.18686,-3.05567,-4.79989,-3.33824,-4.40325,-4.25188,-4.1106,-2.69979,-3.55556,-3.55556,-2.97963,-4.1106,-4.26197,-4.1106,-4.425,-2.76302,-4.1106,-2.83906,-2.76302,-2.76302,-3.40419,98.9578,108.615,103.45,95.0472,117.001,110.759,112.31,88.3742,106.672,112.937,109.47,100.679,118.354,102.977,105.394,89.8169,95.325,98.7034,107.509,102.859,100.978,73.7383,113.326,105.271,109.265,123.213,101.164,116.153,123.064,112.509,98.7106,110.849,107.414,99.5775,97.0773,112.323,104.897,103.552,99.8596,94.5612,98.6016,108.24,115.607,101.004,115.14,99.3873,102.242,90.1305,113.045,95.9459,95.4551,107.448,106.648,99.71,99.7627,105.696,92.6519,117.665,114.332,107.253,123.161,114.86,91.4621,91.4152,104.811,112.025,98.0993,110.259,100.613,115.786,95.6817,95.9249,101.808,96.092,112.117,97.4962
-241.352,0.955347,0.682118,2,3,0,242,103.491,0.910309,6.51263,102.895,104.716,101.985,97.4333,104.716,106.536,110.178,102.909,102.895,101.985,108.357,98.3436,105.626,103.805,109.267,100.164,99.2539,108.357,109.267,103.805,97.4333,100.164,106.536,101.985,109.267,107.447,103.805,104.716,105.647,108.357,111.088,105.626,101.985,100.164,101.075,107.447,106.536,107.447,102.895,103.735,100.164,102.895,108.357,100.164,107.447,107.447,105.323,102.895,105.626,102.224,99.2539,104.716,107.016,100.164,97.4333,97.4333,102.895,105.647,104.716,102.895,99.2539,100.164,97.4333,97.4333,97.4333,111.088,100.164,101.985,100.164,105.93,100.164,100.164,108.357,100.164,100.164,104.716,-7.61787,-4.91375,-7.47809,-9.85017,-3.37827,-3.09872,-2.59417,-3.35989,-4.54691,-4.40714,-4.35464,-4.3567,-4.77397,-3.51805,-2.67939,-4.07715,-2.68145,-2.81917,-2.67939,-3.51805,-2.961,-4.07715,-3.57054,-2.87166,-2.67939,-2.95894,-3.15121,-3.90518,-4.93476,-2.81917,-4.26942,-3.2385,-2.87166,-4.07715,-5.47285,-4.49442,-3.09872,-2.95894,-3.65782,-3.17446,-4.07715,-3.01144,-2.81917,-2.59211,-9.10085,-9.10085,-2.77326,-3.01144,-4.77397,-3.03348,-3.98781,-2.6768,-5.14495,-2.59211,-2.961,-2.961,-3.01144,-4.93476,-3.29099,-4.54691,-4.21693,-4.07715,-2.72777,-3.70826,-3.70826,-2.73394,-4.07715,-4.40714,-4.07715,-4.50101,-2.59211,-4.07715,-2.81917,-2.59211,-2.59211,-3.37827,63.5158,118.116,99.469,93.1046,105.571,96.4781,113.01,111.106,126.441,91.8361,109.414,97.3895,95.1759,104.286,105.624,91.4183,97.6419,110.743,125.329,104.854,96.1898,97.9153,97.3385,99.3182,108.135,108.635,106.799,91.1078,105.188,109.202,97.282,144.647,98.926,109.092,103.626,94.5365,105.379,108.371,103.552,109.058,103.898,97.5681,110.075,99.3282,130.833,105.11,104.779,97.6858,107.386,104.035,80.9944,106.862,100.293,98.2655,94.266,70.7122,91.3456,110.117,97.6436,112.778,114.956,101.222,93.1565,92.43,102.379,123.583,98.7715,98.7904,95.8806,106.317,94.6259,95.1078,113.791,94.0458,114.9,106.006
-239.433,0.744834,0.682118,2,3,0,242.066,104.74,0.854396,6.82984,104.18,105.889,103.326,99.0539,105.889,107.598,111.015,104.193,104.18,103.326,109.307,99.9083,106.743,105.035,110.161,101.617,100.763,109.307,110.161,105.035,99.0539,101.617,107.598,103.326,110.161,108.452,105.035,105.889,106.763,109.307,111.87,106.743,103.326,101.617,102.472,108.452,107.598,108.452,104.18,104.969,101.617,104.18,109.307,101.617,108.452,108.452,106.459,104.18,106.743,103.551,100.763,105.889,108.048,101.617,99.0539,99.0539,104.18,106.763,105.889,104.18,100.763,101.617,99.0539,99.0539,99.0539,111.87,101.617,103.326,101.617,107.028,101.617,101.617,109.307,101.617,101.617,105.889,-7.619,-4.68052,-7.4939,-9.79674,-3.21635,-2.96616,-2.76313,-3.55866,-4.69068,-4.56558,-4.18013,-4.09203,-4.55542,-3.34145,-2.63803,-3.84184,-2.72612,-2.71596,-2.63803,-3.34145,-2.75297,-3.84184,-3.7269,-3.10142,-2.63803,-2.84106,-3.35161,-4.06237,-5.03576,-2.71596,-4.35239,-3.09126,-3.10142,-3.84184,-5.18091,-4.30522,-2.96616,-2.84106,-3.46655,-3.01319,-3.84184,-3.22651,-2.71596,-2.85122,-8.69771,-8.69771,-2.6449,-3.22651,-4.55542,-2.86517,-4.19029,-2.89104,-5.22388,-2.85122,-2.75297,-2.75297,-3.22651,-5.03576,-3.47671,-4.69068,-3.96694,-3.84184,-3.00514,-3.94009,-3.94009,-2.88823,-3.84184,-4.56558,-3.84184,-4.61961,-2.85122,-3.84184,-2.71596,-2.85122,-2.85122,-3.21635,105.646,116.27,90.9843,90.1669,105.958,107.145,106.49,107.648,78.4409,91.1606,110.088,101.125,114.636,109.423,109.219,101.751,80.5159,108.739,99.85,103.367,99.052,92.4275,96.1853,110.753,111.378,113.984,104.085,111.886,101.883,104.611,95.2664,121.573,93.2833,108.64,112.154,109.119,96.5964,112.147,118.252,104.595,111.865,116.773,106.818,94.9244,108.112,112.391,126.399,94.0676,86.4971,109.737,111.904,102.468,105.291,101.72,102.134,89.2399,81.1571,110.474,89.6173,99.8842,99.0534,119.433,100.719,104.663,88.8289,112.019,84.9236,102.932,93.7075,115.451,87.5455,109.38,103.493,130.21,101.773,99.2739
-238.402,0.822579,0.682118,2,3,0,240.179,105.538,0.881353,9.76293,104.961,106.724,104.08,99.6731,106.724,108.487,112.012,104.974,104.961,104.08,110.249,100.554,107.605,105.843,111.131,102.317,101.436,110.249,111.131,105.843,99.6731,102.317,108.487,104.08,111.131,109.368,105.843,106.724,107.625,110.249,112.893,107.605,104.08,102.317,103.199,109.368,108.487,109.368,104.961,105.775,102.317,104.961,110.249,102.317,109.368,109.368,107.312,104.961,107.605,104.312,101.436,106.724,108.951,102.317,99.6731,99.6731,104.961,107.625,106.724,104.961,101.436,102.317,99.6731,99.6731,99.6731,112.893,102.317,104.08,102.317,107.899,102.317,102.317,110.249,102.317,102.317,106.724,-6.55276,-4.33158,-6.46248,-8.05967,-3.3073,-3.12675,-3.17783,-3.71231,-4.50419,-4.41392,-3.97048,-3.93923,-4.24131,-3.39758,-3.08756,-3.75868,-3.11881,-2.99728,-3.08756,-3.39758,-3.00522,-3.75868,-3.84101,-3.38964,-3.08756,-3.03647,-3.57019,-4.07017,-4.75395,-2.99728,-4.29239,-3.21703,-3.38964,-3.75868,-4.69268,-4.06076,-3.12675,-3.03647,-3.48785,-3.16815,-3.75868,-3.47991,-2.99728,-3.20908,-7.1336,-7.1336,-3.03779,-3.47991,-4.24131,-3.06918,-4.14309,-3.25075,-4.8897,-3.20908,-3.00522,-3.00522,-3.47991,-4.75395,-3.66046,-4.50419,-3.84895,-3.75868,-3.30848,-3.96254,-3.96254,-3.26811,-3.75868,-4.41392,-3.75868,-4.46368,-3.20908,-3.75868,-2.99728,-3.20908,-3.20908,-3.3073,102.653,111.639,111.94,89.8427,111.861,126.683,112.067,126.356,164.953,100.509,116.898,109.325,94.0173,92.4064,102.061,96.4876,111.787,96.446,128.879,95.9767,127.409,106.389,100.466,94.4649,114.971,96.0384,105.451,112.134,93.2101,153.965,115.524,138.634,104.007,82.3004,97.529,117.441,89.7044,110.071,94.3204,103.069,104.507,104.8,105.998,96.673,126.907,95.8462,104.072,103.667,102.006,108.338,131.287,107.766,105.156,80.4741,98.2383,86.0097,101.063,107.879,118.917,82.7509,102.973,105.812,77.7924,108.596,98.6066,133.967,127.576,104.188,133.713,93.5938,98.8756,98.7314,106.59,108.171,106.235,118.372
-239.199,0.53038,0.682118,3,7,0,241.161,104.257,0.994923,10.6004,103.606,105.596,102.611,97.6361,105.596,107.585,111.565,103.621,103.606,102.611,109.575,98.6311,106.59,104.601,110.57,100.621,99.626,109.575,110.57,104.601,97.6361,100.621,107.585,102.611,110.57,108.58,104.601,105.596,106.613,109.575,112.56,106.59,102.611,100.621,101.616,108.58,107.585,108.58,103.606,104.524,100.621,103.606,109.575,100.621,108.58,108.58,106.259,103.606,106.59,102.873,99.626,105.596,108.109,100.621,97.6361,97.6361,103.606,106.613,105.596,103.606,99.626,100.621,97.6361,97.6361,97.6361,112.56,100.621,102.611,100.621,106.922,100.621,100.621,109.575,100.621,100.621,105.596,-6.22427,-4.4129,-6.13041,-7.54784,-3.46954,-3.28183,-3.20168,-3.60838,-4.33755,-4.24369,-4.03747,-4.12654,-4.31904,-3.5634,-3.10782,-3.93883,-3.08932,-3.09411,-3.10782,-3.5634,-3.27704,-3.93883,-3.76961,-3.30033,-3.10782,-3.18797,-3.48804,-3.95924,-4.59996,-3.09411,-4.2389,-3.37568,-3.30033,-3.93883,-4.78833,-4.13133,-3.28183,-3.18797,-3.65725,-3.35292,-3.93883,-3.39418,-3.09411,-3.11261,-6.96141,-6.96141,-3.09251,-3.39418,-4.31904,-3.27956,-3.96212,-3.20455,-4.74109,-3.11261,-3.27704,-3.27704,-3.39418,-4.59996,-3.5819,-4.33755,-4.03268,-3.93883,-3.17202,-3.7744,-3.7744,-3.29554,-3.93883,-4.24369,-3.93883,-4.33595,-3.11261,-3.93883,-3.09411,-3.11261,-3.11261,-3.46954,79.8769,134.47,104.977,104.221,98.2584,93.3228,124.979,87.4803,95.5661,103.262,104.962,95.002,105.39,108.427,112.576,101.829,108.675,116.594,67.681,130.621,77.037,96.802,100.725,101.019,116.772,86.7252,105.112,111.067,79.8771,112.79,145.679,104.878,74.0534,72.772,98.6555,102.383,121.858,102.386,140.342,108.877,82.6229,106.51,99.9335,103.649,88.5914,106.635,108.021,115.288,109.048,107.998,97.1681,114.134,115.497,115.891,89.1603,109.109,82.7952,112.775,108.48,109.44,102.381,118.942,104.885,103.287,97.9019,112.451,102.029,89.5,102.368,118.67,106.981,72.5344,117.536,98.6323,114.127,113.751
