# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-13 19:04:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\hj1sbcs0.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220613210417_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.534197
# Diagonal elements of inverse mass matrix:
# 1.24288, 0.042539, 0.0141032
-239.006,0.754331,0.534197,3,7,0,240.175,104.559,1.22798,9.35026,103.754,106.21,102.526,96.3866,106.21,108.666,113.578,103.773,103.754,102.526,111.122,97.6146,107.438,104.982,112.35,100.071,98.8426,111.122,112.35,104.982,96.3866,100.071,108.666,102.526,112.35,109.894,104.982,106.21,107.466,111.122,114.806,107.438,102.526,100.071,101.299,109.894,108.666,109.894,103.754,104.888,100.071,103.754,111.122,100.071,109.894,109.894,107.029,103.754,107.438,102.85,98.8426,106.21,109.313,100.071,96.3866,96.3866,103.754,107.466,106.21,103.754,98.8426,100.071,96.3866,96.3866,96.3866,114.806,100.071,102.526,100.071,107.848,100.071,100.071,111.122,100.071,100.071,106.21,-6.53855,-4.40333,-6.40722,-7.88955,-3.33384,-3.07118,-3.31124,-3.5733,-4.39958,-4.26824,-3.87801,-4.25316,-4.272,-3.46517,-3.17991,-3.9905,-3.05234,-3.04858,-3.17991,-3.46517,-3.315,-3.9905,-3.85541,-3.19876,-3.17991,-2.93985,-3.46142,-4.02054,-4.77241,-3.04858,-4.51206,-3.20251,-3.19876,-3.9905,-4.92866,-4.00934,-3.07118,-2.93985,-3.59651,-3.22847,-3.9905,-3.33009,-3.04858,-2.93609,-7.21781,-7.21781,-2.96731,-3.33009,-4.272,-3.18667,-3.87425,-3.16495,-4.9699,-2.93609,-3.315,-3.315,-3.33009,-4.77241,-3.59275,-4.39958,-4.12183,-3.9905,-2.92867,-3.61159,-3.61159,-3.44257,-3.9905,-4.26824,-3.9905,-4.48085,-2.93609,-3.9905,-3.04858,-2.93609,-2.93609,-3.33384,102.44,95.9906,92.465,91.4789,112.568,93.1839,127.429,98.3356,104.989,103.454,120.996,93.7842,110.905,118.074,102.927,97.4665,89.7453,110.806,109.258,106.716,109.216,103.211,116.967,107.202,75.9491,114.711,115.65,117.669,105.715,115.465,119.879,89.4032,111.395,87.1546,96.261,130.241,126.114,98.6957,86.5095,96.1168,109.319,103.106,112.535,99.1661,111.671,103.807,60.1033,100.319,108.523,95.5108,98.4186,113.661,115.585,128.183,104.022,96.1457,103.533,125.687,107.241,91.6189,128.094,102.241,98.2244,93.9147,122.673,114.69,96.5659,113.021,96.471,107.092,118.939,91.1229,100.288,130.78,86.5013,105.813
-238.205,0.892325,0.534197,2,7,0,239.509,104.445,1.15356,8.70379,103.689,105.996,102.536,96.7678,105.996,108.303,112.918,103.707,103.689,102.536,110.611,97.9214,107.15,104.843,111.764,100.229,99.075,110.611,111.764,104.843,96.7678,100.229,108.303,102.536,111.764,109.457,104.843,105.996,107.176,110.611,114.071,107.15,102.536,100.229,101.382,109.457,108.303,109.457,103.689,104.754,100.229,103.689,110.611,100.229,109.457,109.457,106.765,103.689,107.15,102.839,99.075,105.996,108.911,100.229,96.7678,96.7678,103.689,107.176,105.996,103.689,99.075,100.229,96.7678,96.7678,96.7678,114.071,100.229,102.536,100.229,107.534,100.229,100.229,110.611,100.229,100.229,105.996,-6.72754,-4.46583,-6.595,-8.23018,-3.3169,-3.05183,-3.19212,-3.54191,-4.42969,-4.29715,-3.93568,-4.24465,-4.33329,-3.44944,-3.05959,-3.97958,-2.96319,-2.92705,-3.05959,-3.44944,-3.22826,-3.97958,-3.81091,-3.14823,-3.05959,-2.9193,-3.4133,-4.00541,-4.80437,-2.92705,-4.47358,-3.18437,-3.14823,-3.97958,-4.99597,-4.06822,-3.05183,-2.9193,-3.58197,-3.19449,-3.97958,-3.28077,-2.92705,-2.88316,-7.51499,-7.51499,-2.86824,-3.28077,-4.33329,-3.1354,-3.89955,-3.08627,-5.00367,-2.88316,-3.22826,-3.22826,-3.28077,-4.80437,-3.54584,-4.42969,-4.11211,-3.97958,-2.90083,-3.63448,-3.63448,-3.32466,-3.97958,-4.29715,-3.97958,-4.4885,-2.88316,-3.97958,-2.92705,-2.88316,-2.88316,-3.3169,145.611,105.72,100.373,94.163,105.479,117.417,124.798,132.071,97.6633,119.193,121.626,99.3119,101.438,100.061,120.572,93.6896,85.7925,95.187,103.397,106.115,92.5806,100.835,103.857,105.285,110.501,105.655,98.8811,113.712,119.17,99.9789,111.153,110.352,107.45,96.4863,97.109,103.071,103.447,99.3542,108.022,120.644,97.1764,106.892,109.899,86.185,101.684,104.165,110.708,103.067,111.604,97.8124,106.683,101.376,115.249,93.4733,91.3806,96.6702,128.356,112.457,104.81,116.745,100.138,102.772,93.5997,111.751,100.798,116.283,106.662,105.605,115.984,109.204,108.52,97.4692,103.721,112.154,107.891,105.629
-237.667,1,0.534197,3,7,0,238.887,105.416,0.876517,8.23524,104.842,106.595,103.966,99.583,106.595,108.348,111.854,104.855,104.842,103.966,110.101,100.46,107.472,105.719,110.978,102.213,101.336,110.101,110.978,105.719,99.583,102.213,108.348,103.966,110.978,109.225,105.719,106.595,107.491,110.101,112.731,107.472,103.966,102.213,103.089,109.225,108.348,109.225,104.842,105.651,102.213,104.842,110.101,102.213,109.225,109.225,107.179,104.842,107.472,104.196,101.336,106.595,108.809,102.213,99.583,99.583,104.842,107.491,106.595,104.842,101.336,102.213,99.583,99.583,99.583,112.731,102.213,103.966,102.213,107.764,102.213,102.213,110.101,102.213,102.213,106.595,-7.03242,-4.42932,-6.92599,-8.8224,-3.21502,-3.00215,-3.02673,-3.66504,-4.60383,-4.4974,-4.00358,-3.96007,-4.32288,-3.32146,-2.92029,-3.7472,-2.9638,-2.81386,-2.92029,-3.32146,-2.85221,-3.7472,-3.81528,-3.28311,-2.92029,-2.89572,-3.49598,-4.08813,-4.89815,-2.81386,-4.34745,-3.10859,-3.28311,-3.7472,-4.85505,-4.11001,-3.00215,-2.89572,-3.42789,-3.04942,-3.7472,-3.38954,-2.81386,-3.07024,-7.75289,-7.75289,-2.86384,-3.38954,-4.32288,-2.93113,-4.1781,-3.11669,-5.0582,-3.07024,-2.85221,-2.85221,-3.38954,-4.89815,-3.60241,-4.60383,-3.85363,-3.7472,-3.18983,-3.96523,-3.96523,-3.13316,-3.7472,-4.4974,-3.7472,-4.55385,-3.07024,-3.7472,-2.81386,-3.07024,-3.07024,-3.21502,113.159,97.361,100.495,74.8022,99.1158,112.235,120.114,122.306,108.574,103.804,123.072,97.5646,113.441,98.0809,105.386,98.6888,102.018,111.048,104.963,101.599,95.0074,88.7766,112.099,112.006,108.667,117.761,90.9367,105.047,102.001,107.693,114.985,109.266,114.322,104.701,101.581,103.34,108.607,105.617,128.122,87.0786,100.313,105.705,108.246,112.059,115.808,98.1608,105.903,105.264,112.065,102.616,109.948,106.172,101.956,86.1442,109.604,114.475,93.6105,119.918,109.482,101.263,122.885,102.628,101.081,99.7326,96.0297,125.754,113.252,107.809,100.486,116.477,96.1951,89.6069,99.0355,104.695,97.7905,102.725
-240.172,0.638233,0.534197,2,3,0,240.663,105.836,0.601476,7.39416,105.442,106.645,104.841,101.833,106.645,107.848,110.254,105.451,105.442,104.841,109.051,102.435,107.247,106.044,109.652,103.638,103.036,109.051,109.652,106.044,101.833,103.638,107.848,104.841,109.652,108.45,106.044,106.645,107.26,109.051,110.855,107.247,104.841,103.638,104.239,108.45,107.848,108.45,105.442,105.997,103.638,105.442,109.051,103.638,108.45,108.45,107.046,105.442,107.247,104.999,103.036,106.645,108.165,103.638,101.833,101.833,105.442,107.26,106.645,105.442,103.036,103.638,101.833,101.833,101.833,110.855,103.638,104.841,103.638,107.447,103.638,103.638,109.051,103.638,103.638,106.645,-7.4871,-4.49998,-7.40576,-9.70387,-3.14756,-2.98487,-2.72818,-3.73613,-4.78226,-4.70092,-4.1746,-3.71697,-4.41863,-3.2289,-2.74084,-3.55428,-3.10447,-2.82218,-2.74084,-3.2289,-2.94178,-3.55428,-3.75522,-3.3485,-2.74084,-2.90352,-3.51119,-4.1335,-4.99763,-2.82218,-4.16195,-3.06621,-3.3485,-3.55428,-4.82536,-4.25594,-2.98487,-2.90352,-3.31025,-2.92306,-3.55428,-3.42985,-2.82218,-3.18581,-8.3132,-8.3132,-2.74515,-3.42985,-4.41863,-2.72957,-4.45689,-3.05157,-5.11995,-3.18581,-2.94178,-2.94178,-3.42985,-4.99763,-3.59253,-4.78226,-3.63563,-3.55428,-3.4306,-4.2942,-4.2942,-2.80953,-3.55428,-4.70092,-3.55428,-4.60261,-3.18581,-3.55428,-2.82218,-3.18581,-3.18581,-3.14756,102.764,107.699,92.9127,105.663,104.584,103.585,106.481,112.831,100.94,123.835,115.907,102.478,95.1189,109.934,92.5294,99.5815,85.8395,116.234,107.305,103.766,100.207,115.221,103.156,112.675,107.092,144.772,97.7387,116.977,111.608,102.268,125.899,111.773,105.27,101.361,99.6153,112.78,104.32,107.076,99.8711,103.62,99.567,81.8883,110.955,108.829,106.014,127.333,111.158,113.098,107.441,102.587,105.438,104.503,105.667,79.5577,114.138,98.4563,105.546,114.808,110.315,106.422,92.8887,105.5,100.504,77.5976,104.042,112.772,111.692,106.036,101.629,106.28,108.117,95.2804,106.726,100.822,103.128,104.216
-238.944,0.750295,0.534197,3,7,0,241.294,106.162,0.941113,8.94573,105.546,107.428,104.605,99.8992,107.428,109.31,113.075,105.56,105.546,104.605,111.193,100.84,108.369,106.487,112.134,102.723,101.781,111.193,112.134,106.487,99.8992,102.723,109.31,104.605,112.134,110.251,106.487,107.428,108.39,111.193,114.016,108.369,104.605,102.723,103.664,110.251,109.31,110.251,105.546,106.415,102.723,105.546,111.193,102.723,110.251,110.251,108.056,105.546,108.369,104.852,101.781,107.428,109.806,102.723,99.8992,99.8992,105.546,108.39,107.428,105.546,101.781,102.723,99.8992,99.8992,99.8992,114.016,102.723,104.605,102.723,108.683,102.723,102.723,111.193,102.723,102.723,107.428,-6.85782,-4.28968,-6.75262,-8.46231,-3.17182,-2.96142,-3.22804,-3.758,-4.62212,-4.51692,-3.86887,-3.90824,-4.18447,-3.27703,-3.12284,-3.69784,-3.08346,-3.01763,-3.12284,-3.27703,-2.89559,-3.69784,-3.92508,-3.39907,-3.12284,-2.91243,-3.60947,-4.16181,-4.91489,-3.01763,-4.45109,-3.06662,-3.39907,-3.69784,-4.71049,-3.97407,-2.96142,-2.91243,-3.38223,-3.02715,-3.69784,-3.50427,-3.01763,-3.18866,-7.32762,-7.32762,-3.03958,-3.50427,-4.18447,-2.93024,-4.20131,-3.26753,-5.07309,-3.18866,-2.89559,-2.89559,-3.50427,-4.91489,-3.71467,-4.62212,-3.80304,-3.69784,-3.2771,-3.99091,-3.99091,-3.33324,-3.69784,-4.51692,-3.69784,-4.60018,-3.18866,-3.69784,-3.01763,-3.18866,-3.18866,-3.17182,85.6691,113.871,122.952,100.226,113.095,105.837,114.051,90.0751,106.14,110.029,114.269,78.4642,108.013,114.3,118.185,90.0331,97.1011,110.059,116.98,110.883,114.552,89.309,96.5016,101.191,120.501,144.452,106.486,103.634,114.375,100.593,97.9206,91.0548,108.008,111.138,93.2269,139.215,102.49,109.807,102.041,99.897,80.6374,106.531,82.9666,108.129,131.078,104.95,130.001,113.634,110.112,100.55,89.9783,98.4115,110.695,99.2277,101.889,66.587,114.349,97.0387,108.236,106.164,96.2249,103.256,96.8172,104.071,79.8067,102.641,104.994,100.235,100.48,141.846,110.086,98.1551,118.455,106.887,102.897,112.484
-240.898,0.814704,0.534197,2,7,0,241.316,106.401,1.06683,10.146,105.702,107.836,104.636,99.3015,107.836,109.97,114.237,105.719,105.702,104.636,112.103,100.368,108.903,106.769,113.17,102.502,101.435,112.103,113.17,106.769,99.3015,102.502,109.97,104.636,113.17,111.037,106.769,107.836,108.927,112.103,115.304,108.903,104.636,102.502,103.569,111.037,109.97,111.037,105.702,106.687,102.502,105.702,112.103,102.502,111.037,111.037,108.547,105.702,108.903,104.916,101.435,107.836,110.531,102.502,99.3015,99.3015,105.702,108.927,107.836,105.702,101.435,102.502,99.3015,99.3015,99.3015,115.304,102.502,104.636,102.502,109.259,102.502,102.502,112.103,102.502,102.502,107.836,-6.52909,-4.20911,-6.42395,-7.86942,-3.2235,-3.0132,-3.42784,-3.79617,-4.55788,-4.45273,-3.78852,-3.95954,-4.10396,-3.32865,-3.3227,-3.74924,-3.15168,-3.21755,-3.3227,-3.32865,-3.07908,-3.74924,-3.99286,-3.46712,-3.3227,-3.1124,-3.67742,-4.17681,-4.85346,-3.21755,-4.5186,-3.11835,-3.46712,-3.74924,-4.6297,-3.89367,-3.0132,-3.1124,-3.4338,-3.10929,-3.74924,-3.57227,-3.21755,-3.25682,-6.85049,-6.85049,-3.19559,-3.57227,-4.10396,-3.04441,-4.13729,-3.38832,-5.01158,-3.25682,-3.07908,-3.07908,-3.57227,-4.85346,-3.78256,-4.55788,-3.85439,-3.74924,-3.29762,-3.92699,-3.92699,-3.53299,-3.74924,-4.45273,-3.74924,-4.57983,-3.25682,-3.74924,-3.21755,-3.25682,-3.25682,-3.2235,115.246,116.853,86.6378,105.27,109.504,115.49,113.791,92.602,113.971,122.974,105.462,79.0366,105.988,110.846,124.962,100.909,92.8342,121.352,111.478,101.07,94.4273,96.6931,125.172,97.3593,111.715,104.937,110.229,120.739,79.1656,87.5587,116.376,117.547,110.55,73.6541,113.011,120.129,127.323,98.3541,111.421,96.1142,109.88,103.089,106.949,116.13,113.795,116.279,104.336,113.897,105.521,98.2062,55.9504,103.461,127.904,94.2607,111.101,100.429,121.141,103.084,98.0624,101.821,100.315,75.5661,116.09,77.2106,92.3791,114.234,103.911,106.244,83.6163,94.8028,110.09,106.216,123.492,95.058,145.149,99.4772
