# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-13 19:34:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbw1k1b7l\rfyt3oze.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220613213452_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.651444
# Diagonal elements of inverse mass matrix:
# 0.982721, 0.0379746, 0.0126823
-239.824,0.881052,0.651444,3,7,0,242.336,102.92,0.769389,8.52518,102.417,103.955,101.647,97.8003,103.955,105.494,108.572,102.428,102.417,101.647,107.033,98.5697,104.725,103.186,107.802,100.108,99.3391,107.033,107.802,103.186,97.8003,100.108,105.494,101.647,107.802,106.264,103.186,103.955,104.742,107.033,109.341,104.725,101.647,100.108,100.878,106.264,105.494,106.264,102.417,103.127,100.108,102.417,107.033,100.108,106.264,106.264,104.468,102.417,104.725,101.85,99.3391,103.955,105.899,100.108,97.8003,97.8003,102.417,104.742,103.955,102.417,99.3391,100.108,97.8003,97.8003,97.8003,109.341,100.108,101.647,100.108,104.981,100.108,100.108,107.033,100.108,100.108,103.955,-6.63863,-4.7182,-6.54838,-8.44312,-3.5452,-3.3647,-3.00371,-3.38558,-4.29264,-4.20239,-4.3572,-4.17694,-4.62795,-3.63545,-3.09395,-3.99645,-2.9137,-3.1842,-3.09395,-3.63545,-3.0942,-3.99645,-3.48064,-3.02939,-3.09395,-3.27445,-3.20989,-3.76934,-4.53896,-3.1842,-3.93188,-3.45495,-3.02939,-3.99645,-5.07919,-4.44745,-3.3647,-3.27445,-3.7257,-3.3717,-3.99645,-3.11964,-3.1842,-2.84889,-7.96643,-7.96643,-3.09404,-3.11964,-4.62795,-3.23657,-3.93164,-2.8414,-4.67467,-2.84889,-3.0942,-3.0942,-3.11964,-4.53896,-3.30014,-4.29264,-4.08669,-3.99645,-3.00212,-3.75114,-3.75114,-2.91346,-3.99645,-4.20239,-3.99645,-4.20247,-2.84889,-3.99645,-3.1842,-2.84889,-2.84889,-3.5452,106.945,102.537,127.682,77.3001,96.4569,97.607,111.162,102.474,100.146,104.3,105.739,95.4706,105.044,93.2718,108.185,102.511,99.0027,104.133,106.123,109.84,96.4105,100.468,116.735,97.1742,96.1821,103.217,105.292,109.064,96.1413,106.655,118.956,107.53,106.797,87.8033,88.7843,102.057,105.034,96.6977,106.127,111.224,107.705,115.562,104.246,97.6662,80.2822,107.184,103.551,101.145,108.727,115.037,87.9795,105.115,98.6872,93.7499,90.6708,103.66,89.4336,100.075,102.046,100.133,95.0519,98.6129,106.805,97.3827,107.801,112.773,116.633,101.269,68.7981,123.715,92.5324,87.6654,91.6897,111.682,98.3938,111.739
-239.471,0.781642,0.651444,2,7,0,240.336,103.473,0.72191,8.24518,103,104.444,102.278,98.6687,104.444,105.888,108.775,103.011,103,102.278,107.332,99.3906,105.166,103.722,108.054,100.834,100.113,107.332,108.054,103.722,98.6687,100.834,105.888,102.278,108.054,106.61,103.722,104.444,105.182,107.332,109.497,105.166,102.278,100.834,101.556,106.61,105.888,106.61,103,103.667,100.834,103,107.332,100.834,106.61,106.61,104.925,103,105.166,102.468,100.113,104.444,106.268,100.834,98.6687,98.6687,103,105.182,104.444,103,100.113,100.834,98.6687,98.6687,98.6687,109.497,100.834,102.278,100.834,105.407,100.834,100.834,107.332,100.834,100.834,104.444,-6.80514,-4.68945,-6.71758,-8.70546,-3.47662,-3.30151,-2.95129,-3.44154,-4.37948,-4.29192,-4.33923,-4.08951,-4.6019,-3.56418,-3.03885,-3.9144,-2.81643,-3.1264,-3.03885,-3.56418,-2.96424,-3.9144,-3.51687,-3.07909,-3.03885,-3.21396,-3.2542,-3.82689,-4.61676,-3.1264,-3.95465,-3.38907,-3.07909,-3.9144,-5.03967,-4.42679,-3.30151,-3.21396,-3.65173,-3.29103,-3.9144,-3.16665,-3.1264,-2.90398,-8.06527,-8.06527,-3.01398,-3.16665,-4.6019,-3.14175,-4.02926,-2.85663,-4.74842,-2.90398,-2.96424,-2.96424,-3.16665,-4.61676,-3.34176,-4.37948,-4.00195,-3.9144,-3.07969,-3.85415,-3.85415,-2.86373,-3.9144,-4.29192,-3.9144,-4.26705,-2.90398,-3.9144,-3.1264,-2.90398,-2.90398,-3.47662,105.469,104.764,94.7109,94.8554,98.1724,107.536,90.2794,92.3687,132.052,101.828,100.116,99.4796,105.273,95.6462,115.123,101.706,98.8164,88.9016,79.599,102.562,95.0005,105.64,94.3831,115.445,121.274,104.311,111.922,105.614,108.358,104.372,116.962,109.418,103.884,69.7167,103.458,117.464,91.6541,94.9904,114.974,85.3464,129.686,114.58,100.385,102.486,112.858,132.578,104.002,88.6325,96.8971,121.037,96.2026,91.3687,113.989,97.8522,123.059,99.1834,91.3201,89.0659,115.962,79.7534,119.785,121.62,97.0211,89.3512,103.771,112.823,101.503,104.437,108.204,106.594,112.413,101.633,103.334,102.377,110.053,94.4543
-238.072,1,0.651444,2,3,0,239.63,104.499,0.759648,8.71589,104.001,105.521,103.242,99.4434,105.521,107.04,110.078,104.013,104.001,103.242,108.559,100.203,106.28,104.761,109.319,101.722,100.963,108.559,109.319,104.761,99.4434,101.722,107.04,103.242,109.319,107.799,104.761,105.521,106.297,108.559,110.838,106.28,103.242,101.722,102.482,107.799,107.04,107.799,104.001,104.702,101.722,104.001,108.559,101.722,107.799,107.799,106.027,104.001,106.28,103.442,100.963,105.521,107.44,101.722,99.4434,99.4434,104.001,106.297,105.521,104.001,100.963,101.722,99.4434,99.4434,99.4434,110.838,101.722,103.242,101.722,106.533,101.722,101.722,108.559,101.722,101.722,105.521,-6.75936,-4.51957,-6.6722,-8.53108,-3.37224,-3.19792,-2.86729,-3.57748,-4.4647,-4.37754,-4.17094,-3.98233,-4.43241,-3.45939,-2.93645,-3.80802,-2.96874,-3.02361,-2.93645,-3.45939,-2.92216,-3.80802,-3.666,-3.23021,-2.93645,-3.11077,-3.40453,-3.95062,-4.70226,-3.02361,-4.10178,-3.28508,-3.23021,-3.80802,-4.86819,-4.2581,-3.19792,-3.11077,-3.54655,-3.20133,-3.80802,-3.31737,-3.02361,-3.0559,-7.70008,-7.70008,-2.93169,-3.31737,-4.43241,-3.0673,-4.11607,-3.03275,-4.83332,-3.0559,-2.92216,-2.92216,-3.31737,-4.70226,-3.49168,-4.4647,-3.89518,-3.80802,-3.20913,-3.94176,-3.94176,-2.95445,-3.80802,-4.37754,-3.80802,-4.37278,-3.0559,-3.80802,-3.02361,-3.0559,-3.0559,-3.37224,92.3306,99.1148,103.761,75.7536,97.2288,96.9384,85.8228,103.184,61.7154,105.905,108.766,101.995,103.022,92.5548,96.4642,98.3247,106.259,117.194,119.472,98.1661,100.496,63.1747,99.7346,85.4808,97.6288,110.514,91.3043,94.2812,113.903,110.326,114.902,93.0435,109.148,92.3718,106.227,122.607,104.868,108.233,97.4621,102.999,103.635,109.126,108.061,115.488,112.159,107.263,108.708,111.253,67.6751,104.643,107.365,97.8063,114.92,120.507,87.3686,98.1244,132.483,91.5205,117.818,105.267,95.6415,102.019,102.969,102.749,85.3767,94.6569,92.4569,133.755,97.7833,116.693,104.581,102.51,107.252,159.211,116.243,118.476
-240.846,0.567643,0.651444,2,3,0,241.137,103.738,0.525694,9.23953,103.394,104.445,102.868,100.239,104.445,105.496,107.599,103.402,103.394,102.868,106.548,100.765,104.971,103.919,107.073,101.817,101.291,106.548,107.073,103.919,100.239,101.817,105.496,102.868,107.073,106.022,103.919,104.445,104.983,106.548,108.125,104.971,102.868,101.817,102.342,106.022,105.496,106.022,103.394,103.879,101.817,103.394,106.548,101.817,106.022,106.022,104.795,103.394,104.971,103.006,101.291,104.445,105.773,101.817,100.239,100.239,103.394,104.983,104.445,103.394,101.291,101.817,100.239,100.239,100.239,108.125,101.817,102.868,101.817,105.146,101.817,101.817,106.548,101.817,101.817,104.445,-6.53085,-4.60017,-6.47395,-8.35408,-3.51786,-3.40407,-3.17648,-3.52892,-4.36624,-4.30934,-4.37258,-3.91613,-4.54327,-3.57476,-3.23338,-3.80234,-3.05635,-3.29027,-3.23338,-3.57476,-2.94255,-3.80234,-3.51152,-3.22703,-3.23338,-3.34717,-3.34083,-3.83065,-4.5138,-3.29027,-3.796,-3.46096,-3.22703,-3.80234,-4.82775,-4.42948,-3.40407,-3.34717,-3.63165,-3.32937,-3.80234,-3.28393,-3.29027,-3.11324,-7.6764,-7.6764,-3.11916,-3.28393,-4.54327,-3.1609,-4.13865,-2.9648,-4.59935,-3.11324,-2.94255,-2.94255,-3.28393,-4.5138,-3.39772,-4.36624,-3.85924,-3.80234,-3.33375,-4.02486,-4.02486,-3.11959,-3.80234,-4.30934,-3.80234,-4.19512,-3.11324,-3.80234,-3.29027,-3.11324,-3.11324,-3.51786,98.2172,109.637,105.312,100.623,104.547,105.655,121.216,92.9831,103.726,112.882,109.263,112.029,77.1512,118.123,97.751,107.045,132.178,106.255,107.418,115.233,83.3694,102.029,114.883,97.7995,78.0534,98.0852,102.614,108.389,110.545,104.575,95.6081,92.0566,106,113.593,107.76,81.337,110.089,107.747,85.1155,92.981,103.322,116.305,112.139,82.4936,101.02,82.2844,105.369,102.514,107.046,102.307,86.5093,115.608,108.867,87.2691,90.3628,96.0627,90.4941,108.485,108.767,107.406,99.838,89.3695,107.911,116.181,107.087,114.199,97.924,101.15,97.9151,110.816,100.065,100.977,122.854,88.7164,97.8457,113.899
-239.406,1,0.651444,2,3,0,241.029,103.959,0.642642,8.71732,103.539,104.824,102.896,99.6827,104.824,106.109,108.68,103.548,103.539,102.896,107.394,100.325,105.466,104.181,108.037,101.611,100.968,107.394,108.037,104.181,99.6827,101.611,106.109,102.896,108.037,106.752,104.181,104.824,105.481,107.394,109.322,105.466,102.896,101.611,102.253,106.752,106.109,106.752,103.539,104.132,101.611,103.539,107.394,101.611,106.752,106.752,105.252,103.539,105.466,103.065,100.968,104.824,106.447,101.611,99.6827,99.6827,103.539,105.481,104.824,103.539,100.968,101.611,99.6827,99.6827,99.6827,109.322,101.611,102.896,101.611,105.681,101.611,101.611,107.394,101.611,101.611,104.824,-6.7058,-4.59938,-6.63208,-8.55776,-3.45224,-3.3048,-3.00992,-3.52424,-4.41152,-4.3378,-4.3045,-3.96828,-4.52566,-3.52596,-3.08364,-3.82084,-2.9695,-3.15736,-3.08364,-3.52596,-2.89486,-3.82084,-3.55926,-3.19066,-3.08364,-3.23108,-3.3381,-3.87067,-4.60847,-3.15736,-3.92786,-3.37852,-3.19066,-3.82084,-4.89426,-4.37822,-3.3048,-3.23108,-3.59968,-3.26691,-3.82084,-3.26438,-3.15736,-3.04322,-7.81965,-7.81965,-3.02072,-3.26438,-4.52566,-3.11062,-4.11664,-2.95296,-4.71932,-3.04322,-2.89486,-2.89486,-3.26438,-4.60847,-3.41182,-4.41152,-3.89456,-3.82084,-3.23669,-3.9692,-3.9692,-2.9362,-3.82084,-4.3378,-3.82084,-4.27487,-3.04322,-3.82084,-3.15736,-3.04322,-3.04322,-3.45224,103.035,98.6443,107.888,94.8438,106.86,108.57,130.521,97.0814,108.272,90.8975,76.2989,118.769,108.988,92.2922,111.945,76.3376,118.735,130.445,113.113,95.1266,104.803,96.2257,97.5579,89.4461,108.623,96.0236,131.005,123.178,94.0479,105.03,111.15,112.945,114.473,100.887,107.682,91.7996,133.231,97.958,96.2527,94.3483,121.843,112.012,113.243,93.8809,98.2905,126.28,103.585,109.287,98.3631,109.475,105.465,104.7,115.447,99.9828,94.7415,103.32,112.601,88.17,117.222,106.576,60.6375,112.772,94.0554,102.123,108.261,114.75,99.7026,94.3791,101.526,104.229,106.603,88.1695,105.571,93.12,110.782,86.8787
-239.973,0.802894,0.651444,3,7,0,243.217,105.444,1.20601,8.82377,104.655,107.067,103.449,97.4185,107.067,109.479,114.303,104.673,104.655,103.449,111.891,98.6245,108.273,105.861,113.097,101.037,99.8305,111.891,113.097,105.861,97.4185,101.037,109.479,103.449,113.097,110.685,105.861,107.067,108.3,111.891,115.509,108.273,103.449,101.037,102.243,110.685,109.479,110.685,104.655,105.768,101.037,104.655,111.891,101.037,110.685,110.685,107.871,104.655,108.273,103.766,99.8305,107.067,110.113,101.037,97.4185,97.4185,104.655,108.3,107.067,104.655,99.8305,101.037,97.4185,97.4185,97.4185,115.509,101.037,103.449,101.037,108.675,101.037,101.037,111.891,101.037,101.037,107.067,-6.798,-4.33635,-6.66133,-8.24454,-3.20304,-2.92969,-3.35821,-3.65578,-4.5314,-4.39472,-3.78964,-4.15979,-4.19967,-3.33972,-3.22154,-3.88643,-2.88981,-3.08486,-3.22154,-3.33972,-3.16316,-3.88643,-3.94481,-3.26142,-3.22154,-2.94818,-3.53477,-4.12477,-4.91895,-3.08486,-4.62819,-3.06637,-3.26142,-3.88643,-4.88306,-3.92631,-2.92969,-2.94818,-3.4764,-3.0887,-3.88643,-3.3981,-3.08486,-2.98806,-7.32622,-7.32622,-3.00704,-3.3981,-4.19967,-3.04028,-3.98469,-3.21813,-5.12448,-2.98806,-3.16316,-3.16316,-3.3981,-4.91895,-3.67145,-4.5314,-4.02311,-3.88643,-2.98766,-3.71133,-3.71133,-3.49489,-3.88643,-4.39472,-3.88643,-4.60922,-2.98806,-3.88643,-3.08486,-2.98806,-2.98806,-3.20304,105.399,121.689,62.4737,83.2836,113.852,74.9711,112.677,79.6076,93.6242,118.91,98.4439,73.5973,127.425,101.39,114.349,110.046,94.4172,83.2509,105.903,125.364,86.1927,98.3763,124.522,101.333,115.171,109.369,106.331,108.891,107.278,116.674,134.762,110.139,87.7888,109.81,106.041,96.6736,136.739,110.973,84.617,98.2314,91.0149,103.175,114.375,90.9194,106.138,114.234,101.244,104.949,103.547,102.172,98.3915,116.676,131.47,104.745,103.194,96.9614,114.027,124.621,103.18,136.248,89.5288,123.364,86.9638,107.928,113.271,104.339,123.902,107.992,114.129,122.137,76.0858,96.6118,112.203,98.2108,103.945,90.1317
-240.477,0.825375,0.651444,2,7,0,242.776,104.093,1.32988,9.49131,103.222,105.882,101.892,95.2427,105.882,108.542,113.861,103.242,103.222,101.892,111.201,96.5726,107.212,104.552,112.531,99.2323,97.9025,111.201,112.531,104.552,95.2427,99.2323,108.542,101.892,112.531,109.871,104.552,105.882,107.242,111.201,115.191,107.212,101.892,99.2323,100.562,109.871,108.542,109.871,103.222,104.45,99.2323,103.222,111.201,99.2323,109.871,109.871,106.768,103.222,107.212,102.242,97.9025,105.882,109.241,99.2323,95.2427,95.2427,103.222,107.242,105.882,103.222,97.9025,99.2323,95.2427,95.2427,95.2427,115.191,99.2323,101.892,99.2323,107.655,99.2323,99.2323,111.201,99.2323,99.2323,105.882,-6.44378,-4.43101,-6.30366,-7.71027,-3.37742,-3.09719,-3.35032,-3.52275,-4.33659,-4.19647,-3.87055,-4.35823,-4.2909,-3.51753,-3.21021,-4.078,-3.16452,-3.07009,-3.21021,-3.51753,-3.44475,-4.078,-3.84346,-3.14288,-3.21021,-2.95707,-3.42311,-3.98466,-4.73633,-3.07009,-4.54404,-3.2373,-3.14288,-4.078,-4.99148,-4.01067,-3.09719,-2.95707,-3.65765,-3.28518,-4.078,-3.28299,-3.07009,-3.0244,-7.17145,-7.17145,-2.95424,-3.28299,-4.2909,-3.26182,-3.77612,-3.14179,-4.94703,-3.0244,-3.44475,-3.44475,-3.28299,-4.73633,-3.56322,-4.33659,-4.21811,-4.078,-3.06393,-3.49589,-3.49589,-3.49044,-4.078,-4.19647,-4.078,-4.45244,-3.0244,-4.078,-3.07009,-3.0244,-3.0244,-3.37742,106.892,106.355,94.9425,110.319,104.789,125.649,121.241,109.728,112.962,97.3027,129.555,90.0393,108.07,107.28,107.41,95.1981,93.8253,94.4786,118.705,130.865,88.2886,86.4879,98.3511,99.5368,101.36,106.885,94.6322,107.177,72.5674,80.9668,119.311,114.626,96.9519,74.3548,92.2801,104.577,103.791,122.357,111.546,102.465,93.5898,89.062,118.329,135.423,104.247,110.292,107.236,99.1469,100.887,100.338,103.262,95.1686,106.638,110.545,109.364,85.12,80.3698,105.966,158.32,90.8005,92.0405,107.875,103.261,100.274,99.9225,135.26,96.1305,95.7938,101.184,102.02,107.908,91.3996,107.062,69.8551,62.5542,76.2507
