# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-19 21:37:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpyv1tpl7w\n4jlp9rp.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220619233739_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.56365
# Diagonal elements of inverse mass matrix:
# 0.999907, 0.0355287, 0.0123477
-238.349,1,0.56365,3,7,0,239.638,104.385,0.821217,9.60114,103.848,105.49,103.026,98.9203,105.49,107.132,110.417,103.86,103.848,103.026,108.775,99.7415,106.311,104.669,109.596,101.384,100.563,108.775,109.596,104.669,98.9203,101.384,107.132,103.026,109.596,107.954,104.669,105.49,106.33,108.775,111.239,106.311,103.026,101.384,102.205,107.954,107.132,107.954,103.848,104.606,101.384,103.848,108.775,101.384,107.954,107.954,106.037,103.848,106.311,103.242,100.563,105.49,107.565,101.384,98.9203,98.9203,103.848,106.33,105.49,103.848,100.563,101.384,98.9203,98.9203,98.9203,111.239,101.384,103.026,101.384,106.585,101.384,101.384,108.775,101.384,101.384,105.49,-6.4804,-4.46631,-6.39487,-8.05029,-3.42476,-3.2537,-2.99849,-3.59199,-4.39731,-4.31178,-4.12417,-4.0235,-4.38077,-3.5103,-2.9971,-3.85243,-3.01364,-3.08263,-2.9971,-3.5103,-3.06749,-3.85243,-3.6979,-3.27024,-2.9971,-3.16816,-3.4413,-3.94345,-4.63235,-3.08263,-4.12557,-3.33923,-3.27024,-3.85243,-4.80844,-4.20971,-3.2537,-3.16816,-3.59583,-3.27652,-3.85243,-3.35577,-3.08263,-3.09917,-7.33434,-7.33434,-3.02056,-3.35577,-4.38077,-3.16549,-4.05518,-3.11022,-4.76097,-3.09917,-3.06749,-3.06749,-3.35577,-4.63235,-3.52684,-4.39731,-3.93796,-3.85243,-3.21903,-3.88411,-3.88411,-3.08403,-3.85243,-4.31178,-3.85243,-4.33524,-3.09917,-3.85243,-3.08263,-3.09917,-3.09917,-3.42476,101.923,108.044,106.747,101.302,104.873,76.9064,105.798,99.5936,123.568,100.656,108.494,98.0654,117.14,91.4131,139.598,94.4147,130.985,109.19,99.2194,149.19,93.4811,98.0106,108.027,99.6013,102.963,101.117,108.978,99.9371,107.588,102.982,109.464,112.255,113.552,95.5582,108.672,106.205,105.447,90.4943,97.418,109.433,104.093,104.329,96.9417,101.892,122.87,111.894,99.4003,106.959,103.636,95.5607,91.2176,84.4773,113.431,100.112,91.4252,92.3631,114.181,106.058,112.011,108.482,117.328,62.7577,83.4053,106.269,97.8027,121.837,98.05,98.5026,79.8116,99.163,101.044,109.146,88.24,100.094,87.2027,102.04
-238.371,0.98299,0.56365,3,7,0,238.837,105.035,1.0389,9.09562,104.354,106.432,103.315,98.1209,106.432,108.51,112.666,104.37,104.354,103.315,110.588,99.1598,107.471,105.393,111.627,101.238,100.199,110.588,111.627,105.393,98.1209,101.238,108.51,103.315,111.627,109.549,105.393,106.432,107.494,110.588,113.704,107.471,103.315,101.238,102.276,109.549,108.51,109.549,104.354,105.313,101.238,104.354,110.588,101.238,109.549,109.549,107.125,104.354,107.471,103.589,100.199,106.432,109.057,101.238,98.1209,98.1209,104.354,107.494,106.432,104.354,100.199,101.238,98.1209,98.1209,98.1209,113.704,101.238,103.315,101.238,107.817,101.238,101.238,110.588,101.238,101.238,106.432,-6.67795,-4.39264,-6.56373,-8.19149,-3.29321,-3.06477,-3.19399,-3.62937,-4.47909,-4.36487,-3.93576,-4.09275,-4.27842,-3.40743,-3.07977,-3.86431,-2.92278,-2.96555,-3.07977,-3.40743,-3.10754,-3.86431,-3.83654,-3.26544,-3.07977,-2.95055,-3.49388,-4.04788,-4.79953,-2.96555,-4.40764,-3.17899,-3.26544,-3.86431,-4.84952,-4.04998,-3.06477,-2.95055,-3.52165,-3.1625,-3.86431,-3.37966,-2.96555,-3.037,-7.34827,-7.34827,-2.9513,-3.37966,-4.27842,-3.08503,-4.02221,-3.16833,-4.97129,-3.037,-3.10754,-3.10754,-3.37966,-4.79953,-3.6081,-4.47909,-3.97853,-3.86431,-3.09173,-3.79377,-3.79377,-3.30821,-3.86431,-4.36487,-3.86431,-4.49335,-3.037,-3.86431,-2.96555,-3.037,-3.037,-3.29321,104.719,115.978,104.242,147.378,109.605,122.019,106.864,110.097,110.186,89.4011,111.56,103.382,88.7177,99.0761,106.242,102.021,84.5227,101.065,131.894,91.7424,110.927,89.312,124.982,94.0738,114.072,82.0214,107.087,93.4294,111.861,117.571,89.075,105.875,61.1111,99.413,121.099,114.485,108.1,114.669,83.7573,88.9292,100.806,84.0426,106.675,118.908,111.247,98.568,110.681,128.168,107.589,145.738,99.8393,139.129,105.229,109.932,99.7465,96.0584,114.878,119.875,116.183,116.948,106.544,96.3391,98.661,97.8407,93.6875,118.085,106.305,99.6756,105.138,126.535,93.9337,101.061,144.178,112.869,88.7326,91.5577
-238.143,0.756371,0.56365,1,3,0,240.983,103.594,0.951548,9.09549,102.971,104.874,102.019,97.2614,104.874,106.777,110.583,102.985,102.971,102.019,108.68,98.213,105.825,103.922,109.632,100.116,99.1645,108.68,109.632,103.922,97.2614,100.116,106.777,102.019,109.632,107.728,103.922,104.874,105.847,108.68,111.535,105.825,102.019,100.116,101.068,107.728,106.777,107.728,102.971,103.849,100.116,102.971,108.68,100.116,107.728,107.728,105.508,102.971,105.825,102.27,99.1645,104.874,107.278,100.116,97.2614,97.2614,102.971,105.847,104.874,102.971,99.1645,100.116,97.2614,97.2614,97.2614,111.535,100.116,102.019,100.116,106.143,100.116,100.116,108.68,100.116,100.116,104.874,-6.52587,-4.56397,-6.42126,-8.09706,-3.46453,-3.25529,-2.96503,-3.47711,-4.32698,-4.22237,-4.1455,-4.19685,-4.45935,-3.56914,-2.94144,-3.98761,-2.99278,-3.04606,-2.94144,-3.56914,-3.20202,-3.98761,-3.64601,-3.12292,-2.94144,-3.15067,-3.33215,-3.87655,-4.6184,-3.04606,-4.16909,-3.35991,-3.12292,-3.98761,-4.98244,-4.25012,-3.25529,-3.15067,-3.67376,-3.32347,-3.98761,-3.22754,-3.04606,-2.91368,-7.54846,-7.54846,-3.0283,-3.22754,-4.45935,-3.23006,-3.90851,-2.99699,-4.77572,-2.91368,-3.20202,-3.20202,-3.22754,-4.6184,-3.43677,-4.32698,-4.09223,-3.98761,-2.99722,-3.69928,-3.69928,-3.06965,-3.98761,-4.22237,-3.98761,-4.30923,-2.91368,-3.98761,-3.04606,-2.91368,-2.91368,-3.46453,80.9057,103.748,102.725,91.9312,117.432,96.3955,109.786,99.7833,99.3331,102.91,91.8179,113.172,89.0057,69.5943,107.244,91.6067,87.6512,110.08,111.827,108.221,94.6071,100.891,107.564,95.2459,106.496,107.159,95.7477,91.8083,107.064,93.7366,119.878,140.016,91.5643,111.46,98.0095,94.4389,115.594,102.523,116.121,120.183,97.4636,116.791,105.001,105.594,99.643,107.292,126.561,95.7791,96.234,103.417,86.9668,94.0034,123.191,100.418,102.627,95.2542,109.693,101.046,121.308,108.167,90.5695,89.9438,106.59,101.771,56.4732,111.316,94.7233,104.556,95.466,101.13,106.566,106.4,130.906,103.303,102.823,88.017
-238.291,0.850008,0.56365,2,7,0,239.851,104.592,0.82436,7.54459,104.052,105.701,103.228,99.1058,105.701,107.349,110.647,104.064,104.052,103.228,108.998,99.9302,106.525,104.876,109.823,101.579,100.755,108.998,109.823,104.876,99.1058,101.579,107.349,103.228,109.823,108.174,104.876,105.701,106.544,108.998,111.471,106.525,103.228,101.579,102.403,108.174,107.349,108.174,104.052,104.813,101.579,104.052,108.998,101.579,108.174,108.174,106.25,104.052,106.525,103.445,100.755,105.701,107.783,101.579,99.1058,99.1058,104.052,106.544,105.701,104.052,100.755,101.579,99.1058,99.1058,99.1058,111.471,101.579,103.228,101.579,106.8,101.579,101.579,108.998,101.579,101.579,105.701,-7.22741,-4.60928,-7.11814,-9.22272,-3.28383,-3.0653,-2.79972,-3.55167,-4.5765,-4.46724,-4.17222,-4.04868,-4.50002,-3.39309,-2.7375,-3.83015,-2.81399,-2.84677,-2.7375,-3.39309,-2.8325,-3.83015,-3.68811,-3.14178,-2.7375,-2.95603,-3.36031,-3.99976,-4.87686,-2.84677,-4.23443,-3.17456,-3.14178,-3.83015,-5.04634,-4.28149,-3.0653,-2.95603,-3.50236,-3.09563,-3.83015,-3.25105,-2.84677,-2.92325,-8.25785,-8.25785,-2.76917,-3.25105,-4.50002,-2.95502,-4.13944,-2.9394,-5.04117,-2.92325,-2.8325,-2.8325,-3.25105,-4.87686,-3.46958,-4.5765,-3.93942,-3.83015,-3.07454,-3.92091,-3.92091,-2.90898,-3.83015,-4.46724,-3.83015,-4.4989,-2.92325,-3.83015,-2.84677,-2.92325,-2.92325,-3.28383,100.282,106.234,98.1929,102.894,109.157,79.2708,107.878,97.0552,87.9806,101.124,102.19,102.229,108.739,108.048,94.742,113.833,96.4288,108.621,121.488,113.927,111.02,107.567,83.2495,122.202,116.254,99.663,91.7968,122.194,119.629,110.141,115.776,110.172,87.4399,92.8751,110.745,106.146,99.4003,105.146,108.909,115.825,98.4831,105.823,110.554,103.635,114.312,109.699,102.269,118.898,110.542,108.92,101.259,92.5439,114.374,105.535,100.267,102.984,111.752,105.61,119.167,70.7563,90.8434,112.649,96.8266,92.1847,95.3612,113.474,97.3194,120.56,96.8226,106.478,111.054,105.154,111.05,108.61,107.44,107.605
-238.388,0.663019,0.56365,2,7,0,238.765,104.789,0.907659,7.36862,104.195,106.01,103.287,98.7491,106.01,107.826,111.456,104.209,104.195,103.287,109.641,99.6567,106.918,105.103,110.549,101.472,100.564,109.641,110.549,105.103,98.7491,101.472,107.826,103.287,110.549,108.733,105.103,106.01,106.938,109.641,112.364,106.918,103.287,101.472,102.38,108.733,107.826,108.733,104.195,105.033,101.472,104.195,109.641,101.472,108.733,108.733,106.615,104.195,106.918,103.526,100.564,106.01,108.303,101.472,98.7491,98.7491,104.195,106.938,106.01,104.195,100.564,101.472,98.7491,98.7491,98.7491,112.364,101.472,103.287,101.472,107.221,101.472,101.472,109.641,101.472,101.472,106.01,-7.33101,-4.58892,-7.20783,-9.30615,-3.23182,-2.98546,-2.88801,-3.56765,-4.61679,-4.49362,-4.09621,-4.09407,-4.46574,-3.35499,-2.76483,-3.84771,-2.76697,-2.7391,-2.76483,-3.35499,-2.86014,-3.84771,-3.7524,-3.13651,-2.76483,-2.86228,-3.38287,-4.04889,-4.9585,-2.7391,-4.3683,-3.10864,-3.13651,-3.84771,-5.08164,-4.21939,-2.98546,-2.86228,-3.47817,-3.05129,-3.84771,-3.25969,-2.7391,-2.89015,-8.29071,-8.29071,-2.69733,-3.25969,-4.46574,-2.9261,-4.12408,-2.9632,-5.14373,-2.89015,-2.86014,-2.86014,-3.25969,-4.9585,-3.50605,-4.61679,-3.97089,-3.84771,-3.01113,-3.87772,-3.87772,-3.01119,-3.84771,-4.49362,-3.84771,-4.57502,-2.89015,-3.84771,-2.7391,-2.89015,-2.89015,-3.23182,108.678,84.4514,105.4,110.377,102.422,126.758,125.831,103.67,105.7,106.971,116.07,95.0298,114.662,104.219,104.665,103.227,90.7247,101.479,112.049,126.972,99.9624,102.275,114.152,102.759,119.227,114.062,115.34,109.53,97.3202,103.572,103.684,99.4104,109.35,81.453,102.225,103.04,124.336,102.566,97.9108,108.384,97.5325,105.205,104.74,91.2235,105.651,106.323,106.384,105.072,109.338,101.172,90.3688,109.583,95.8748,95.0035,98.4705,96.598,98.0714,105.398,104.949,106.291,95.8635,104.761,101.925,100.54,115.788,103.187,116.008,100.538,105.751,101.983,98.4464,97.7664,107.667,110.82,100.935,96.4149
-238.451,0.673068,0.56365,2,7,0,239.087,104.226,0.840257,7.55951,103.676,105.356,102.835,98.6342,105.356,107.037,110.398,103.688,103.676,102.835,108.717,99.4744,106.196,104.516,109.558,101.155,100.315,108.717,109.558,104.516,98.6342,101.155,107.037,102.835,109.558,107.877,104.516,105.356,106.215,108.717,111.238,106.196,102.835,101.155,101.995,107.877,107.037,107.877,103.676,104.451,101.155,103.676,108.717,101.155,107.877,107.877,105.916,103.676,106.196,103.057,100.315,105.356,107.479,101.155,98.6342,98.6342,103.676,106.215,105.356,103.676,100.315,101.155,98.6342,98.6342,98.6342,111.238,101.155,102.835,101.155,106.477,101.155,101.155,108.717,101.155,101.155,105.356,-7.1707,-4.65309,-7.05955,-9.14946,-3.33025,-3.10794,-2.76857,-3.50225,-4.52503,-4.41388,-4.20848,-4.10832,-4.54193,-3.4414,-2.77449,-3.88601,-2.75758,-2.88564,-2.77449,-3.4414,-2.89663,-3.88601,-3.6468,-3.09104,-2.77449,-2.99679,-3.31334,-3.95363,-4.83115,-2.88564,-4.20256,-3.2191,-3.09104,-3.88601,-5.0977,-4.31963,-3.10794,-2.99679,-3.55255,-3.14468,-3.88601,-3.20219,-2.88564,-2.86873,-8.28814,-8.28814,-2.8152,-3.20219,-4.54193,-3.00785,-4.08042,-2.89536,-4.9983,-2.86873,-2.89663,-2.89663,-3.20219,-4.83115,-3.4245,-4.52503,-3.99716,-3.88601,-3.01341,-3.85811,-3.85811,-2.87972,-3.88601,-4.41388,-3.88601,-4.45459,-2.86873,-3.88601,-2.88564,-2.86873,-2.86873,-3.33025,106.53,104.781,104.693,97.0688,107.033,111.111,110.141,120.407,108.886,90.8903,97.4753,106.043,122.893,111.785,112.984,95.5013,106.538,110.752,112.997,105.945,116.378,110.944,107.725,96.2274,118.434,102.978,97.3899,113.767,107.035,109.114,99.364,95.9884,96.5311,104.922,70.4772,105.657,101.251,112.77,121.431,104.575,109.908,102.363,115.199,101.357,106.203,104.686,105.974,80.7258,114.443,105.517,104.617,109.016,107.429,102.448,79.645,98.5625,107.807,109.106,113.401,101.16,100.666,114.69,98.8418,94.3557,113.915,92.2516,100.612,103.828,117.075,110.793,103.954,83.0409,105.52,100.092,92.8924,97.2217
