# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-19 21:45:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpyv1tpl7w\1qfq25m2.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220619234511_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.541891
# Diagonal elements of inverse mass matrix:
# 1.14207, 0.0331215, 0.0134861
-239.372,0.989601,0.541891,2,3,0,239.588,103.793,0.67654,8.44339,103.35,104.703,102.673,99.2905,104.703,106.056,108.762,103.36,103.35,102.673,107.409,99.9671,105.379,104.026,108.086,101.32,100.644,107.409,108.086,104.026,99.2905,101.32,106.056,102.673,108.086,106.732,104.026,104.703,105.395,107.409,109.439,105.379,102.673,101.32,101.997,106.732,106.056,106.732,103.35,103.974,101.32,103.35,107.409,101.32,106.732,106.732,105.154,103.35,105.379,102.851,100.644,104.703,106.412,101.32,99.2905,99.2905,103.35,105.395,104.703,103.35,100.644,101.32,99.2905,99.2905,99.2905,109.439,101.32,102.673,101.32,105.605,101.32,101.32,107.409,101.32,101.32,104.703,-6.77634,-4.63826,-6.69621,-8.6643,-3.4539,-3.29365,-2.97314,-3.49162,-4.40762,-4.32749,-4.31776,-4.01479,-4.55814,-3.53403,-3.05327,-3.85454,-2.90276,-3.1334,-3.05327,-3.53403,-2.91056,-3.85454,-3.54377,-3.14314,-3.05327,-3.21352,-3.30339,-3.85726,-4.62309,-3.1334,-3.9444,-3.37378,-3.14314,-3.85454,-4.95877,-4.39788,-3.29365,-3.21352,-3.61416,-3.26688,-3.85454,-3.22326,-3.1334,-2.98288,-7.95096,-7.95096,-3.0057,-3.22326,-4.55814,-3.11219,-4.08711,-2.90977,-4.74358,-2.98288,-2.91056,-2.91056,-3.22326,-4.62309,-3.38352,-4.40762,-3.93466,-3.85454,-3.17058,-3.92686,-3.92686,-2.89302,-3.85454,-4.32749,-3.85454,-4.27992,-2.98288,-3.85454,-3.1334,-2.98288,-2.98288,-3.4539,105.809,107.139,100.408,113.811,121.541,97.2524,138.19,104.46,109.89,98.7011,100.076,96.6269,104.561,106.53,109.387,97.3734,108.285,96.5729,100.164,99.7315,92.5286,97.1406,111.455,101.169,116.237,106.202,115.405,123.261,108.253,108.271,93.662,102.387,95.954,107.663,109.775,102.096,98.0869,112.905,86.4319,108.822,111.559,113.197,106.421,104.617,108.446,100.954,97.9369,90.9264,99.963,130.05,101.676,103.643,104.19,102.281,104.515,118.416,146.595,109.802,128.974,112.309,110.872,106.765,102.732,76.1671,99.5636,110.011,118.648,90.8032,113.969,125.218,120.705,104.178,104.957,98.9637,95.922,105.549
-238.076,0.955441,0.541891,2,7,0,240.317,104.606,0.774187,8.0385,104.099,105.647,103.325,99.4538,105.647,107.196,110.292,104.111,104.099,103.325,108.744,100.228,106.421,104.873,109.518,101.776,101.002,108.744,109.518,104.873,99.4538,101.776,107.196,103.325,109.518,107.97,104.873,105.647,106.439,108.744,111.067,106.421,103.325,101.776,102.55,107.97,107.196,107.97,104.099,104.814,101.776,104.099,108.744,101.776,107.97,107.97,106.163,104.099,106.421,103.528,101.002,105.647,107.603,101.776,99.4538,99.4538,104.099,106.439,105.647,104.099,101.002,101.776,99.4538,99.4538,99.4538,111.067,101.776,103.325,101.776,106.679,101.776,101.776,108.744,101.776,101.776,105.647,-7.01933,-4.56289,-6.92302,-8.9295,-3.31888,-3.12626,-2.81376,-3.56935,-4.53131,-4.435,-4.17765,-3.99305,-4.46658,-3.41519,-2.83733,-3.80043,-2.90206,-2.93364,-2.83733,-3.41519,-2.84534,-3.80043,-3.67253,-3.19098,-2.83733,-3.02995,-3.3836,-3.97752,-4.79435,-2.93364,-4.15408,-3.22257,-3.19098,-3.80043,-4.94813,-4.27396,-3.12626,-3.02995,-3.5115,-3.13552,-3.80043,-3.28729,-2.93364,-2.99837,-8.006,-8.006,-2.84,-3.28729,-4.46658,-2.99319,-4.14607,-2.98231,-4.93918,-2.99837,-2.84534,-2.84534,-3.28729,-4.79435,-3.47991,-4.53131,-3.89674,-3.80043,-3.15908,-3.95345,-3.95345,-2.91007,-3.80043,-4.435,-3.80043,-4.43767,-2.99837,-3.80043,-2.93364,-2.99837,-2.99837,-3.31888,109.692,103.156,101.872,103.158,114.564,102.834,112.507,101.904,127.593,103.405,104.128,113.543,105.786,93.7989,103.652,91.5758,96.816,109.299,96.6974,129.021,99.6847,101.572,88.6373,109.715,106.795,110.419,104.81,105.276,95.3607,97.0599,107.055,106.642,100.627,107.507,92.1823,105.854,105.28,99.8748,101.437,106.096,102.402,93.7038,99.21,103.711,93.1091,113.19,89.7813,103.26,95.2715,101.985,98.1152,121.884,93.5235,105.612,106.787,93.3411,112.527,95.6973,110.413,104.97,105.05,105.891,91.9068,94.7315,106.925,102.389,110.722,105.788,106.811,102.688,104.564,94.4858,115.746,89.0788,102.547,106.209
-239.678,0.890702,0.541891,1,3,0,242.178,105.701,0.881892,7.08885,105.123,106.887,104.241,99.8317,106.887,108.651,112.178,105.136,105.123,104.241,110.414,100.714,107.769,106.005,111.296,102.477,101.596,110.414,111.296,106.005,99.8317,102.477,108.651,104.241,111.296,109.533,106.005,106.887,107.789,110.414,113.06,107.769,104.241,102.477,103.359,109.533,108.651,109.533,105.123,105.937,102.477,105.123,110.414,102.477,109.533,109.533,107.475,105.123,107.769,104.473,101.596,106.887,109.115,102.477,99.8317,99.8317,105.123,107.789,106.887,105.123,101.596,102.477,99.8317,99.8317,99.8317,113.06,102.477,104.241,102.477,108.063,102.477,102.477,110.414,102.477,102.477,106.887,-7.60637,-4.50149,-7.48196,-9.68126,-3.09083,-2.84202,-2.95894,-3.69443,-4.78503,-4.66063,-4.00387,-3.96167,-4.37709,-3.21523,-2.83454,-3.71286,-2.87675,-2.71013,-2.83454,-3.21523,-2.67541,-3.71286,-3.87199,-3.24996,-2.83454,-2.71761,-3.49877,-4.18744,-5.12924,-2.71013,-4.49402,-2.96642,-3.24996,-3.71286,-4.99912,-4.12828,-2.84202,-2.71761,-3.33964,-2.89927,-3.71286,-3.37437,-2.71013,-3.00115,-8.36028,-8.36028,-2.76567,-3.37437,-4.37709,-2.7631,-4.28741,-3.05891,-5.31631,-3.00115,-2.67541,-2.67541,-3.37437,-5.12924,-3.62318,-4.78503,-3.83726,-3.71286,-3.13781,-4.0386,-4.0386,-3.08335,-3.71286,-4.66063,-3.71286,-4.7295,-3.00115,-3.71286,-2.71013,-3.00115,-3.00115,-3.09083,101.625,114.891,104.761,116.967,112.148,102.271,112.163,107.129,96.9388,107.433,119.793,90.8335,123.804,71.7866,115.347,107.11,106.247,108.957,109.798,103.798,91.8715,103.859,108.303,102.15,114.179,104.349,103.183,109.01,115.805,85.6607,112.033,110.575,111.473,93.3251,103.071,118.637,110.681,104.388,132.086,99.3777,102.371,77.9311,119.408,116.247,117.894,112.294,110.879,114.958,119.473,86.7055,110.55,117.471,94.3807,106.627,97.9838,109.9,110.913,103.348,111.542,115.844,120.783,98.4234,98.0519,102.925,108.956,118.964,97.4401,126.64,100.22,108.688,105.446,94.3355,114.876,105.555,103.392,107.014
-239.009,0.978925,0.541891,3,7,0,239.829,104.029,0.994428,10.3335,103.378,105.366,102.383,97.411,105.366,107.355,111.333,103.393,103.378,102.383,109.344,98.4054,106.361,104.372,110.339,100.394,99.3999,109.344,110.339,104.372,97.411,100.394,107.355,102.383,110.339,108.35,104.372,105.366,106.383,109.344,112.327,106.361,102.383,100.394,101.389,108.35,107.355,108.35,103.378,104.296,100.394,103.378,109.344,100.394,108.35,108.35,106.029,103.378,106.361,102.645,99.3999,105.366,107.879,100.394,97.411,97.411,103.378,106.383,105.366,103.378,99.3999,100.394,97.411,97.411,97.411,112.327,100.394,102.383,100.394,106.692,100.394,100.394,109.344,100.394,100.394,105.366,-6.25857,-4.44467,-6.16234,-7.61662,-3.47694,-3.28447,-3.15754,-3.57513,-4.32312,-4.22689,-4.05973,-4.15057,-4.34843,-3.57317,-3.0613,-3.95811,-3.08662,-3.09201,-3.0613,-3.57317,-3.27908,-3.95811,-3.74033,-3.25916,-3.0613,-3.18824,-3.45163,-3.93495,-4.59216,-3.09201,-4.22149,-3.38071,-3.25916,-3.95811,-4.8296,-4.15597,-3.28447,-3.18824,-3.66941,-3.35726,-3.95811,-3.3554,-3.09201,-3.0667,-7.05914,-7.05914,-3.09021,-3.3554,-4.34843,-3.28192,-3.93819,-3.16077,-4.73687,-3.0667,-3.27908,-3.27908,-3.3554,-4.59216,-3.54786,-4.32312,-4.05434,-3.95811,-3.12778,-3.74572,-3.74572,-3.25377,-3.95811,-4.22689,-3.95811,-4.32132,-3.0667,-3.95811,-3.09201,-3.0667,-3.0667,-3.47694,121.396,111.646,80.8308,101.272,92.2704,103.19,112.102,81.5689,133.43,102.084,102.937,120.833,90.2056,112.595,98.9868,103.978,144.149,110.516,109.368,102.497,103.635,90.5187,98.1377,89.3313,101.81,78.6306,90.3464,117.546,100.092,113.307,134.377,114.289,105.043,80.3162,71.0518,128.639,107.534,100.96,70.7062,96.2936,84.8217,94.6022,126.089,100.966,108.131,79.5622,111.525,95.0448,108.84,75.9864,108.477,96.5873,93.769,97.8655,81.6467,79.3137,90.853,124.342,106.248,105.764,44.5378,103.374,88.9604,100.725,94.9534,93.4697,83.198,101.007,101.48,106.322,98.3902,96.7274,81.0768,105.381,103.104,119.605
-239.956,0.839389,0.541891,2,7,0,241.425,104.754,0.855414,6.69166,104.194,105.905,103.338,99.0613,105.905,107.615,111.037,104.207,104.194,103.338,109.326,99.9167,106.76,105.049,110.182,101.628,100.772,109.326,110.182,105.049,99.0613,101.628,107.615,103.338,110.182,108.471,105.049,105.905,106.779,109.326,111.893,106.76,103.338,101.628,102.483,108.471,107.615,108.471,104.194,104.983,101.628,104.194,109.326,101.628,108.471,108.471,106.475,104.194,106.76,103.564,100.772,105.905,108.066,101.628,99.0613,99.0613,104.194,106.779,105.905,104.194,100.772,101.628,99.0613,99.0613,99.0613,111.893,101.628,103.338,101.628,107.045,101.628,101.628,109.326,101.628,101.628,105.905,-7.70392,-4.70042,-7.57609,-9.92572,-3.20602,-2.95035,-2.749,-3.55974,-4.71513,-4.5873,-4.18908,-4.10085,-4.57258,-3.33385,-2.62116,-3.84518,-2.7094,-2.69469,-2.62116,-3.33385,-2.73428,-3.84518,-3.73206,-3.0929,-2.62116,-2.82252,-3.34856,-4.07416,-5.0678,-2.69469,-4.37123,-3.07819,-3.0929,-3.84518,-5.21175,-4.31692,-2.95035,-2.82252,-3.46168,-2.99882,-3.84518,-3.22073,-2.69469,-2.83723,-8.80011,-8.80011,-2.62266,-3.22073,-4.57258,-2.848,-4.2038,-2.87864,-5.26003,-2.83723,-2.73428,-2.73428,-3.22073,-5.0678,-3.4764,-4.71513,-3.97301,-3.84518,-2.99388,-3.94813,-3.94813,-2.87683,-3.84518,-4.5873,-3.84518,-4.64311,-2.83723,-3.84518,-2.69469,-2.83723,-2.83723,-3.20602,84.7296,73.3082,101.784,96.4502,94.8465,119.144,110.013,104.032,102.224,90.152,113.031,98.4903,108.783,107.232,110.219,104.014,99.4274,125.657,106.625,124.295,93.1419,93.8847,111.719,110.532,110.914,114.591,109.198,92.2749,111.611,120.345,111.302,97.3534,80.0446,102.758,95.7311,92.9782,100.771,110.042,96.0458,103.89,105.137,119.046,104.052,110.385,116.722,96.6992,107.453,100.778,110.878,108.928,108.194,101.493,99.2981,79.2764,101.001,124.12,93.195,110.304,108.829,107.836,80.1802,95.9121,112.422,104.52,98.8204,115.749,110.328,98.463,104.328,103.814,95.9793,114.21,110.821,85.4806,108.644,106.117
-239.341,0.885746,0.541891,3,7,0,242.23,103.916,1.14162,10.2489,103.168,105.452,102.027,96.3187,105.452,107.735,112.301,103.186,103.168,102.027,110.018,97.4604,106.593,104.31,111.16,99.7436,98.602,110.018,111.16,104.31,96.3187,99.7436,107.735,102.027,111.16,108.877,104.31,105.452,106.619,110.018,113.443,106.593,102.027,99.7436,100.885,108.877,107.735,108.877,103.168,104.222,99.7436,103.168,110.018,99.7436,108.877,108.877,106.213,103.168,106.593,102.327,98.602,105.452,108.336,99.7436,96.3187,96.3187,103.168,106.619,105.452,103.168,98.602,99.7436,96.3187,96.3187,96.3187,113.443,99.7436,102.027,99.7436,106.974,99.7436,99.7436,110.018,99.7436,99.7436,105.452,-6.25661,-4.43981,-6.14522,-7.5397,-3.4641,-3.24132,-3.24487,-3.55123,-4.30518,-4.19379,-3.99426,-4.24383,-4.32843,-3.57549,-3.13348,-4.02105,-3.15673,-3.02209,-3.13348,-3.57549,-3.37951,-4.02105,-3.77503,-3.21808,-3.13348,-3.12993,-3.44086,-3.94253,-4.61986,-3.02209,-4.33198,-3.35271,-3.21808,-4.02105,-4.88537,-4.10565,-3.24132,-3.12993,-3.68688,-3.3589,-4.02105,-3.32947,-3.02209,-3.04534,-7.03278,-7.03278,-3.0646,-3.32947,-4.32843,-3.30678,-3.85963,-3.16196,-4.78736,-3.04534,-3.37951,-3.37951,-3.32947,-4.61986,-3.55225,-4.30518,-4.13244,-4.02105,-3.02684,-3.63685,-3.63685,-3.35626,-4.02105,-4.19379,-4.02105,-4.35124,-3.04534,-4.02105,-3.02209,-3.04534,-3.04534,-3.4641,99.3757,116.486,89.2413,113.974,104.185,115.11,134.115,102.95,91.7277,111.964,102.395,98.8162,105.138,104.538,81.847,126.766,98.3287,112.136,115.756,109.374,108.396,85.023,115.939,116.302,105.125,94.5575,91.5407,78.72,100.731,102.907,109.572,139.587,92.8501,103.953,103.529,114.265,105.695,108.142,106.385,96.551,92.3623,103.918,108.509,111.628,110.756,111.089,107.16,103.839,116.713,84.1195,86.0062,103.69,114.699,100.205,91.692,79.7015,119.996,106.435,104.222,97.5115,105.876,112.606,97.5781,79.0071,142.025,119.803,90.5029,125.673,103.155,112.902,100.304,91.7366,97.6257,103.593,120.883,112.767
