# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-21 17:23:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\x2b_15g7.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220621192302_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.643755
# Diagonal elements of inverse mass matrix:
# 0.946191, 0.038868, 0.0120783
-238.504,0.960481,0.643755,3,7,0,238.798,105.42,0.753231,8.61055,104.927,106.433,104.174,100.407,106.433,107.94,110.953,104.938,104.927,104.174,109.446,101.161,107.187,105.68,110.199,102.667,101.914,109.446,110.199,105.68,100.407,102.667,107.94,104.174,110.199,108.693,105.68,106.433,107.204,109.446,111.706,107.187,104.174,102.667,103.42,108.693,107.94,108.693,104.927,105.622,102.667,104.927,109.446,102.667,108.693,108.693,106.935,104.927,107.187,104.372,101.914,106.433,108.336,102.667,100.407,100.407,104.927,107.204,106.433,104.927,101.914,102.667,100.407,100.407,100.407,111.706,102.667,104.174,102.667,107.438,102.667,102.667,109.446,102.667,102.667,106.433,-6.90242,-4.42172,-6.81494,-8.70029,-3.26036,-3.0854,-2.95678,-3.6816,-4.57969,-4.49221,-4.07181,-3.8727,-4.33424,-3.34783,-2.8693,-3.69774,-3.06841,-2.91045,-2.8693,-3.34783,-2.89346,-3.69774,-3.76824,-3.33085,-2.8693,-2.99792,-3.5058,-4.05783,-4.8179,-2.91045,-4.20562,-3.17288,-3.33085,-3.69774,-4.77163,-4.15929,-3.0854,-2.99792,-3.43531,-3.08656,-3.69774,-3.41833,-2.91045,-3.15589,-7.64339,-7.64339,-2.87736,-3.41833,-4.33424,-2.94965,-4.22978,-3.12873,-4.94945,-3.15589,-2.89346,-2.89346,-3.41833,-4.8179,-3.59328,-4.57969,-3.78522,-3.69774,-3.31323,-4.05482,-4.05482,-3.04426,-3.69774,-4.49221,-3.69774,-4.48416,-3.15589,-3.69774,-2.91045,-3.15589,-3.15589,-3.26036,74.3353,115.853,95.5298,103.31,133.56,124.536,107.962,82.5009,109.961,114.303,114.408,87.7412,112.69,119.295,108.536,109.721,91.9787,99.1987,113.063,120.737,102.282,111.162,121.318,104.401,100.596,104.904,114.904,106.264,104.94,107.61,113.685,89.641,112.931,139.276,100.702,105.606,95.7928,80.8671,113.917,97.2425,90.4376,118.353,124.254,102.333,85.2005,100.654,106.228,96.8132,106.764,108.946,100.481,132.729,87.6308,95.0936,92.4413,103.024,104.973,104.91,109.113,103.62,98.7839,102.99,90.394,100.794,102.834,111.366,99.7384,102.477,109.388,106.034,103.031,114.02,104.928,90.9305,99.5904,108.56
-238.785,0.985966,0.643755,3,7,0,239.025,103.858,1.08607,7.97291,103.146,105.319,102.06,96.63,105.319,107.491,111.835,103.163,103.146,102.06,109.663,97.7161,106.405,104.233,110.749,99.8882,98.8022,109.663,110.749,104.233,96.63,99.8882,107.491,102.06,110.749,108.577,104.233,105.319,106.429,109.663,112.921,106.405,102.06,99.8882,100.974,108.577,107.491,108.577,103.146,104.149,99.8882,103.146,109.663,99.8882,108.577,108.577,106.043,103.146,106.405,102.346,98.8022,105.319,108.062,99.8882,96.63,96.63,103.146,106.429,105.319,103.146,98.8022,99.8882,96.63,96.63,96.63,112.921,99.8882,102.06,99.8882,106.767,99.8882,99.8882,109.663,99.8882,99.8882,105.319,-6.92658,-4.61061,-6.79036,-8.61776,-3.35636,-3.08392,-2.99935,-3.4488,-4.41809,-4.28187,-4.06573,-4.3099,-4.47439,-3.49258,-2.86313,-4.03746,-2.91943,-2.81148,-2.86313,-3.49258,-3.19187,-4.03746,-3.70872,-3.02762,-2.86313,-2.9477,-3.30006,-3.93798,-4.80153,-2.81148,-4.38982,-3.22014,-3.02762,-4.03746,-5.15549,-4.20195,-3.08392,-2.9477,-3.6288,-3.21362,-4.03746,-3.16384,-2.81148,-2.78321,-7.96469,-7.96469,-2.84747,-3.16384,-4.47439,-3.13506,-3.87321,-2.93458,-5.00637,-2.78321,-3.19187,-3.19187,-3.16384,-4.80153,-3.43628,-4.41809,-4.17368,-4.03746,-2.79986,-3.60077,-3.60077,-3.13557,-4.03746,-4.28187,-4.03746,-4.45407,-2.78321,-4.03746,-2.81148,-2.78321,-2.78321,-3.35636,96.4017,99.3719,95.3927,102.11,93.1766,103.126,110.049,101.027,99.137,100.662,118.084,97.3256,115.757,107.442,126.203,99.5341,69.5202,127.183,103.664,92.5956,82.2807,110.712,105.887,109.339,105.968,106.225,84.6809,122.714,77.5809,109.026,100.136,110.835,114.804,93.4045,123.561,105.318,102.376,113.529,103.607,106.186,100.905,116.639,112.819,97.962,116.463,110.964,106.352,95.8289,102.717,96.2817,100.396,87.4333,97.7714,127.981,96.1944,89.6526,103.232,106.532,97.5094,109.982,99.6449,98.6349,78.8086,69.1151,95.5086,109.374,104.535,90.9356,112.621,119.551,97.6657,107.817,110.794,102.959,97.0266,112.537
-238.785,0.493831,0.643755,2,3,0,242.632,103.858,1.08607,7.97291,103.146,105.319,102.06,96.63,105.319,107.491,111.835,103.163,103.146,102.06,109.663,97.7161,106.405,104.233,110.749,99.8882,98.8022,109.663,110.749,104.233,96.63,99.8882,107.491,102.06,110.749,108.577,104.233,105.319,106.429,109.663,112.921,106.405,102.06,99.8882,100.974,108.577,107.491,108.577,103.146,104.149,99.8882,103.146,109.663,99.8882,108.577,108.577,106.043,103.146,106.405,102.346,98.8022,105.319,108.062,99.8882,96.63,96.63,103.146,106.429,105.319,103.146,98.8022,99.8882,96.63,96.63,96.63,112.921,99.8882,102.06,99.8882,106.767,99.8882,99.8882,109.663,99.8882,99.8882,105.319,-6.92658,-4.61061,-6.79036,-8.61776,-3.35636,-3.08392,-2.99935,-3.4488,-4.41809,-4.28187,-4.06573,-4.3099,-4.47439,-3.49258,-2.86313,-4.03746,-2.91943,-2.81148,-2.86313,-3.49258,-3.19187,-4.03746,-3.70872,-3.02762,-2.86313,-2.9477,-3.30006,-3.93798,-4.80153,-2.81148,-4.38982,-3.22014,-3.02762,-4.03746,-5.15549,-4.20195,-3.08392,-2.9477,-3.6288,-3.21362,-4.03746,-3.16384,-2.81148,-2.78321,-7.96469,-7.96469,-2.84747,-3.16384,-4.47439,-3.13506,-3.87321,-2.93458,-5.00637,-2.78321,-3.19187,-3.19187,-3.16384,-4.80153,-3.43628,-4.41809,-4.17368,-4.03746,-2.79986,-3.60077,-3.60077,-3.13557,-4.03746,-4.28187,-4.03746,-4.45407,-2.78321,-4.03746,-2.81148,-2.78321,-2.78321,-3.35636,91.8521,89.7345,113.198,74.1509,124.342,127.59,110.242,94.1529,108.081,105.276,110.309,99.8038,113.531,105.381,121.946,100.661,94.9365,111.154,119.663,94.5727,87.1356,104.223,106.936,94.9827,108.582,110.597,105.732,107.641,91.9623,119.165,113.553,106.268,107.433,132.575,87.391,128.947,119.121,122.209,130.592,132.573,103.979,105.804,108.968,104.372,87.2014,116.198,96.2744,100.629,95.7288,96.4865,99.2775,83.6482,100.477,90.6479,74.4421,95.8718,64.4652,108.866,105.508,104.786,95.8217,88.7227,84.8712,93.522,101.475,120.82,109.176,96.0277,100.851,71.505,93.2058,83.6414,98.9694,102.371,87.5788,95.0373
-238.723,0.80217,0.643755,2,7,0,239.694,104.89,0.884778,9.62361,104.311,106.08,103.426,99.0022,106.08,107.85,111.389,104.324,104.311,103.426,109.62,99.887,106.965,105.196,110.504,101.657,100.772,109.62,110.504,105.196,99.0022,101.657,107.85,103.426,110.504,108.735,105.196,106.08,106.985,109.62,112.274,106.965,103.426,101.657,102.541,108.735,107.85,108.735,104.311,105.128,101.657,104.311,109.62,101.657,108.735,108.735,106.67,104.311,106.965,103.659,100.772,106.08,108.316,101.657,99.0022,99.0022,104.311,106.985,106.08,104.311,100.772,101.657,99.0022,99.0022,99.0022,112.274,101.657,103.426,101.657,107.26,101.657,101.657,109.62,101.657,101.657,106.08,-6.52265,-4.40376,-6.43071,-8.04924,-3.36465,-3.18077,-3.10171,-3.64109,-4.44443,-4.35249,-4.03601,-4.00822,-4.31182,-3.45659,-3.00977,-3.82434,-3.03757,-2.9969,-3.00977,-3.45659,-3.06104,-3.82434,-3.77307,-3.31338,-3.00977,-3.08884,-3.49726,-4.00484,-4.69888,-2.9969,-4.23276,-3.27271,-3.31338,-3.82434,-4.77151,-4.12795,-3.18077,-3.08884,-3.54853,-3.22387,-3.82434,-3.40532,-2.9969,-3.1295,-7.24528,-7.24528,-2.95775,-3.40532,-4.31182,-3.12406,-4.07668,-3.17355,-4.83713,-3.1295,-3.06104,-3.06104,-3.40532,-4.69888,-3.58919,-4.44443,-3.91628,-3.82434,-3.22927,-3.8928,-3.8928,-3.19365,-3.82434,-4.35249,-3.82434,-4.40452,-3.1295,-3.82434,-2.9969,-3.1295,-3.1295,-3.36465,98.4356,106.408,107.319,102.652,90.5488,89.9837,101.159,138.016,99.9616,114.644,112.776,100.757,105.522,168.672,126.538,115.961,94.5493,132.901,121.095,107.115,88.5058,82.2355,110.282,116.695,104.107,118.999,97.7858,101.28,103.271,98.805,113.089,104.216,100.501,103.169,87.6752,119.648,95.8327,103.343,109.719,107.673,102.056,104.417,109.785,115.839,97.8833,109.081,117.1,107.139,118.697,74.683,115.566,96.3705,113.762,133.828,98.6972,99.3613,116.095,89.4139,106.302,114.088,95.4926,71.4302,90.7354,97.6424,103.11,118.067,99.602,90.389,88.2057,110.523,113.922,107.3,83.9083,106.44,103.453,87.0425
-238.713,0.936144,0.643755,3,7,0,239.727,105.231,0.719832,8.18241,104.759,106.199,104.04,100.44,106.199,107.639,110.518,104.77,104.759,104.04,109.078,101.16,106.919,105.479,109.798,102.6,101.88,109.078,109.798,105.479,100.44,102.6,107.639,104.04,109.798,108.359,105.479,106.199,106.935,109.078,111.238,106.919,104.04,102.6,103.32,108.359,107.639,108.359,104.759,105.424,102.6,104.759,109.078,102.6,108.359,108.359,106.679,104.759,106.919,104.229,101.88,106.199,108.018,102.6,100.44,100.44,104.759,106.935,106.199,104.759,101.88,102.6,100.44,100.44,100.44,111.238,102.6,104.04,102.6,107.159,102.6,102.6,109.078,102.6,102.6,106.199,-7.04319,-4.4818,-6.95522,-8.95962,-3.25966,-3.08372,-2.85844,-3.65378,-4.59892,-4.51095,-4.12991,-3.87548,-4.39383,-3.34764,-2.8198,-3.69953,-3.0249,-2.90777,-2.8198,-3.34764,-2.84895,-3.69953,-3.72868,-3.28882,-2.8198,-2.99575,-3.46476,-4.04159,-4.83726,-2.90777,-4.16855,-3.17169,-3.28882,-3.69953,-4.83369,-4.21788,-3.08372,-2.99575,-3.43561,-3.07237,-3.69953,-3.37679,-2.90777,-3.11287,-7.88428,-7.88428,-2.79663,-3.37679,-4.39383,-2.92153,-4.24703,-3.06388,-4.96955,-3.11287,-2.84895,-2.84895,-3.37679,-4.83726,-3.55274,-4.59892,-3.7875,-3.69953,-3.29069,-4.07109,-4.07109,-2.94641,-3.69953,-4.51095,-3.69953,-4.48479,-3.11287,-3.69953,-2.90777,-3.11287,-3.11287,-3.25966,118.877,112.263,109.419,96.9932,104.678,104.184,115.539,103.219,104.016,118.48,97.477,97.6437,115.291,75.8215,105.346,107.247,101.432,110.158,107.673,102.503,108.247,110.146,112.063,107.011,71.8433,107.19,107.417,109.638,101.411,107.329,110.057,132.938,109.388,102.127,97.5194,113.044,103.097,110.27,107.069,125.924,96.5299,109.202,97.8162,73.4124,125.67,111.664,95.5194,108.428,83.1967,120.906,123.517,110.964,99.5186,107.406,95.3859,92.4139,92.1348,107.485,96.1292,129.937,119.108,91.8683,98.2212,102.156,107.46,122.105,101.921,109.135,88.5652,132.617,94.3457,95.7611,99.8953,121.591,110.554,111.689
-238.921,0.809515,0.643755,2,3,0,239.511,105.645,0.793508,7.73983,105.126,106.713,104.332,100.365,106.713,108.3,111.474,105.138,105.126,104.332,109.887,101.158,107.506,105.919,110.68,102.745,101.952,109.887,110.68,105.919,100.365,102.745,108.3,104.332,110.68,109.093,105.919,106.713,107.524,109.887,112.267,107.506,104.332,102.745,103.539,109.093,108.3,109.093,105.126,105.858,102.745,105.126,109.887,102.745,109.093,109.093,107.242,105.126,107.506,104.541,101.952,106.713,108.717,102.745,100.365,100.365,105.126,107.524,106.713,105.126,101.952,102.745,100.365,100.365,100.365,112.267,102.745,104.332,102.745,107.771,102.745,102.745,109.887,102.745,102.745,106.713,-7.27782,-4.45628,-7.17529,-9.24672,-3.16426,-2.95922,-2.92992,-3.69474,-4.69378,-4.59126,-4.04619,-3.88192,-4.35376,-3.26679,-2.8274,-3.67688,-2.99167,-2.75417,-2.8274,-3.26679,-2.78663,-3.67688,-3.81185,-3.29924,-2.8274,-2.8567,-3.50428,-4.12361,-4.97452,-2.75417,-4.32447,-3.06174,-3.29924,-3.67688,-4.86637,-4.14871,-2.95922,-2.8567,-3.36931,-2.97652,-3.67688,-3.40176,-2.75417,-3.09419,-8.02477,-8.02477,-2.81381,-3.40176,-4.35376,-2.83284,-4.28369,-3.09,-5.12869,-3.09419,-2.78663,-2.78663,-3.40176,-4.97452,-3.60681,-4.69378,-3.7794,-3.67688,-3.25362,-4.07864,-4.07864,-3.03245,-3.67688,-4.59126,-3.67688,-4.60485,-3.09419,-3.67688,-2.75417,-3.09419,-3.09419,-3.16426,109.944,105.019,96.7703,100.289,105.423,112.732,99.5397,103.519,97.5871,112.475,93.9537,72.2745,91.2238,101.31,109.908,101.439,96.3831,117.056,117.041,116.19,62.6037,127.459,123.338,113.956,127.996,120.69,107.213,103.278,88.6379,105.843,117.256,77.2114,105.667,104.126,94.5369,118.412,104.516,99.7605,105.779,118.684,66.8037,92.7271,115.838,72.4766,107.667,87.1071,97.5663,118.687,95.7112,82.5881,118.751,102.791,109.815,110.648,95.6162,75.243,98.8153,124.631,96.8659,102.792,115.147,100.889,102.184,99.2107,100.777,113.867,101.849,108.528,119.633,109.408,89.009,110.44,113.218,90.4553,126.656,106.966
