# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-21 17:23:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\x2b_15g7.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220621192302_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.547401
# Diagonal elements of inverse mass matrix:
# 1.19751, 0.035078, 0.0144052
-239.498,0.896646,0.547401,3,7,0,240.819,104.837,1.06186,7.42954,104.142,106.266,103.08,97.7708,106.266,108.389,112.637,104.158,104.142,103.08,110.513,98.8327,107.328,105.204,111.575,100.956,99.8946,110.513,111.575,105.204,97.7708,100.956,108.389,103.08,111.575,109.451,105.204,106.266,107.352,110.513,113.699,107.328,103.08,100.956,102.018,109.451,108.389,109.451,104.142,105.122,100.956,104.142,110.513,100.956,109.451,109.451,106.974,104.142,107.328,103.36,99.8946,106.266,108.948,100.956,97.7708,97.7708,104.142,107.352,106.266,104.142,99.8946,100.956,97.7708,97.7708,97.7708,113.699,100.956,103.08,100.956,107.682,100.956,100.956,110.513,100.956,100.956,106.266,-7.29405,-4.54722,-7.15113,-9.12846,-3.20124,-2.91539,-3.05353,-3.56187,-4.60209,-4.45917,-3.97552,-4.20171,-4.40429,-3.34416,-2.9106,-3.91586,-2.7128,-2.76768,-2.9106,-3.34416,-2.99865,-3.91586,-3.82781,-3.11319,-2.9106,-2.77247,-3.39904,-4.08035,-5.00373,-2.76768,-4.54243,-3.05831,-3.11319,-3.91586,-5.11891,-4.11844,-2.91539,-2.77247,-3.48709,-3.04455,-3.91586,-3.25611,-2.76768,-2.82734,-8.15638,-8.15638,-2.73993,-3.25611,-4.40429,-2.95483,-4.0304,-3.00357,-5.21865,-2.82734,-2.99865,-2.99865,-3.25611,-5.00373,-3.54196,-4.60209,-4.05878,-3.91586,-2.88507,-3.74455,-3.74455,-3.19645,-3.91586,-4.45917,-3.91586,-4.62985,-2.82734,-3.91586,-2.76768,-2.82734,-2.82734,-3.20124,114.622,103.265,103.892,98.9082,102.345,120.524,83.9272,96.7861,104.654,102.14,129.482,118.041,98.5846,103.547,104.764,104.633,106.881,110.344,97.8098,99.5659,95.1567,100.899,141.93,104.537,88.3178,131.675,102.115,105.428,97.8235,112.016,115.997,83.1845,99.9594,111.398,122.269,130.451,123.753,110.711,90.3784,101.721,102.03,116.879,138.757,104.724,94.2392,89.8669,98.2912,104.15,91.7615,108.145,105.839,110.825,112.265,117.034,82.126,97.8949,126.898,106.743,94.1015,102.176,99.1486,100.61,103.702,108.541,112.699,113.442,102.711,109.999,103.72,101.97,104.555,100.06,104.78,112.517,106.981,92.3431
-238.613,0.951617,0.547401,2,3,0,239.769,103.983,0.973313,7.82267,103.345,105.292,102.372,97.5055,105.292,107.239,111.132,103.36,103.345,102.372,109.185,98.4788,106.265,104.319,110.159,100.425,99.4521,109.185,110.159,104.319,97.5055,100.425,107.239,102.372,110.159,108.212,104.319,105.292,106.287,109.185,112.105,106.265,102.372,100.425,101.399,108.212,107.239,108.212,103.345,104.244,100.425,103.345,109.185,100.425,108.212,108.212,105.941,103.345,106.265,102.628,99.4521,105.292,107.751,100.425,97.5055,97.5055,103.345,106.287,105.292,103.345,99.4521,100.425,97.5055,97.5055,97.5055,112.105,100.425,102.372,100.425,106.59,100.425,100.425,109.185,100.425,100.425,105.292,-7.01283,-4.63035,-6.88841,-8.82297,-3.35201,-3.10317,-2.89487,-3.46804,-4.45616,-4.33174,-4.13266,-4.22297,-4.50592,-3.47643,-2.77045,-3.97412,-2.82021,-2.85432,-2.77045,-3.47643,-3.06905,-3.97412,-3.67552,-3.05341,-2.77045,-2.97874,-3.30225,-3.93801,-4.8034,-2.85432,-4.29763,-3.22759,-3.05341,-3.97412,-5.12803,-4.25708,-3.10317,-2.97874,-3.60086,-3.191,-3.97412,-3.17783,-2.85432,-2.80456,-8.09209,-8.09209,-2.84295,-3.17783,-4.50592,-3.08701,-3.95847,-2.91534,-4.9905,-2.80456,-3.06905,-3.06905,-3.17783,-4.8034,-3.42667,-4.45616,-4.09854,-3.97412,-2.89334,-3.70963,-3.70963,-3.01929,-3.97412,-4.33174,-3.97412,-4.44479,-2.80456,-3.97412,-2.85432,-2.80456,-2.80456,-3.35201,94.8199,115.827,111.394,121.342,100.737,107.211,113.984,98.8214,100.003,109.636,107.104,104.1,102.914,103.857,87.135,94.499,110.9,106.977,111.217,103.611,101.023,117.054,109.206,80.9373,124.888,119.718,87.6303,109.994,103.818,121.58,110.998,147.292,103.394,108.818,104.318,116.594,109.451,101.89,110.429,110.198,114.157,103.897,110.061,100.149,113.529,133.553,103.81,108.603,97.9761,100.672,98.6261,85.8757,112.265,96.3484,99.2349,100.328,110.248,117.948,104.04,94.2125,50.1948,118.876,82.961,107.513,77.3959,109.835,95.4309,106.469,119.169,99.4493,82.3296,102.378,99.862,101.626,99.319,80.3845
-239.151,0.873782,0.547401,3,7,0,239.611,103.4,1.03419,8.13158,102.722,104.791,101.688,96.5171,104.791,106.859,110.996,102.738,102.722,101.688,108.927,97.5513,105.825,103.756,109.962,99.6197,98.5855,108.927,109.962,103.756,96.5171,99.6197,106.859,101.688,109.962,107.893,103.756,104.791,105.848,108.927,112.03,105.825,101.688,99.6197,100.654,107.893,106.859,107.893,102.722,103.677,99.6197,102.722,108.927,99.6197,107.893,107.893,105.48,102.722,105.825,101.96,98.5855,104.791,107.403,99.6197,96.5171,96.5171,102.722,105.848,104.791,102.722,98.5855,99.6197,96.5171,96.5171,96.5171,112.03,99.6197,101.688,99.6197,106.17,99.6197,99.6197,108.927,99.6197,99.6197,104.791,-6.813,-4.65931,-6.68582,-8.50946,-3.42953,-3.17517,-2.91136,-3.40299,-4.35345,-4.22627,-4.15058,-4.31981,-4.53213,-3.55672,-2.79362,-4.06544,-2.96285,-2.92081,-2.79362,-3.55672,-3.21721,-4.06544,-3.63241,-2.9965,-2.79362,-3.04799,-3.25086,-3.86995,-4.71013,-2.92081,-4.26832,-3.30235,-2.9965,-4.06544,-5.16803,-4.27776,-3.17517,-3.04799,-3.6839,-3.2827,-4.06544,-3.12368,-2.92081,-2.83567,-7.96708,-7.96708,-2.93482,-3.12368,-4.53213,-3.19509,-3.84473,-2.88614,-4.90138,-2.83567,-3.21721,-3.21721,-3.12368,-4.71013,-3.37804,-4.35345,-4.19262,-4.06544,-2.80509,-3.59036,-3.59036,-3.03854,-4.06544,-4.22627,-4.06544,-4.36747,-2.83567,-4.06544,-2.92081,-2.83567,-2.83567,-3.42953,91.2366,110.156,94.0306,106.62,98.7085,137.298,109.546,91.2163,92.304,107.338,107.709,96.8908,94.5394,83.3783,116.416,97.2393,111.859,131.874,110.388,102.819,72.4302,92.9387,104.12,87.6359,113.247,109.584,103.981,94.5972,100.472,112.274,112.177,104.498,103.151,99.9804,98.2009,107.467,114.974,101.593,102.13,104.56,100.154,100.9,118.926,101.393,106.797,74.3357,130.667,102.891,98.2038,98.9426,81.1138,104.075,118.342,94.967,109.242,98.8079,105.695,109.185,88.3922,109.555,92.7129,112.482,94.4926,99.058,92.5448,111.787,105.377,102.105,85.5305,114.028,85.4812,110.527,116.513,108.256,65.0821,104.625
-241.594,0.554433,0.547401,2,7,0,243.705,102.628,0.69254,9.25649,102.174,103.559,101.481,98.0188,103.559,104.944,107.714,102.184,102.174,101.481,106.329,98.7113,104.252,102.867,107.022,100.096,99.4039,106.329,107.022,102.867,98.0188,100.096,104.944,101.481,107.022,105.637,102.867,103.559,104.267,106.329,108.407,104.252,101.481,100.096,100.789,105.637,104.944,105.637,102.174,102.813,100.096,102.174,106.329,100.096,105.637,105.637,104.021,102.174,104.252,101.664,99.4039,103.559,105.309,100.096,98.0188,98.0188,102.174,104.267,103.559,102.174,99.4039,100.096,98.0188,98.0188,98.0188,108.407,100.096,101.481,100.096,104.482,100.096,100.096,106.329,100.096,100.096,103.559,-6.39431,-4.69462,-6.31949,-8.10605,-3.6143,-3.46466,-3.1654,-3.39814,-4.23366,-4.15884,-4.39535,-4.13801,-4.6198,-3.68911,-3.24021,-3.98838,-2.98287,-3.31503,-3.24021,-3.68911,-3.13251,-3.98838,-3.4526,-3.07852,-3.24021,-3.38985,-3.22815,-3.7351,-4.43543,-3.31503,-3.82669,-3.53948,-3.07852,-3.98838,-4.99389,-4.47017,-3.46466,-3.38985,-3.76393,-3.44556,-3.98838,-3.15334,-3.31503,-2.92889,-7.71114,-7.71114,-3.20431,-3.15334,-4.6198,-3.30733,-3.93439,-2.9661,-4.54794,-2.92889,-3.13251,-3.13251,-3.15334,-4.43543,-3.30297,-4.23366,-4.0632,-3.98838,-3.09492,-3.78476,-3.78476,-3.09058,-3.98838,-4.15884,-3.98838,-4.12294,-2.92889,-3.98838,-3.31503,-2.92889,-2.92889,-3.6143,90.1804,89.0005,89.3965,83.4254,118.341,81.3506,104.999,94.5798,102.505,99.433,104.148,106.353,104.381,112.349,106.344,139.735,116.409,111.6,111.755,125.098,91.6975,100.241,98.7583,109.226,106.138,139.471,107.245,114.373,96.3528,110.415,113.92,112.649,89.8528,106.833,82.4503,129.8,95.8966,103.64,97.1715,119.598,112.084,115.021,146.612,102.148,94.266,106.33,105.405,92.3176,103.467,101.164,108.137,113.64,107.645,112.772,104.57,77.7959,103.112,102.243,97.6422,99.0706,75.5067,84.0691,63.6432,104.73,83.7527,87.0308,95.3055,65.2483,109.826,102.356,87.344,99.8418,104.179,97.0156,106.468,85.5707
-239.466,0.915724,0.547401,2,7,0,243.062,103.449,0.879724,9.48631,102.873,104.632,101.993,97.5945,104.632,106.392,109.911,102.886,102.873,101.993,108.151,98.4742,105.512,103.753,109.031,100.234,99.3539,108.151,109.031,103.753,97.5945,100.234,106.392,101.993,109.031,107.271,103.753,104.632,105.532,108.151,110.79,105.512,101.993,100.234,101.113,107.271,106.392,107.271,102.873,103.685,100.234,102.873,108.151,100.234,107.271,107.271,105.219,102.873,105.512,102.225,99.3539,104.632,106.855,100.234,97.5945,97.5945,102.873,105.532,104.632,102.873,99.3539,100.234,97.5945,97.5945,97.5945,110.79,100.234,101.993,100.234,105.805,100.234,100.234,108.151,100.234,100.234,104.632,-6.40828,-4.56299,-6.31555,-7.96017,-3.50884,-3.32337,-2.95242,-3.48501,-4.29998,-4.20725,-4.19204,-4.15799,-4.47025,-3.60158,-3.04516,-3.97252,-3.01111,-3.13789,-3.04516,-3.60158,-3.19658,-3.97252,-3.61678,-3.1531,-3.04516,-3.23063,-3.33857,-3.85297,-4.55651,-3.13789,-4.08046,-3.4161,-3.1531,-3.97252,-4.93393,-4.28478,-3.32337,-3.23063,-3.69431,-3.36544,-3.97252,-3.24583,-3.13789,-2.96763,-7.44723,-7.44723,-3.09563,-3.24583,-4.47025,-3.26331,-3.92904,-3.00965,-4.69596,-2.96763,-3.19658,-3.19658,-3.24583,-4.55651,-3.43131,-4.29998,-4.06526,-3.97252,-3.07043,-3.74357,-3.74357,-3.02631,-3.97252,-4.20725,-3.97252,-4.25772,-2.96763,-3.97252,-3.13789,-2.96763,-2.96763,-3.50884,110.792,99.435,109.565,94.6068,89.2438,84.5365,106.553,101.095,79.5266,109.282,106.301,93.297,113.093,104.132,120.995,96.3985,111.395,78.9228,82.7905,91.2324,98.9822,104.935,116.046,122.527,100.571,116.183,64.21,98.8785,106.173,94.4979,103.203,105.109,74.282,84.2154,113.876,106.349,101.871,114.055,100.19,107.359,76.2246,101.823,102.755,96.334,100.13,58.0607,103.16,110.475,101.449,102.405,98.0288,88.9503,111.857,98.459,103.683,113.513,114.376,101.099,121.451,97.2489,93.1676,96.1627,111.301,98.3079,94.8368,122.782,105.723,98.9843,123.691,132.347,126.174,90.9714,127.048,98.626,119.356,112.612
-239.812,0.532591,0.547401,3,7,0,241.239,103.17,0.834546,9.18102,102.623,104.292,101.788,97.6157,104.292,105.961,109.299,102.636,102.623,101.788,107.63,98.4503,105.127,103.458,108.465,100.119,99.2848,107.63,108.465,103.458,97.6157,100.119,105.961,101.788,108.465,106.796,103.458,104.292,105.145,107.63,110.134,105.127,101.788,100.119,100.954,106.796,105.961,106.796,102.623,103.393,100.119,102.623,107.63,100.119,106.796,106.796,104.848,102.623,105.127,102.008,99.2848,104.292,106.4,100.119,97.6157,97.6157,102.623,105.145,104.292,102.623,99.2848,100.119,97.6157,97.6157,97.6157,110.134,100.119,101.788,100.119,105.405,100.119,100.119,107.63,100.119,100.119,104.292,-6.46359,-4.6212,-6.37269,-8.09661,-3.53199,-3.3502,-2.9866,-3.44303,-4.28519,-4.19429,-4.2576,-4.16829,-4.5303,-3.62289,-3.0775,-3.98649,-2.98818,-3.1684,-3.0775,-3.62289,-3.16998,-3.98649,-3.55958,-3.10508,-3.0775,-3.2593,-3.28688,-3.81346,-4.53537,-3.1684,-4.01407,-3.44109,-3.10508,-3.98649,-4.98479,-4.3485,-3.3502,-3.2593,-3.71379,-3.37853,-3.98649,-3.19598,-3.1684,-2.92329,-7.61611,-7.61611,-3.10833,-3.19598,-4.5303,-3.26483,-3.92159,-2.9421,-4.67206,-2.92329,-3.16998,-3.16998,-3.19598,-4.53537,-3.37778,-4.28519,-4.07739,-3.98649,-3.04428,-3.73979,-3.73979,-2.92487,-3.98649,-4.19429,-3.98649,-4.22512,-2.92329,-3.98649,-3.1684,-2.92329,-2.92329,-3.53199,95.2703,99.7474,107.659,95.9799,113.155,105.384,121.673,122.815,105.731,102.726,90.4754,95.1965,97.8204,110.355,116.923,95.0776,90.6196,114.342,90.069,108.729,108.749,110.827,104.887,105.373,110.329,100.512,95.6101,90.7834,99.2559,137.205,111.256,103.974,99.3727,101.164,106.635,127.592,152.984,111.588,129.015,113.135,111.241,108.543,111.372,74.9759,107.093,107.418,123.69,89.716,118.881,123.335,120.363,107.4,103.735,97.5571,91.746,98.5355,100.348,93.9969,116.53,102.472,95.8006,126.103,104.024,95.5288,90.6925,105.705,123.074,109.791,102.977,107.088,116.933,97.7012,106.164,115.178,89.0812,114.246
