# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-21 17:44:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\eg83epqt.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220621194432_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.679217
# Diagonal elements of inverse mass matrix:
# 0.909134, 0.0387886, 0.0115396
-238.008,0.884406,0.679217,2,7,0,238.458,104.541,0.783452,8.08119,104.028,105.595,103.245,99.3275,105.595,107.162,110.296,104.04,104.028,103.245,108.729,100.111,106.379,104.812,109.512,101.678,100.894,108.729,109.512,104.812,99.3275,101.678,107.162,103.245,109.512,107.945,104.812,105.595,106.396,108.729,111.079,106.379,103.245,101.678,102.461,107.945,107.162,107.945,104.028,104.751,101.678,104.028,108.729,101.678,107.945,107.945,106.117,104.028,106.379,103.451,100.894,105.595,107.574,101.678,99.3275,99.3275,104.028,106.396,105.595,104.028,100.894,101.678,99.3275,99.3275,99.3275,111.079,101.678,103.245,101.678,106.64,101.678,101.678,108.729,101.678,101.678,105.595,-6.99348,-4.56521,-6.89653,-8.88668,-3.32776,-3.13387,-2.81929,-3.56173,-4.5186,-4.42165,-4.17742,-4.0064,-4.46826,-3.42471,-2.84303,-3.8125,-2.89336,-2.93997,-2.84303,-3.42471,-2.8659,-3.8125,-3.66894,-3.18421,-2.84303,-3.03692,-3.3781,-3.97003,-4.78371,-2.93997,-4.15368,-3.23082,-3.18421,-3.8125,-4.953,-4.27436,-3.13387,-3.03692,-3.52166,-3.14661,-3.8125,-3.28115,-2.93997,-2.99031,-7.98669,-7.98669,-2.85065,-3.28115,-4.46826,-3.00694,-4.13081,-2.98007,-4.9295,-2.99031,-2.8659,-2.8659,-3.28115,-4.78371,-3.47505,-4.5186,-3.90945,-3.8125,-3.14674,-3.93691,-3.93691,-2.91624,-3.8125,-4.42165,-3.8125,-4.42927,-2.99031,-3.8125,-2.93997,-2.99031,-2.99031,-3.32776,83.5735,100.687,106.513,106.128,106.537,121.11,116.431,99.3831,109.968,106.021,112.517,105.825,105.097,112.621,123.591,122.444,117.559,102.386,109.967,115.481,98.9256,113.75,105.962,113.237,105.8,137.68,96.2453,107.604,100.667,116.828,111.387,104.93,97.493,108.818,123.753,90.1312,97.222,115.549,64.5444,85.6699,100.515,113.79,101.671,100.565,92.8741,109.332,96.4504,100.577,95.2975,67.9003,95.6619,96.8874,108.112,90.285,121.952,94.1515,90.4088,102.491,90.5554,103.176,103.547,84.1803,93.9881,93.6314,72.8569,107.345,95.8872,102.835,96.3216,95.9377,107.91,94.5046,106.395,100.491,100.634,107.593
-239.503,0.73622,0.679217,3,7,0,240.903,105.883,1.03368,9.33533,105.206,107.273,104.172,99.0036,107.273,109.34,113.475,105.221,105.206,104.172,111.408,100.037,108.307,106.239,112.441,102.105,101.071,111.408,112.441,106.239,99.0036,102.105,109.34,104.172,112.441,110.374,106.239,107.273,108.33,111.408,114.509,108.307,104.172,102.105,103.138,110.374,109.34,110.374,105.206,106.16,102.105,105.206,111.408,102.105,110.374,110.374,107.962,105.206,108.307,104.444,101.071,107.273,109.884,102.105,99.0036,99.0036,105.206,108.33,107.273,105.206,101.071,102.105,99.0036,99.0036,99.0036,114.509,102.105,104.172,102.105,108.651,102.105,102.105,111.408,102.105,102.105,107.273,-6.69818,-4.29027,-6.58746,-8.17622,-3.21907,-2.99761,-3.2992,-3.72787,-4.55579,-4.44506,-3.84736,-3.99416,-4.17954,-3.32979,-3.18848,-3.7727,-3.04168,-3.07775,-3.18848,-3.32979,-3.03368,-3.7727,-3.92749,-3.37386,-3.18848,-2.96702,-3.59531,-4.13452,-4.8663,-3.07775,-4.48113,-3.10834,-3.37386,-3.7727,-4.73317,-3.95808,-2.99761,-2.96702,-3.44052,-3.09111,-3.7727,-3.48459,-3.07775,-3.1524,-7.17168,-7.17168,-3.06573,-3.48459,-4.17954,-3.0147,-4.11288,-3.27756,-5.03281,-3.1524,-3.03368,-3.03368,-3.48459,-4.8663,-3.70604,-4.55579,-3.88343,-3.7727,-3.2074,-3.89142,-3.89142,-3.40993,-3.7727,-4.44506,-3.7727,-4.56781,-3.1524,-3.7727,-3.07775,-3.1524,-3.1524,-3.21907,96.3288,103.005,101.822,97.9228,95.9229,109.029,111.602,80.1934,105.019,111.798,116.296,98.5377,105.824,90.6944,100.897,98.2302,96.3456,108.656,110.533,107.692,91.4818,92.3777,110.118,107.66,129.733,81.999,123.358,93.0549,92.6002,110.535,110.872,109.622,105.8,113.438,94.0706,108.867,112.858,129.384,130.133,106.22,98.3576,114.787,135.714,100.258,97.9192,126.539,118.833,102.354,115.957,99.0863,98.2956,73.0118,110.927,87.6992,98.8777,98.6204,80.1731,98.0356,87.0589,99.4619,95.4538,93.8669,113.287,88.437,99.7466,114.053,109.428,110.395,100.572,114.196,109.011,103.202,114.011,101.178,111.87,124.393
-238.046,1,0.679217,2,3,0,239.595,104.431,0.814797,7.91994,103.898,105.527,103.083,99.0089,105.527,107.157,110.416,103.91,103.898,103.083,108.786,99.8237,106.342,104.712,109.601,101.453,100.638,108.786,109.601,104.712,99.0089,101.453,107.157,103.083,109.601,107.972,104.712,105.527,106.36,108.786,111.231,106.342,103.083,101.453,102.268,107.972,107.157,107.972,103.898,104.65,101.453,103.898,108.786,101.453,107.972,107.972,106.07,103.898,106.342,103.297,100.638,105.527,107.586,101.453,99.0089,99.0089,103.898,106.36,105.527,103.898,100.638,101.453,99.0089,99.0089,99.0089,111.231,101.453,103.083,101.453,106.614,101.453,101.453,108.786,101.453,101.453,105.527,-7.04258,-4.58991,-6.9397,-8.95057,-3.32727,-3.12151,-2.81506,-3.54102,-4.5173,-4.41442,-4.17839,-4.04743,-4.48703,-3.43015,-2.81288,-3.84167,-2.84315,-2.91576,-2.81288,-3.43015,-2.88767,-3.84167,-3.66618,-3.15179,-2.81288,-3.01864,-3.35754,-3.96548,-4.79978,-2.91576,-4.18058,-3.22439,-3.15179,-3.84167,-5.00143,-4.28127,-3.12151,-3.01864,-3.53303,-3.14669,-3.84167,-3.25467,-2.91576,-2.94603,-8.06918,-8.06918,-2.83781,-3.25467,-4.48703,-3.01075,-4.10579,-2.95537,-4.95449,-2.94603,-2.88767,-2.88767,-3.25467,-4.79978,-3.46042,-4.5173,-3.94455,-3.84167,-3.09376,-3.90003,-3.90003,-2.91794,-3.84167,-4.41442,-3.84167,-4.43935,-2.94603,-3.84167,-2.91576,-2.94603,-2.94603,-3.32727,103.224,104.013,115.24,99.3777,111.957,121.54,129.569,102.395,98.6178,94.4775,110.538,112.201,128.348,99.6558,112.4,101.988,124.82,101.394,113.994,86.3654,98.1017,84.8509,76.0887,70.3731,113.298,132.969,116.505,113.191,136.646,104.212,119.945,95.1097,107.321,105.339,64.1206,96.9311,137.417,131.353,100.185,104.885,104.664,101.041,98.2274,90.8706,109.184,113.937,105.984,107.517,98.9173,98.7635,102.41,109.508,107.886,93.75,103.152,111.444,103.316,116.698,121.754,99.5993,102.468,113.462,112.602,98.0555,78.8639,110.211,96.6997,122.758,101.095,106.262,105.45,78.883,108.726,97.5819,103.256,108.121
-238.228,0.603806,0.679217,1,3,0,242.178,104.461,1.00066,9.73504,103.806,105.807,102.805,97.802,105.807,107.809,111.811,103.821,103.806,102.805,109.81,98.8027,106.808,104.807,110.811,100.804,99.8033,109.81,110.811,104.807,97.802,100.804,107.809,102.805,110.811,108.809,104.807,105.807,106.831,109.81,112.812,106.808,102.805,100.804,101.805,108.809,107.809,108.809,103.806,104.73,100.804,103.806,109.81,100.804,108.809,108.809,106.474,103.806,106.808,103.069,99.8033,105.807,108.335,100.804,97.802,97.802,103.806,106.831,105.807,103.806,99.8033,100.804,97.802,97.802,97.802,112.812,100.804,102.805,100.804,107.142,100.804,100.804,109.81,100.804,100.804,105.807,-6.44149,-4.42678,-6.3387,-7.87918,-3.39956,-3.19398,-3.15493,-3.59308,-4.38705,-4.28426,-4.01562,-4.11909,-4.32399,-3.50235,-3.05214,-3.91351,-2.98908,-2.9884,-3.05214,-3.50235,-3.19466,-3.91351,-3.77099,-3.25705,-3.05214,-3.09119,-3.46262,-3.9763,-4.67457,-2.9884,-4.28494,-3.29677,-3.25705,-3.91351,-4.83794,-4.11841,-3.19398,-3.09119,-3.60514,-3.27321,-3.91351,-3.35984,-2.9884,-3.05147,-7.20006,-7.20006,-2.98863,-3.35984,-4.32399,-3.1943,-3.97589,-3.15453,-4.82914,-3.05147,-3.19466,-3.19466,-3.35984,-4.67457,-3.56541,-4.38705,-4.0163,-3.91351,-3.11438,-3.77032,-3.77032,-3.25772,-3.91351,-4.28426,-3.91351,-4.38728,-3.05147,-3.91351,-2.9884,-3.05147,-3.05147,-3.39956,106.356,102.772,102.016,103.146,104.172,100.728,103,114.491,102.709,100.09,97.4859,74.1166,119.335,96.6482,111.57,83.7288,82.5265,99.0883,84.22,128.478,127.021,110.596,119.445,132.063,105.379,71.6779,104.819,84.9597,103.24,132.548,107.173,116.535,102.558,92.727,101.114,109.902,106.392,115.592,102.904,102.713,107.209,98.9935,116.234,87.8422,91.2605,107.947,115.242,84.3264,105.535,96.92,82.5199,112.408,113.56,87.5105,101.245,94.6513,109.434,112.508,97.6933,109.91,106.203,111.205,107.013,86.915,128.702,103.572,134.956,114.58,92.6918,108.215,117.789,95.711,108.741,98.6889,106.839,90.4478
-238.755,0.945365,0.679217,2,3,0,239.046,104.671,0.98007,10.2439,104.029,105.989,103.049,98.1483,105.989,107.949,111.869,104.043,104.029,103.049,109.909,99.1284,106.969,105.009,110.889,101.089,100.108,109.909,110.889,105.009,98.1483,101.089,107.949,103.049,110.889,108.929,105.009,105.989,106.991,109.909,112.849,106.969,103.049,101.089,102.069,108.929,107.949,108.929,104.029,104.933,101.089,104.029,109.909,101.089,108.929,108.929,106.642,104.029,106.969,103.307,100.108,105.989,108.465,101.089,98.1483,98.1483,104.029,106.991,105.989,104.029,100.108,101.089,98.1483,98.1483,98.1483,112.849,101.089,103.049,101.089,107.296,101.089,101.089,109.909,101.089,101.089,105.989,-6.34167,-4.38758,-6.246,-7.72001,-3.4114,-3.22005,-3.20231,-3.63474,-4.3893,-4.29363,-4.00489,-4.08111,-4.29191,-3.50707,-3.10664,-3.88976,-3.03042,-3.0287,-3.10664,-3.50707,-3.20059,-3.88976,-3.79581,-3.31744,-3.10664,-3.12438,-3.50879,-3.99493,-4.65646,-3.0287,-4.27417,-3.31572,-3.31744,-3.88976,-4.77027,-4.10056,-3.22005,-3.12438,-3.60274,-3.28915,-3.88976,-3.41311,-3.0287,-3.12609,-7.02912,-7.02912,-3.02222,-3.41311,-4.29191,-3.21083,-4.00661,-3.21398,-4.80033,-3.12609,-3.20059,-3.20059,-3.41311,-4.65646,-3.60446,-4.3893,-3.98543,-3.88976,-3.19191,-3.81526,-3.81526,-3.29798,-3.88976,-4.29363,-3.88976,-4.38281,-3.12609,-3.88976,-3.0287,-3.12609,-3.12609,-3.4114,87.7789,83.1919,108.44,80.3758,114.426,117.162,106.967,98.9594,121.758,90.8806,118.37,63.5386,103.825,108.957,105.913,97.9509,137.506,110.34,104.808,84.9545,80.4448,119.376,102.985,101.384,107.984,99.1513,104.082,111.203,108.631,113.147,132.058,119.734,97.9546,109.543,96.225,119.898,95.4398,105.759,103.38,129.101,97.1197,130.907,117.886,94.9135,95.7151,111.768,99.355,101.094,121.293,89.6301,102.61,126.51,112.446,105.144,97.1587,116.644,95.1015,113.457,94.6346,93.4802,121.808,80.4228,76.2786,82.5267,113.21,113.649,82.0106,106.02,111.567,103.961,142.165,100.665,91.8578,99.7107,109.231,98.0357
-240.651,1,0.679217,2,3,0,241.612,102.529,0.815254,8.76369,101.995,103.626,101.18,97.1037,103.626,105.256,108.517,102.007,101.995,101.18,106.887,97.919,104.441,102.81,107.702,99.5495,98.7342,106.887,107.702,102.81,97.1037,99.5495,105.256,101.18,107.702,106.072,102.81,103.626,104.459,106.887,109.333,104.441,101.18,99.5495,100.365,106.072,105.256,106.072,101.995,102.748,99.5495,101.995,106.887,99.5495,106.072,106.072,104.169,101.995,104.441,101.395,98.7342,103.626,105.685,99.5495,97.1037,97.1037,101.995,104.459,103.626,101.995,98.7342,99.5495,97.1037,97.1037,97.1037,109.333,99.5495,101.18,99.5495,104.713,99.5495,99.5495,106.887,99.5495,99.5495,103.626,-6.51465,-4.73218,-6.42163,-8.23864,-3.59111,-3.40506,-3.03295,-3.35022,-4.23251,-4.13948,-4.36008,-4.2423,-4.63916,-3.68414,-3.12598,-4.05624,-3.0082,-3.21901,-3.12598,-3.68414,-3.19425,-4.05624,-3.46354,-2.99841,-3.12598,-3.31203,-3.18446,-3.73392,-4.48795,-3.21901,-3.92867,-3.49809,-2.99841,-4.05624,-5.10429,-4.45311,-3.40506,-3.31203,-3.77716,-3.42797,-4.05624,-3.09144,-3.21901,-2.91517,-7.87632,-7.87632,-3.14874,-3.09144,-4.63916,-3.3052,-3.8604,-2.90647,-4.62784,-2.91517,-3.19425,-3.19425,-3.09144,-4.48795,-3.27749,-4.23251,-4.14927,-4.05624,-2.94571,-3.67435,-3.67435,-2.93993,-4.05624,-4.13948,-4.05624,-4.16224,-2.91517,-4.05624,-3.21901,-2.91517,-2.91517,-3.59111,101.412,97.991,100.061,105.843,93.2821,104.52,92.94,102.381,112.571,83.1612,108.723,90.2782,105.163,91.6201,105.767,84.5396,96.3674,109.369,105.271,108.504,65.1765,98.7144,139.058,108.496,94.0719,86.9013,98.8831,97.7205,104.655,121.629,122.976,113.719,102.704,66.8355,90.0359,107.689,83.4664,98.5909,109.994,101.674,118.526,105.23,117.483,107.302,110.547,112.669,106.344,82.4845,106.164,101.437,96.0129,112.458,100.055,97.7302,99.3317,109.716,88.742,103.234,104.927,126.383,102.823,91.8403,112.209,96.8865,90.1449,105.788,105.734,103.275,104.329,102.804,102.059,107.172,100.485,100.208,114.356,88.9334
