# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-21 19:50:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\shhk5xwa.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220621215018_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.558667
# Diagonal elements of inverse mass matrix:
# 1.05972, 0.0429251, 0.0120272
-238.895,0.918465,0.558667,2,3,0,239.682,104.648,1.10732,9.84622,103.923,106.137,102.815,97.2786,106.137,108.352,112.781,103.939,103.923,102.815,110.566,98.386,107.244,105.03,111.674,100.601,99.4933,110.566,111.674,105.03,97.2786,100.601,108.352,102.815,111.674,109.459,105.03,106.137,107.269,110.566,113.888,107.244,102.815,100.601,101.708,109.459,108.352,109.459,103.923,104.945,100.601,103.923,110.566,100.601,109.459,109.459,106.875,103.923,107.244,103.107,99.4933,106.137,108.935,100.601,97.2786,97.2786,103.923,107.269,106.137,103.923,99.4933,100.601,97.2786,97.2786,97.2786,113.888,100.601,102.815,100.601,107.614,100.601,100.601,110.566,100.601,100.601,106.137,-6.42547,-4.38817,-6.31301,-7.78194,-3.37255,-3.14763,-3.26269,-3.60939,-4.39423,-4.28177,-3.93832,-4.15978,-4.27571,-3.48501,-3.15022,-3.93486,-3.0317,-3.03776,-3.15022,-3.48501,-3.25662,-3.93486,-3.82846,-3.26615,-3.15022,-3.03517,-3.49108,-4.00978,-4.71124,-3.03776,-4.39076,-3.26009,-3.26615,-3.93486,-4.83801,-4.05079,-3.14763,-3.03517,-3.59747,-3.25929,-3.93486,-3.37861,-3.03776,-3.04123,-7.09764,-7.09764,-3.00143,-3.37861,-4.27571,-3.19926,-3.94439,-3.19729,-4.88036,-3.04123,-3.25662,-3.25662,-3.37861,-4.71124,-3.60354,-4.39423,-4.04732,-3.93486,-3.07094,-3.71947,-3.71947,-3.37515,-3.93486,-4.28177,-3.93486,-4.43056,-3.04123,-3.93486,-3.03776,-3.04123,-3.04123,-3.37255,112.364,107.178,101.267,75.2698,72.1573,106.967,108.401,109.678,90.1838,118.539,126.354,95.6412,117.037,106.427,115.466,97.0666,108.408,115.644,113.591,67.8696,99.55,113.563,91.3542,88.9397,125.973,87.5816,139.484,119.966,98.9733,112.539,121.349,138.256,101.712,83.443,91.8334,131.633,103.683,93.8449,113.142,101.383,129.727,104.537,96.6184,81.3549,123.214,81.6983,130.368,128.744,105.277,91.9798,105.587,110.108,109.733,103.179,106.08,98.6967,117.75,108.223,101.363,105.764,110.502,88.6711,85.5534,102.632,96.5934,105.148,97.9245,105.31,102.452,110.482,82.7346,112.335,111.347,100.432,107.236,146.504
-240.984,0.738869,0.558667,3,7,0,241.677,104.402,0.573305,10.493,104.026,105.173,103.453,100.586,105.173,106.319,108.613,104.035,104.026,103.453,107.466,101.16,105.746,104.599,108.039,102.306,101.733,107.466,108.039,104.599,100.586,102.306,106.319,103.453,108.039,106.893,104.599,105.173,105.759,107.466,109.186,105.746,103.453,102.306,102.88,106.893,106.319,106.893,104.026,104.555,102.306,104.026,107.466,102.306,106.893,106.893,105.555,104.026,105.746,103.604,101.733,105.173,106.621,102.306,100.586,100.586,104.026,105.759,105.173,104.026,101.733,102.306,100.586,100.586,100.586,109.186,102.306,103.453,102.306,105.937,102.306,102.306,107.466,102.306,102.306,105.173,-6.28661,-4.45692,-6.23197,-7.86483,-3.5039,-3.39463,-3.17608,-3.64334,-4.38057,-4.32593,-4.23837,-3.88636,-4.40228,-3.55854,-3.23071,-3.77709,-3.209,-3.28535,-3.23071,-3.55854,-3.09973,-3.77709,-3.6461,-3.37291,-3.23071,-3.33999,-3.48219,-3.91803,-4.52422,-3.28535,-3.91928,-3.44926,-3.37291,-3.77709,-4.67547,-4.29301,-3.39463,-3.33999,-3.61317,-3.34281,-3.77709,-3.42755,-3.28535,-3.26364,-7.15207,-7.15207,-3.1498,-3.42755,-4.40228,-3.202,-4.16202,-3.15562,-4.60638,-3.26364,-3.09973,-3.09973,-3.42755,-4.52422,-3.53682,-4.38057,-3.83172,-3.77709,-3.44419,-4.05275,-4.05275,-3.12144,-3.77709,-4.32593,-3.77709,-4.24502,-3.26364,-3.77709,-3.28535,-3.26364,-3.26364,-3.5039,88.5506,101.082,109.829,110.982,117.396,98.3799,109.88,57.6277,95.2314,82.0707,93.3925,104.427,89.5458,91.0685,117.196,104.433,106.625,91.5304,115.15,93.3425,105.095,120.133,103.705,103.975,100.167,104.842,106.902,111.342,105.16,124.038,114.434,105.1,106.681,111.037,56.4032,108.339,114.027,97.6056,113.032,127.169,87.7695,102.438,141.755,84.5165,121.698,108.417,99.1489,104.383,109.99,107.583,84.7982,85.6924,95.4665,139.041,95.8441,112.817,107.468,106.707,103.599,173.236,119.214,117.903,93.8016,125.97,112.133,111.278,90.8616,82.2773,104.958,120.404,95.3313,113.498,99.3867,97.0719,98.2565,93.3812
-242.895,0.988013,0.558667,2,3,0,243.228,104.585,0.424613,10.8481,104.307,105.156,103.882,101.759,105.156,106.005,107.704,104.313,104.307,103.882,106.855,102.184,105.581,104.732,107.279,103.033,102.609,106.855,107.279,104.732,101.759,103.033,106.005,103.882,107.279,106.43,104.732,105.156,105.59,106.855,108.129,105.581,103.882,103.033,103.458,106.43,106.005,106.43,104.307,104.699,103.033,104.307,106.855,103.033,106.43,106.43,105.439,104.307,105.581,103.994,102.609,105.156,106.229,103.033,101.759,101.759,104.307,105.59,105.156,104.307,102.609,103.033,101.759,101.759,101.759,108.129,103.033,103.882,103.033,105.722,103.033,103.033,106.855,103.033,103.033,105.156,-6.23962,-4.44546,-6.20048,-7.84841,-3.52365,-3.44536,-3.2888,-3.68269,-4.39599,-4.35684,-4.2889,-3.79764,-4.40632,-3.56279,-3.32794,-3.71935,-3.3176,-3.36708,-3.32794,-3.56279,-3.23932,-3.71935,-3.63073,-3.43503,-3.32794,-3.40622,-3.51331,-3.92118,-4.4935,-3.36708,-3.82644,-3.4845,-3.43503,-3.71935,-4.60203,-4.32804,-3.44536,-3.40622,-3.60193,-3.35307,-3.71935,-3.47417,-3.36708,-3.35674,-7.0935,-7.0935,-3.19028,-3.47417,-4.40632,-3.19412,-4.23942,-3.18372,-4.55236,-3.35674,-3.23932,-3.23932,-3.47417,-4.4935,-3.55245,-4.39599,-3.7585,-3.71935,-3.57251,-4.16114,-4.16114,-3.24965,-3.71935,-4.35684,-3.71935,-4.21919,-3.35674,-3.71935,-3.36708,-3.35674,-3.35674,-3.52365,115.328,99.2054,69.81,92.4406,103.623,110.636,114.234,101.997,89.6111,88.72,110.533,116.011,111.942,75.7489,112.671,105.058,81.1482,94.0595,109.047,119.891,108.324,80.3462,100.132,76.012,107.952,105.397,107.169,104.336,88.2355,119.961,111.761,88.5008,92.2862,98.1293,88.3125,110.542,111.08,111.14,102.601,90.0849,112.041,123.023,114.894,110.165,101.86,104.413,100.859,110.964,103.525,103.009,121.753,89.7754,101.567,114.133,62.4396,95.8567,110.468,104.996,106.588,101.49,98.6628,113.383,111.764,107.625,105.699,57.8085,101.484,106.452,107.593,98.399,100.714,101.467,141.351,110.124,102.407,97.4662
-244.366,0.964713,0.558667,2,7,0,245.684,103.713,0.257886,9.57967,103.544,104.059,103.286,101.996,104.059,104.575,105.607,103.548,103.544,103.286,105.091,102.254,104.317,103.802,105.349,102.77,102.512,105.091,105.349,103.802,101.996,102.77,104.575,103.286,105.349,104.833,103.802,104.059,104.323,105.091,105.865,104.317,103.286,102.77,103.028,104.833,104.575,104.833,103.544,103.782,102.77,103.544,105.091,102.77,104.833,104.833,104.231,103.544,104.317,103.354,102.512,104.059,104.711,102.77,101.996,101.996,103.544,104.323,104.059,103.544,102.512,102.77,101.996,101.996,101.996,105.865,102.77,103.286,102.77,104.403,102.77,102.77,105.091,102.77,102.77,104.059,-6.45433,-4.61679,-6.42741,-8.38057,-3.57291,-3.51907,-3.41139,-3.55857,-4.36658,-4.33966,-4.50911,-3.76135,-4.58987,-3.59983,-3.43831,-3.70751,-3.21502,-3.46523,-3.43831,-3.59983,-3.16118,-3.70751,-3.43038,-3.29578,-3.43831,-3.49215,-3.34962,-3.7941,-4.4244,-3.46523,-3.56499,-3.54599,-3.29578,-3.70751,-4.72447,-4.53603,-3.51907,-3.49215,-3.62675,-3.36101,-3.70751,-3.3227,-3.46523,-3.24194,-7.66766,-7.66766,-3.20701,-3.3227,-4.58987,-3.15212,-4.2589,-2.95899,-4.46488,-3.24194,-3.16118,-3.16118,-3.3227,-4.4244,-3.37654,-4.36658,-3.73443,-3.70751,-3.53849,-4.20506,-4.20506,-3.38447,-3.70751,-4.33966,-3.70751,-4.10836,-3.24194,-3.70751,-3.46523,-3.24194,-3.24194,-3.57291,116.266,103.265,109.251,85.5651,133.864,94.9116,97.6002,92.7963,125.778,112.598,111.518,93.7599,95.019,125.261,103.516,109.087,94.7061,112.135,110.291,103.666,111.887,100.981,99.1453,107.283,115.308,85.8096,117.426,107.397,60.003,117.356,99.6807,106.999,112.713,108.734,100.931,95.4737,104.482,103.237,109.03,89.0109,100.766,94.2131,115.17,83.0497,69.0836,84.6803,98.5268,102.588,102.701,96.4615,111.386,111.933,117.424,56.033,132.585,120.61,115.456,125.755,118.413,105.145,98.2606,79.3945,96.9912,108.171,64.5002,107.516,104.479,92.1442,114.304,99.7208,91.2189,103.578,120.966,58.285,87.4242,111.426
-240.267,0.996858,0.558667,2,3,0,244.755,104.289,0.548225,8.6858,103.93,105.026,103.381,100.64,105.026,106.123,108.315,103.938,103.93,103.381,107.219,101.189,105.574,104.478,107.767,102.285,101.737,107.219,107.767,104.478,100.64,102.285,106.123,103.381,107.767,106.671,104.478,105.026,105.587,107.219,108.864,105.574,103.381,102.285,102.833,106.671,106.123,106.671,103.93,104.436,102.285,103.93,107.219,102.285,106.671,106.671,105.392,103.93,105.574,103.526,101.737,105.026,106.411,102.285,100.64,100.64,103.93,105.587,105.026,103.93,101.737,102.285,100.64,100.64,100.64,108.864,102.285,103.381,102.285,105.757,102.285,102.285,107.219,102.285,102.285,105.026,-6.76118,-4.57878,-6.69806,-8.68508,-3.42748,-3.30124,-3.04878,-3.56791,-4.45857,-4.39545,-4.32631,-3.8693,-4.51567,-3.4906,-3.11189,-3.74307,-3.05479,-3.17501,-3.11189,-3.4906,-2.92856,-3.74307,-3.55973,-3.24415,-3.11189,-3.23813,-3.37038,-3.89402,-4.62337,-3.17501,-3.87532,-3.36436,-3.24415,-3.74307,-4.83125,-4.38943,-3.30124,-3.23813,-3.55371,-3.22977,-3.74307,-3.30726,-3.17501,-3.11791,-7.84335,-7.84335,-3.00163,-3.30726,-4.51567,-3.05487,-4.2061,-2.97298,-4.71829,-3.11791,-2.92856,-2.92856,-3.30726,-4.62337,-3.4335,-4.45857,-3.80618,-3.74307,-3.34469,-4.07986,-4.07986,-2.98566,-3.74307,-4.39545,-3.74307,-4.28519,-3.11791,-3.74307,-3.17501,-3.11791,-3.11791,-3.42748,118.738,102.943,105.424,99.3455,105.489,107.918,107.309,108.646,122.882,105.219,91.8042,109.825,109.313,90.686,134.601,102.569,82.0125,99.8005,97.9024,103.021,103.086,92.3261,101.647,106.876,101.244,106.961,99.8266,103.457,104.17,116.679,129.887,109.225,109.067,101.835,112.059,122.737,102.296,137.77,93.7891,126.414,91.9938,114.275,122.823,91.29,129.179,111.143,118.28,117.182,81.0138,99.1702,102.044,102.245,109.275,85.615,118.467,89.3298,123.964,125.644,86.7374,128.405,108.913,105.293,100.777,141.058,102.319,103.35,88.1748,86.8385,100.472,114.017,91.6171,88.4275,108.934,98.736,95.0535,100.571
-237.802,0.992668,0.558667,2,3,0,240.137,104.406,0.927011,9.27145,103.799,105.653,102.872,98.2369,105.653,107.507,111.215,103.813,103.799,102.872,109.361,99.1639,106.58,104.726,110.288,101.018,100.091,109.361,110.288,104.726,98.2369,101.018,107.507,102.872,110.288,108.434,104.726,105.653,106.601,109.361,112.142,106.58,102.872,101.018,101.945,108.434,107.507,108.434,103.799,104.655,101.018,103.799,109.361,101.018,108.434,108.434,106.271,103.799,106.58,103.116,100.091,105.653,107.995,101.018,98.2369,98.2369,103.799,106.601,105.653,103.799,100.091,101.018,98.2369,98.2369,98.2369,112.142,101.018,102.872,101.018,106.889,101.018,101.018,109.361,101.018,101.018,105.653,-6.56557,-4.46753,-6.46559,-8.12282,-3.38895,-3.18898,-3.05114,-3.57463,-4.40842,-4.30843,-4.06758,-4.08885,-4.36754,-3.48893,-2.95116,-3.88887,-2.92989,-2.98901,-2.95116,-3.48893,-3.11025,-3.88887,-3.72978,-3.22985,-2.95116,-3.08899,-3.42982,-3.96124,-4.6863,-2.98901,-4.22971,-3.28896,-3.22985,-3.88887,-4.86747,-4.16757,-3.18898,-3.08899,-3.58892,-3.24772,-3.88887,-3.32984,-2.98901,-3.02988,-7.40331,-7.40331,-2.96276,-3.32984,-4.36754,-3.15169,-4.00847,-3.09838,-4.83665,-3.02988,-3.11025,-3.11025,-3.32984,-4.6863,-3.52981,-4.40842,-3.98886,-3.88887,-3.11977,-3.8085,-3.8085,-3.15113,-3.88887,-4.30843,-3.88887,-4.38217,-3.02988,-3.88887,-2.98901,-3.02988,-3.02988,-3.38895,93.8446,103.352,91.9595,95.3196,95.963,108.773,77.344,74.2788,107.823,110.115,104.535,74.8626,98.4897,99.5538,105.647,113.214,108.222,107.422,104.776,90.894,105.199,136.37,102.013,103.283,110.745,104.453,98.5482,103.793,111.836,98.896,109.599,117.63,116.666,91.1297,79.6221,107.188,158.73,96.3003,98.0728,113.097,108.85,108.714,113.932,120.622,105.404,102.477,108.178,98.2943,115.055,95.4646,96.0473,76.9563,72.1664,72.0732,94.8383,103.319,100.101,101.437,80.1503,91.1894,111.024,99.0699,111.695,91.8367,103.593,115.728,95.9977,87.2967,94.3861,104.995,91.43,116.919,102.19,113.857,109.62,110.595
