# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_fit_model
# start_datetime = 2022-06-21 21:09:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpmync0ty9\5ax7n4xw.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_fit-20220621230936_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
# Adaptation terminated
# Step size = 0.65494
# Diagonal elements of inverse mass matrix:
# 0.934806, 0.028698, 0.0145862
-238.83,0.852258,0.65494,2,7,0,240.029,103.731,1.02992,7.27895,103.056,105.116,102.026,96.8768,105.116,107.176,111.296,103.072,103.056,102.026,109.236,97.9067,106.146,104.086,110.266,99.9665,98.9366,109.236,110.266,104.086,96.8768,99.9665,107.176,102.026,110.266,108.206,104.086,105.116,106.169,109.236,112.326,106.146,102.026,99.9665,100.996,108.206,107.176,108.206,103.056,104.007,99.9665,103.056,109.236,99.9665,108.206,108.206,105.803,103.056,106.146,102.297,98.9366,105.116,107.718,99.9665,96.8768,96.8768,103.056,106.169,105.116,103.056,98.9366,99.9665,96.8768,96.8768,96.8768,112.326,99.9665,102.026,99.9665,106.489,99.9665,99.9665,109.236,99.9665,99.9665,105.116,-7.21949,-4.72292,-7.07799,-9.11818,-3.34909,-3.06611,-2.85613,-3.41003,-4.47184,-4.33035,-4.15695,-4.33954,-4.58142,-3.49059,-2.71464,-4.05656,-2.82423,-2.78312,-2.71464,-3.49059,-3.10721,-4.05656,-3.66399,-2.95652,-2.71464,-2.92461,-3.23951,-3.93053,-4.86852,-2.78312,-4.37145,-3.2076,-2.95652,-4.05656,-5.28889,-4.29844,-3.06611,-2.92461,-3.63208,-3.18443,-4.05656,-3.09801,-2.78312,-2.68273,-8.41991,-8.41991,-2.79682,-3.09801,-4.58142,-3.08558,-3.90587,-2.83147,-5.08129,-2.68273,-3.10721,-3.10721,-3.09801,-4.86852,-3.381,-4.47184,-4.19805,-4.05656,-2.74562,-3.62288,-3.62288,-2.99763,-4.05656,-4.33035,-4.05656,-4.48554,-2.68273,-4.05656,-2.78312,-2.68273,-2.68273,-3.34909,119.888,96.0504,116.385,94.1606,109.343,102.002,108.307,99.4113,101.106,111.261,108.705,88.428,92.7167,95.7652,110.256,114.497,132.977,112.999,112.811,110.554,102.511,96.7499,107.683,101.687,110.727,106.666,99.546,132.354,118.957,108.861,120.384,118.794,100.803,92.4596,62.6923,119.754,125.707,112.946,104.936,101.623,102.814,99.5974,111.984,99.4127,109.994,106.699,107.417,106.979,105.899,118.396,103.953,93.6143,96.8933,106.291,112.954,103.876,106.355,100.725,111.108,105.016,102.248,101.343,113.962,106.303,97.5395,105.963,108.513,97.3089,93.1049,114.588,100.756,100.348,97.8025,90.1373,93.8962,108.743
-240.65,0.402317,0.65494,2,7,0,242.113,103.477,0.800934,7.00306,102.952,104.554,102.151,98.1464,104.554,106.156,109.359,102.964,102.952,102.151,107.758,98.9473,105.355,103.753,108.559,100.549,99.7483,107.758,108.559,103.753,98.1464,100.549,106.156,102.151,108.559,106.957,103.753,104.554,105.373,107.758,110.16,105.355,102.151,100.549,101.35,106.957,106.156,106.957,102.952,103.691,100.549,102.952,107.758,100.549,106.957,106.957,105.088,102.952,105.355,102.362,99.7483,104.554,106.577,100.549,98.1464,98.1464,102.952,105.373,104.554,102.952,99.7483,100.549,98.1464,98.1464,98.1464,110.16,100.549,102.151,100.549,105.622,100.549,100.549,107.758,100.549,100.549,104.554,-7.34487,-4.84512,-7.2305,-9.51455,-3.41717,-3.18843,-2.73096,-3.38484,-4.48897,-4.3746,-4.38764,-4.21776,-4.73075,-3.53154,-2.84533,-3.98902,-2.67544,-2.95969,-2.84533,-3.53154,-2.90418,-3.98902,-3.5185,-2.94666,-2.84533,-3.07406,-3.17539,-3.86094,-4.80245,-2.95969,-4.09035,-3.3028,-2.94666,-3.98902,-5.3026,-4.50201,-3.18843,-3.07406,-3.64591,-3.21081,-3.98902,-3.06103,-2.95969,-2.71792,-8.78586,-8.78586,-2.86494,-3.06103,-4.73075,-3.05379,-4.0315,-2.71858,-4.97444,-2.71792,-2.90418,-2.90418,-3.06103,-4.80245,-3.28976,-4.48897,-4.10339,-3.98902,-2.89094,-3.80276,-3.80276,-2.6624,-3.98902,-4.3746,-3.98902,-4.39422,-2.71792,-3.98902,-2.95969,-2.71792,-2.71792,-3.41717,117.108,86.9651,101.648,99.0658,119.302,110.154,111.953,86.1834,99.9898,101.167,100.103,91.4116,101.679,108.515,96.9627,110.923,95.6759,108.682,109.254,111.148,95.2776,103.145,115.961,95.0932,106.608,100.143,103.516,102.238,106.671,117.366,112.513,111.572,105.653,73.2859,104.957,114.947,114.738,105.645,106.205,107.491,87.0414,109.594,98.084,96.7763,122.196,120.025,96.7004,90.0361,98.7855,109.288,99.2629,105.612,105.9,101.88,93.587,63.0005,100.379,106.185,99.0573,102.634,105.328,105.247,119.202,103.865,97.966,109.994,114.196,102.923,91.46,127.53,102.175,101.926,105.906,120.237,100.463,101.929
-241.571,0.782144,0.65494,3,7,0,243.207,103.527,0.607234,7.37547,103.129,104.344,102.522,99.4857,104.344,105.558,107.987,103.138,103.129,102.522,106.773,100.093,104.951,103.736,107.38,101.307,100.7,106.773,107.38,103.736,99.4857,101.307,105.558,102.522,107.38,106.165,103.736,104.344,104.965,106.773,108.594,104.951,102.522,101.307,101.915,106.165,105.558,106.165,103.129,103.69,101.307,103.129,106.773,101.307,106.165,106.165,104.748,103.129,104.951,102.682,100.7,104.344,105.878,101.307,99.4857,99.4857,103.129,104.965,104.344,103.129,100.7,101.307,99.4857,99.4857,99.4857,108.594,101.307,102.522,101.307,105.153,101.307,101.307,106.773,101.307,101.307,104.344,-7.18311,-4.81407,-7.10077,-9.40081,-3.45823,-3.29356,-2.96424,-3.42264,-4.47141,-4.38908,-4.48475,-4.03455,-4.73174,-3.54056,-3.04657,-3.86989,-2.78624,-3.1289,-3.04657,-3.54056,-2.76103,-3.86989,-3.44489,-3.03324,-3.04657,-3.21123,-3.1979,-3.82257,-4.68968,-3.1289,-3.85655,-3.3759,-3.03324,-3.86989,-5.1434,-4.56708,-3.29356,-3.21123,-3.62289,-3.234,-3.86989,-3.11557,-3.1289,-2.86857,-8.63462,-8.63462,-2.95139,-3.11557,-4.73174,-3.04131,-4.14209,-2.73789,-4.81349,-2.86857,-2.76103,-2.76103,-3.11557,-4.68968,-3.28023,-4.47141,-3.95222,-3.86989,-3.11164,-3.97743,-3.97743,-2.88191,-3.86989,-4.38908,-3.86989,-4.2939,-2.86857,-3.86989,-3.1289,-2.86857,-2.86857,-3.45823,109.273,102.568,108.085,96.8383,102.132,102.529,114.462,112.191,126.274,108.637,130.515,91.6954,103.612,139.26,107.146,99.475,98.4929,106.335,115.103,113.803,123.522,96.2012,119.673,111.856,108.558,101.325,99.6844,111.808,99.4235,95.5172,95.5246,97.861,103.6,97.7592,102.428,102.397,107.888,105.095,99.9076,98.6378,107.846,113.293,97.7634,98.8342,108.879,110.329,101.577,99.5082,99.5397,98.5664,92.1393,108.015,119.342,98.7211,102.2,98.8824,91.2288,98.3782,99.8595,106.47,100.173,105.082,95.2261,105.932,95.5705,113.965,95.5832,97.9569,101.225,126.056,105.783,100.302,117.836,102.208,103.463,101.659
-239.963,0.921834,0.65494,3,7,0,242.937,104.281,0.715402,10.5658,103.812,105.243,103.097,99.5198,105.243,106.674,109.535,103.823,103.812,103.097,108.105,100.235,105.958,104.528,108.82,101.666,100.951,108.105,108.82,104.528,99.5198,101.666,106.674,103.097,108.82,107.389,104.528,105.243,105.975,108.105,110.251,105.958,103.097,101.666,102.381,107.389,106.674,107.389,103.812,104.473,101.666,103.812,108.105,101.666,107.389,107.389,105.72,103.812,105.958,103.285,100.951,105.243,107.05,101.666,99.5198,99.5198,103.812,105.975,105.243,103.812,100.951,101.666,99.5198,99.5198,99.5198,110.251,101.666,103.097,101.666,106.197,101.666,101.666,108.105,101.666,101.666,105.243,-6.25093,-4.44745,-6.18322,-7.73758,-3.501,-3.36558,-3.09474,-3.62607,-4.35802,-4.29031,-4.17661,-3.97496,-4.37974,-3.5687,-3.16245,-3.83954,-3.14073,-3.23016,-3.16245,-3.5687,-3.09622,-3.83954,-3.68241,-3.34386,-3.16245,-3.29787,-3.47928,-3.92557,-4.54133,-3.23016,-4.02096,-3.43329,-3.34386,-3.83954,-4.71829,-4.24432,-3.36558,-3.29787,-3.63641,-3.3555,-3.83954,-3.41157,-3.23016,-3.20844,-7.08368,-7.08368,-3.14037,-3.41157,-4.37974,-3.23799,-4.08719,-3.16841,-4.64315,-3.20844,-3.09622,-3.09622,-3.41157,-4.54133,-3.54699,-4.35802,-3.90725,-3.83954,-3.3474,-3.95177,-3.95177,-3.0745,-3.83954,-4.29031,-3.83954,-4.26824,-3.20844,-3.83954,-3.23016,-3.20844,-3.20844,-3.501,90.4135,117.722,121.418,110.19,93.3957,102.222,77.7419,94.227,108.799,113.694,130.494,105.024,105.752,121.17,105.106,109.325,91.1514,100.931,104.299,105.402,100.735,93.9493,101.388,97.2263,91.5818,112.202,114.843,102.278,116.926,89.1395,108.264,98.9143,100.007,104.558,104.684,120.676,109.867,105.455,96.2621,104.805,97.0373,133.681,84.2761,99.2293,108.496,105.009,118.353,112.258,91.7635,101.647,101.492,111.137,105.023,112.715,98.9769,90.7262,83.1966,118.832,124.349,89.4022,116.894,105.37,94.9282,127.167,100.053,112.172,101.858,98.5379,118.375,120.36,106.597,99.4508,119.283,93.9457,85.4931,91.0458
-239.427,0.779419,0.65494,2,7,0,241.131,103.327,0.85836,9.93649,102.765,104.481,101.906,97.6145,104.481,106.198,109.631,102.778,102.765,101.906,107.915,98.4728,105.34,103.623,108.773,100.19,99.3312,107.915,108.773,103.623,97.6145,100.19,106.198,101.906,108.773,107.056,103.623,104.481,105.359,107.915,110.49,105.34,101.906,100.19,101.048,107.056,106.198,107.056,102.765,103.557,100.19,102.765,107.915,100.19,107.056,107.056,105.054,102.765,105.34,102.132,99.3312,104.481,106.65,100.19,97.6145,97.6145,102.765,105.359,104.481,102.765,99.3312,100.19,97.6145,97.6145,97.6145,110.49,100.19,101.906,100.19,105.626,100.19,100.19,107.915,100.19,100.19,104.481,-6.28676,-4.55115,-6.20038,-7.78124,-3.54475,-3.37199,-3.02645,-3.49589,-4.27398,-4.1876,-4.20561,-4.14945,-4.46476,-3.63114,-3.11283,-3.97668,-3.05667,-3.19922,-3.11283,-3.63114,-3.22944,-3.97668,-3.61313,-3.18121,-3.11283,-3.2856,-3.35397,-3.84292,-4.51238,-3.19922,-4.04505,-3.45837,-3.18121,-3.97668,-4.89668,-4.29199,-3.37199,-3.2856,-3.71752,-3.40554,-3.97668,-3.26759,-3.19922,-3.00844,-7.31117,-7.31117,-3.1517,-3.26759,-4.46476,-3.30446,-3.92844,-3.0378,-4.64228,-3.00844,-3.22944,-3.22944,-3.26759,-4.51238,-3.44036,-4.27398,-4.06306,-3.97668,-3.11304,-3.75567,-3.75567,-3.03866,-3.97668,-4.1876,-3.97668,-4.22647,-3.00844,-3.97668,-3.19922,-3.00844,-3.00844,-3.54475,81.6247,100.882,103.322,81.5852,109.628,103.428,103.902,97.7076,112.682,95.8555,133.44,107.686,105.398,87.3255,114.002,77.179,93.8803,84.8053,118.426,100.468,94.5532,98.0038,121.764,95.601,119.301,103.616,152.434,93.3209,119.243,113.757,101.374,125.556,107.99,100.766,97.9882,100.843,112.018,102.315,100.919,96.0705,96.9944,97.2943,76.2624,102.748,114.032,103.784,130.43,108.291,115.628,102.393,96.0903,107.708,103.771,96.8331,65.255,114.149,98.2265,105.498,114.625,107.696,100.647,86.5529,100.117,95.8276,65.0458,113.459,102.765,112.729,101.796,102.926,98.6218,106.208,96.6839,97.0655,96.4057,103.796
-238.578,0.639321,0.65494,3,7,0,241.356,104.207,0.724864,8.98585,103.733,105.182,103.008,99.3835,105.182,106.632,109.532,103.744,103.733,103.008,108.082,100.108,105.907,104.458,108.807,101.558,100.833,108.082,108.807,104.458,99.3835,101.558,106.632,103.008,108.807,107.357,104.458,105.182,105.924,108.082,110.256,105.907,103.008,101.558,102.283,107.357,106.632,107.357,103.733,104.402,101.558,103.733,108.082,101.558,107.357,107.357,105.666,103.733,105.907,103.199,100.833,105.182,107.014,101.558,99.3835,99.3835,103.733,105.924,105.182,103.733,100.833,101.558,99.3835,99.3835,99.3835,110.256,101.558,103.008,101.558,106.149,101.558,101.558,108.082,101.558,101.558,105.182,-6.64278,-4.53779,-6.56211,-8.3845,-3.42493,-3.26359,-2.94092,-3.55643,-4.41706,-4.33639,-4.21512,-3.9896,-4.45712,-3.50559,-3.02159,-3.82826,-2.98153,-3.10226,-3.02159,-3.50559,-2.9574,-3.82826,-3.62686,-3.22353,-3.02159,-3.18293,-3.38486,-3.91067,-4.63578,-3.10226,-4.0302,-3.34426,-3.22353,-3.82826,-4.86046,-4.29579,-3.26359,-3.18293,-3.58626,-3.25499,-3.82826,-3.3042,-3.10226,-3.06219,-7.63437,-7.63437,-3.0002,-3.3042,-4.45712,-3.11856,-4.09439,-3.02039,-4.75708,-3.06219,-2.9574,-2.9574,-3.3042,-4.63578,-3.46553,-4.41706,-3.90893,-3.82826,-3.22243,-3.93305,-3.93305,-2.91734,-3.82826,-4.33639,-3.82826,-4.31499,-3.06219,-3.82826,-3.10226,-3.06219,-3.06219,-3.42493,83.7668,111.654,121.438,99.7115,110.875,103.143,110.512,88.1892,104.33,108.456,111.172,77.6319,105.549,112.305,114.885,88.8118,96.1319,106.943,113.675,108.873,114.102,88.0845,93.766,99.5789,117.211,141.711,104.456,101.371,111.935,97.4348,94.089,88.5153,106.426,110.012,91.7994,136.45,99.7816,106.911,100.212,97.855,79.3739,104.722,79.7294,106.989,128.277,102.032,127.71,111.857,107.657,98.8774,88.9772,96.1254,107.907,98.0477,101.383,65.9219,112.575,94.521,105.994,104.353,95.2518,102.094,96.2877,103.574,79.2009,98.8301,103.84,98.6188,99.3058,139.46,108.955,96.9702,115.377,105.742,101.733,110.261
