# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_ppc_model
# start_datetime = 2022-06-17 19:54:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmpbr7o873l\62c8owwu.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_ppc-20220617215457.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,96.573,0.853667,35.8185,181.461,92.2039,83.6499,50.7722,116.602,164.002,92.4098,165.871,80.3877,59.0057,69.5947,128.943,138.168,103.112,95.6335,59.4762,96.3031,31.6497,35.9228,61.3634,80.3757,109.118,129.555,11.9876,70.2026,72.8044,118.759,39.9822,105.093,83.1017,-5.8774,152.252,38.3595,233.429,94.3049,162.664,96.7083,108.152,72.2948,128.733,37.8378,86.4765,186.43,81.2523,64.2258,86.1994,69.0528,89.9377,262.876,69.8565,164.824,77.485,122.918,59.5354,112.235,149.929,-61.1397,88.9839,255.502,95.6295,128.272,21.2948,111.587,82.213,59.3802,50.0114,142.733,97.4893,59.8295,81.9213,42.658,103.927,59.1408,60.4669,130.558,89.3957
0,0,120.311,2.44236,1.75943,105.791,105.362,99.9177,108.834,104.918,106.785,104.564,108.207,112.692,106.353,108.697,107.22,106.581,108.11,110.06,111.258,108.75,109.769,114.254,116.205,113.912,118.545,113.798,109.967,112.688,115.986,118.501,114.397,116.46,117.356,125.883,118.759,119.387,117.331,120.134,120.827,123.101,125.843,121.781,123.699,125.285,122.096,125.358,125.512,123.859,126.806,126.402,126.533,129.41,129.327,130.977,126.047,130.001,127.684,128.374,133.084,134.12,131.53,132.773,135.988,136.113,134.551,131.981,135.464,138.715,135.261,138.007,138.695,139.587,139.496,139.106,137.362,141.131,140.464,139.291,136.446
0,0,113.428,0.824609,7.85188,106.108,105.247,112.209,111.662,127.067,109.367,107.175,82.5875,112.518,96.9588,79.2955,111.844,118.841,123.092,128.905,115.832,110.468,122.754,126.436,102.516,100.04,91.7575,108.227,123.264,89.5219,118.958,109.917,113.12,111.07,107.93,110.729,110.56,112.307,119.572,117.659,103.925,117.406,113.422,126.861,105.267,99.0406,104.189,109.734,112.571,110.478,108.253,115.534,117.822,100.397,105.103,123.96,114.93,89.9722,117.399,112.656,105.514,118.26,118.905,112.25,109.424,122.229,102.695,118.36,119.735,120.519,112.598,119.525,117.843,123.979,120.705,106.438,120.08,118.214,117.934,121,84.7093
0,0,99.1517,0.633987,22.3689,-42.8173,102.525,53.1492,93.144,-17.805,55.7608,106.364,44.5204,116.721,96.8807,61.2394,83.6624,84.7895,69.8397,114.636,124.301,52.3092,146.234,106.47,98.5524,61.6842,83.9149,148.25,151.076,122.156,113.879,70.8261,112.089,103.922,92.2942,91.2357,66.0253,66.8134,91.3909,105.896,113.173,93.9182,107.706,98.5585,117.505,87.9694,71.7589,96.6209,93.9223,122.872,108.132,108.766,155.386,91.4103,112.38,83.9889,100.159,61.4097,110.034,114.91,123.354,107.221,90.0897,102.754,91.8747,111.599,91.0337,124.837,95.8974,82.0274,112.834,107.071,99.0084,117.394,116.823,44.216,105.7,88.2207,84.3101,57.0704,135.072
0,0,99.7408,0.372017,13.4487,82.3533,67.2059,124.078,90.7357,88.1054,87.5374,111.56,141.51,103.03,114.839,85.1487,101.335,109.696,139.563,100.642,90.3893,156.373,110.519,98.1384,91.9614,70.7528,110.161,128.055,121.653,100.204,100.834,111.745,96.7768,87.5262,97.5392,96.6988,87.3952,113.018,108.137,81.2606,78.996,92.0608,101.058,101.998,94.2484,95.5614,92.1599,101.105,106.255,92.4902,107.638,67.8344,95.4195,89.7105,91.6699,83.6999,100.139,125.325,90.254,160.199,63.3738,82.7241,91.6348,103.547,95.0002,79.6049,98.7248,120.264,100.348,115.026,92.6058,112.792,90.332,96.4563,100.293,65.6643,131.915,89.2535,93.2667,115.729,105.647
0,0,98.5432,0.551097,18.8069,125.146,83.835,87.9961,70.2795,96.7279,105.458,123.17,80.911,58.6942,123.467,97.8267,123.112,100.948,127.631,93.8397,91.4428,74.1037,101.184,95.3284,140.605,83.7419,136.061,91.0808,82.1261,96.2373,75.2537,98.4037,102.297,89.7602,110.333,58.5712,88.5084,128.101,94.5616,119.524,96.4088,105.336,115.865,116.375,83.1384,19.8886,100.416,113.062,72.3192,87.6,111.224,124.44,138.393,73.9925,101.498,113.184,71.4771,115.835,64.8671,104.855,95.6967,103.288,92.3985,129.054,113.261,99.2834,138.747,106.002,64.5175,50.2957,169.268,130.965,71.9244,109.249,115.596,85.4595,100.164,67.3936,-113.021,85.9716,96.3042
0,0,95.4573,1.14583,22.5909,-8.35301,118.54,82.2629,82.9093,140.152,67.6748,108.098,90.8427,131.904,92.195,54.0614,131.812,182.115,93.0604,56.1751,68.3065,98.6954,89.2703,105.889,118.219,107.361,90.5704,95.3256,106.39,132.557,-5.82638,7.4526,58.4935,194.71,110.45,79.7372,51.6472,65.9167,105.675,104.318,92.5161,89.1988,91.6667,84.3959,87.5142,176.585,44.1098,86.9518,84.774,151.525,112.48,122.792,70.9796,72.7161,79.9542,90.7484,98.7512,108.535,99.1802,114.807,99.088,108.191,68.846,109.76,98.7865,100.056,110.048,115.072,83.8164,126.669,148.606,148.538,62.5093,131.256,88.066,96.6989,81.2765,87.8562,109.736,117.576,128.769
0,0,113.422,0.35234,19.4243,96.9668,148.362,106.514,104.535,116.709,127.877,111.152,150.563,106.356,89.1424,81.6322,118.056,103.904,117.287,131.515,85.994,99.4641,104.447,106.711,149.943,64.3562,139.78,141.93,70.8925,159.009,131.694,137.182,95.001,93.5453,141.745,113.454,105.045,100.533,113.568,110.245,85.4664,109.801,95.3836,118.087,104.937,118.585,112.223,89.6486,120.122,106.96,136.942,117.857,113.176,188.249,114.493,89.2187,113.885,90.8571,178.023,105.134,99.6191,124.726,109.497,104.355,38.1161,127.649,110.999,123.724,123.337,115.192,120.144,123.844,110.715,133.125,112.862,118.05,116.736,27.8707,92.3242,122.555,115.061
0,0,95.405,1.55115,12.2482,85.056,90.8869,89.6729,61.1958,92.5016,85.2407,115.103,90.2694,109.14,148.865,90.7998,126.695,51.752,87.657,81.4994,94.8745,109.392,93.0437,89.1525,107.537,85.3712,98.9501,93.0363,90.6222,95.66,98.2185,85.0627,73.9851,67.4978,88.1815,139.653,100.633,60.7739,100.075,68.1452,70.2205,119.474,88.454,84.9424,103.081,77.9982,104.849,98.6376,109.785,110.378,139.903,112.608,97.8205,108.167,90.2027,66.906,97.9514,83.2153,101.836,100.118,91.3008,106.151,101.615,115.088,102.903,89.9396,120.082,95.1448,84.0912,101.008,87.0526,97.9729,125.401,91.133,99.586,123.076,111.906,97.2838,84.8923,88.2459,117.914
0,0,107.793,1.40889,15.289,98.647,116.293,73.8269,103.512,124.519,113.166,100.837,95.3172,97.9434,95.959,72.1799,96.3489,88.309,93.5024,91.1665,91.8963,101.551,103.265,109.174,101.748,93.2538,90.297,103.381,94.488,81.5815,125.267,101.997,102.909,114.923,113.133,99.2288,91.7274,119.624,105.892,105.987,111.868,94.014,87.46,80.8323,110.605,91.6316,117.511,104.494,84.8093,110.265,108.99,85.3619,103.634,111.785,142.86,110.502,39.1058,121.416,73.8575,131.861,96.3725,127.597,107.471,128.053,93.3857,102.979,113.467,113.852,112.432,124.38,151.425,136.345,118.287,147.079,116.08,113.074,137.37,142.672,130.871,136.291,101.364
