# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_ppc_model
# start_datetime = 2022-06-21 17:22:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\tiwyqngb.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_ppc-20220621192223.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,107.042,0.853667,37.9569,197.338,102.742,93.6666,58.8159,128.566,178.786,102.909,180.745,90.1485,67.4798,78.6908,141.573,151.337,114.179,106.243,67.9173,106.933,38.4091,42.9271,69.8763,90.0135,120.461,142.109,17.512,79.1923,81.9393,130.627,47.1371,116.125,92.8105,-1.49097,166.069,45.3666,252.072,104.632,177.062,107.158,119.275,81.2667,141.064,44.7322,96.2645,202.175,90.708,72.6547,95.9301,77.7496,99.8711,283.124,78.5707,179.198,86.6342,134.77,67.5927,123.428,163.363,-60.3175,98.7585,275.207,105.781,140.362,26.9875,122.66,91.5222,67.316,57.3778,155.625,107.67,67.7514,91.1519,49.5343,114.451,66.9808,68.3759,142.642,99.0114
0,0,132.476,2.44236,1.86447,118.059,117.576,111.777,121.197,117.018,118.967,116.584,120.416,125.139,118.393,120.847,119.253,118.547,120.138,122.175,123.416,120.729,121.78,126.503,128.541,126.082,130.962,125.903,121.815,124.669,128.134,130.77,126.392,128.548,129.469,138.476,130.898,131.534,129.326,132.267,132.972,135.353,138.23,133.896,135.899,137.551,134.143,137.57,137.704,135.923,139.017,138.559,138.67,141.689,141.571,143.291,138.037,142.198,139.714,140.416,145.379,146.446,143.673,144.961,148.339,148.442,146.758,144.005,147.667,151.082,147.394,150.275,150.974,151.89,151.764,151.322,149.445,153.41,152.674,151.402,148.357
0,0,125.101,0.824609,8.32064,117.672,116.75,124.118,123.528,139.843,121.076,118.744,92.6784,124.385,107.888,89.1603,123.642,131.047,135.542,141.692,127.829,122.135,135.145,139.036,113.679,111.045,102.258,119.701,135.625,99.8594,131.043,121.452,124.837,122.654,119.318,122.274,122.084,123.926,131.615,129.577,115.014,129.29,125.058,139.29,116.397,109.789,115.235,121.101,124.097,121.87,119.502,127.207,129.623,111.147,116.125,136.098,126.518,100.061,129.115,124.079,116.501,129.998,130.672,123.61,120.605,134.165,113.455,130.045,131.492,132.313,123.909,131.24,129.448,135.941,132.462,117.333,131.779,129.792,129.485,132.724,94.2573
0,0,109.805,0.633987,23.7044,-40.3875,113.624,61.2932,103.668,-13.9122,64.0381,117.654,52.1114,128.615,107.583,69.8059,93.56,94.7467,78.8969,126.36,136.594,60.297,159.821,117.676,109.278,70.2015,93.7518,161.92,164.907,134.253,125.474,79.8437,123.563,114.901,102.571,101.442,74.7185,75.5461,101.583,116.946,124.651,104.239,118.843,109.141,129.211,97.9046,80.7188,107.057,104.19,134.861,119.234,119.897,169.293,101.49,123.704,93.6107,110.738,69.6684,121.188,126.348,135.288,118.184,100.023,113.435,101.899,122.793,100.993,136.807,106.132,91.4261,124.065,117.95,109.398,128.874,128.261,51.312,116.46,97.9287,93.777,64.9034,147.554
0,0,110.437,0.372017,14.2516,92.1588,76.1027,136.365,101.028,98.2365,97.6302,123.082,154.816,114.034,126.544,95.0767,112.225,121.081,152.726,111.477,100.608,170.526,121.931,108.806,102.256,79.7769,121.533,140.492,133.702,110.969,111.631,123.19,107.323,97.5162,108.123,107.228,97.364,124.513,119.336,90.8499,88.4456,102.286,111.816,112.807,104.591,105.978,102.369,111.844,117.296,102.705,118.754,76.5688,105.796,99.742,101.814,93.3637,110.779,137.465,100.296,174.412,71.8019,92.303,101.741,114.36,105.299,88.9798,109.237,132.058,110.948,126.497,102.735,124.122,100.316,106.802,110.863,74.1625,144.364,99.1512,103.4,127.199,116.51
0,0,109.153,0.551097,19.9297,137.563,93.7795,98.1824,79.4015,107.422,116.668,135.43,90.6414,67.0917,135.725,108.547,135.336,111.842,140.111,104.296,101.749,83.3685,112.059,105.847,153.82,93.5558,148.992,101.32,91.8239,106.771,84.5279,109.053,113.172,99.8808,121.676,66.8166,98.5345,140.484,104.936,131.382,106.88,116.334,127.485,128.019,92.7912,25.7588,111.087,124.481,81.2998,97.4863,122.514,136.513,151.292,83.0401,112.181,124.558,80.3549,127.355,73.3371,115.705,105.994,114.031,102.486,141.323,124.58,109.762,151.575,116.869,72.9007,57.8233,183.892,143.296,80.7235,120.27,126.989,95.047,110.622,75.8894,-115.303,95.5633,106.506
0,0,105.847,1.14583,23.9397,-3.70558,130.749,92.2928,92.9642,153.611,76.7928,119.615,101.317,144.815,102.722,62.2982,144.677,197.97,103.585,64.4834,77.3254,109.515,99.5134,117.111,130.163,118.643,100.836,105.862,117.573,145.288,-1.37015,12.6879,66.7624,211.097,121.793,89.2333,59.4526,74.5603,116.678,115.227,102.707,99.1777,101.779,94.0607,97.3515,191.726,51.3284,96.7144,94.3929,165.115,123.726,134.64,79.7202,81.5468,89.2033,100.628,109.095,119.449,109.522,126.069,109.397,119.03,77.3224,120.665,109.023,110.354,120.929,126.24,93.1045,138.502,161.735,161.649,70.4706,143.308,97.5257,106.66,90.3036,97.2624,120.435,128.729,140.576
0,0,125.095,0.35234,20.584,107.797,162.256,117.907,115.805,128.701,140.532,122.805,164.564,117.713,99.468,91.5053,130.099,115.098,129.276,144.35,96.1064,110.377,115.652,118.048,163.856,73.1557,153.078,155.353,80.0697,173.443,144.493,150.304,105.601,104.054,155.127,125.142,116.227,111.442,125.251,121.725,95.4631,121.246,105.964,130.019,116.08,130.538,123.792,99.8656,132.155,118.203,149.97,129.741,124.776,204.328,126.164,99.3763,125.511,101.104,193.469,116.225,110.377,136.978,120.836,115.383,45.185,140.059,122.41,135.891,135.477,126.842,132.085,136.002,122.084,145.828,124.351,129.844,128.448,34.2732,102.57,134.602,126.656
0,0,105.791,1.55115,12.9794,95.4405,101.601,100.296,70.1003,103.257,95.5436,127.17,100.836,120.815,162.892,101.342,139.361,59.9259,97.956,91.4123,105.567,120.933,103.59,99.4481,118.911,95.4041,109.775,103.49,100.913,106.233,108.926,94.966,83.2086,76.3155,98.2155,152.741,111.374,69.116,110.745,76.8904,79.0711,131.246,98.3561,94.6163,113.819,87.2205,115.655,109.055,120.85,121.459,152.729,123.785,108.097,119.042,99.987,75.2809,108.161,92.5268,112.241,110.402,101.039,116.758,111.932,126.191,113.26,99.5044,131.427,104.983,93.2513,111.159,96.3525,107.906,136.953,100.621,109.56,134.434,122.578,107.065,93.915,97.4503,128.871
0,0,119.064,1.40889,16.2018,109.932,128.614,83.5961,115.037,137.281,125.233,112.151,106.285,109.051,106.932,81.7162,107.311,98.7746,104.261,101.769,102.526,112.74,114.539,120.785,112.898,103.88,100.73,114.578,105.137,91.4436,137.721,113.045,113.994,126.709,124.795,110.044,102.077,131.622,117.054,117.138,123.353,104.416,97.4544,90.4142,121.948,101.825,129.232,115.421,94.5445,121.503,120.135,95.0796,114.426,123.046,155.959,121.654,45.9778,133.185,82.7706,144.22,106.596,139.668,118.324,140.117,103.364,113.513,124.61,125.002,123.479,136.124,164.767,148.77,129.617,160.112,127.244,124.043,149.772,155.374,142.852,148.578,111.549
