# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_3_ppc_model
# start_datetime = 2022-06-21 17:43:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\user\AppData\Local\Temp\tmp29dyckpa\hssdu8c4.json
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_3_ppc-20220621194344.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,alpha,beta,sigma,calorie.1,calorie.2,calorie.3,calorie.4,calorie.5,calorie.6,calorie.7,calorie.8,calorie.9,calorie.10,calorie.11,calorie.12,calorie.13,calorie.14,calorie.15,calorie.16,calorie.17,calorie.18,calorie.19,calorie.20,calorie.21,calorie.22,calorie.23,calorie.24,calorie.25,calorie.26,calorie.27,calorie.28,calorie.29,calorie.30,calorie.31,calorie.32,calorie.33,calorie.34,calorie.35,calorie.36,calorie.37,calorie.38,calorie.39,calorie.40,calorie.41,calorie.42,calorie.43,calorie.44,calorie.45,calorie.46,calorie.47,calorie.48,calorie.49,calorie.50,calorie.51,calorie.52,calorie.53,calorie.54,calorie.55,calorie.56,calorie.57,calorie.58,calorie.59,calorie.60,calorie.61,calorie.62,calorie.63,calorie.64,calorie.65,calorie.66,calorie.67,calorie.68,calorie.69,calorie.70,calorie.71,calorie.72,calorie.73,calorie.74,calorie.75,calorie.76
0,0,97.0425,0.853667,37.9569,187.338,92.7415,83.6666,48.8159,118.566,168.786,92.9088,170.745,80.1485,57.4798,68.6908,131.573,141.337,104.179,96.2434,57.9173,96.9325,28.4091,32.9271,59.8763,80.0135,110.461,132.109,7.512,69.1923,71.9393,120.627,37.1371,106.125,82.8105,-11.491,156.069,35.3666,242.072,94.6316,167.062,97.1581,109.275,71.2667,131.064,34.7322,86.2645,192.175,80.708,62.6547,85.9301,67.7496,89.8711,273.124,68.5707,169.198,76.6342,124.77,57.5927,113.428,153.363,-70.3175,88.7585,265.207,95.7805,130.362,16.9875,112.66,81.5222,57.316,47.3778,145.625,97.6698,57.7514,81.1519,39.5343,104.451,56.9808,58.3759,132.642,89.0114
0,0,122.476,2.44236,1.86447,108.059,107.576,101.777,111.197,107.018,108.967,106.584,110.416,115.139,108.393,110.847,109.253,108.547,110.138,112.175,113.416,110.729,111.78,116.503,118.541,116.082,120.962,115.903,111.815,114.669,118.134,120.77,116.392,118.548,119.469,128.476,120.898,121.534,119.326,122.267,122.972,125.353,128.23,123.896,125.899,127.551,124.143,127.57,127.704,125.923,129.017,128.559,128.67,131.689,131.571,133.291,128.037,132.198,129.714,130.416,135.379,136.446,133.673,134.961,138.339,138.442,136.758,134.005,137.667,141.082,137.394,140.275,140.974,141.89,141.764,141.322,139.445,143.41,142.674,141.402,138.357
0,0,115.101,0.824609,8.32064,107.672,106.75,114.118,113.528,129.843,111.076,108.744,82.6784,114.385,97.888,79.1603,113.642,121.047,125.542,131.692,117.829,112.135,125.145,129.036,103.679,101.045,92.258,109.701,125.625,89.8594,121.043,111.452,114.837,112.654,109.318,112.274,112.084,113.926,121.615,119.577,105.014,119.29,115.058,129.29,106.397,99.7888,105.235,111.101,114.097,111.87,109.502,117.207,119.623,101.147,106.125,126.098,116.518,90.0609,119.115,114.079,106.501,119.998,120.672,113.61,110.605,124.165,103.455,120.045,121.492,122.313,113.909,121.24,119.448,125.941,122.462,107.333,121.779,119.792,119.485,122.724,84.2573
0,0,99.8054,0.633987,23.7044,-50.3875,103.624,51.2932,93.6682,-23.9122,54.0381,107.654,42.1114,118.615,97.5825,59.8059,83.56,84.7467,68.8969,116.36,126.594,50.297,149.821,107.676,99.2784,60.2015,83.7518,151.92,154.907,124.253,115.474,69.8437,113.563,104.901,92.5709,91.4416,64.7185,65.5461,91.5834,106.946,114.651,94.2389,108.843,99.141,119.211,87.9046,70.7188,97.0574,94.1901,124.861,109.234,109.897,159.293,91.4904,113.704,83.6107,100.738,59.6684,111.188,116.348,125.288,108.184,90.0228,103.435,91.8992,112.793,90.9928,126.807,96.1318,81.4261,114.065,107.95,99.3983,118.874,118.261,41.312,106.46,87.9287,83.777,54.9034,137.554
0,0,100.437,0.372017,14.2516,82.1588,66.1027,126.365,91.0284,88.2365,87.6302,113.082,144.816,104.034,116.544,85.0767,102.225,111.081,142.726,101.477,90.6079,160.526,111.931,98.8064,92.2561,69.7769,111.533,130.492,123.702,100.969,101.631,113.19,97.3235,87.5162,98.1226,97.2275,87.364,114.513,109.336,80.8499,78.4456,92.2859,101.816,102.807,94.5909,95.9778,92.3688,101.844,107.296,92.7055,108.754,66.5688,95.7963,89.742,91.814,83.3637,100.779,127.465,90.2958,164.412,61.8019,82.303,91.7412,104.36,95.2987,78.9798,99.2368,122.058,100.948,116.497,92.7346,114.122,90.3162,96.8018,100.863,64.1625,134.364,89.1512,93.3995,117.199,106.51
0,0,99.1534,0.551097,19.9297,127.563,83.7795,88.1824,69.4015,97.4224,106.668,125.43,80.6414,57.0917,125.725,98.5473,125.336,101.842,130.111,94.296,91.7494,73.3685,102.059,95.8472,143.82,83.5558,138.992,91.3197,81.8239,96.7709,74.5279,99.0535,103.172,89.8808,111.676,56.8166,88.5345,130.484,94.9359,121.382,96.8803,106.334,117.485,118.019,82.7912,15.7588,101.087,114.481,71.2998,87.4863,112.514,126.513,141.292,73.0401,102.181,114.558,70.3549,117.355,63.3371,105.705,95.9941,104.031,92.4857,131.323,114.58,99.762,141.575,106.869,62.9007,47.8233,173.892,133.296,70.7235,110.27,116.989,85.047,100.622,65.8894,-125.303,85.5633,96.5062
0,0,95.8471,1.14583,23.9397,-13.7056,120.749,82.2928,82.9642,143.611,66.7928,109.615,91.3165,134.815,92.7221,52.2982,134.677,187.97,93.5845,54.4834,67.3254,99.5148,89.5134,107.111,120.163,108.643,90.8364,95.8618,107.573,135.288,-11.3701,2.68792,56.7624,201.097,111.793,79.2333,49.4526,64.5603,106.678,105.227,92.7067,89.1777,91.7793,84.0607,87.3515,181.726,41.3284,86.7144,84.3929,155.115,113.726,124.64,69.7202,71.5468,79.2033,90.6283,99.0951,109.449,99.5224,116.069,99.3974,109.03,67.3224,110.665,99.0231,100.354,110.929,116.24,83.1045,128.502,151.735,151.649,60.4706,133.308,87.5257,96.6603,80.3036,87.2624,110.435,118.729,130.576
0,0,115.095,0.35234,20.584,97.7974,152.256,107.907,105.805,118.701,130.532,112.805,154.564,107.713,89.468,81.5053,120.099,105.098,119.276,134.35,86.1064,100.377,105.652,108.048,153.856,63.1557,143.078,145.353,70.0697,163.443,134.493,140.304,95.6006,94.0538,145.127,115.142,106.227,101.442,115.251,111.725,85.4631,111.246,95.964,120.019,106.08,120.538,113.792,89.8656,122.155,108.203,139.97,119.741,114.776,194.328,116.164,89.3763,115.511,91.1042,183.469,106.225,100.377,126.978,110.836,105.383,35.185,130.059,112.41,125.891,125.477,116.842,122.085,126.002,112.084,135.828,114.351,119.844,118.448,24.2732,92.5705,124.602,116.656
0,0,95.7911,1.55115,12.9794,85.4405,91.601,90.2959,60.1003,93.2565,85.5436,117.17,90.8355,110.815,152.892,91.342,129.361,49.9259,87.956,81.4123,95.5673,110.933,93.5902,89.4481,108.911,85.4041,99.7751,93.4897,90.9131,96.2331,98.9258,84.966,73.2086,66.3155,88.2155,142.741,101.374,59.116,100.745,66.8904,69.0711,121.246,88.3561,84.6163,103.819,77.2205,105.655,99.055,110.85,111.459,142.729,113.785,98.0966,109.042,89.987,65.2809,98.1612,82.5268,102.241,100.402,91.0394,106.758,101.932,116.191,103.26,89.5044,121.427,94.9833,83.2513,101.159,86.3525,97.9061,126.953,90.6209,99.56,124.434,112.578,97.0648,83.915,87.4503,118.871
0,0,109.064,1.40889,16.2018,99.9317,118.614,73.5961,105.037,127.281,115.233,102.151,96.2853,99.0514,96.9318,71.7162,97.3113,88.7746,94.2612,91.769,92.5256,102.74,104.539,110.785,102.898,93.8801,90.7299,104.578,95.1374,81.4436,127.721,103.045,103.994,116.709,114.795,100.044,92.0775,121.622,107.054,107.138,113.353,94.4164,87.4544,80.4142,111.948,91.8245,119.232,105.421,84.5445,111.503,110.135,85.0796,104.426,113.046,145.959,111.654,35.9778,123.185,72.7706,134.22,96.5961,129.668,108.324,130.117,93.3637,103.513,114.61,115.002,113.479,126.124,154.767,138.77,119.617,150.112,117.244,114.043,139.772,145.374,132.852,138.578,101.549
